Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Feb 06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	51 , 	111 , 	64 , 	57 , 	224 , 	86 , 	137 , 	85 , 	148 , 	85 , 	148 , 	10 , 	118 , 	158 , 	118 , 	66 , 	107 , 	292 , 	46 , 	42 , 	61 , 	38 , 	24 , 	39 , 	67 , 	186 , 	184 , 	450 , 	234 , 	80 , 	106 , 	50 , 	40 , 	74 , 	28 , 	71 , 	275 , 	18 , 	72 , 	19 , 	18 , 	29 , 	33 ," 	4,341 ",,,CM line," 	16,568 "," 	1,463 "," 	5,358 "," 	1,841 "," 	1,096 "," 	1,691 "," 	1,192 "," 	28,016 "
SL, 	15 , 	36 , 	15 , 	12 , 	93 , 	31 , 	37 , 	44 , 	106 , 	107 , 	155 , 	122 , 	9 , 	93 , 	68 , 	36 , 	37 , 	50 , 	10 , 	7 , 	9 , 	3 , 	5 , 	12 , 	22 , 	132 , 	176 , 	387 , 	121 , 	42 , 	40 , 	13 , 	18 , 	17 , 	4 , 	23 , 	48 , 	4 , 	20 , 	4 , 	5 , 	18 , 	8 ," 	2,210 ",,,RM line," 	7,330 "," 	2,252 "," 	1,842 "," 	4,134 ", 	788 ," 	2,447 ", 	342 ," 	18,792 "
BF, 	21 , 	35 , 	12 , 	22 , 	88 , 	30 , 	68 , 	56 , 	122 , 	101 , 	242 , 	178 , 	91 , 	7 , 	130 , 	87 , 	89 , 	118 , 	13 , 	6 , 	10 , 	3 , 	1 , 	13 , 	39 , 	115 , 	168 , 	343 , 	104 , 	33 , 	36 , 	11 , 	23 , 	21 , 	7 , 	49 , 	142 , 	3 , 	21 , 	6 , 	5 , 	10 , 	8 ," 	2,680 ",,,WP line," 	6,819 ", 	953 ," 	1,132 ", 	812 ," 	3,031 "," 	1,003 ", 	361 ," 	13,749 "
HY, 	19 , 	35 , 	13 , 	12 , 	96 , 	22 , 	40 , 	45 , 	77 , 	43 , 	148 , 	114 , 	87 , 	149 , 	9 , 	105 , 	96 , 	160 , 	14 , 	9 , 	9 , 	5 , 	1 , 	10 , 	20 , 	65 , 	86 , 	207 , 	76 , 	35 , 	40 , 	10 , 	17 , 	17 , 	7 , 	14 , 	46 , 	2 , 	17 , 	3 , 	4 , 	3 , 	6 ," 	1,989 ",,,FT/ED line," 	9,195 "," 	2,653 "," 	1,786 "," 	2,582 "," 	1,006 "," 	8,327 ", 	423 ," 	25,550 "
SH, 	8 , 	19 , 	7 , 	3 , 	44 , 	14 , 	17 , 	23 , 	44 , 	25 , 	53 , 	66 , 	36 , 	95 , 	93 , 	6 , 	51 , 	74 , 	7 , 	7 , 	5 , 	3 , 	1 , 	3 , 	12 , 	45 , 	66 , 	162 , 	44 , 	22 , 	24 , 	7 , 	12 , 	13 , 	5 , 	10 , 	30 , 	1 , 	10 , 	2 , 	5 , 	8 , 	3 ," 	1,184 ",,,SFIA," 	3,087 ", 	200 ," 	1,224 ", 	324 , 	332 , 	396 , 	575 ," 	5,563 "
UC, 	9 , 	23 , 	10 , 	14 , 	81 , 	18 , 	23 , 	25 , 	63 , 	38 , 	58 , 	99 , 	42 , 	95 , 	98 , 	50 , 	9 , 	104 , 	11 , 	9 , 	10 , 	1 , 	2 , 	7 , 	11 , 	105 , 	155 , 	264 , 	71 , 	20 , 	21 , 	11 , 	14 , 	23 , 	7 , 	10 , 	30 , 	2 , 	15 , 	3 , 	3 , 	8 , 	3 ," 	1,667 ",,,Entries," 	51,853 "," 	15,172 "," 	29,593 "," 	19,490 "," 	14,340 "," 	26,072 "," 	6,534 "," 	156,520 "
FM, 	18 , 	42 , 	20 , 	20 , 	255 , 	32 , 	33 , 	37 , 	97 , 	56 , 	83 , 	288 , 	56 , 	125 , 	150 , 	77 , 	105 , 	21 , 	19 , 	22 , 	8 , 	4 , 	4 , 	24 , 	10 , 	197 , 	328 , 	567 , 	149 , 	33 , 	35 , 	13 , 	28 , 	38 , 	5 , 	14 , 	47 , 	3 , 	22 , 	3 , 	3 , 	25 , 	5 ," 	3,116 ",,,,,,,,,,,
CN, 	24 , 	31 , 	18 , 	6 , 	40 , 	14 , 	41 , 	28 , 	60 , 	6 , 	35 , 	54 , 	13 , 	16 , 	17 , 	7 , 	10 , 	23 , 	15 , 	73 , 	256 , 	69 , 	29 , 	34 , 	11 , 	119 , 	144 , 	296 , 	98 , 	37 , 	55 , 	17 , 	22 , 	41 , 	9 , 	5 , 	9 , 	31 , 	231 , 	5 , 	9 , 	25 , 	7 ," 	2,084 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	8 , 	13 , 	5 , 	9 , 	59 , 	12 , 	30 , 	20 , 	50 , 	6 , 	21 , 	37 , 	7 , 	7 , 	9 , 	6 , 	11 , 	19 , 	72 , 	9 , 	89 , 	21 , 	11 , 	52 , 	3 , 	218 , 	229 , 	394 , 	149 , 	36 , 	36 , 	16 , 	16 , 	33 , 	4 , 	2 , 	8 , 	12 , 	64 , 	5 , 	2 , 	36 , 	10 ," 	1,852 ",,,Dtwn SF," 	2,119 ",,,,,,,
WC, 	8 , 	17 , 	13 , 	18 , 	83 , 	16 , 	38 , 	29 , 	67 , 	9 , 	24 , 	51 , 	8 , 	8 , 	8 , 	6 , 	6 , 	12 , 	324 , 	104 , 	9 , 	44 , 	32 , 	79 , 	3 , 	232 , 	257 , 	487 , 	199 , 	29 , 	29 , 	20 , 	18 , 	32 , 	7 , 	3 , 	5 , 	33 , 	102 , 	6 , 	6 , 	48 , 	15 ," 	2,542 ",,,OAK," 	13,569 ", 	817 ,,,,,,
