Fast Pass Adjusted OD,,,,,,Feb 06,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,54,45,149,159,552,923,773,"1,144","3,799"
MT,45,50,91,159,791,"1,372","1,102","2,299","5,909"
PL,196,115,72,113,674,"1,020",651,"1,776","4,616"
CC,146,157,131,49,531,709,498,"1,277","3,497"
16,486,637,854,512,20,237,204,607,"3,557"
24,789,"1,083","1,242",704,250,29,153,575,"4,825"
GP,715,859,895,455,198,172,19,135,"3,449"
BP,"1,009","1,337","2,691","1,242",612,612,153,30,"7,687"
Entries,"3,440","4,284","6,125","3,393","3,628","5,075","3,551","7,844","37,340"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,26,12,49,36,219,241,121,252,955
MT,11,18,25,33,328,420,367,"1,087","2,288"
PL,59,21,73,54,569,843,477,"1,115","3,210"
CC,42,31,67,38,349,425,187,457,"1,594"
16,186,223,653,357,20,160,124,314,"2,035"
24,210,249,879,419,149,34,108,278,"2,323"
GP,104,178,654,168,115,109,18,58,"1,404"
BP,222,368,"1,847",437,307,270,63,23,"3,537"
Entries,859,"1,099","4,246","1,540","2,054","2,502","1,462","3,583","17,345"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,6,26,22,136,150,70,136,567
MT,5,15,14,23,210,229,200,698,"1,393"
PL,31,12,55,40,390,543,320,711,"2,100"
CC,21,17,47,38,281,298,121,316,"1,138"
16,131,136,468,287,22,99,81,195,"1,418"
24,145,162,653,317,106,36,77,184,"1,679"
GP,66,88,463,113,75,75,13,27,919
BP,154,195,"1,312",275,189,178,30,23,"2,355"
Entries,573,631,"3,036","1,114","1,408","1,607",912,"2,289","11,568"
