Exit stations,Entry stations->,,SATURDAY,,,Sep 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	70 , 	167 , 	64 , 	64 , 	187 , 	94 , 	154 , 	90 , 	174 , 	115 , 	199 , 	11 , 	140 , 	215 , 	160 , 	89 , 	107 , 	261 , 	74 , 	66 , 	79 , 	51 , 	34 , 	41 , 	79 , 	282 , 	179 , 	475 , 	208 , 	86 , 	66 , 	57 , 	52 , 	62 , 	11 , 	81 , 	400 , 	30 , 	116 , 	23 , 	19 , 	42 , 	34 ," 	5,002 ",,,CM line," 	18,737 "," 	1,872 "," 	6,713 "," 	2,224 "," 	1,314 "," 	1,934 "," 	1,974 "," 	34,768 "
SL, 	28 , 	40 , 	18 , 	20 , 	134 , 	32 , 	67 , 	54 , 	117 , 	131 , 	180 , 	142 , 	7 , 	92 , 	113 , 	47 , 	41 , 	58 , 	18 , 	10 , 	12 , 	7 , 	7 , 	15 , 	28 , 	178 , 	162 , 	437 , 	125 , 	35 , 	46 , 	16 , 	26 , 	30 , 	6 , 	35 , 	57 , 	1 , 	34 , 	9 , 	13 , 	25 , 	11 ," 	2,656 ",,,RM line," 	8,437 "," 	2,728 "," 	2,239 "," 	5,228 "," 	1,235 "," 	3,240 ", 	599 ," 	23,704 "
BF, 	24 , 	41 , 	15 , 	19 , 	132 , 	41 , 	73 , 	69 , 	130 , 	123 , 	243 , 	205 , 	103 , 	10 , 	161 , 	96 , 	82 , 	154 , 	16 , 	7 , 	11 , 	7 , 	5 , 	15 , 	41 , 	180 , 	140 , 	410 , 	121 , 	42 , 	36 , 	20 , 	31 , 	30 , 	9 , 	58 , 	189 , 	4 , 	34 , 	6 , 	9 , 	16 , 	10 ," 	3,164 ",,,WP line," 	7,365 "," 	1,181 "," 	1,362 "," 	1,253 "," 	4,011 "," 	1,321 ", 	671 ," 	17,164 "
HY, 	26 , 	47 , 	12 , 	14 , 	123 , 	28 , 	60 , 	41 , 	91 , 	52 , 	158 , 	167 , 	108 , 	187 , 	10 , 	103 , 	91 , 	166 , 	16 , 	7 , 	8 , 	7 , 	5 , 	14 , 	24 , 	108 , 	67 , 	222 , 	84 , 	31 , 	34 , 	11 , 	20 , 	24 , 	5 , 	20 , 	53 , 	6 , 	30 , 	8 , 	6 , 	10 , 	7 ," 	2,305 ",,,FT/ED line," 	10,090 "," 	3,084 "," 	1,944 "," 	3,362 "," 	1,346 "," 	9,785 ", 	668 ," 	30,279 "
SH, 	15 , 	23 , 	10 , 	6 , 	63 , 	15 , 	25 , 	18 , 	39 , 	30 , 	74 , 	93 , 	44 , 	106 , 	91 , 	9 , 	57 , 	100 , 	8 , 	4 , 	8 , 	4 , 	3 , 	4 , 	10 , 	87 , 	56 , 	190 , 	67 , 	22 , 	28 , 	10 , 	13 , 	17 , 	5 , 	17 , 	35 , 	3 , 	16 , 	2 , 	6 , 	7 , 	3 ," 	1,439 ",,,SFIA," 	4,657 ", 	322 ," 	1,975 ", 	595 , 	604 , 	576 , 	910 ," 	9,640 "
UC, 	7 , 	25 , 	10 , 	10 , 	122 , 	18 , 	30 , 	27 , 	59 , 	52 , 	56 , 	105 , 	40 , 	91 , 	83 , 	63 , 	9 , 	114 , 	13 , 	10 , 	9 , 	5 , 	3 , 	9 , 	13 , 	143 , 	98 , 	285 , 	79 , 	16 , 	21 , 	7 , 	15 , 	17 , 	13 , 	12 , 	33 , 	3 , 	12 , 	3 , 	5 , 	17 , 	7 ," 	1,762 ",,,Entries," 	59,141 "," 	17,804 "," 	35,056 "," 	23,915 "," 	17,275 "," 	30,079 "," 	10,603 "," 	193,872 "
FM, 	24 , 	48 , 	26 , 	26 , 	437 , 	38 , 	53 , 	55 , 	103 , 	76 , 	93 , 	257 , 	65 , 	155 , 	179 , 	115 , 	127 , 	30 , 	23 , 	22 , 	17 , 	8 , 	7 , 	20 , 	15 , 	282 , 	226 , 	659 , 	175 , 	48 , 	32 , 	21 , 	23 , 	53 , 	7 , 	27 , 	56 , 	3 , 	26 , 	8 , 	9 , 	40 , 	9 ," 	3,720 ",,,,,,,,,,,
CN, 	21 , 	29 , 	14 , 	9 , 	92 , 	15 , 	56 , 	41 , 	72 , 	9 , 	36 , 	75 , 	17 , 	15 , 	13 , 	8 , 	13 , 	18 , 	9 , 	74 , 	224 , 	87 , 	34 , 	58 , 	14 , 	206 , 	126 , 	315 , 	112 , 	32 , 	59 , 	20 , 	33 , 	44 , 	12 , 	4 , 	10 , 	24 , 	256 , 	9 , 	11 , 	54 , 	13 ," 	2,389 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	12 , 	12 , 	12 , 	14 , 	108 , 	9 , 	33 , 	25 , 	56 , 	6 , 	24 , 	65 , 	8 , 	7 , 	6 , 	6 , 	6 , 	15 , 	66 , 	10 , 	85 , 	59 , 	19 , 	79 , 	6 , 	326 , 	175 , 	394 , 	146 , 	32 , 	34 , 	17 , 	16 , 	21 , 	5 , 	5 , 	9 , 	9 , 	83 , 	8 , 	7 , 	80 , 	11 ," 	2,122 ",,,Dtwn SF," 	2,487 ",,,,,,,
WC, 	10 , 	19 , 	21 , 	12 , 	188 , 	23 , 	54 , 	37 , 	75 , 	13 , 	25 , 	79 , 	14 , 	15 , 	9 , 	8 , 	9 , 	19 , 	289 , 	109 , 	15 , 	101 , 	43 , 	141 , 	8 , 	383 , 	220 , 	495 , 	198 , 	46 , 	41 , 	26 , 	18 , 	34 , 	8 , 	5 , 	5 , 	27 , 	113 , 	7 , 	11 , 	98 , 	23 ," 	3,089 ",,,OAK," 	15,029 ", 	955 ,,,,,,
LF, 	6 , 	7 , 	8 , 	13 , 	106 , 	10 , 	22 , 	23 , 	39 , 	9 , 	27 , 	47 , 	5 , 	6 , 	6 , 	5 , 	4 , 	6 , 	104 , 	67 , 	108 , 	10 , 	40 , 	105 , 	3 , 	200 , 	116 , 	303 , 	124 , 	23 , 	22 , 	12 , 	9 , 	16 , 	3 , 	2 , 	4 , 	14 , 	28 , 	2 , 	5 , 	42 , 	8 ," 	1,712 ",,,CM line," 	37,722 "," 	3,711 "," 	6,713 ",,,,,
OR, 	4 , 	13 , 	6 , 	9 , 	71 , 	9 , 	16 , 	16 , 	39 , 	6 , 	20 , 	34 , 	7 , 	3 , 	4 , 	3 , 	4 , 	6 , 	36 , 	21 , 	34 , 	31 , 	5 , 	75 , 	3 , 	190 , 	99 , 	238 , 	97 , 	22 , 	12 , 	11 , 	7 , 	12 , 	3 , 	1 , 	2 , 	4 , 	18 , 	2 , 	2 , 	29 , 	8 ," 	1,226 ",,,RM line," 	17,093 "," 	5,325 "," 	4,463 "," 	5,228 ",,,,
