Fast Pass OD,,,,,,Sep 08,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,78,51,209,216,653,"1,059",841,"1,428","4,535"
MT,57,64,125,229,882,"1,519","1,261","2,758","6,897"
PL,282,172,110,192,828,"1,204",816,"2,549","6,153"
CC,187,207,207,70,594,796,591,"1,646","4,298"
16,589,712,"1,046",605,32,234,257,803,"4,279"
24,885,"1,162","1,458",830,254,55,192,787,"5,623"
GP,773,946,"1,075",535,255,218,42,207,"4,051"
BP,"1,292","1,511","3,640","1,552",793,833,203,70,"9,896"
Entries,"4,145","4,825","7,870","4,229","4,292","5,918","4,202","10,249","45,731"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,30,12,82,55,264,321,166,389,"1,318"
MT,13,23,33,48,345,391,369,"1,308","2,529"
PL,84,28,90,99,721,"1,033",637,"1,667","4,357"
CC,47,27,105,54,403,461,250,556,"1,902"
16,229,198,899,438,37,198,165,433,"2,597"
24,258,239,"1,134",479,173,42,146,436,"2,906"
GP,145,163,835,196,152,146,25,92,"1,753"
BP,367,397,"2,509",492,416,404,100,44,"4,728"
Entries,"1,172","1,086","5,687","1,860","2,510","2,995","1,857","4,924","22,090"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,26,6,46,40,177,186,105,245,831
MT,6,18,25,38,197,239,247,863,"1,632"
PL,53,17,89,69,522,729,413,"1,098","2,989"
CC,34,21,87,70,313,371,193,468,"1,557"
16,182,118,626,350,38,128,102,292,"1,834"
24,196,146,863,384,122,48,97,261,"2,116"
GP,116,99,630,179,100,90,27,53,"1,293"
BP,252,247,"1,814",409,279,259,50,37,"3,346"
Entries,865,671,"4,180","1,537","1,747","2,050","1,232","3,316","15,597"
