Fast Pass Adjusted OD,,,,,,Aug 07,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,66,52,204,225,624,"1,019",797,"1,284","4,270"
MT,55,60,120,213,886,"1,414","1,190","2,405","6,343"
PL,280,172,86,161,772,"1,165",745,"1,962","5,343"
CC,190,196,186,55,536,706,536,"1,327","3,732"
16,556,664,"1,006",538,24,212,205,592,"3,799"
24,829,"1,057","1,423",695,233,37,157,494,"4,925"
GP,731,896,"1,001",479,203,166,18,123,"3,618"
BP,"1,191","1,350","2,858","1,192",587,537,141,38,"7,894"
Entries,"3,898","4,447","6,885","3,559","3,865","5,255","3,790","8,226","39,925"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,28,12,75,48,237,319,143,318,"1,179"
MT,9,20,33,35,322,367,345,"1,145","2,276"
PL,78,26,67,66,665,980,601,"1,422","3,903"
CC,44,25,80,42,365,419,208,493,"1,676"
16,215,165,814,386,25,166,144,359,"2,274"
24,248,215,"1,097",407,152,31,114,326,"2,589"
GP,135,157,760,192,125,120,21,75,"1,584"
BP,312,327,"2,185",432,335,340,84,38,"4,052"
Entries,"1,069",945,"5,109","1,609","2,226","2,741","1,659","4,176","19,534"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,31,5,41,30,155,167,83,208,720
MT,6,13,24,25,188,236,216,746,"1,452"
PL,46,15,75,42,491,679,395,933,"2,675"
CC,25,15,57,45,316,326,148,351,"1,283"
16,155,99,601,333,34,116,85,248,"1,671"
24,164,126,813,340,115,45,86,238,"1,925"
GP,88,87,592,139,85,72,19,45,"1,125"
BP,215,202,"1,584",320,243,214,46,35,"2,858"
Entries,729,561,"3,786","1,273","1,626","1,853","1,078","2,802","13,708"
