Fast Pass Adjusted OD,,,,,,Jul 05,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,50,32,120,131,487,806,687,998,"3,311"
MT,38,46,77,124,715,"1,184",974,"1,925","5,084"
PL,162,91,62,92,598,862,533,"1,212","3,612"
CC,142,128,113,59,488,648,441,"1,095","3,114"
16,408,553,744,458,22,174,162,406,"2,926"
24,674,926,"1,046",628,178,29,117,323,"3,921"
GP,646,750,779,390,164,133,16,69,"2,948"
BP,901,"1,196","2,091",979,448,328,77,29,"6,048"
Entries,"3,020","3,723","5,032","2,860","3,100","4,164","3,007","6,058","30,965"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,5,34,32,220,220,120,224,875
MT,5,15,22,27,274,334,285,927,"1,890"
PL,36,14,48,38,466,683,395,907,"2,588"
CC,35,21,46,38,329,365,172,428,"1,434"
16,153,175,549,321,23,129,95,244,"1,688"
24,173,206,733,350,118,24,97,204,"1,905"
GP,103,132,575,153,93,93,15,40,"1,205"
BP,214,321,"1,602",388,248,206,48,26,"3,054"
Entries,738,890,"3,610","1,346","1,771","2,055","1,227","3,001","14,639"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,16,4,25,23,133,140,67,136,544
MT,3,14,13,14,164,194,191,602,"1,195"
PL,25,11,47,34,326,491,258,646,"1,837"
CC,23,10,34,37,268,265,117,293,"1,046"
16,115,124,402,250,27,86,62,155,"1,221"
24,129,142,548,289,84,28,70,154,"1,444"
GP,65,78,398,111,72,67,14,24,829
BP,146,204,"1,184",256,153,155,26,29,"2,153"
Entries,522,587,"2,650","1,014","1,227","1,426",805,"2,039","10,269"
