Exit stations,Entry stations->,,SUNDAY,,,Jan 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	12 , 	30 , 	33 , 	13 , 	81 , 	12 , 	23 , 	24 , 	23 , 	12 , 	19 , 	16 , 	7 , 	4 , 	4 , 	4 , 	2 , 	2 , 	5 , 	5 , 	7 , 	1 , 	2 , 	5 , 	7 , 	55 , 	30 , 	115 , 	30 , 	30 , 	31 , 	8 , 	7 , 	10 , 	4 , 	1 , 	3 , 	2 , 	2 , 	5 , 	6 , 	22 , 	5 , 	0 , 	4 , 	2 , 	4 , 	6 , 	3 , 	5 , 	744 ,,,,,,,,,,,
CL, 	11 , 	14 , 	5 , 	4 , 	15 , 	7 , 	14 , 	13 , 	15 , 	23 , 	35 , 	9 , 	20 , 	35 , 	19 , 	11 , 	8 , 	8 , 	5 , 	4 , 	3 , 	2 , 	0 , 	3 , 	14 , 	29 , 	31 , 	86 , 	36 , 	18 , 	23 , 	7 , 	9 , 	6 , 	1 , 	4 , 	18 , 	1 , 	6 , 	1 , 	1 , 	11 , 	4 , 	8 , 	28 , 	9 , 	8 , 	7 , 	2 , 	4 , 	653 ,,,,,,,,,,,
SL, 	9 , 	9 , 	8 , 	5 , 	16 , 	11 , 	13 , 	24 , 	17 , 	47 , 	44 , 	25 , 	12 , 	30 , 	34 , 	16 , 	12 , 	9 , 	3 , 	2 , 	3 , 	3 , 	1 , 	4 , 	8 , 	54 , 	54 , 	137 , 	41 , 	22 , 	23 , 	6 , 	7 , 	8 , 	1 , 	8 , 	19 , 	0 , 	2 , 	2 , 	4 , 	11 , 	3 , 	10 , 	5 , 	8 , 	14 , 	11 , 	2 , 	3 , 	822 ,,,,,,,,,,,
BF, 	7 , 	8 , 	3 , 	4 , 	16 , 	6 , 	17 , 	22 , 	22 , 	51 , 	62 , 	32 , 	35 , 	11 , 	28 , 	16 , 	15 , 	14 , 	7 , 	1 , 	3 , 	1 , 	1 , 	2 , 	9 , 	57 , 	55 , 	133 , 	36 , 	20 , 	11 , 	5 , 	9 , 	7 , 	1 , 	12 , 	27 , 	1 , 	3 , 	1 , 	3 , 	8 , 	2 , 	21 , 	6 , 	13 , 	13 , 	14 , 	1 , 	3 , 	855 ,,,,,,,,,,,
HY, 	6 , 	11 , 	3 , 	4 , 	14 , 	3 , 	16 , 	8 , 	19 , 	15 , 	39 , 	24 , 	31 , 	28 , 	12 , 	18 , 	29 , 	29 , 	3 , 	3 , 	3 , 	3 , 	-   , 	2 , 	7 , 	38 , 	17 , 	57 , 	17 , 	7 , 	8 , 	3 , 	4 , 	3 , 	1 , 	6 , 	10 , 	1 , 	2 , 	1 , 	2 , 	5 , 	2 , 	8 , 	5 , 	15 , 	22 , 	21 , 	1 , 	3 , 	591 ,,,,,,,,,,,
SH, 	4 , 	3 , 	2 , 	3 , 	7 , 	1 , 	5 , 	7 , 	8 , 	10 , 	18 , 	14 , 	14 , 	17 , 	20 , 	9 , 	11 , 	20 , 	2 , 	1 , 	2 , 	0 , 	1 , 	1 , 	3 , 	19 , 	14 , 	40 , 	13 , 	7 , 	8 , 	2 , 	2 , 	4 , 	2 , 	3 , 	3 , 	1 , 	2 , 	1 , 	1 , 	3 , 	0 , 	4 , 	6 , 	10 , 	14 , 	15 , 	0 , 	1 , 	359 ,,,,,,,,,,,
UC, 	2 , 	7 , 	3 , 	1 , 	12 , 	5 , 	7 , 	10 , 	9 , 	16 , 	14 , 	9 , 	12 , 	15 , 	25 , 	12 , 	8 , 	18 , 	2 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	46 , 	24 , 	69 , 	19 , 	10 , 	4 , 	2 , 	3 , 	6 , 	2 , 	1 , 	9 , 	1 , 	1 , 	1 , 	-   , 	7 , 	0 , 	5 , 	7 , 	20 , 	27 , 	16 , 	-   , 	2 , 	477 ,,,,,,,,,,,
FM, 	3 , 	4 , 	5 , 	3 , 	22 , 	5 , 	11 , 	8 , 	11 , 	12 , 	19 , 	8 , 	12 , 	12 , 	36 , 	22 , 	21 , 	16 , 	3 , 	1 , 	1 , 	0 , 	0 , 	2 , 	2 , 	54 , 	27 , 	68 , 	27 , 	13 , 	7 , 	3 , 	1 , 	7 , 	3 , 	5 , 	7 , 	0 , 	2 , 	0 , 	1 , 	16 , 	0 , 	1 , 	12 , 	14 , 	37 , 	30 , 	-   , 	2 , 	579 ,,,,,,,,,,,
CN, 	6 , 	5 , 	3 , 	4 , 	7 , 	3 , 	17 , 	13 , 	17 , 	3 , 	9 , 	5 , 	4 , 	8 , 	3 , 	2 , 	2 , 	3 , 	16 , 	19 , 	68 , 	49 , 	10 , 	12 , 	5 , 	45 , 	35 , 	80 , 	32 , 	16 , 	12 , 	5 , 	5 , 	9 , 	2 , 	1 , 	1 , 	8 , 	35 , 	4 , 	3 , 	41 , 	2 , 	1 , 	10 , 	2 , 	7 , 	2 , 	24 , 	26 , 	697 ,,,,,,,,,,,
PH, 	5 , 	5 , 	2 , 	3 , 	10 , 	3 , 	14 , 	10 , 	16 , 	2 , 	4 , 	2 , 	2 , 	2 , 	1 , 	1 , 	1 , 	1 , 	23 , 	10 , 	27 , 	11 , 	3 , 	16 , 	5 , 	71 , 	37 , 	86 , 	34 , 	13 , 	15 , 	4 , 	5 , 	8 , 	2 , 	0 , 	1 , 	4 , 	11 , 	2 , 	3 , 	50 , 	2 , 	0 , 	15 , 	1 , 	2 , 	3 , 	5 , 	11 , 	563 ,,,,,,,,,,,
WC, 	6 , 	6 , 	5 , 	6 , 	13 , 	4 , 	18 , 	20 , 	18 , 	4 , 	7 , 	2 , 	2 , 	2 , 	2 , 	1 , 	0 , 	1 , 	81 , 	29 , 	12 , 	13 , 	10 , 	30 , 	4 , 	81 , 	55 , 	111 , 	47 , 	24 , 	14 , 	6 , 	4 , 	8 , 	3 , 	1 , 	1 , 	8 , 	23 , 	3 , 	2 , 	59 , 	3 , 	0 , 	12 , 	0 , 	2 , 	3 , 	10 , 	18 , 	794 ,,,,,,,,,,,
