Exit stations,Entry stations->,,SATURDAY,,,Jan 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	19 , 	35 , 	34 , 	20 , 	133 , 	21 , 	37 , 	25 , 	26 , 	9 , 	25 , 	22 , 	5 , 	6 , 	7 , 	4 , 	3 , 	5 , 	5 , 	9 , 	7 , 	3 , 	5 , 	4 , 	13 , 	62 , 	45 , 	144 , 	55 , 	45 , 	49 , 	13 , 	14 , 	13 , 	5 , 	4 , 	3 , 	2 , 	4 , 	5 , 	5 , 	23 , 	7 , 	1 , 	5 , 	7 , 	5 , 	6 , 	4 , 	4 ," 	1,003 ",,,,,,,,,,
CL, 	23 , 	31 , 	13 , 	16 , 	24 , 	18 , 	36 , 	36 , 	21 , 	36 , 	78 , 	11 , 	53 , 	44 , 	40 , 	23 , 	22 , 	22 , 	16 , 	10 , 	10 , 	10 , 	5 , 	15 , 	29 , 	51 , 	47 , 	112 , 	58 , 	35 , 	39 , 	12 , 	11 , 	18 , 	3 , 	16 , 	61 , 	6 , 	9 , 	2 , 	7 , 	11 , 	7 , 	21 , 	16 , 	24 , 	11 , 	19 , 	2 , 	8 ," 	1,244 ",,,,,,,,,,
SL, 	8 , 	12 , 	5 , 	6 , 	28 , 	12 , 	23 , 	23 , 	29 , 	51 , 	62 , 	59 , 	9 , 	41 , 	38 , 	21 , 	14 , 	16 , 	6 , 	3 , 	5 , 	2 , 	1 , 	4 , 	10 , 	90 , 	69 , 	175 , 	66 , 	41 , 	28 , 	6 , 	12 , 	15 , 	3 , 	13 , 	24 , 	1 , 	4 , 	2 , 	2 , 	9 , 	2 , 	18 , 	2 , 	18 , 	15 , 	16 , 	1 , 	4 ," 	1,116 ",,,,,,,,,,
BF, 	6 , 	11 , 	6 , 	6 , 	24 , 	7 , 	18 , 	28 , 	33 , 	50 , 	76 , 	43 , 	42 , 	19 , 	41 , 	16 , 	21 , 	23 , 	9 , 	2 , 	3 , 	2 , 	1 , 	2 , 	14 , 	69 , 	65 , 	178 , 	60 , 	26 , 	17 , 	8 , 	11 , 	8 , 	3 , 	14 , 	38 , 	1 , 	4 , 	3 , 	3 , 	6 , 	1 , 	26 , 	5 , 	20 , 	14 , 	13 , 	1 , 	2 ," 	1,092 ",,,,,,,,,,
HY, 	6 , 	11 , 	6 , 	6 , 	16 , 	6 , 	21 , 	19 , 	25 , 	20 , 	50 , 	40 , 	49 , 	39 , 	11 , 	26 , 	32 , 	35 , 	4 , 	4 , 	3 , 	3 , 	1 , 	4 , 	11 , 	44 , 	33 , 	71 , 	24 , 	15 , 	14 , 	7 , 	6 , 	7 , 	2 , 	5 , 	18 , 	0 , 	4 , 	2 , 	2 , 	5 , 	2 , 	8 , 	4 , 	26 , 	27 , 	25 , 	1 , 	5 , 	799 ,,,,,,,,,,
SH, 	5 , 	4 , 	3 , 	5 , 	16 , 	3 , 	4 , 	12 , 	13 , 	14 , 	27 , 	24 , 	23 , 	17 , 	24 , 	9 , 	14 , 	22 , 	4 , 	3 , 	2 , 	0 , 	0 , 	1 , 	6 , 	27 , 	15 , 	61 , 	25 , 	7 , 	14 , 	2 , 	5 , 	6 , 	1 , 	5 , 	4 , 	2 , 	3 , 	3 , 	1 , 	4 , 	1 , 	11 , 	2 , 	25 , 	13 , 	17 , 	0 , 	2 , 	505 ,,,,,,,,,,
UC, 	6 , 	8 , 	3 , 	5 , 	28 , 	6 , 	9 , 	12 , 	15 , 	15 , 	20 , 	19 , 	17 , 	19 , 	41 , 	15 , 	10 , 	22 , 	3 , 	1 , 	2 , 	1 , 	1 , 	3 , 	4 , 	49 , 	26 , 	76 , 	29 , 	16 , 	11 , 	3 , 	3 , 	4 , 	2 , 	1 , 	9 , 	1 , 	3 , 	1 , 	1 , 	6 , 	1 , 	5 , 	6 , 	22 , 	28 , 	22 , 	1 , 	0 , 	601 ,,,,,,,,,,
FM, 	3 , 	9 , 	4 , 	3 , 	33 , 	4 , 	12 , 	13 , 	14 , 	12 , 	26 , 	20 , 	17 , 	24 , 	41 , 	24 , 	23 , 	14 , 	3 , 	1 , 	1 , 	1 , 	1 , 	2 , 	3 , 	59 , 	42 , 	86 , 	34 , 	17 , 	16 , 	5 , 	4 , 	7 , 	2 , 	4 , 	13 , 	-   , 	1 , 	1 , 	1 , 	9 , 	0 , 	2 , 	7 , 	21 , 	38 , 	30 , 	1 , 	3 , 	704 ,,,,,,,,,,
CN, 	9 , 	5 , 	6 , 	5 , 	13 , 	3 , 	23 , 	17 , 	20 , 	3 , 	6 , 	14 , 	7 , 	7 , 	4 , 	1 , 	4 , 	4 , 	15 , 	25 , 	83 , 	55 , 	13 , 	21 , 	5 , 	72 , 	50 , 	124 , 	54 , 	25 , 	21 , 	11 , 	9 , 	16 , 	3 , 	1 , 	2 , 	10 , 	41 , 	4 , 	5 , 	42 , 	4 , 	0 , 	8 , 	1 , 	4 , 	4 , 	29 , 	29 , 	933 ,,,,,,,,,,
PH, 	12 , 	6 , 	4 , 	4 , 	15 , 	6 , 	15 , 	14 , 	19 , 	1 , 	4 , 	11 , 	3 , 	2 , 	2 , 	3 , 	3 , 	2 , 	23 , 	12 , 	28 , 	15 , 	5 , 	22 , 	3 , 	82 , 	54 , 	131 , 	49 , 	24 , 	15 , 	8 , 	5 , 	8 , 	2 , 	0 , 	2 , 	5 , 	16 , 	2 , 	4 , 	56 , 	3 , 	1 , 	8 , 	2 , 	6 , 	6 , 	8 , 	16 , 	738 ,,,,,,,,,,
WC, 	8 , 	8 , 	6 , 	7 , 	23 , 	4 , 	31 , 	30 , 	25 , 	3 , 	12 , 	11 , 	5 , 	4 , 	2 , 	2 , 	1 , 	2 , 	117 , 	39 , 	10 , 	18 , 	11 , 	45 , 	4 , 	109 , 	78 , 	137 , 	66 , 	26 , 	19 , 	9 , 	9 , 	9 , 	2 , 	0 , 	1 , 	9 , 	33 , 	5 , 	2 , 	55 , 	5 , 	1 , 	9 , 	1 , 	4 , 	5 , 	17 , 	24 ," 	1,054 ",,,,,,,,,,
