Exit stations,Entry stations->,,SUNDAY,,,Mar 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	42 , 	70 , 	30 , 	32 , 	146 , 	56 , 	78 , 	52 , 	85 , 	58 , 	102 , 	6 , 	52 , 	98 , 	82 , 	55 , 	43 , 	52 , 	22 , 	17 , 	23 , 	12 , 	8 , 	23 , 	53 , 	135 , 	76 , 	316 , 	138 , 	54 , 	70 , 	33 , 	41 , 	44 , 	4 , 	29 , 	76 , 	9 , 	65 , 	7 , 	5 , 	31 , 	10 ," 	2,436 ",,,CM line," 	10,379 "," 	1,466 "," 	3,930 "," 	1,297 ", 	857 ," 	1,342 "," 	1,587 "," 	20,859 "
SL, 	13 , 	22 , 	16 , 	15 , 	52 , 	25 , 	40 , 	35 , 	91 , 	90 , 	98 , 	57 , 	7 , 	72 , 	46 , 	33 , 	23 , 	36 , 	7 , 	4 , 	10 , 	2 , 	1 , 	11 , 	21 , 	82 , 	66 , 	227 , 	88 , 	31 , 	34 , 	12 , 	15 , 	21 , 	5 , 	18 , 	29 , 	3 , 	20 , 	3 , 	4 , 	17 , 	6 ," 	1,505 ",,,RM line," 	4,278 "," 	1,804 "," 	1,366 "," 	2,539 ", 	558 ," 	2,127 ", 	863 ," 	13,535 "
BF, 	15 , 	24 , 	9 , 	15 , 	47 , 	25 , 	61 , 	43 , 	94 , 	90 , 	193 , 	95 , 	64 , 	5 , 	88 , 	67 , 	65 , 	104 , 	13 , 	2 , 	11 , 	2 , 	2 , 	7 , 	30 , 	89 , 	74 , 	247 , 	79 , 	29 , 	24 , 	14 , 	20 , 	24 , 	7 , 	50 , 	100 , 	2 , 	19 , 	6 , 	4 , 	13 , 	5 ," 	1,969 ",,,WP line," 	3,899 ", 	939 , 	861 , 	547 ," 	1,871 ", 	773 , 	706 ," 	9,595 "
HY, 	19 , 	31 , 	8 , 	10 , 	40 , 	22 , 	44 , 	31 , 	58 , 	41 , 	95 , 	83 , 	56 , 	82 , 	4 , 	44 , 	67 , 	114 , 	8 , 	5 , 	8 , 	4 , 	2 , 	4 , 	11 , 	59 , 	25 , 	109 , 	44 , 	16 , 	12 , 	10 , 	12 , 	15 , 	3 , 	7 , 	31 , 	1 , 	16 , 	3 , 	5 , 	12 , 	5 ," 	1,273 ",,,FT/ED line," 	5,399 "," 	2,154 "," 	1,355 "," 	1,757 ", 	727 ," 	5,264 ", 	429 ," 	17,085 "
SH, 	7 , 	15 , 	7 , 	1 , 	19 , 	8 , 	16 , 	16 , 	21 , 	29 , 	43 , 	62 , 	26 , 	70 , 	45 , 	3 , 	31 , 	60 , 	6 , 	2 , 	6 , 	3 , 	1 , 	3 , 	4 , 	35 , 	26 , 	80 , 	31 , 	11 , 	13 , 	4 , 	11 , 	13 , 	5 , 	8 , 	18 , 	2 , 	12 , 	3 , 	3 , 	5 , 	2 , 	780 ,,,SFIA," 	3,345 ", 	265 ," 	1,370 ", 	481 , 	501 , 	323 , 	637 ," 	6,923 "
UC, 	12 , 	13 , 	7 , 	4 , 	38 , 	11 , 	20 , 	16 , 	46 , 	31 , 	47 , 	51 , 	23 , 	64 , 	60 , 	33 , 	4 , 	72 , 	8 , 	2 , 	8 , 	2 , 	3 , 	5 , 	8 , 	54 , 	39 , 	135 , 	51 , 	11 , 	13 , 	5 , 	11 , 	15 , 	6 , 	9 , 	30 , 	2 , 	10 , 	4 , 	5 , 	13 , 	5 ," 	1,002 ",,,Entries," 	33,150 "," 	12,164 "," 	20,177 "," 	12,344 "," 	9,106 "," 	16,984 "," 	8,108 "," 	112,033 "
FM, 	20 , 	38 , 	23 , 	20 , 	129 , 	33 , 	40 , 	26 , 	60 , 	55 , 	81 , 	65 , 	34 , 	96 , 	114 , 	58 , 	78 , 	11 , 	19 , 	8 , 	14 , 	5 , 	6 , 	13 , 	8 , 	125 , 	77 , 	296 , 	105 , 	25 , 	20 , 	17 , 	24 , 	27 , 	5 , 	15 , 	49 , 	4 , 	26 , 	3 , 	4 , 	40 , 	4 ," 	1,917 ",,,,,,,,,,,
CN, 	13 , 	17 , 	8 , 	8 , 	27 , 	12 , 	36 , 	21 , 	33 , 	4 , 	22 , 	28 , 	9 , 	13 , 	9 , 	5 , 	6 , 	18 , 	12 , 	48 , 	111 , 	56 , 	14 , 	36 , 	5 , 	84 , 	51 , 	148 , 	70 , 	21 , 	28 , 	13 , 	16 , 	23 , 	8 , 	3 , 	5 , 	18 , 	130 , 	8 , 	6 , 	48 , 	12 ," 	1,255 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	3 , 	6 , 	3 , 	6 , 	17 , 	5 , 	19 , 	17 , 	20 , 	5 , 	11 , 	35 , 	3 , 	3 , 	5 , 	3 , 	2 , 	12 , 	40 , 	5 , 	32 , 	8 , 	6 , 	34 , 	2 , 	100 , 	49 , 	135 , 	67 , 	13 , 	16 , 	7 , 	7 , 	13 , 	5 , 	1 , 	5 , 	6 , 	33 , 	4 , 	5 , 	64 , 	3 , 	830 ,,,Dtwn SF," 	1,317 ",,,,,,,
WC, 	8 , 	17 , 	12 , 	13 , 	54 , 	19 , 	44 , 	35 , 	63 , 	10 , 	17 , 	40 , 	8 , 	8 , 	9 , 	6 , 	7 , 	16 , 	130 , 	39 , 	6 , 	37 , 	22 , 	69 , 	10 , 	200 , 	119 , 	345 , 	191 , 	37 , 	24 , 	19 , 	20 , 	28 , 	9 , 	4 , 	6 , 	13 , 	52 , 	9 , 	11 , 	132 , 	16 ," 	1,930 ",,,OAK," 	9,166 ", 	904 ,,,,,,
