Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Jun 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	9 , 	167 , 	117 , 	107 , 	463 , 	131 , 	170 , 	175 , 	272 , 	43 , 	137 , 	128 , 	52 , 	38 , 	45 , 	34 , 	19 , 	51 , 	32 , 	28 , 	32 , 	15 , 	12 , 	23 , 	36 , 	283 , 	338 , 	392 , 	280 , 	146 , 	182 , 	36 , 	51 , 	34 , 	34 , 	7 , 	29 , 	8 , 	36 ," 	4,190 ",,,Eastbay," 	78,698 ",,SF CBD," 	220,821 ",67.0%,,,
EN, 	194 , 	15 , 	93 , 	111 ," 	1,021 ", 	185 , 	253 , 	482 , 	738 , 	84 , 	135 , 	187 , 	71 , 	44 , 	69 , 	23 , 	34 , 	90 , 	61 , 	29 , 	41 , 	15 , 	15 , 	27 , 	38 ," 	1,168 "," 	1,303 ", 	923 , 	709 , 	147 , 	190 , 	70 , 	81 , 	93 , 	70 , 	10 , 	46 , 	7 , 	23 ," 	8,894 ",,,Westbay," 	88,505 ",,non-CBD," 	108,627 ",33.0%,,,
EP, 	148 , 	39 , 	19 , 	25 , 	589 , 	52 , 	132 , 	125 , 	304 , 	32 , 	68 , 	60 , 	27 , 	10 , 	26 , 	9 , 	27 , 	25 , 	20 , 	27 , 	16 , 	10 , 	5 , 	22 , 	6 , 	697 , 	385 , 	450 , 	184 , 	63 , 	27 , 	29 , 	15 , 	33 , 	15 , 	22 , 	21 , 	9 , 	14 ," 	3,784 ",,,Transbay," 	162,244 ",,,,,,,
NB, 	115 , 	95 , 	37 , 	7 , 	189 , 	57 , 	75 , 	171 , 	248 , 	41 , 	58 , 	94 , 	20 , 	16 , 	19 , 	8 , 	17 , 	41 , 	19 , 	19 , 	24 , 	7 , 	9 , 	12 , 	14 , 	647 , 	650 , 	417 , 	371 , 	100 , 	69 , 	27 , 	19 , 	34 , 	21 , 	4 , 	17 , 	4 , 	9 ," 	3,803 ",,,,,,,,,,,
BK, 	383 , 	986 , 	590 , 	193 , 	15 , 	414 , 	304 , 	443 , 	577 , 	162 , 	261 , 	239 , 	130 , 	128 , 	123 , 	76 , 	130 , 	217 , 	91 , 	135 , 	106 , 	46 , 	47 , 	32 , 	58 , 	766 , 	814 , 	817 , 	629 , 	188 , 	177 , 	111 , 	93 , 	113 , 	98 , 	31 , 	134 , 	35 , 	71 ," 	9,962 ",,,Extensions," 	44,206 ",,,,,,,
AS, 	120 , 	161 , 	72 , 	47 , 	341 , 	4 , 	84 , 	187 , 	250 , 	53 , 	112 , 	138 , 	55 , 	48 , 	39 , 	21 , 	30 , 	56 , 	32 , 	29 , 	23 , 	7 , 	11 , 	15 , 	35 , 	578 , 	599 , 	415 , 	382 , 	117 , 	86 , 	31 , 	31 , 	37 , 	22 , 	10 , 	34 , 	5 , 	23 ," 	4,342 ",,,,,,,,,,,
MA, 	165 , 	243 , 	78 , 	71 , 	363 , 	84 , 	10 , 	142 , 	226 , 	48 , 	159 , 	203 , 	97 , 	84 , 	85 , 	40 , 	55 , 	105 , 	112 , 	91 , 	97 , 	30 , 	32 , 	46 , 	52 , 	792 , 	874 , 	670 , 	583 , 	184 , 	142 , 	70 , 	58 , 	53 , 	52 , 	19 , 	50 , 	34 , 	116 ," 	6,415 ",,,,,,,,,,,
19, 	175 , 	493 , 	185 , 	185 , 	459 , 	190 , 	133 , 	10 , 	87 , 	31 , 	141 , 	187 , 	187 , 	179 , 	173 , 	133 , 	154 , 	264 , 	218 , 	306 , 	210 , 	115 , 	82 , 	104 , 	42 , 	744 , 	751 , 	560 , 	562 , 	165 , 	170 , 	113 , 	100 , 	137 , 	160 , 	48 , 	160 , 	121 , 	230 ," 	8,461 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	280 , 	772 , 	384 , 	287 , 	591 , 	248 , 	214 , 	89 , 	23 , 	53 , 	349 , 	448 , 	349 , 	334 , 	322 , 	228 , 	256 , 	341 , 	345 , 	433 , 	283 , 	168 , 	151 , 	176 , 	82 , 	983 , 	997 , 	990 , 	805 , 	192 , 	213 , 	141 , 	146 , 	179 , 	217 , 	89 , 	230 , 	109 , 	257 ," 	12,753 ",,,Dtwn SF," 	6,383 "," 	15,321 "," 	38,173 "," 	13,442 "," 	19,946 "," 	21,264 "," 	114,529 ",
LM, 	33 , 	79 , 	38 , 	48 , 	155 , 	51 , 	45 , 	27 , 	47 , 	8 , 	118 , 	180 , 	183 , 	169 , 	112 , 	75 , 	120 , 	128 , 	24 , 	24 , 	19 , 	10 , 	11 , 	19 , 	23 , 	524 , 	565 , 	483 , 	361 , 	87 , 	83 , 	31 , 	47 , 	54 , 	23 , 	53 , 	155 , 	6 , 	25 ," 	4,243 ",,,OAK," 	14,932 "," 	1,592 "," 	3,150 "," 	5,880 "," 	4,103 "," 	7,189 "," 	36,845 ",
