Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jun 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
SL, 	20 , 	42 , 	14 , 	13 , 	72 , 	29 , 	36 , 	44 , 	122 , 	112 , 	169 , 	196 , 	7 , 	110 , 	97 , 	36 , 	34 , 	71 , 	12 , 	9 , 	10 , 	3 , 	2 , 	9 , 	20 , 	158 , 	114 , 	345 , 	132 , 	45 , 	46 , 	16 , 	23 , 	23 , 	20 , 	24 , 	59 , 	2 , 	15 ," 	2,311 ",,,WP line," 	6,237 ", 	918 ," 	1,225 ", 	742 ," 	3,413 "," 	1,317 "," 	13,852 "
BF, 	27 , 	39 , 	11 , 	11 , 	56 , 	33 , 	53 , 	52 , 	115 , 	90 , 	258 , 	286 , 	116 , 	8 , 	133 , 	79 , 	95 , 	116 , 	16 , 	6 , 	7 , 	6 , 	2 , 	8 , 	31 , 	161 , 	120 , 	293 , 	110 , 	23 , 	42 , 	12 , 	20 , 	23 , 	14 , 	39 , 	126 , 	2 , 	12 ," 	2,653 ",,,FT/ED line," 	8,714 "," 	2,647 "," 	1,801 "," 	2,790 "," 	1,124 "," 	10,552 "," 	27,629 "
HY, 	26 , 	34 , 	8 , 	14 , 	67 , 	27 , 	50 , 	42 , 	87 , 	41 , 	194 , 	205 , 	119 , 	151 , 	10 , 	117 , 	117 , 	169 , 	17 , 	10 , 	11 , 	1 , 	5 , 	6 , 	25 , 	106 , 	74 , 	179 , 	77 , 	21 , 	36 , 	11 , 	15 , 	16 , 	17 , 	21 , 	70 , 	2 , 	21 ," 	2,221 ",,,Entries," 	45,227 "," 	14,342 "," 	29,443 "," 	18,076 "," 	13,379 "," 	27,430 "," 	147,897 "
SH, 	9 , 	15 , 	4 , 	5 , 	30 , 	12 , 	14 , 	17 , 	46 , 	26 , 	71 , 	126 , 	40 , 	80 , 	95 , 	5 , 	66 , 	91 , 	9 , 	6 , 	4 , 	2 , 	2 , 	3 , 	8 , 	71 , 	38 , 	158 , 	62 , 	17 , 	31 , 	7 , 	17 , 	20 , 	9 , 	7 , 	29 , 	3 , 	8 ," 	1,261 ",,,,,,,,,,
UC, 	11 , 	26 , 	9 , 	8 , 	55 , 	12 , 	18 , 	24 , 	68 , 	43 , 	85 , 	176 , 	45 , 	94 , 	138 , 	75 , 	9 , 	122 , 	11 , 	7 , 	8 , 	2 , 	2 , 	4 , 	9 , 	118 , 	99 , 	269 , 	74 , 	14 , 	21 , 	13 , 	14 , 	22 , 	13 , 	6 , 	29 , 	2 , 	12 ," 	1,767 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	26 , 	53 , 	24 , 	25 , 	154 , 	32 , 	50 , 	53 , 	101 , 	64 , 	108 , 	387 , 	66 , 	125 , 	179 , 	98 , 	120 , 	29 , 	31 , 	15 , 	15 , 	5 , 	6 , 	11 , 	7 , 	302 , 	194 , 	535 , 	158 , 	30 , 	30 , 	16 , 	19 , 	30 , 	19 , 	14 , 	48 , 	5 , 	22 ," 	3,203 ",,,Dtwn SF," 	2,239 ",,,,,,
CN, 	18 , 	23 , 	13 , 	10 , 	42 , 	13 , 	49 , 	39 , 	75 , 	6 , 	39 , 	102 , 	13 , 	15 , 	19 , 	10 , 	10 , 	26 , 	15 , 	110 , 	340 , 	90 , 	40 , 	36 , 	9 , 	210 , 	104 , 	258 , 	115 , 	53 , 	74 , 	27 , 	30 , 	35 , 	44 , 	4 , 	13 , 	28 , 	246 ," 	2,403 ",,,OAK," 	12,178 ", 	742 ,,,,,
PH, 	8 , 	12 , 	7 , 	6 , 	43 , 	8 , 	25 , 	26 , 	54 , 	6 , 	13 , 	114 , 	8 , 	6 , 	10 , 	3 , 	6 , 	12 , 	93 , 	10 , 	82 , 	24 , 	15 , 	44 , 	3 , 	295 , 	175 , 	355 , 	135 , 	23 , 	25 , 	17 , 	24 , 	25 , 	30 , 	2 , 	3 , 	15 , 	44 ," 	1,807 ",,,CM line," 	33,582 "," 	2,832 "," 	5,846 ",,,,
WC, 	13 , 	18 , 	14 , 	13 , 	66 , 	14 , 	39 , 	36 , 	62 , 	6 , 	26 , 	97 , 	13 , 	8 , 	9 , 	3 , 	6 , 	12 , 	451 , 	106 , 	8 , 	53 , 	27 , 	67 , 	4 , 	332 , 	177 , 	394 , 	166 , 	23 , 	30 , 	20 , 	18 , 	24 , 	36 , 	3 , 	5 , 	34 , 	92 ," 	2,527 ",,,RM line," 	12,402 "," 	4,362 "," 	3,442 "," 	4,390 ",,,
LF, 	4 , 	9 , 	5 , 	6 , 	32 , 	5 , 	15 , 	19 , 	42 , 	3 , 	19 , 	56 , 	4 , 	4 , 	2 , 	1 , 	1 , 	6 , 	103 , 	32 , 	52 , 	5 , 	13 , 	37 , 	3 , 	182 , 	95 , 	213 , 	90 , 	13 , 	13 , 	10 , 	5 , 	7 , 	12 , 	2 , 	1 , 	5 , 	21 ," 	1,146 ",,,WP line," 	12,339 "," 	1,784 "," 	2,477 "," 	1,363 "," 	3,413 ",,
