Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jun 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
SL, 	14 , 	24 , 	9 , 	9 , 	44 , 	24 , 	27 , 	26 , 	70 , 	72 , 	119 , 	209 , 	5 , 	83 , 	72 , 	27 , 	30 , 	45 , 	10 , 	6 , 	5 , 	3 , 	2 , 	13 , 	12 , 	116 , 	76 , 	265 , 	173 , 	21 , 	28 , 	10 , 	15 , 	19 , 	19 , 	22 , 	39 , 	1 , 	15 ," 	1,776 ",,,WP line," 	4,905 ", 	562 , 	964 , 	498 ," 	2,211 "," 	1,289 "," 	10,428 "
BF, 	22 , 	19 , 	9 , 	8 , 	34 , 	19 , 	38 , 	36 , 	80 , 	72 , 	186 , 	250 , 	79 , 	11 , 	82 , 	60 , 	69 , 	81 , 	11 , 	5 , 	4 , 	1 , 	4 , 	6 , 	26 , 	96 , 	64 , 	210 , 	138 , 	19 , 	26 , 	11 , 	15 , 	16 , 	10 , 	34 , 	83 , 	1 , 	12 ," 	1,940 ",,,FT/ED line," 	7,474 "," 	1,908 "," 	1,481 "," 	2,196 ", 	945 ," 	9,051 "," 	23,055 "
HY, 	22 , 	22 , 	5 , 	9 , 	34 , 	17 , 	36 , 	23 , 	52 , 	28 , 	114 , 	182 , 	68 , 	93 , 	6 , 	66 , 	63 , 	132 , 	11 , 	12 , 	8 , 	1 , 	2 , 	6 , 	8 , 	72 , 	47 , 	137 , 	99 , 	15 , 	23 , 	9 , 	10 , 	8 , 	10 , 	14 , 	39 , 	3 , 	14 ," 	1,512 ",,,Entries," 	38,043 "," 	10,671 "," 	23,406 "," 	13,181 "," 	10,011 "," 	23,184 "," 	118,496 "
SH, 	8 , 	13 , 	5 , 	1 , 	21 , 	10 , 	9 , 	11 , 	23 , 	16 , 	43 , 	105 , 	30 , 	64 , 	69 , 	4 , 	44 , 	68 , 	7 , 	4 , 	2 , 	1 , 	2 , 	2 , 	5 , 	39 , 	30 , 	107 , 	72 , 	6 , 	19 , 	5 , 	9 , 	7 , 	8 , 	7 , 	16 , 	3 , 	10 , 	901 ,,,,,,,,,,
UC, 	9 , 	13 , 	10 , 	5 , 	31 , 	12 , 	13 , 	15 , 	51 , 	37 , 	64 , 	164 , 	31 , 	79 , 	85 , 	40 , 	12 , 	80 , 	12 , 	4 , 	7 , 	1 , 	3 , 	5 , 	4 , 	83 , 	52 , 	174 , 	95 , 	19 , 	16 , 	8 , 	6 , 	16 , 	12 , 	4 , 	18 , 	2 , 	8 ," 	1,294 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	21 , 	34 , 	17 , 	21 , 	88 , 	38 , 	31 , 	30 , 	69 , 	53 , 	75 , 	477 , 	49 , 	92 , 	129 , 	74 , 	77 , 	20 , 	22 , 	14 , 	10 , 	7 , 	2 , 	12 , 	6 , 	187 , 	129 , 	440 , 	291 , 	32 , 	20 , 	15 , 	19 , 	29 , 	21 , 	14 , 	40 , 	4 , 	25 ," 	2,731 ",,,Dtwn SF," 	2,071 ",,,,,,
CN, 	23 , 	18 , 	12 , 	11 , 	24 , 	8 , 	32 , 	16 , 	47 , 	6 , 	37 , 	97 , 	10 , 	13 , 	12 , 	6 , 	10 , 	23 , 	17 , 	112 , 	229 , 	64 , 	27 , 	28 , 	5 , 	137 , 	55 , 	204 , 	132 , 	39 , 	52 , 	18 , 	21 , 	33 , 	31 , 	5 , 	9 , 	11 , 	151 ," 	1,779 ",,,OAK," 	10,132 ", 	498 ,,,,,
PH, 	6 , 	10 , 	5 , 	9 , 	24 , 	9 , 	13 , 	8 , 	32 , 	3 , 	12 , 	130 , 	3 , 	4 , 	4 , 	2 , 	5 , 	17 , 	70 , 	4 , 	55 , 	11 , 	13 , 	32 , 	1 , 	144 , 	85 , 	235 , 	181 , 	23 , 	18 , 	16 , 	9 , 	16 , 	38 , 	1 , 	4 , 	5 , 	33 ," 	1,287 ",,,CM line," 	28,458 "," 	1,938 "," 	4,103 ",,,,
WC, 	11 , 	7 , 	9 , 	9 , 	38 , 	8 , 	23 , 	16 , 	40 , 	5 , 	16 , 	131 , 	7 , 	4 , 	8 , 	2 , 	7 , 	12 , 	291 , 	52 , 	8 , 	30 , 	13 , 	43 , 	2 , 	200 , 	113 , 	296 , 	202 , 	22 , 	27 , 	17 , 	15 , 	21 , 	34 , 	2 , 	4 , 	17 , 	54 ," 	1,811 ",,,RM line," 	10,082 "," 	2,840 "," 	2,281 "," 	2,912 ",,,
LF, 	6 , 	5 , 	6 , 	4 , 	17 , 	2 , 	11 , 	13 , 	23 , 	2 , 	12 , 	79 , 	2 , 	3 , 	1 , 	2 , 	2 , 	4 , 	64 , 	11 , 	35 , 	4 , 	5 , 	27 , 	1 , 	115 , 	62 , 	146 , 	116 , 	15 , 	11 , 	7 , 	4 , 	7 , 	12 , 	1 , 	1 , 	2 , 	11 , 	845 ,,,WP line," 	9,910 "," 	1,086 "," 	1,874 ", 	914 ," 	2,211 ",,
