Fast Pass Adjusted OD,,,,,,Jun 01,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,74,46,165,170,583,"1,045",804,"1,211","4,099"
MT,47,68,98,164,792,"1,403","1,130","2,026","5,729"
PL,276,154,116,134,"1,076","1,291",825,"1,788","5,660"
CC,158,166,146,86,499,817,584,"1,255","3,711"
16,521,725,956,488,45,259,234,558,"3,786"
24,871,"1,138","1,274",712,252,57,169,435,"4,907"
GP,772,954,938,493,209,176,35,110,"3,687"
BP,"1,111","1,505","2,406","1,089",504,481,110,61,"7,267"
Entries,"3,829","4,757","6,099","3,335","3,960","5,530","3,891","7,444","38,845"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,9,39,34,188,256,115,188,856
MT,7,30,28,37,288,372,289,778,"1,829"
PL,53,36,118,79,764,"1,030",585,"1,270","3,936"
CC,24,29,64,53,305,478,206,410,"1,570"
16,148,223,703,321,43,193,129,286,"2,047"
24,217,267,960,427,180,60,107,271,"2,489"
GP,106,159,642,173,99,94,21,54,"1,349"
BP,191,308,"1,676",362,250,284,50,37,"3,159"
Entries,774,"1,062","4,231","1,487","2,116","2,767","1,502","3,294","17,235"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,26,8,35,31,141,166,70,146,624
MT,6,33,18,30,168,213,179,491,"1,138"
PL,50,28,109,66,657,717,418,867,"2,912"
CC,32,34,68,83,383,530,189,403,"1,722"
16,123,159,566,313,41,133,76,161,"1,571"
24,171,181,746,413,130,68,68,214,"1,990"
GP,72,96,508,168,75,58,20,23,"1,019"
BP,153,188,"1,325",316,164,214,25,35,"2,419"
Entries,632,724,"3,375","1,419","1,760","2,100","1,044","2,340","13,395"
