Exit stations,Entry stations->,,TOTAL,,,Jul 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
FV," 	2,367 "," 	2,610 "," 	1,275 "," 	1,607 "," 	6,654 "," 	2,573 "," 	3,730 "," 	4,658 "," 	5,359 "," 	4,199 ", 	784 ," 	6,638 "," 	5,687 "," 	5,656 "," 	4,520 "," 	2,216 "," 	1,867 "," 	3,064 "," 	1,256 ", 	607 , 	943 , 	436 , 	575 ," 	1,225 "," 	2,369 "," 	23,133 "," 	22,946 "," 	23,766 "," 	20,292 "," 	8,317 "," 	5,596 "," 	1,855 "," 	2,075 "," 	1,748 ", 	247 ," 	1,519 "," 	3,610 ", 	262 , 	727 , 	418 , 	607 ," 	2,153 ", 	725 ," 	1,748 ", 	438 ," 	1,449 ", 	-   , 	-   , 	238 , 	573 ," 	197,317 ",,,,,,,,,,,,,
CL," 	2,122 "," 	3,997 "," 	1,803 "," 	1,604 "," 	4,487 "," 	2,261 "," 	3,716 "," 	4,708 "," 	6,827 "," 	5,055 "," 	6,458 ", 	666 ," 	5,125 "," 	5,489 "," 	3,889 "," 	2,216 "," 	2,771 "," 	4,116 "," 	2,165 "," 	2,027 "," 	1,977 "," 	1,234 ", 	909 ," 	1,407 "," 	2,412 "," 	13,661 "," 	12,084 "," 	13,051 "," 	10,113 "," 	3,826 "," 	3,117 "," 	1,601 "," 	1,584 "," 	1,913 ", 	391 ," 	2,474 "," 	8,543 ", 	714 ," 	1,710 ", 	504 , 	671 ," 	1,099 ", 	620 ," 	3,251 "," 	1,024 "," 	3,094 ", 	-   , 	-   , 	559 ," 	1,329 "," 	166,374 ",,,,,,,,,,,,,
SL, 	899 ," 	1,634 ", 	715 , 	741 ," 	4,614 "," 	1,393 "," 	2,658 "," 	5,836 "," 	8,246 "," 	7,846 "," 	5,632 "," 	4,972 ", 	465 ," 	3,351 "," 	3,457 "," 	1,776 "," 	2,242 "," 	2,938 ", 	716 , 	700 , 	574 , 	212 , 	197 , 	503 , 	987 ," 	18,992 "," 	18,756 "," 	15,695 "," 	12,259 "," 	4,013 "," 	2,401 "," 	1,185 "," 	1,678 "," 	1,407 ", 	235 ," 	1,093 "," 	2,764 ", 	293 , 	471 , 	343 , 	336 ," 	1,534 ", 	311 ," 	1,438 ", 	289 ," 	1,371 ", 	-   , 	-   , 	176 , 	403 ," 	150,747 ",,,,,,,,,,,,,
BF, 	551 ," 	1,075 ", 	451 , 	451 ," 	3,435 ", 	841 ," 	2,271 "," 	5,011 "," 	7,360 "," 	5,969 "," 	5,341 "," 	5,242 "," 	3,235 ", 	431 ," 	2,606 "," 	1,620 "," 	2,331 "," 	4,002 ", 	551 , 	251 , 	290 , 	99 , 	95 , 	347 , 	968 ," 	16,759 "," 	16,192 "," 	14,447 "," 	10,722 "," 	3,633 "," 	2,210 ", 	856 ," 	1,168 "," 	1,179 ", 	322 ," 	1,303 "," 	3,442 ", 	129 , 	256 , 	291 , 	473 , 	971 , 	313 ," 	2,196 ", 	229 ," 	1,261 ", 	-   , 	-   , 	154 , 	198 ," 	133,528 ",,,,,,,,,,,,,
HY, 	704 ," 	1,284 ", 	484 , 	597 ," 	2,804 ", 	892 ," 	2,193 "," 	4,804 "," 	6,429 "," 	3,141 "," 	4,704 "," 	3,940 "," 	3,570 "," 	2,512 ", 	503 ," 	2,010 "," 	3,966 "," 	5,629 ", 	576 , 	335 , 	448 , 	136 , 	121 , 	418 , 	804 ," 	11,389 "," 	11,720 "," 	8,331 "," 	6,877 "," 	2,309 "," 	1,452 ", 	757 , 	808 , 	734 , 	142 , 	888 ," 	1,667 ", 	128 , 	559 , 	151 , 	358 , 	718 , 	244 , 	904 , 	348 ," 	1,836 ", 	-   , 	-   , 	179 , 	422 ," 	105,925 ",,,,,,,,,,,,,
SH, 	542 , 	623 , 	243 , 	210 ," 	1,616 ", 	520 ," 	1,245 "," 	3,179 "," 	3,587 "," 	1,876 "," 	2,116 "," 	2,285 "," 	1,654 "," 	1,696 "," 	1,872 ", 	289 ," 	1,564 "," 	2,789 ", 	234 , 	236 , 	277 , 	58 , 	42 , 	160 , 	435 ," 	10,086 "," 	9,013 "," 	6,193 "," 	5,609 "," 	1,831 "," 	1,024 ", 	459 , 	478 , 	650 , 	169 , 	361 ," 	1,060 ", 	55 , 	274 , 	134 , 	250 , 	399 , 	146 , 	546 , 	225 ," 	1,181 ", 	-   , 	-   , 	104 , 	164 ," 	69,759 ",,,,,,,,,,,,,
UC, 	462 , 	890 , 	472 , 	477 ," 	4,413 ", 	968 ," 	1,584 "," 	5,019 "," 	5,379 "," 	2,719 "," 	1,952 "," 	2,804 "," 	2,240 "," 	2,330 "," 	3,989 "," 	1,477 ", 	556 ," 	4,952 ", 	397 , 	444 , 	361 , 	112 , 	99 , 	212 , 	384 ," 	21,613 "," 	17,816 "," 	9,583 "," 	7,639 "," 	2,215 ", 	960 , 	369 , 	555 , 	717 , 	139 , 	433 ," 	1,568 ", 	51 , 	249 , 	145 , 	130 , 	840 , 	104 , 	766 , 	548 ," 	1,088 ", 	-   , 	-   , 	99 , 	218 ," 	112,537 ",,,,,,,,,,,,,
FM, 	794 ," 	1,675 ", 	863 , 	665 ," 	6,676 "," 	1,003 "," 	2,643 "," 	7,084 "," 	7,313 "," 	3,092 "," 	3,520 "," 	4,036 "," 	2,991 "," 	4,207 "," 	6,007 "," 	3,040 "," 	5,695 "," 	1,300 ", 	659 , 	706 , 	612 , 	190 , 	288 , 	421 , 	514 ," 	33,294 "," 	26,553 "," 	12,644 "," 	8,962 "," 	2,980 "," 	1,130 ", 	709 , 	862 , 	929 , 	205 , 	647 ," 	2,071 ", 	128 , 	434 , 	143 , 	213 ," 	1,270 ", 	131 , 	684 , 	915 ," 	1,087 ", 	-   , 	-   , 	116 , 	392 ," 	162,493 ",,,,,,,,,,,,,
CN, 	578 , 	789 , 	474 , 	509 ," 	2,589 ", 	591 ," 	3,616 "," 	6,466 "," 	7,325 ", 	825 ," 	1,232 "," 	2,082 ", 	689 , 	515 , 	553 , 	270 , 	378 , 	644 , 	807 ," 	2,394 "," 	6,222 "," 	1,950 ", 	971 ," 	2,233 ", 	483 ," 	20,593 "," 	19,300 "," 	12,981 "," 	10,502 "," 	3,485 "," 	2,184 "," 	1,309 "," 	1,230 "," 	1,386 ", 	666 , 	135 , 	256 ," 	1,140 "," 	4,209 ", 	644 , 	721 ," 	4,393 ", 	884 , 	55 ," 	1,050 ", 	309 , 	-   , 	-   ," 	2,112 "," 	2,343 "," 	137,072 ",,,,,,,,,,,,,
PH, 	368 , 	430 , 	426 , 	507 ," 	3,663 ", 	711 ," 	4,180 "," 	8,392 "," 	9,285 ", 	476 , 	529 ," 	1,782 ", 	688 , 	256 , 	391 , 	207 , 	472 , 	668 ," 	2,253 ", 	778 ," 	3,029 "," 	1,198 ", 	778 ," 	2,911 ", 	329 ," 	38,480 "," 	37,718 "," 	15,584 "," 	13,862 "," 	4,333 "," 	1,897 "," 	2,117 "," 	1,075 "," 	1,128 ", 	360 , 	103 , 	158 , 	817 ," 	1,789 ", 	594 , 	795 ," 	5,873 ", 	607 , 	90 ," 	1,429 ", 	276 , 	-   , 	-   , 	691 , 	964 ," 	175,447 ",,,,,,,,,,,,,
