Exit stations,Entry stations->,,SUNDAY,,,Jul 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
FV, 	47 , 	48 , 	25 , 	24 , 	97 , 	52 , 	56 , 	53 , 	68 , 	97 , 	18 , 	176 , 	79 , 	120 , 	71 , 	25 , 	27 , 	50 , 	21 , 	8 , 	18 , 	8 , 	4 , 	23 , 	41 , 	265 , 	177 , 	435 , 	243 , 	117 , 	93 , 	35 , 	34 , 	36 , 	3 , 	27 , 	66 , 	4 , 	13 , 	6 , 	10 , 	58 , 	7 , 	36 , 	14 , 	18 , 	-   , 	-   , 	4 , 	7 ," 	2,964 ",,,,,,,,,,,
CL, 	65 , 	140 , 	63 , 	66 , 	73 , 	56 , 	90 , 	67 , 	87 , 	118 , 	170 , 	13 , 	158 , 	162 , 	106 , 	52 , 	88 , 	144 , 	69 , 	74 , 	76 , 	62 , 	48 , 	49 , 	44 , 	206 , 	113 , 	267 , 	160 , 	54 , 	66 , 	47 , 	33 , 	59 , 	10 , 	95 , 	403 , 	36 , 	47 , 	11 , 	10 , 	26 , 	15 , 	110 , 	43 , 	115 , 	-   , 	-   , 	9 , 	42 ," 	4,118 ",,,,,,,,,,,
SL, 	15 , 	26 , 	11 , 	13 , 	52 , 	20 , 	23 , 	46 , 	68 , 	106 , 	80 , 	158 , 	10 , 	72 , 	47 , 	20 , 	23 , 	35 , 	7 , 	8 , 	9 , 	3 , 	2 , 	9 , 	18 , 	185 , 	118 , 	265 , 	108 , 	45 , 	37 , 	20 , 	22 , 	28 , 	4 , 	18 , 	39 , 	3 , 	8 , 	5 , 	6 , 	45 , 	7 , 	29 , 	13 , 	16 , 	-   , 	-   , 	1 , 	3 ," 	1,905 ",,,,,,,,,,,
BF, 	10 , 	18 , 	10 , 	7 , 	36 , 	17 , 	37 , 	30 , 	61 , 	100 , 	116 , 	153 , 	76 , 	9 , 	54 , 	27 , 	32 , 	61 , 	9 , 	2 , 	4 , 	2 , 	3 , 	5 , 	19 , 	169 , 	121 , 	260 , 	85 , 	44 , 	32 , 	13 , 	16 , 	23 , 	4 , 	28 , 	58 , 	1 , 	5 , 	3 , 	7 , 	25 , 	5 , 	50 , 	7 , 	18 , 	-   , 	-   , 	1 , 	5 ," 	1,881 ",,,,,,,,,,,
HY, 	10 , 	17 , 	7 , 	6 , 	32 , 	13 , 	26 , 	25 , 	43 , 	34 , 	80 , 	101 , 	44 , 	52 , 	10 , 	27 , 	42 , 	78 , 	5 , 	2 , 	6 , 	2 , 	1 , 	5 , 	13 , 	88 , 	47 , 	120 , 	50 , 	22 , 	17 , 	9 , 	9 , 	11 , 	2 , 	12 , 	27 , 	2 , 	8 , 	3 , 	2 , 	15 , 	4 , 	16 , 	11 , 	25 , 	-   , 	-   , 	2 , 	7 ," 	1,196 ",,,,,,,,,,,
SH, 	6 , 	11 , 	6 , 	4 , 	13 , 	9 , 	13 , 	11 , 	21 , 	21 , 	27 , 	50 , 	21 , 	30 , 	33 , 	6 , 	19 , 	32 , 	4 , 	1 , 	3 , 	1 , 	1 , 	4 , 	6 , 	89 , 	38 , 	86 , 	35 , 	13 , 	11 , 	5 , 	12 , 	13 , 	2 , 	12 , 	14 , 	0 , 	5 , 	2 , 	8 , 	8 , 	2 , 	9 , 	9 , 	13 , 	-   , 	-   , 	1 , 	4 , 	744 ,,,,,,,,,,,
UC, 	7 , 	10 , 	6 , 	6 , 	47 , 	9 , 	12 , 	18 , 	27 , 	34 , 	28 , 	80 , 	22 , 	32 , 	47 , 	16 , 	7 , 	35 , 	6 , 	2 , 	3 , 	2 , 	1 , 	5 , 	4 , 	125 , 	68 , 	151 , 	55 , 	21 , 	11 , 	7 , 	11 , 	13 , 	3 , 	7 , 	15 , 	0 , 	3 , 	2 , 	3 , 	20 , 	2 , 	14 , 	20 , 	15 , 	-   , 	-   , 	1 , 	5 ," 	1,040 ",,,,,,,,,,,
FM, 	16 , 	27 , 	16 , 	12 , 	79 , 	18 , 	27 , 	25 , 	36 , 	43 , 	55 , 	127 , 	28 , 	61 , 	77 , 	32 , 	39 , 	19 , 	14 , 	11 , 	7 , 	3 , 	2 , 	11 , 	7 , 	196 , 	96 , 	208 , 	82 , 	41 , 	21 , 	14 , 	15 , 	14 , 	4 , 	10 , 	36 , 	2 , 	7 , 	2 , 	3 , 	41 , 	1 , 	10 , 	33 , 	12 , 	-   , 	-   , 	3 , 	8 ," 	1,650 ",,,,,,,,,,,
CN, 	12 , 	12 , 	7 , 	8 , 	25 , 	8 , 	32 , 	28 , 	34 , 	11 , 	20 , 	61 , 	8 , 	8 , 	8 , 	5 , 	4 , 	12 , 	15 , 	38 , 	111 , 	34 , 	16 , 	30 , 	7 , 	180 , 	100 , 	183 , 	89 , 	35 , 	26 , 	19 , 	19 , 	24 , 	9 , 	1 , 	4 , 	17 , 	70 , 	8 , 	12 , 	111 , 	12 , 	2 , 	32 , 	6 , 	-   , 	-   , 	34 , 	34 ," 	1,585 ",,,,,,,,,,,
PH, 	5 , 	5 , 	6 , 	7 , 	32 , 	8 , 	28 , 	32 , 	38 , 	6 , 	8 , 	64 , 	7 , 	4 , 	4 , 	1 , 	3 , 	7 , 	33 , 	10 , 	54 , 	20 , 	9 , 	38 , 	6 , 	244 , 	131 , 	194 , 	102 , 	39 , 	24 , 	18 , 	11 , 	14 , 	6 , 	1 , 	3 , 	8 , 	31 , 	6 , 	9 , 	163 , 	11 , 	1 , 	47 , 	5 , 	-   , 	-   , 	8 , 	12 ," 	1,522 ",,,,,,,,,,,
WC, 	8 , 	7 , 	9 , 	14 , 	48 , 	10 , 	29 , 	36 , 	40 , 	9 , 	16 , 	75 , 	8 , 	4 , 	6 , 	4 , 	2 , 	9 , 	121 , 	50 , 	12 , 	27 , 	14 , 	64 , 	9 , 	365 , 	159 , 	232 , 	141 , 	57 , 	35 , 	26 , 	15 , 	16 , 	5 , 	2 , 	2 , 	14 , 	50 , 	4 , 	8 , 	164 , 	8 , 	2 , 	35 , 	6 , 	-   , 	-   , 	13 , 	21 ," 	2,016 ",,,,,,,,,,,
LF, 	3 , 	2 , 	5 , 	4 , 	24 , 	3 , 	15 , 	16 , 	15 , 	6 , 	7 , 	58 , 	3 , 	1 , 	4 , 	1 , 	2 , 	3 , 	37 , 	16 , 	28 , 	7 , 	7 , 	29 , 	3 , 	225 , 	108 , 	127 , 	88 , 	30 , 	22 , 	11 , 	6 , 	7 , 	2 , 	1 , 	2 , 	3 , 	11 , 	2 , 	2 , 	96 , 	5 , 	1 , 	18 , 	2 , 	-   , 	-   , 	8 , 	8 ," 	1,082 ",,,,,,,,,,,
OR, 	6 , 	4 , 	2 , 	2 , 	17 , 	3 , 	12 , 	11 , 	25 , 	3 , 	6 , 	43 , 	1 , 	3 , 	1 , 	1 , 	1 , 	2 , 	14 , 	8 , 	15 , 	7 , 	7 , 	26 , 	2 , 	185 , 	113 , 	115 , 	78 , 	33 , 	20 , 	8 , 	6 , 	7 , 	1 , 	0 , 	3 , 	1 , 	7 , 	2 , 	5 , 	74 , 	9 , 	1 , 	11 , 	3 , 	-   , 	-   , 	2 , 	5 , 	911 ,,,,,,,,,,,
