Exit stations,Entry stations->,,SATURDAY,,,Jul 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
FV, 	56 , 	67 , 	32 , 	35 , 	137 , 	58 , 	77 , 	66 , 	90 , 	59 , 	19 , 	209 , 	119 , 	166 , 	83 , 	47 , 	33 , 	66 , 	28 , 	15 , 	22 , 	13 , 	11 , 	25 , 	48 , 	377 , 	261 , 	563 , 	303 , 	177 , 	142 , 	38 , 	48 , 	38 , 	6 , 	39 , 	90 , 	8 , 	18 , 	8 , 	13 , 	51 , 	13 , 	49 , 	11 , 	31 , 	-   , 	-   , 	5 , 	10 ," 	3,876 ",,,,,,,,,,
CL, 	58 , 	143 , 	83 , 	59 , 	100 , 	63 , 	99 , 	95 , 	140 , 	136 , 	190 , 	21 , 	205 , 	207 , 	135 , 	82 , 	109 , 	191 , 	95 , 	108 , 	102 , 	64 , 	35 , 	58 , 	65 , 	285 , 	157 , 	339 , 	172 , 	83 , 	80 , 	47 , 	38 , 	65 , 	11 , 	119 , 	539 , 	47 , 	78 , 	13 , 	13 , 	27 , 	26 , 	199 , 	36 , 	158 , 	-   , 	-   , 	10 , 	45 ," 	5,224 ",,,,,,,,,,
SL, 	17 , 	35 , 	18 , 	21 , 	72 , 	22 , 	37 , 	66 , 	102 , 	134 , 	110 , 	197 , 	11 , 	94 , 	65 , 	40 , 	35 , 	45 , 	13 , 	9 , 	11 , 	2 , 	5 , 	12 , 	23 , 	251 , 	189 , 	355 , 	161 , 	61 , 	46 , 	25 , 	32 , 	23 , 	3 , 	27 , 	35 , 	2 , 	10 , 	4 , 	7 , 	40 , 	5 , 	32 , 	7 , 	17 , 	-   , 	-   , 	2 , 	8 ," 	2,534 ",,,,,,,,,,
BF, 	10 , 	30 , 	11 , 	11 , 	61 , 	17 , 	47 , 	50 , 	94 , 	123 , 	159 , 	197 , 	99 , 	13 , 	65 , 	39 , 	42 , 	69 , 	13 , 	5 , 	5 , 	2 , 	2 , 	9 , 	25 , 	216 , 	161 , 	353 , 	125 , 	60 , 	47 , 	21 , 	29 , 	30 , 	7 , 	37 , 	69 , 	2 , 	10 , 	7 , 	9 , 	18 , 	8 , 	61 , 	7 , 	26 , 	-   , 	-   , 	3 , 	4 ," 	2,503 ",,,,,,,,,,
HY, 	17 , 	28 , 	9 , 	13 , 	46 , 	19 , 	33 , 	38 , 	66 , 	49 , 	96 , 	122 , 	63 , 	65 , 	11 , 	44 , 	57 , 	101 , 	10 , 	6 , 	5 , 	2 , 	2 , 	7 , 	19 , 	147 , 	95 , 	170 , 	75 , 	30 , 	37 , 	13 , 	19 , 	15 , 	3 , 	15 , 	26 , 	1 , 	6 , 	2 , 	6 , 	15 , 	5 , 	20 , 	7 , 	29 , 	-   , 	-   , 	3 , 	8 ," 	1,669 ",,,,,,,,,,
SH, 	9 , 	15 , 	4 , 	5 , 	17 , 	10 , 	20 , 	18 , 	31 , 	21 , 	46 , 	78 , 	32 , 	43 , 	44 , 	6 , 	23 , 	43 , 	5 , 	2 , 	5 , 	3 , 	0 , 	3 , 	7 , 	108 , 	52 , 	144 , 	53 , 	24 , 	18 , 	8 , 	11 , 	16 , 	5 , 	8 , 	19 , 	1 , 	8 , 	6 , 	4 , 	10 , 	3 , 	10 , 	4 , 	19 , 	-   , 	-   , 	1 , 	4 ," 	1,020 ",,,,,,,,,,
UC, 	10 , 	21 , 	7 , 	10 , 	64 , 	14 , 	14 , 	29 , 	43 , 	47 , 	31 , 	116 , 	31 , 	42 , 	57 , 	23 , 	13 , 	53 , 	5 , 	7 , 	6 , 	1 , 	1 , 	7 , 	8 , 	181 , 	100 , 	230 , 	80 , 	36 , 	22 , 	12 , 	14 , 	15 , 	3 , 	7 , 	23 , 	2 , 	4 , 	2 , 	4 , 	25 , 	4 , 	15 , 	11 , 	17 , 	-   , 	-   , 	2 , 	4 ," 	1,464 ",,,,,,,,,,
FM, 	14 , 	32 , 	19 , 	13 , 	118 , 	26 , 	40 , 	42 , 	57 , 	59 , 	78 , 	176 , 	45 , 	75 , 	102 , 	42 , 	55 , 	27 , 	11 , 	10 , 	12 , 	5 , 	1 , 	11 , 	12 , 	341 , 	184 , 	330 , 	129 , 	62 , 	40 , 	17 , 	28 , 	34 , 	5 , 	12 , 	40 , 	3 , 	6 , 	3 , 	4 , 	30 , 	3 , 	14 , 	22 , 	19 , 	-   , 	-   , 	3 , 	8 ," 	2,414 ",,,,,,,,,,
CN, 	13 , 	22 , 	14 , 	7 , 	45 , 	11 , 	41 , 	36 , 	64 , 	12 , 	27 , 	85 , 	10 , 	9 , 	9 , 	5 , 	6 , 	11 , 	13 , 	49 , 	152 , 	40 , 	19 , 	44 , 	14 , 	271 , 	137 , 	263 , 	109 , 	55 , 	37 , 	25 , 	21 , 	25 , 	13 , 	2 , 	6 , 	17 , 	97 , 	10 , 	15 , 	97 , 	18 , 	2 , 	16 , 	4 , 	-   , 	-   , 	44 , 	47 ," 	2,081 ",,,,,,,,,,
PH, 	6 , 	10 , 	10 , 	4 , 	51 , 	11 , 	38 , 	41 , 	49 , 	6 , 	12 , 	90 , 	7 , 	6 , 	6 , 	2 , 	5 , 	10 , 	49 , 	16 , 	62 , 	20 , 	15 , 	51 , 	8 , 	394 , 	221 , 	286 , 	130 , 	62 , 	33 , 	22 , 	19 , 	18 , 	6 , 	1 , 	7 , 	7 , 	39 , 	7 , 	10 , 	136 , 	14 , 	1 , 	28 , 	4 , 	-   , 	-   , 	14 , 	20 ," 	2,058 ",,,,,,,,,,
