Muni Fast Pass Adult/Clipper OD,,,,,,Aug 14,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,42,22,68,101,373,711,609,916,"2,843"
MT,27,41,47,98,481,939,867,"1,662","4,163"
PL,124,74,46,57,363,590,464,"1,203","2,921"
CC,86,89,60,21,177,362,352,750,"1,896"
16,319,381,434,202,12,95,129,320,"1,891"
24,548,668,704,360,99,22,97,283,"2,781"
GP,522,645,596,318,137,107,13,67,"2,405"
BP,778,"1,025","1,646",653,308,287,70,37,"4,804"
Entries,"2,446","2,945","3,601","1,810","1,952","3,113","2,601","5,238","23,706"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,15,4,30,21,128,176,115,271,759
MT,8,13,14,13,117,206,187,696,"1,253"
PL,42,17,36,25,293,458,339,984,"2,193"
CC,16,7,21,15,118,181,109,247,714
16,111,83,319,127,18,78,92,202,"1,031"
24,143,119,514,218,86,27,84,216,"1,406"
GP,96,101,412,92,79,83,17,30,910
BP,233,285,"1,242",201,172,187,30,36,"2,386"
Entries,665,628,"2,587",712,"1,011","1,396",972,"2,682","10,654"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,2,18,13,68,103,64,168,457
MT,2,13,9,13,81,116,115,425,775
PL,22,7,49,16,207,315,238,675,"1,529"
CC,13,8,20,20,103,129,81,241,615
16,77,51,254,103,14,54,68,145,766
24,106,75,381,153,60,24,52,127,977
GP,57,68,307,84,61,58,12,21,668
BP,163,181,"1,000",195,141,121,22,37,"1,859"
Entries,459,405,"2,039",597,735,921,651,"1,839","7,646"
