Fast Pass Adjusted OD,,,,,,Mar 01,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,72,52,182,174,635,"1,106",868,"1,257","4,347"
MT,50,81,97,143,834,"1,478","1,174","2,040","5,898"
PL,282,167,106,140,977,"1,320",787,"2,084","5,861"
CC,169,181,143,80,536,848,599,"1,450","4,006"
16,553,754,"1,021",512,44,271,229,617,"4,001"
24,904,"1,205","1,317",762,278,52,186,610,"5,315"
GP,840,"1,020",944,506,218,187,35,150,"3,899"
BP,"1,076","1,525","2,598","1,230",567,670,158,45,"7,869"
Entries,"3,946","4,985","6,408","3,548","4,089","5,931","4,036","8,252","41,196"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,12,44,33,209,265,119,212,917
MT,9,29,30,30,252,340,250,687,"1,626"
PL,49,38,96,67,778,"1,052",553,"1,208","3,840"
CC,34,32,65,60,359,513,221,508,"1,793"
16,166,234,763,330,47,199,141,289,"2,168"
24,203,300,976,442,191,62,121,314,"2,609"
GP,112,168,636,181,109,106,25,69,"1,406"
BP,189,338,"1,690",432,268,315,64,39,"3,334"
Entries,785,"1,151","4,300","1,574","2,212","2,852","1,493","3,325","17,693"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,6,34,17,134,166,67,130,573
MT,5,22,23,23,149,175,152,386,934
PL,41,24,104,52,541,722,350,804,"2,638"
CC,21,21,58,68,291,356,150,353,"1,317"
16,120,141,557,261,50,137,71,154,"1,490"
24,161,184,700,316,134,54,63,208,"1,819"
GP,78,95,484,135,69,60,17,29,966
BP,132,194,"1,215",314,171,216,27,36,"2,304"
Entries,577,686,"3,173","1,186","1,538","1,885",895,"2,100","12,041"
