Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Mar 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	10 , 	172 , 	111 , 	106 , 	477 , 	127 , 	171 , 	186 , 	270 , 	53 , 	138 , 	122 , 	44 , 	30 , 	45 , 	27 , 	17 , 	45 , 	35 , 	21 , 	38 , 	15 , 	14 , 	17 , 	39 , 	304 , 	358 , 	416 , 	291 , 	155 , 	188 , 	32 , 	56 , 	53 , 	32 , 	9 , 	33 , 	8 , 	34 ," 	4,298 ",,,Eastbay," 	80,203 ",,SF CBD," 	226,242 ",66.5%,,,
EN, 	186 , 	12 , 	93 , 	106 ," 	1,055 ", 	171 , 	249 , 	489 , 	731 , 	118 , 	145 , 	179 , 	78 , 	43 , 	71 , 	28 , 	40 , 	97 , 	59 , 	34 , 	45 , 	16 , 	16 , 	32 , 	43 ," 	1,203 "," 	1,379 ", 	923 , 	748 , 	158 , 	194 , 	74 , 	111 , 	152 , 	75 , 	6 , 	50 , 	7 , 	24 ," 	9,242 ",,,Westbay," 	92,046 ",,non-CBD," 	113,780 ",33.5%,,,
EP, 	102 , 	43 , 	12 , 	36 , 	619 , 	61 , 	101 , 	163 , 	304 , 	76 , 	50 , 	50 , 	24 , 	10 , 	23 , 	7 , 	17 , 	35 , 	21 , 	21 , 	20 , 	10 , 	7 , 	20 , 	5 , 	634 , 	528 , 	421 , 	249 , 	53 , 	35 , 	30 , 	37 , 	67 , 	20 , 	10 , 	21 , 	5 , 	9 ," 	3,958 ",,,Transbay," 	167,773 ",,,,,,,
NB, 	106 , 	97 , 	45 , 	6 , 	193 , 	62 , 	81 , 	187 , 	251 , 	75 , 	63 , 	72 , 	23 , 	15 , 	27 , 	8 , 	15 , 	40 , 	15 , 	17 , 	22 , 	7 , 	11 , 	19 , 	13 , 	651 , 	708 , 	414 , 	383 , 	94 , 	71 , 	30 , 	39 , 	63 , 	23 , 	4 , 	18 , 	4 , 	8 ," 	3,978 ",,,,,,,,,,,
BK, 	455 ," 	1,058 ", 	641 , 	192 , 	17 , 	441 , 	364 , 	522 , 	688 , 	269 , 	354 , 	290 , 	148 , 	134 , 	154 , 	93 , 	139 , 	267 , 	118 , 	159 , 	112 , 	58 , 	55 , 	40 , 	71 , 	781 , 	836 , 	879 , 	721 , 	226 , 	206 , 	121 , 	100 , 	169 , 	111 , 	41 , 	124 , 	44 , 	84 ," 	11,279 ",,,Extensions," 	44,552 ",,,,,,,
AS, 	112 , 	146 , 	69 , 	53 , 	362 , 	6 , 	78 , 	190 , 	251 , 	90 , 	117 , 	112 , 	48 , 	43 , 	41 , 	18 , 	28 , 	48 , 	34 , 	24 , 	27 , 	7 , 	12 , 	16 , 	40 , 	579 , 	633 , 	425 , 	381 , 	119 , 	91 , 	34 , 	43 , 	73 , 	24 , 	8 , 	29 , 	5 , 	22 ," 	4,437 ",,,,,,,,,,,
MA, 	161 , 	240 , 	76 , 	96 , 	354 , 	78 , 	9 , 	150 , 	216 , 	85 , 	171 , 	189 , 	94 , 	92 , 	94 , 	40 , 	64 , 	129 , 	109 , 	90 , 	102 , 	28 , 	40 , 	54 , 	62 , 	812 , 	915 , 	665 , 	606 , 	189 , 	136 , 	69 , 	74 , 	107 , 	56 , 	16 , 	59 , 	35 , 	109 ," 	6,673 ",,,,,,,,,,,
19, 	178 , 	504 , 	199 , 	194 , 	451 , 	202 , 	123 , 	11 , 	89 , 	49 , 	147 , 	184 , 	196 , 	177 , 	175 , 	136 , 	153 , 	289 , 	228 , 	321 , 	211 , 	100 , 	86 , 	102 , 	44 , 	819 , 	822 , 	569 , 	572 , 	159 , 	166 , 	121 , 	110 , 	170 , 	163 , 	46 , 	158 , 	116 , 	248 ," 	8,787 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	266 , 	726 , 	297 , 	250 , 	586 , 	246 , 	208 , 	89 , 	25 , 	73 , 	279 , 	404 , 	341 , 	348 , 	332 , 	221 , 	239 , 	314 , 	306 , 	401 , 	289 , 	164 , 	139 , 	171 , 	80 ," 	1,020 "," 	1,112 "," 	1,052 ", 	858 , 	211 , 	221 , 	159 , 	184 , 	224 , 	224 , 	85 , 	254 , 	131 , 	293 ," 	12,820 ",,,Dtwn SF," 	6,731 "," 	15,541 "," 	38,932 "," 	13,745 "," 	20,390 "," 	21,613 "," 	116,953 ",
LM, 	44 , 	107 , 	92 , 	81 , 	240 , 	92 , 	76 , 	48 , 	61 , 	7 , 	171 , 	207 , 	216 , 	188 , 	127 , 	96 , 	120 , 	145 , 	26 , 	27 , 	26 , 	11 , 	11 , 	33 , 	37 , 	523 , 	600 , 	483 , 	371 , 	92 , 	84 , 	41 , 	55 , 	104 , 	23 , 	57 , 	132 , 	7 , 	26 ," 	4,887 ",,,OAK," 	15,595 "," 	1,735 "," 	3,499 "," 	6,001 "," 	4,133 "," 	7,330 "," 	38,292 ",
