Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Mar 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
SL, 	18 , 	34 , 	10 , 	10 , 	99 , 	25 , 	46 , 	50 , 	123 , 	102 , 	147 , 	81 , 	9 , 	85 , 	94 , 	41 , 	35 , 	56 , 	13 , 	5 , 	10 , 	4 , 	1 , 	14 , 	19 , 	155 , 	154 , 	341 , 	104 , 	33 , 	35 , 	16 , 	18 , 	26 , 	9 , 	18 , 	46 , 	4 , 	12 ," 	2,102 ",,,WP line," 	5,976 ", 	902 ," 	1,190 ", 	825 ," 	3,369 ", 	868 ," 	13,130 "
BF, 	22 , 	32 , 	10 , 	16 , 	111 , 	35 , 	53 , 	57 , 	148 , 	113 , 	229 , 	153 , 	95 , 	11 , 	118 , 	80 , 	88 , 	122 , 	16 , 	11 , 	8 , 	5 , 	1 , 	10 , 	39 , 	157 , 	134 , 	328 , 	108 , 	21 , 	45 , 	14 , 	20 , 	24 , 	11 , 	43 , 	118 , 	5 , 	9 ," 	2,619 ",,,FT/ED line," 	8,534 "," 	2,673 "," 	1,733 "," 	2,604 ", 	789 ," 	7,757 "," 	24,090 "
HY, 	32 , 	31 , 	9 , 	16 , 	101 , 	24 , 	39 , 	38 , 	103 , 	38 , 	187 , 	130 , 	110 , 	122 , 	11 , 	96 , 	115 , 	183 , 	16 , 	7 , 	8 , 	3 , 	2 , 	9 , 	20 , 	101 , 	76 , 	197 , 	80 , 	27 , 	40 , 	12 , 	20 , 	22 , 	12 , 	15 , 	43 , 	2 , 	16 ," 	2,113 ",,,Entries," 	46,072 "," 	14,820 "," 	29,230 "," 	19,291 "," 	13,158 "," 	24,414 "," 	146,984 "
SH, 	10 , 	16 , 	3 , 	8 , 	51 , 	7 , 	15 , 	17 , 	44 , 	23 , 	67 , 	68 , 	39 , 	74 , 	90 , 	5 , 	72 , 	112 , 	7 , 	4 , 	3 , 	1 , 	2 , 	3 , 	8 , 	71 , 	51 , 	167 , 	45 , 	15 , 	36 , 	7 , 	17 , 	18 , 	8 , 	7 , 	26 , 	3 , 	11 ," 	1,230 ",,,,,,,,,,
UC, 	12 , 	27 , 	11 , 	12 , 	73 , 	18 , 	20 , 	33 , 	75 , 	39 , 	87 , 	61 , 	44 , 	98 , 	123 , 	75 , 	6 , 	123 , 	12 , 	5 , 	9 , 	3 , 	1 , 	7 , 	11 , 	124 , 	103 , 	275 , 	66 , 	16 , 	22 , 	12 , 	16 , 	23 , 	5 , 	6 , 	18 , 	0 , 	8 ," 	1,678 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	20 , 	48 , 	23 , 	23 , 	197 , 	33 , 	42 , 	49 , 	105 , 	54 , 	94 , 	116 , 	57 , 	128 , 	185 , 	117 , 	123 , 	27 , 	26 , 	22 , 	17 , 	5 , 	6 , 	15 , 	13 , 	267 , 	213 , 	548 , 	133 , 	28 , 	34 , 	18 , 	21 , 	38 , 	12 , 	11 , 	41 , 	4 , 	28 ," 	2,940 ",,,Dtwn SF," 	2,565 ",,,,,,
CN, 	23 , 	28 , 	11 , 	12 , 	52 , 	15 , 	44 , 	40 , 	73 , 	9 , 	38 , 	38 , 	13 , 	13 , 	17 , 	6 , 	7 , 	24 , 	22 , 	89 , 	363 , 	84 , 	35 , 	41 , 	7 , 	174 , 	122 , 	281 , 	109 , 	46 , 	71 , 	24 , 	29 , 	42 , 	33 , 	3 , 	9 , 	30 , 	228 ," 	2,303 ",,,OAK," 	12,454 ", 	838 ,,,,,
PH, 	9 , 	11 , 	9 , 	10 , 	52 , 	8 , 	19 , 	23 , 	56 , 	5 , 	13 , 	28 , 	6 , 	9 , 	6 , 	3 , 	5 , 	14 , 	95 , 	11 , 	95 , 	24 , 	17 , 	44 , 	4 , 	270 , 	193 , 	322 , 	116 , 	22 , 	32 , 	15 , 	22 , 	35 , 	19 , 	2 , 	8 , 	12 , 	55 ," 	1,701 ",,,CM line," 	33,364 "," 	2,855 "," 	5,892 ",,,,
WC, 	23 , 	18 , 	12 , 	14 , 	65 , 	15 , 	39 , 	41 , 	61 , 	10 , 	30 , 	26 , 	9 , 	5 , 	8 , 	3 , 	9 , 	14 , 	440 , 	112 , 	8 , 	52 , 	29 , 	65 , 	5 , 	262 , 	200 , 	401 , 	156 , 	22 , 	27 , 	19 , 	18 , 	34 , 	27 , 	3 , 	4 , 	36 , 	106 ," 	2,429 ",,,RM line," 	13,784 "," 	4,986 "," 	3,601 "," 	4,635 ",,,
LF, 	3 , 	10 , 	4 , 	6 , 	35 , 	5 , 	14 , 	16 , 	42 , 	5 , 	21 , 	18 , 	3 , 	6 , 	1 , 	1 , 	3 , 	7 , 	97 , 	34 , 	51 , 	5 , 	15 , 	38 , 	2 , 	158 , 	89 , 	216 , 	90 , 	10 , 	14 , 	8 , 	7 , 	12 , 	6 , 	2 , 	3 , 	4 , 	12 ," 	1,071 ",,,WP line," 	12,210 "," 	1,775 "," 	2,366 "," 	1,543 "," 	3,369 ",,
