Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Mar 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	6 , 	76 , 	42 , 	36 , 	177 , 	62 , 	60 , 	31 , 	51 , 	16 , 	69 , 	63 , 	11 , 	13 , 	12 , 	6 , 	6 , 	14 , 	14 , 	4 , 	9 , 	3 , 	2 , 	6 , 	13 , 	44 , 	56 , 	154 , 	71 , 	68 , 	79 , 	16 , 	22 , 	16 , 	15 , 	2 , 	6 , 	2 , 	15 ," 	1,362 ",,,Eastbay," 	23,581 ",,SF CBD," 	56,323 ",61.2%,,
EN, 	86 , 	9 , 	35 , 	44 , 	280 , 	81 , 	81 , 	49 , 	95 , 	35 , 	53 , 	66 , 	25 , 	20 , 	22 , 	10 , 	14 , 	31 , 	18 , 	9 , 	11 , 	6 , 	3 , 	10 , 	14 , 	104 , 	101 , 	369 , 	122 , 	40 , 	56 , 	20 , 	34 , 	30 , 	25 , 	4 , 	10 , 	2 , 	22 ," 	2,043 ",,,Westbay," 	27,355 ",,non-CBD," 	35,674 ",38.8%,,
EP, 	46 , 	25 , 	7 , 	18 , 	222 , 	52 , 	26 , 	26 , 	40 , 	19 , 	24 , 	31 , 	9 , 	4 , 	7 , 	3 , 	10 , 	17 , 	8 , 	5 , 	11 , 	3 , 	3 , 	11 , 	2 , 	71 , 	59 , 	162 , 	79 , 	21 , 	18 , 	10 , 	9 , 	9 , 	14 , 	1 , 	4 , 	0 , 	6 ," 	1,091 ",,,Transbay," 	41,061 ",,,,,,
NB, 	34 , 	52 , 	27 , 	4 , 	68 , 	37 , 	32 , 	35 , 	60 , 	23 , 	40 , 	34 , 	9 , 	7 , 	12 , 	2 , 	8 , 	22 , 	9 , 	4 , 	7 , 	3 , 	2 , 	8 , 	7 , 	90 , 	95 , 	238 , 	142 , 	50 , 	42 , 	13 , 	10 , 	11 , 	12 , 	2 , 	3 , 	1 , 	6 ," 	1,260 ",,,,,,,,,,
BK, 	183 , 	256 , 	217 , 	70 , 	17 , 	185 , 	119 , 	139 , 	210 , 	58 , 	129 , 	149 , 	50 , 	42 , 	43 , 	20 , 	47 , 	138 , 	30 , 	30 , 	33 , 	19 , 	14 , 	22 , 	32 , 	234 , 	214 , 	586 , 	284 , 	101 , 	92 , 	36 , 	27 , 	49 , 	50 , 	14 , 	35 , 	6 , 	19 ," 	3,996 ",,,Extensions," 	10,975 ",,,,,,
AS, 	73 , 	73 , 	47 , 	34 , 	182 , 	6 , 	57 , 	61 , 	77 , 	32 , 	60 , 	63 , 	15 , 	22 , 	13 , 	5 , 	12 , 	19 , 	10 , 	4 , 	9 , 	3 , 	3 , 	11 , 	26 , 	71 , 	87 , 	203 , 	115 , 	67 , 	49 , 	11 , 	13 , 	14 , 	17 , 	6 , 	12 , 	1 , 	5 ," 	1,582 ",,,,,,,,,,
MA, 	53 , 	68 , 	22 , 	73 , 	123 , 	49 , 	8 , 	34 , 	48 , 	21 , 	73 , 	89 , 	26 , 	38 , 	22 , 	9 , 	13 , 	80 , 	26 , 	13 , 	26 , 	7 , 	14 , 	24 , 	29 , 	127 , 	116 , 	342 , 	173 , 	78 , 	61 , 	21 , 	22 , 	15 , 	21 , 	2 , 	13 , 	4 , 	25 ," 	2,004 ",,,,,,,,,,
19, 	34 , 	44 , 	20 , 	26 , 	106 , 	59 , 	32 , 	4 , 	22 , 	16 , 	37 , 	55 , 	23 , 	33 , 	23 , 	3 , 	12 , 	29 , 	22 , 	8 , 	20 , 	9 , 	6 , 	33 , 	11 , 	84 , 	79 , 	203 , 	143 , 	52 , 	45 , 	12 , 	12 , 	14 , 	12 , 	5 , 	12 , 	3 , 	30 ," 	1,393 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	53 , 	75 , 	47 , 	47 , 	181 , 	62 , 	48 , 	25 , 	16 , 	23 , 	88 , 	125 , 	63 , 	83 , 	54 , 	23 , 	37 , 	62 , 	32 , 	30 , 	33 , 	19 , 	12 , 	42 , 	31 , 	172 , 	183 , 	502 , 	199 , 	71 , 	63 , 	24 , 	56 , 	44 , 	51 , 	6 , 	15 , 	7 , 	37 ," 	2,739 ",,,Dtwn SF," 	1,780 "," 	3,971 "," 	10,971 "," 	3,939 "," 	3,737 "," 	5,179 "," 	29,577 "
LM, 	24 , 	32 , 	18 , 	17 , 	57 , 	28 , 	23 , 	13 , 	24 , 	4 , 	71 , 	66 , 	59 , 	60 , 	25 , 	11 , 	33 , 	39 , 	9 , 	6 , 	9 , 	5 , 	5 , 	9 , 	21 , 	94 , 	100 , 	291 , 	105 , 	48 , 	34 , 	19 , 	19 , 	18 , 	9 , 	12 , 	30 , 	1 , 	5 ," 	1,447 ",,,OAK," 	3,565 ", 	548 , 	926 ," 	1,424 ", 	557 ," 	1,710 "," 	8,729 "
