Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jan 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	9 , 	112 , 	92 , 	64 , 	270 , 	118 , 	93 , 	56 , 	111 , 	31 , 	105 , 	77 , 	21 , 	25 , 	27 , 	6 , 	9 , 	17 , 	25 , 	7 , 	18 , 	9 , 	9 , 	15 , 	21 , 	73 , 	80 , 	281 , 	99 , 	89 , 	159 , 	27 , 	36 , 	27 , 	32 , 	4 , 	16 , 	9 , 	22 ," 	2,300 ",,,Eastbay," 	35,914 ",,SF CBD," 	74,895 ",59.5%,,
EN, 	109 , 	23 , 	55 , 	78 , 	417 , 	102 , 	110 , 	90 , 	149 , 	41 , 	78 , 	119 , 	28 , 	32 , 	28 , 	18 , 	18 , 	33 , 	19 , 	12 , 	18 , 	6 , 	9 , 	17 , 	23 , 	144 , 	153 , 	467 , 	147 , 	73 , 	99 , 	28 , 	41 , 	34 , 	33 , 	3 , 	13 , 	5 , 	18 ," 	2,886 ",,,Westbay," 	35,876 ",,non-CBD," 	50,897 ",40.5%,,
EP, 	78 , 	48 , 	4 , 	23 , 	289 , 	47 , 	37 , 	34 , 	66 , 	20 , 	28 , 	72 , 	11 , 	10 , 	9 , 	5 , 	7 , 	18 , 	7 , 	6 , 	10 , 	6 , 	5 , 	14 , 	5 , 	88 , 	109 , 	255 , 	75 , 	23 , 	28 , 	12 , 	10 , 	14 , 	15 , 	3 , 	4 , 	2 , 	6 ," 	1,497 ",,,Transbay," 	54,002 ",,,,,,
NB, 	59 , 	48 , 	24 , 	6 , 	107 , 	37 , 	34 , 	44 , 	74 , 	27 , 	46 , 	65 , 	18 , 	11 , 	17 , 	2 , 	12 , 	20 , 	10 , 	10 , 	13 , 	4 , 	7 , 	9 , 	12 , 	112 , 	138 , 	336 , 	146 , 	44 , 	59 , 	18 , 	12 , 	9 , 	9 , 	2 , 	5 , 	1 , 	6 ," 	1,607 ",,,,,,,,,,
BK, 	237 , 	400 , 	284 , 	100 , 	12 , 	233 , 	160 , 	186 , 	272 , 	99 , 	138 , 	183 , 	68 , 	57 , 	60 , 	28 , 	50 , 	96 , 	32 , 	39 , 	59 , 	29 , 	25 , 	22 , 	64 , 	247 , 	236 , 	732 , 	330 , 	109 , 	101 , 	46 , 	37 , 	49 , 	47 , 	18 , 	42 , 	15 , 	26 ," 	4,962 ",,,Extensions," 	14,516 ",,,,,,
AS, 	91 , 	92 , 	39 , 	28 , 	195 , 	5 , 	62 , 	71 , 	106 , 	45 , 	64 , 	93 , 	26 , 	31 , 	27 , 	11 , 	13 , 	16 , 	15 , 	9 , 	9 , 	6 , 	4 , 	8 , 	26 , 	83 , 	100 , 	284 , 	153 , 	66 , 	64 , 	19 , 	15 , 	12 , 	17 , 	7 , 	8 , 	2 , 	10 ," 	1,925 ",,,,,,,,,,
MA, 	71 , 	103 , 	34 , 	36 , 	159 , 	65 , 	8 , 	44 , 	87 , 	30 , 	62 , 	146 , 	42 , 	45 , 	33 , 	12 , 	15 , 	29 , 	40 , 	22 , 	23 , 	9 , 	10 , 	22 , 	44 , 	144 , 	179 , 	499 , 	232 , 	100 , 	78 , 	24 , 	36 , 	17 , 	14 , 	3 , 	14 , 	7 , 	43 ," 	2,576 ",,,,,,,,,,
19, 	44 , 	79 , 	35 , 	42 , 	146 , 	61 , 	36 , 	3 , 	26 , 	14 , 	59 , 	72 , 	35 , 	40 , 	35 , 	22 , 	30 , 	39 , 	34 , 	20 , 	29 , 	15 , 	11 , 	32 , 	35 , 	95 , 	110 , 	268 , 	166 , 	53 , 	54 , 	19 , 	25 , 	19 , 	19 , 	5 , 	14 , 	10 , 	26 ," 	1,872 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	80 , 	139 , 	70 , 	86 , 	240 , 	100 , 	85 , 	22 , 	10 , 	25 , 	109 , 	155 , 	88 , 	92 , 	69 , 	38 , 	58 , 	68 , 	64 , 	47 , 	65 , 	28 , 	30 , 	46 , 	57 , 	176 , 	219 , 	582 , 	228 , 	73 , 	69 , 	33 , 	55 , 	52 , 	44 , 	11 , 	26 , 	8 , 	48 ," 	3,493 ",,,Dtwn SF," 	1,733 "," 	5,096 "," 	14,570 "," 	5,065 "," 	4,844 "," 	7,051 "," 	38,359 "
LM, 	20 , 	33 , 	17 , 	30 , 	75 , 	38 , 	23 , 	17 , 	27 , 	4 , 	90 , 	122 , 	93 , 	87 , 	38 , 	22 , 	43 , 	42 , 	6 , 	5 , 	10 , 	4 , 	3 , 	16 , 	19 , 	102 , 	128 , 	362 , 	143 , 	53 , 	47 , 	15 , 	29 , 	17 , 	7 , 	30 , 	41 , 	1 , 	7 ," 	1,861 ",,,OAK," 	4,712 ", 	753 ," 	1,123 "," 	1,962 ", 	771 ," 	2,317 "," 	11,638 "
FV, 	81 , 	92 , 	34 , 	44 , 	158 , 	87 , 	73 , 	77 , 	132 , 	90 , 	8 , 	291 , 	124 , 	197 , 	156 , 	60 , 	60 , 	74 , 	28 , 	25 , 	33 , 	15 , 	22 , 	26 , 	87 , 	191 , 	200 , 	601 , 	212 , 	124 , 	188 , 	29 , 	50 , 	43 , 	26 , 	33 , 	81 , 	3 , 	28 ," 	3,884 ",,,CM line," 	15,014 "," 	1,146 "," 	4,559 "," 	1,293 ", 	941 ," 	1,719 "," 	24,672 "
CL, 	642 , 	150 , 	93 , 	61 , 	111 , 	73 , 	154 , 	64 , 	264 , 	125 , 	996 , 	6 , 	276 , 	324 , 	228 , 	114 , 	185 , 	186 , 	103 , 	108 , 	107 , 	81 , 	93 , 	77 , 	65 , 	839 , 	137 , 	343 , 	192 , 	82 , 	102 , 	57 , 	42 , 	106 , 	42 , 	155 , 	275 , 	42 , 	96 ," 	7,194 ",,,RM line," 	4,867 "," 	2,166 "," 	1,507 "," 	3,930 ", 	637 ," 	2,070 "," 	15,177 "
SL, 	52 , 	73 , 	11 , 	16 , 	69 , 	30 , 	41 , 	46 , 	79 , 	65 , 	104 , 	214 , 	5 , 	93 , 	91 , 	37 , 	33 , 	56 , 	11 , 	6 , 	9 , 	7 , 	5 , 	9 , 	13 , 	107 , 	119 , 	311 , 	90 , 	28 , 	45 , 	12 , 	21 , 	15 , 	18 , 	23 , 	38 , 	2 , 	12 ," 	2,012 ",,,WP line," 	4,709 ", 	818 , 	951 , 	690 ," 	2,728 "," 	1,121 "," 	11,018 "
BF, 	23 , 	28 , 	12 , 	8 , 	65 , 	22 , 	59 , 	45 , 	103 , 	85 , 	192 , 	291 , 	93 , 	7 , 	110 , 	77 , 	75 , 	91 , 	15 , 	7 , 	8 , 	2 , 	2 , 	9 , 	27 , 	90 , 	92 , 	276 , 	76 , 	23 , 	38 , 	16 , 	19 , 	21 , 	15 , 	46 , 	109 , 	2 , 	12 ," 	2,288 ",,,FT/ED line," 	7,234 "," 	2,534 "," 	1,744 "," 	2,742 "," 	1,283 "," 	9,391 "," 	24,929 "
HY, 	19 , 	26 , 	7 , 	16 , 	55 , 	22 , 	36 , 	39 , 	76 , 	35 , 	137 , 	199 , 	93 , 	106 , 	8 , 	82 , 	87 , 	121 , 	12 , 	10 , 	7 , 	4 , 	2 , 	9 , 	13 , 	58 , 	55 , 	172 , 	68 , 	20 , 	35 , 	9 , 	17 , 	16 , 	15 , 	15 , 	32 , 	2 , 	17 ," 	1,747 ",,,Entries," 	38,270 "," 	12,513 "," 	24,453 "," 	15,682 "," 	11,206 "," 	23,668 "," 	125,792 "
SH, 	10 , 	15 , 	5 , 	3 , 	31 , 	12 , 	10 , 	22 , 	41 , 	22 , 	46 , 	103 , 	36 , 	69 , 	86 , 	5 , 	58 , 	80 , 	4 , 	3 , 	3 , 	2 , 	2 , 	4 , 	15 , 	39 , 	42 , 	144 , 	32 , 	12 , 	30 , 	7 , 	10 , 	12 , 	11 , 	8 , 	23 , 	1 , 	12 ," 	1,063 ",,,,,,,,,,
UC, 	15 , 	21 , 	10 , 	10 , 	51 , 	22 , 	23 , 	29 , 	65 , 	40 , 	62 , 	147 , 	43 , 	81 , 	112 , 	60 , 	6 , 	98 , 	13 , 	8 , 	7 , 	1 , 	1 , 	5 , 	7 , 	72 , 	70 , 	219 , 	62 , 	14 , 	18 , 	10 , 	15 , 	13 , 	12 , 	7 , 	20 , 	0 , 	13 ," 	1,477 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	13 , 	40 , 	19 , 	22 , 	123 , 	17 , 	30 , 	41 , 	75 , 	49 , 	66 , 	185 , 	53 , 	87 , 	141 , 	76 , 	84 , 	16 , 	18 , 	14 , 	17 , 	6 , 	5 , 	10 , 	9 , 	171 , 	134 , 	462 , 	108 , 	20 , 	27 , 	17 , 	20 , 	31 , 	16 , 	13 , 	35 , 	5 , 	19 ," 	2,290 ",,,Dtwn SF," 	1,733 ",,,,,,
CN, 	17 , 	24 , 	7 , 	13 , 	41 , 	22 , 	42 , 	34 , 	67 , 	6 , 	29 , 	85 , 	12 , 	13 , 	15 , 	5 , 	11 , 	15 , 	14 , 	58 , 	288 , 	64 , 	30 , 	35 , 	6 , 	142 , 	88 , 	247 , 	76 , 	30 , 	51 , 	20 , 	22 , 	27 , 	30 , 	7 , 	8 , 	36 , 	195 ," 	1,930 ",,,OAK," 	9,807 ", 	753 ,,,,,
PH, 	4 , 	10 , 	9 , 	9 , 	35 , 	12 , 	25 , 	23 , 	53 , 	6 , 	24 , 	85 , 	6 , 	7 , 	9 , 	3 , 	7 , 	13 , 	67 , 	8 , 	71 , 	19 , 	13 , 	37 , 	2 , 	144 , 	129 , 	298 , 	95 , 	22 , 	22 , 	19 , 	20 , 	19 , 	33 , 	2 , 	1 , 	10 , 	43 ," 	1,411 ",,,CM line," 	29,584 "," 	2,269 "," 	4,559 ",,,,
WC, 	13 , 	18 , 	11 , 	13 , 	56 , 	11 , 	27 , 	27 , 	69 , 	7 , 	31 , 	94 , 	8 , 	8 , 	7 , 	3 , 	8 , 	10 , 	368 , 	86 , 	9 , 	42 , 	21 , 	59 , 	4 , 	154 , 	139 , 	384 , 	123 , 	20 , 	21 , 	18 , 	16 , 	23 , 	28 , 	3 , 	3 , 	36 , 	72 ," 	2,047 ",,,RM line," 	9,932 "," 	4,128 "," 	2,800 "," 	3,930 ",,,
LF, 	5 , 	7 , 	5 , 	3 , 	34 , 	7 , 	11 , 	19 , 	31 , 	3 , 	15 , 	67 , 	6 , 	3 , 	5 , 	2 , 	2 , 	4 , 	81 , 	26 , 	45 , 	3 , 	10 , 	36 , 	3 , 	89 , 	77 , 	204 , 	65 , 	7 , 	11 , 	9 , 	6 , 	10 , 	10 , 	2 , 	1 , 	9 , 	16 , 	944 ,,,WP line," 	9,553 "," 	1,589 "," 	1,892 "," 	1,327 "," 	2,728 ",,
OR, 	7 , 	8 , 	6 , 	3 , 	30 , 	6 , 	10 , 	9 , 	27 , 	3 , 	16 , 	64 , 	4 , 	1 , 	3 , 	1 , 	1 , 	4 , 	30 , 	13 , 	21 , 	9 , 	4 , 	31 , 	3 , 	93 , 	89 , 	202 , 	52 , 	12 , 	18 , 	10 , 	8 , 	6 , 	12 , 	1 , 	0 , 	3 , 	5 , 	822 ,,,FT/ED line," 	14,285 "," 	4,851 "," 	3,463 "," 	4,812 "," 	2,404 "," 	9,391 "," 	125,792 "
RR, 	25 , 	22 , 	28 , 	31 , 	20 , 	7 , 	10 , 	22 , 	61 , 	14 , 	31 , 	73 , 	12 , 	16 , 	2 , 	1 , 	2 , 	5 , 	54 , 	22 , 	29 , 	24 , 	18 , 	8 , 	14 , 	215 , 	223 , 	521 , 	209 , 	36 , 	32 , 	14 , 	6 , 	14 , 	13 , 	3 , 	3 , 	7 , 	12 ," 	1,853 ",,,,,,,,,,
OW, 	34 , 	27 , 	5 , 	11 , 	58 , 	26 , 	40 , 	28 , 	49 , 	17 , 	76 , 	76 , 	20 , 	25 , 	11 , 	10 , 	6 , 	9 , 	4 , 	2 , 	3 , 	3 , 	2 , 	9 , 	7 , 	189 , 	216 , 	551 , 	125 , 	53 , 	67 , 	14 , 	19 , 	10 , 	11 , 	4 , 	11 , 	1 , 	10 ," 	1,837 ",,,,,,,,,,
EM, 	99 , 	212 , 	115 , 	155 , 	316 , 	116 , 	190 , 	156 , 	253 , 	132 , 	207 , 	317 , 	136 , 	129 , 	76 , 	53 , 	78 , 	192 , 	155 , 	166 , 	183 , 	113 , 	129 , 	228 , 	205 , 	110 , 	106 , 	224 , 	120 , 	282 , 	363 , 	181 , 	269 , 	154 , 	154 , 	96 , 	343 , 	45 , 	142 ," 	6,702 ",,,,,,,,,,
MT, 	123 , 	197 , 	109 , 	141 , 	260 , 	112 , 	191 , 	130 , 	223 , 	125 , 	183 , 	157 , 	124 , 	95 , 	54 , 	39 , 	93 , 	144 , 	86 , 	131 , 	151 , 	80 , 	84 , 	179 , 	185 , 	73 , 	24 , 	66 , 	55 , 	407 , 	514 , 	416 , 	936 , 	211 , 	183 , 	53 , 	187 , 	35 , 	83 ," 	6,638 ",,,,,,,,,,
PL, 	196 , 	492 , 	265 , 	314 , 	754 , 	281 , 	553 , 	315 , 	604 , 	357 , 	536 , 	474 , 	297 , 	257 , 	165 , 	129 , 	202 , 	401 , 	253 , 	310 , 	391 , 	234 , 	215 , 	521 , 	651 , 	187 , 	83 , 	123 , 	216 ," 	1,251 "," 	1,827 "," 	1,067 "," 	1,724 ", 	969 , 	679 , 	163 , 	657 , 	79 , 	234 ," 	18,427 ",,,,,,,,,,
CC, 	78 , 	126 , 	71 , 	139 , 	268 , 	124 , 	207 , 	147 , 	199 , 	129 , 	188 , 	201 , 	101 , 	70 , 	56 , 	36 , 	50 , 	101 , 	72 , 	89 , 	94 , 	59 , 	48 , 	155 , 	143 , 	69 , 	47 , 	172 , 	58 , 	589 , 	821 , 	353 , 	656 , 	294 , 	269 , 	42 , 	169 , 	25 , 	77 ," 	6,592 ",,,,,,,,,,
16, 	68 , 	54 , 	31 , 	43 , 	113 , 	62 , 	106 , 	62 , 	77 , 	46 , 	92 , 	76 , 	28 , 	21 , 	23 , 	14 , 	15 , 	23 , 	26 , 	24 , 	24 , 	12 , 	11 , 	74 , 	61 , 	235 , 	308 ," 	1,210 ", 	587 , 	38 , 	258 , 	183 , 	369 , 	146 , 	98 , 	9 , 	31 , 	8 , 	32 ," 	4,695 ",,,,,,,,,,
24, 	112 , 	85 , 	26 , 	50 , 	95 , 	63 , 	90 , 	68 , 	80 , 	51 , 	161 , 	113 , 	43 , 	35 , 	37 , 	24 , 	20 , 	26 , 	48 , 	21 , 	26 , 	10 , 	14 , 	61 , 	74 , 	305 , 	394 ," 	1,682 ", 	760 , 	236 , 	50 , 	192 , 	388 , 	207 , 	193 , 	11 , 	29 , 	8 , 	56 ," 	5,939 ",,,,,,,,,,
GP, 	15 , 	28 , 	10 , 	17 , 	45 , 	14 , 	21 , 	16 , 	32 , 	15 , 	29 , 	56 , 	15 , 	12 , 	10 , 	8 , 	9 , 	9 , 	16 , 	18 , 	14 , 	8 , 	8 , 	29 , 	14 , 	172 , 	234 ," 	1,185 ", 	278 , 	157 , 	163 , 	22 , 	67 , 	35 , 	58 , 	5 , 	15 , 	5 , 	24 ," 	2,883 ",,,,,,,,,,
BP, 	18 , 	29 , 	7 , 	8 , 	24 , 	8 , 	23 , 	13 , 	35 , 	15 , 	73 , 	67 , 	28 , 	49 , 	12 , 	6 , 	10 , 	12 , 	14 , 	10 , 	6 , 	2 , 	5 , 	7 , 	16 ," 	1,285 ", 	507 ," 	2,497 ", 	669 , 	227 , 	287 , 	43 , 	24 , 	37 , 	51 , 	2 , 	10 , 	4 , 	24 ," 	6,160 ",,,,,,,,,,
DC, 	17 , 	28 , 	14 , 	12 , 	55 , 	13 , 	22 , 	20 , 	49 , 	17 , 	38 , 	108 , 	27 , 	16 , 	14 , 	12 , 	13 , 	31 , 	21 , 	14 , 	25 , 	8 , 	7 , 	11 , 	16 , 	154 , 	215 , 	902 , 	254 , 	137 , 	201 , 	41 , 	67 , 	10 , 	45 , 	12 , 	28 , 	5 , 	33 ," 	2,708 ",,,,,,,,,,
CM, 	21 , 	31 , 	11 , 	13 , 	42 , 	14 , 	16 , 	25 , 	48 , 	8 , 	23 , 	45 , 	15 , 	11 , 	11 , 	8 , 	12 , 	14 , 	38 , 	26 , 	26 , 	7 , 	10 , 	13 , 	13 , 	104 , 	166 , 	672 , 	243 , 	111 , 	188 , 	67 , 	99 , 	54 , 	15 , 	5 , 	13 , 	9 , 	46 ," 	2,287 ",,,,,,,,,,
