Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jan 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	7 , 	89 , 	64 , 	47 , 	185 , 	77 , 	72 , 	34 , 	72 , 	27 , 	75 , 	89 , 	15 , 	15 , 	16 , 	9 , 	8 , 	15 , 	17 , 	3 , 	11 , 	3 , 	2 , 	9 , 	23 , 	56 , 	54 , 	166 , 	77 , 	65 , 	87 , 	15 , 	36 , 	24 , 	26 , 	4 , 	4 , 	3 , 	14 ," 	1,615 ",,,Eastbay," 	25,956 ",,SF CBD," 	50,395 ",58.0%,,
EN, 	87 , 	12 , 	41 , 	52 , 	271 , 	75 , 	61 , 	51 , 	87 , 	25 , 	65 , 	76 , 	18 , 	19 , 	16 , 	7 , 	13 , 	27 , 	14 , 	7 , 	11 , 	3 , 	2 , 	10 , 	11 , 	81 , 	69 , 	265 , 	97 , 	33 , 	61 , 	16 , 	27 , 	24 , 	26 , 	3 , 	9 , 	3 , 	13 ," 	1,782 ",,,Westbay," 	25,071 ",,non-CBD," 	36,551 ",42.0%,,
EP, 	60 , 	34 , 	6 , 	18 , 	217 , 	35 , 	27 , 	25 , 	40 , 	16 , 	22 , 	68 , 	8 , 	4 , 	5 , 	3 , 	9 , 	17 , 	6 , 	7 , 	6 , 	2 , 	4 , 	11 , 	4 , 	46 , 	58 , 	170 , 	70 , 	22 , 	22 , 	11 , 	6 , 	10 , 	8 , 	2 , 	6 , 	1 , 	4 ," 	1,088 ",,,Transbay," 	35,919 ",,,,,,
NB, 	43 , 	39 , 	23 , 	4 , 	69 , 	32 , 	28 , 	32 , 	61 , 	16 , 	31 , 	61 , 	9 , 	10 , 	11 , 	3 , 	7 , 	15 , 	7 , 	3 , 	5 , 	2 , 	3 , 	7 , 	8 , 	70 , 	83 , 	204 , 	106 , 	36 , 	43 , 	10 , 	9 , 	9 , 	12 , 	2 , 	2 , 	1 , 	5 ," 	1,116 ",,,,,,,,,,
BK, 	150 , 	259 , 	197 , 	72 , 	11 , 	161 , 	98 , 	137 , 	177 , 	59 , 	114 , 	183 , 	42 , 	47 , 	43 , 	18 , 	38 , 	114 , 	22 , 	19 , 	33 , 	22 , 	18 , 	15 , 	51 , 	186 , 	157 , 	513 , 	245 , 	82 , 	74 , 	32 , 	25 , 	45 , 	46 , 	16 , 	36 , 	6 , 	18 ," 	3,576 ",,,Extensions," 	9,856 ",,,,,,
AS, 	73 , 	68 , 	33 , 	31 , 	128 , 	4 , 	50 , 	54 , 	80 , 	31 , 	62 , 	83 , 	22 , 	23 , 	13 , 	9 , 	11 , 	17 , 	9 , 	4 , 	9 , 	4 , 	2 , 	9 , 	23 , 	69 , 	62 , 	167 , 	109 , 	48 , 	46 , 	15 , 	9 , 	8 , 	13 , 	5 , 	8 , 	1 , 	9 ," 	1,414 ",,,,,,,,,,
MA, 	58 , 	62 , 	21 , 	24 , 	115 , 	54 , 	7 , 	25 , 	43 , 	10 , 	59 , 	110 , 	25 , 	32 , 	21 , 	6 , 	14 , 	23 , 	24 , 	9 , 	14 , 	6 , 	7 , 	15 , 	27 , 	87 , 	103 , 	276 , 	173 , 	69 , 	55 , 	17 , 	19 , 	15 , 	17 , 	4 , 	11 , 	4 , 	29 ," 	1,685 ",,,,,,,,,,
19, 	29 , 	45 , 	21 , 	29 , 	115 , 	50 , 	20 , 	4 , 	18 , 	7 , 	40 , 	59 , 	20 , 	23 , 	21 , 	11 , 	25 , 	26 , 	21 , 	15 , 	24 , 	11 , 	8 , 	22 , 	17 , 	67 , 	76 , 	170 , 	108 , 	45 , 	28 , 	9 , 	7 , 	11 , 	13 , 	3 , 	4 , 	4 , 	18 ," 	1,247 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	52 , 	73 , 	38 , 	58 , 	144 , 	70 , 	48 , 	15 , 	12 , 	20 , 	81 , 	124 , 	60 , 	69 , 	56 , 	19 , 	34 , 	56 , 	34 , 	23 , 	32 , 	17 , 	11 , 	38 , 	36 , 	151 , 	143 , 	450 , 	183 , 	46 , 	56 , 	21 , 	35 , 	33 , 	41 , 	2 , 	15 , 	8 , 	30 ," 	2,430 ",,,Dtwn SF," 	1,220 "," 	3,402 "," 	10,064 "," 	3,401 "," 	3,046 "," 	4,546 "," 	25,679 "
LM, 	19 , 	25 , 	18 , 	18 , 	56 , 	34 , 	14 , 	12 , 	20 , 	5 , 	79 , 	104 , 	71 , 	64 , 	27 , 	14 , 	29 , 	40 , 	6 , 	5 , 	7 , 	3 , 	3 , 	8 , 	19 , 	82 , 	87 , 	277 , 	127 , 	48 , 	47 , 	18 , 	19 , 	15 , 	8 , 	15 , 	23 , 	2 , 	5 ," 	1,466 ",,,OAK," 	3,124 ", 	467 , 	786 ," 	1,365 ", 	487 ," 	1,672 "," 	7,902 "
