Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Jan 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	8 , 	174 , 	124 , 	114 , 	487 , 	137 , 	186 , 	180 , 	281 , 	63 , 	138 , 	115 , 	50 , 	38 , 	49 , 	26 , 	18 , 	34 , 	35 , 	28 , 	30 , 	16 , 	12 , 	25 , 	34 , 	261 , 	301 , 	383 , 	269 , 	129 , 	190 , 	39 , 	60 , 	41 , 	37 , 	7 , 	30 , 	7 , 	40 ," 	4,197 ",,,Eastbay," 	74,027 ",,SF CBD," 	199,440 ",66.3%,,,
EN, 	174 , 	28 , 	97 , 	124 , 	946 , 	169 , 	224 , 	480 , 	697 , 	118 , 	129 , 	124 , 	62 , 	37 , 	66 , 	23 , 	36 , 	75 , 	55 , 	29 , 	41 , 	16 , 	14 , 	25 , 	39 , 	814 , 	936 , 	724 , 	635 , 	109 , 	159 , 	63 , 	76 , 	84 , 	65 , 	3 , 	38 , 	7 , 	25 ," 	7,564 ",,,Westbay," 	82,279 ",,non-CBD," 	101,498 ",33.7%,,,
EP, 	148 , 	43 , 	18 , 	23 , 	626 , 	42 , 	138 , 	129 , 	329 , 	49 , 	52 , 	30 , 	24 , 	7 , 	29 , 	6 , 	26 , 	26 , 	18 , 	24 , 	14 , 	11 , 	7 , 	22 , 	5 , 	571 , 	347 , 	407 , 	188 , 	61 , 	24 , 	34 , 	17 , 	38 , 	11 , 	24 , 	24 , 	7 , 	10 ," 	3,610 ",,,Transbay," 	144,632 ",,,,,,,
NB, 	98 , 	82 , 	38 , 	5 , 	206 , 	51 , 	74 , 	171 , 	234 , 	66 , 	59 , 	57 , 	22 , 	13 , 	28 , 	9 , 	11 , 	34 , 	17 , 	18 , 	18 , 	7 , 	14 , 	14 , 	16 , 	500 , 	564 , 	353 , 	345 , 	84 , 	64 , 	23 , 	28 , 	38 , 	17 , 	6 , 	14 , 	3 , 	6 ," 	3,408 ",,,,,,,,,,,
BK, 	427 , 	947 , 	595 , 	207 , 	16 , 	423 , 	350 , 	484 , 	606 , 	235 , 	290 , 	237 , 	147 , 	116 , 	136 , 	87 , 	124 , 	240 , 	104 , 	155 , 	129 , 	65 , 	54 , 	39 , 	94 , 	588 , 	640 , 	687 , 	660 , 	185 , 	200 , 	104 , 	93 , 	125 , 	102 , 	38 , 	119 , 	43 , 	80 ," 	9,970 ",,,Extensions," 	39,780 ",,,,,,,
AS, 	110 , 	138 , 	58 , 	48 , 	346 , 	6 , 	72 , 	166 , 	237 , 	86 , 	94 , 	101 , 	42 , 	35 , 	48 , 	18 , 	22 , 	46 , 	26 , 	24 , 	24 , 	9 , 	12 , 	14 , 	35 , 	425 , 	504 , 	348 , 	357 , 	99 , 	74 , 	30 , 	32 , 	41 , 	23 , 	8 , 	31 , 	7 , 	18 ," 	3,814 ",,,,,,,,,,,
MA, 	154 , 	205 , 	72 , 	66 , 	351 , 	73 , 	8 , 	122 , 	212 , 	76 , 	134 , 	153 , 	93 , 	76 , 	74 , 	41 , 	47 , 	88 , 	100 , 	72 , 	91 , 	26 , 	33 , 	50 , 	61 , 	634 , 	755 , 	586 , 	565 , 	170 , 	124 , 	63 , 	71 , 	52 , 	43 , 	19 , 	52 , 	30 , 	100 ," 	5,744 ",,,,,,,,,,,
19, 	154 , 	471 , 	193 , 	180 , 	421 , 	175 , 	116 , 	12 , 	80 , 	53 , 	127 , 	160 , 	187 , 	172 , 	192 , 	148 , 	171 , 	273 , 	213 , 	307 , 	205 , 	115 , 	91 , 	99 , 	51 , 	660 , 	673 , 	524 , 	545 , 	136 , 	147 , 	107 , 	107 , 	132 , 	149 , 	48 , 	158 , 	116 , 	193 ," 	8,061 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	268 , 	718 , 	407 , 	288 , 	543 , 	239 , 	200 , 	81 , 	26 , 	78 , 	335 , 	371 , 	351 , 	353 , 	322 , 	219 , 	245 , 	343 , 	355 , 	416 , 	287 , 	179 , 	139 , 	182 , 	83 , 	806 , 	872 , 	858 , 	711 , 	174 , 	202 , 	147 , 	141 , 	168 , 	197 , 	78 , 	235 , 	97 , 	238 ," 	11,954 ",,,Dtwn SF," 	5,312 "," 	13,357 "," 	34,482 "," 	11,920 "," 	18,298 "," 	19,128 "," 	102,497 ",
LM, 	49 , 	107 , 	84 , 	68 , 	205 , 	89 , 	70 , 	49 , 	69 , 	21 , 	162 , 	190 , 	214 , 	183 , 	133 , 	90 , 	105 , 	143 , 	26 , 	21 , 	24 , 	8 , 	11 , 	32 , 	33 , 	467 , 	506 , 	452 , 	355 , 	83 , 	83 , 	32 , 	54 , 	56 , 	33 , 	62 , 	163 , 	7 , 	26 ," 	4,567 ",,,OAK," 	13,317 "," 	1,717 "," 	2,972 "," 	5,823 "," 	3,970 "," 	7,103 "," 	34,901 ",
