Muni Fast Pass Adult/Clipper OD,,,,,,Jun 15,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,40,22,67,82,360,672,562,898,"2,702"
MT,25,43,42,77,426,865,763,"1,551","3,793"
PL,113,68,41,49,319,555,400,"1,068","2,611"
CC,72,78,56,22,166,348,333,645,"1,720"
16,316,367,390,182,11,76,105,312,"1,759"
24,513,627,647,348,86,19,81,239,"2,561"
GP,494,576,492,298,118,88,13,55,"2,134"
BP,773,973,"1,423",576,301,245,55,27,"4,372"
Entries,"2,345","2,755","3,159","1,633","1,785","2,868","2,311","4,795","21,653"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,6,29,20,116,164,97,274,722
MT,4,12,11,16,100,162,157,595,"1,056"
PL,39,14,36,24,295,445,299,884,"2,035"
CC,16,8,29,14,113,156,105,222,662
16,108,76,307,112,15,72,84,217,990
24,139,105,479,176,66,19,69,187,"1,239"
GP,96,87,356,89,73,63,13,28,804
BP,241,264,"1,083",214,170,160,32,31,"2,194"
Entries,659,571,"2,330",666,946,"1,240",854,"2,437","9,703"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,5,20,18,76,120,81,172,512
MT,8,13,11,12,61,107,96,352,660
PL,25,8,49,22,207,303,222,608,"1,443"
CC,21,10,39,34,106,153,111,232,707
16,84,52,235,96,17,42,46,153,724
24,110,64,353,155,48,32,55,145,962
GP,70,60,282,95,63,53,10,18,650
BP,186,175,867,198,144,116,19,33,"1,737"
Entries,524,387,"1,856",630,722,924,640,"1,713","7,394"
