Exit stations,Entry stations->,,WEEKDAY,,,Jun 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
FV, 	108 , 	153 , 	68 , 	80 , 	309 , 	127 , 	187 , 	212 , 	311 , 	225 , 	22 , 	298 , 	253 , 	263 , 	236 , 	104 , 	98 , 	161 , 	45 , 	25 , 	49 , 	25 , 	26 , 	66 , 	117 , 	944 , 	992 , 	973 , 	899 , 	353 , 	225 , 	62 , 	82 , 	74 , 	11 , 	63 , 	138 , 	8 , 	57 , 	13 , 	34 , 	73 , 	33 , 	63 , 	17 , 	-   ," 	8,684 ",,,OAK,"21,872","2,339","5,276","6,919","5,539","9,561","1,476","52,981"
CL, 	85 , 	161 , 	62 , 	60 , 	194 , 	103 , 	189 , 	223 , 	398 , 	302 , 	306 , 	24 , 	196 , 	229 , 	214 , 	116 , 	117 , 	238 , 	72 , 	59 , 	73 , 	41 , 	27 , 	56 , 	108 , 	580 , 	580 , 	548 , 	467 , 	163 , 	111 , 	69 , 	71 , 	90 , 	21 , 	91 , 	240 , 	26 , 	108 , 	20 , 	36 , 	41 , 	26 , 	105 , 	40 , 	-   ," 	7,083 ",,,CM line,"32,480","4,975","7,506","3,273","2,328","3,430","3,359","57,350"
SL, 	52 , 	77 , 	38 , 	39 , 	189 , 	63 , 	136 , 	234 , 	387 , 	354 , 	259 , 	202 , 	20 , 	131 , 	193 , 	88 , 	87 , 	144 , 	32 , 	22 , 	24 , 	7 , 	12 , 	26 , 	46 , 	738 , 	716 , 	564 , 	501 , 	147 , 	96 , 	40 , 	62 , 	56 , 	9 , 	57 , 	101 , 	7 , 	48 , 	13 , 	19 , 	43 , 	16 , 	48 , 	11 , 	-   ," 	6,155 ",,,RM line,"17,758","7,000","3,597","7,527","1,670","4,132","1,314","42,998"
BF, 	34 , 	58 , 	19 , 	20 , 	156 , 	39 , 	128 , 	220 , 	388 , 	310 , 	274 , 	240 , 	150 , 	20 , 	163 , 	103 , 	133 , 	261 , 	23 , 	16 , 	21 , 	6 , 	5 , 	14 , 	47 , 	680 , 	702 , 	575 , 	452 , 	129 , 	83 , 	35 , 	45 , 	45 , 	10 , 	67 , 	211 , 	6 , 	33 , 	10 , 	18 , 	28 , 	10 , 	108 , 	8 , 	-   ," 	6,103 ",,,WP line,"24,162","5,544","2,683","1,709","5,487","1,679","1,484","42,749"
HY, 	41 , 	72 , 	20 , 	28 , 	142 , 	49 , 	127 , 	220 , 	324 , 	206 , 	236 , 	215 , 	193 , 	180 , 	24 , 	100 , 	205 , 	368 , 	23 , 	24 , 	22 , 	8 , 	4 , 	15 , 	37 , 	523 , 	521 , 	384 , 	310 , 	96 , 	66 , 	26 , 	34 , 	33 , 	7 , 	28 , 	77 , 	9 , 	45 , 	9 , 	20 , 	25 , 	9 , 	43 , 	16 , 	-   ," 	5,161 ",,,FT/ED line,"27,919","9,518","3,677","4,182","1,708","13,339",920,"61,262"
SH, 	23 , 	33 , 	10 , 	12 , 	95 , 	25 , 	60 , 	165 , 	182 , 	134 , 	104 , 	106 , 	79 , 	96 , 	89 , 	10 , 	76 , 	167 , 	12 , 	7 , 	13 , 	3 , 	3 , 	9 , 	16 , 	423 , 	396 , 	258 , 	234 , 	73 , 	48 , 	17 , 	21 , 	24 , 	5 , 	21 , 	42 , 	3 , 	18 , 	8 , 	10 , 	16 , 	8 , 	22 , 	7 , 	-   ," 	3,182 ",,,SFIA,"11,354","1,496","3,353","1,328","1,535",908,"1,494","21,468"
UC, 	29 , 	44 , 	16 , 	21 , 	165 , 	42 , 	83 , 	244 , 	271 , 	209 , 	99 , 	120 , 	97 , 	148 , 	200 , 	83 , 	20 , 	196 , 	17 , 	18 , 	15 , 	4 , 	5 , 	14 , 	17 ," 	1,017 ", 	846 , 	415 , 	303 , 	77 , 	35 , 	16 , 	22 , 	31 , 	7 , 	25 , 	74 , 	6 , 	22 , 	7 , 	10 , 	32 , 	7 , 	26 , 	19 , 	-   ," 	5,173 ",,,Entries,"141,380","52,958","59,880","42,136","42,437","61,475","22,072","422,338"
FM, 	39 , 	84 , 	44 , 	45 , 	337 , 	69 , 	154 , 	392 , 	485 , 	394 , 	181 , 	238 , 	158 , 	262 , 	383 , 	193 , 	201 , 	52 , 	33 , 	37 , 	26 , 	13 , 	16 , 	36 , 	30 ," 	1,918 "," 	1,644 ", 	687 , 	503 , 	144 , 	60 , 	34 , 	36 , 	53 , 	9 , 	40 , 	124 , 	10 , 	44 , 	10 , 	13 , 	62 , 	8 , 	47 , 	43 , 	-   ," 	9,393 ",,,,,,,,,,,
CN, 	25 , 	38 , 	20 , 	22 , 	147 , 	24 , 	145 , 	329 , 	426 , 	42 , 	48 , 	72 , 	30 , 	24 , 	24 , 	14 , 	18 , 	35 , 	24 , 	108 , 	325 , 	102 , 	39 , 	94 , 	26 , 	981 , 	986 , 	574 , 	495 , 	124 , 	79 , 	44 , 	45 , 	66 , 	24 , 	7 , 	14 , 	65 , 	372 , 	17 , 	29 , 	114 , 	28 , 	5 , 	29 , 	-   ," 	6,299 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	17 , 	21 , 	19 , 	22 , 	142 , 	29 , 	141 , 	350 , 	369 , 	26 , 	22 , 	54 , 	21 , 	15 , 	26 , 	8 , 	19 , 	31 , 	111 , 	24 , 	121 , 	55 , 	30 , 	116 , 	17 ," 	1,544 "," 	1,582 ", 	654 , 	552 , 	137 , 	64 , 	96 , 	45 , 	58 , 	16 , 	4 , 	7 , 	41 , 	141 , 	19 , 	31 , 	152 , 	24 , 	5 , 	45 , 	-   ," 	7,022 ",,,Dtwn SF,"5,835",,,,,,,
