Exit stations,Entry stations->,,SATURDAY,,,Jun 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	13 , 	77 , 	70 , 	50 , 	240 , 	74 , 	81 , 	48 , 	61 , 	24 , 	82 , 	50 , 	18 , 	15 , 	17 , 	9 , 	12 , 	19 , 	15 , 	4 , 	15 , 	5 , 	8 , 	11 , 	20 , 	166 , 	115 , 	321 , 	164 , 	109 , 	118 , 	23 , 	36 , 	33 , 	9 , 	4 , 	11 , 	4 , 	26 , 	7 , 	13 , 	32 , 	14 , 	2 , 	9 , 	-   ," 	2,252 ",,,Eastbay," 	42,401 ",,SF CBD," 	128,665 ",61.7%,,,
EN, 	82 , 	14 , 	77 , 	60 , 	427 , 	122 , 	137 , 	92 , 	145 , 	41 , 	119 , 	120 , 	25 , 	36 , 	32 , 	11 , 	20 , 	40 , 	26 , 	11 , 	22 , 	9 , 	7 , 	22 , 	30 , 	370 , 	271 , 	753 , 	336 , 	158 , 	136 , 	36 , 	55 , 	45 , 	19 , 	9 , 	16 , 	4 , 	34 , 	9 , 	21 , 	85 , 	22 , 	8 , 	18 , 	-   ," 	4,125 ",,,Westbay," 	61,643 ",,non-CBD," 	73,177 ",35.1%,,,
EP, 	75 , 	79 , 	15 , 	52 , 	432 , 	73 , 	81 , 	84 , 	94 , 	28 , 	53 , 	55 , 	14 , 	15 , 	7 , 	5 , 	9 , 	28 , 	8 , 	9 , 	12 , 	10 , 	8 , 	24 , 	12 , 	205 , 	166 , 	374 , 	234 , 	111 , 	56 , 	19 , 	16 , 	15 , 	4 , 	6 , 	8 , 	2 , 	11 , 	4 , 	8 , 	50 , 	17 , 	4 , 	17 , 	-   ," 	2,600 ",,,Transbay," 	109,384 ",,,,,,,
NB, 	64 , 	58 , 	56 , 	10 , 	184 , 	57 , 	62 , 	97 , 	82 , 	23 , 	62 , 	52 , 	20 , 	14 , 	13 , 	4 , 	7 , 	29 , 	9 , 	9 , 	8 , 	7 , 	6 , 	18 , 	16 , 	314 , 	201 , 	392 , 	329 , 	213 , 	115 , 	33 , 	23 , 	19 , 	3 , 	3 , 	9 , 	5 , 	11 , 	6 , 	6 , 	81 , 	16 , 	2 , 	24 , 	-   ," 	2,768 ",,,,,,,,,,,
BK, 	231 , 	456 , 	457 , 	200 , 	47 , 	299 , 	304 , 	312 , 	286 , 	122 , 	234 , 	96 , 	76 , 	60 , 	51 , 	32 , 	48 , 	184 , 	57 , 	61 , 	97 , 	57 , 	46 , 	62 , 	82 , 	926 , 	434 ," 	1,172 ", 	668 , 	512 , 	249 , 	103 , 	71 , 	89 , 	18 , 	19 , 	70 , 	16 , 	51 , 	18 , 	20 , 	204 , 	122 , 	26 , 	69 , 	-   ," 	8,810 ",,,,,,,,,,,
AS, 	74 , 	118 , 	63 , 	57 , 	242 , 	19 , 	88 , 	148 , 	125 , 	44 , 	116 , 	59 , 	33 , 	21 , 	21 , 	10 , 	13 , 	30 , 	16 , 	9 , 	17 , 	9 , 	6 , 	14 , 	37 , 	282 , 	185 , 	416 , 	321 , 	294 , 	137 , 	35 , 	25 , 	18 , 	5 , 	7 , 	13 , 	4 , 	21 , 	3 , 	7 , 	50 , 	17 , 	6 , 	25 , 	-   ," 	3,255 ",,,,,,,,,,,
MA, 	89 , 	139 , 	74 , 	59 , 	295 , 	91 , 	26 , 	92 , 	110 , 	38 , 	127 , 	91 , 	40 , 	48 , 	36 , 	16 , 	22 , 	45 , 	52 , 	37 , 	50 , 	22 , 	18 , 	54 , 	61 , 	427 , 	319 , 	662 , 	529 , 	454 , 	239 , 	46 , 	39 , 	37 , 	9 , 	10 , 	26 , 	14 , 	80 , 	5 , 	15 , 	81 , 	23 , 	7 , 	18 , 	-   ," 	4,766 ",,,,,,,,,,,
19, 	48 , 	93 , 	80 , 	105 , 	300 , 	158 , 	91 , 	29 , 	26 , 	14 , 	100 , 	87 , 	53 , 	43 , 	41 , 	17 , 	23 , 	44 , 	40 , 	40 , 	58 , 	40 , 	33 , 	99 , 	53 , 	399 , 	321 , 	620 , 	544 , 	396 , 	239 , 	61 , 	50 , 	51 , 	16 , 	10 , 	24 , 	8 , 	48 , 	6 , 	17 , 	59 , 	34 , 	6 , 	16 , 	-   ," 	4,634 ",,,,,,,,,,,
12, 	61 , 	127 , 	92 , 	84 , 	253 , 	123 , 	108 , 	34 , 	26 , 	16 , 	112 , 	101 , 	61 , 	75 , 	49 , 	23 , 	32 , 	56 , 	62 , 	46 , 	67 , 	27 , 	25 , 	82 , 	79 , 	399 , 	308 , 	687 , 	418 , 	258 , 	156 , 	50 , 	74 , 	45 , 	15 , 	9 , 	18 , 	15 , 	58 , 	13 , 	25 , 	77 , 	43 , 	12 , 	18 , 	-   ," 	4,515 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	22 , 	41 , 	26 , 	27 , 	116 , 	43 , 	38 , 	14 , 	19 , 	22 , 	112 , 	145 , 	102 , 	102 , 	45 , 	21 , 	31 , 	55 , 	12 , 	10 , 	15 , 	7 , 	7 , 	19 , 	31 , 	345 , 	280 , 	638 , 	366 , 	252 , 	129 , 	37 , 	34 , 	36 , 	6 , 	49 , 	63 , 	3 , 	16 , 	3 , 	8 , 	23 , 	17 , 	28 , 	15 , 	-   ," 	3,422 ",,,Dtwn SF," 	2,678 "," 	11,103 "," 	17,138 "," 	9,923 "," 	9,651 "," 	10,586 "," 	6,663 "," 	67,741 "
