Exit stations,Entry stations->,,SUNDAY,,,Jun 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
UC, 	7 , 	16 , 	7 , 	11 , 	52 , 	14 , 	17 , 	12 , 	28 , 	29 , 	37 , 	144 , 	31 , 	58 , 	51 , 	29 , 	9 , 	76 , 	9 , 	6 , 	6 , 	2 , 	2 , 	7 , 	4 , 	145 , 	88 , 	248 , 	216 , 	35 , 	20 , 	7 , 	9 , 	11 , 	3 , 	10 , 	31 , 	2 , 	10 , 	2 , 	4 , 	24 , 	5 , 	13 , 	27 , 	-   ," 	1,568 ",,,Entries," 	62,705 "," 	18,488 "," 	29,474 "," 	19,677 "," 	16,471 "," 	27,485 "," 	14,183 "," 	188,483 "
FM, 	15 , 	35 , 	25 , 	27 , 	179 , 	35 , 	41 , 	39 , 	58 , 	56 , 	60 , 	398 , 	53 , 	121 , 	115 , 	63 , 	77 , 	79 , 	17 , 	13 , 	19 , 	7 , 	4 , 	22 , 	10 , 	324 , 	186 , 	558 , 	498 , 	89 , 	26 , 	17 , 	23 , 	23 , 	4 , 	16 , 	66 , 	3 , 	24 , 	3 , 	7 , 	48 , 	6 , 	25 , 	42 , 	-   ," 	3,550 ",,,,,,,,,,,
CN, 	12 , 	19 , 	10 , 	7 , 	35 , 	12 , 	34 , 	30 , 	53 , 	11 , 	25 , 	50 , 	9 , 	11 , 	6 , 	6 , 	8 , 	20 , 	14 , 	56 , 	140 , 	51 , 	19 , 	31 , 	11 , 	210 , 	117 , 	352 , 	343 , 	53 , 	25 , 	18 , 	22 , 	24 , 	9 , 	3 , 	5 , 	14 , 	163 , 	9 , 	10 , 	72 , 	13 , 	2 , 	28 , 	-   ," 	2,164 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	4 , 	7 , 	8 , 	7 , 	49 , 	9 , 	28 , 	30 , 	36 , 	8 , 	11 , 	67 , 	7 , 	6 , 	4 , 	3 , 	6 , 	13 , 	50 , 	17 , 	71 , 	24 , 	13 , 	46 , 	8 , 	297 , 	180 , 	353 , 	338 , 	63 , 	28 , 	19 , 	13 , 	20 , 	4 , 	2 , 	6 , 	10 , 	50 , 	5 , 	6 , 	153 , 	16 , 	3 , 	61 , 	-   ," 	2,150 ",,,Dtwn SF," 	3,039 ",,,,,,,
WC, 	13 , 	24 , 	12 , 	14 , 	72 , 	21 , 	52 , 	42 , 	48 , 	10 , 	19 , 	87 , 	8 , 	10 , 	8 , 	3 , 	6 , 	21 , 	157 , 	70 , 	13 , 	33 , 	21 , 	74 , 	14 , 	411 , 	224 , 	447 , 	474 , 	84 , 	48 , 	21 , 	20 , 	20 , 	7 , 	1 , 	4 , 	18 , 	94 , 	8 , 	9 , 	147 , 	21 , 	2 , 	45 , 	-   ," 	2,951 ",,,OAK," 	18,654 ", 	820 ,,,,,,
LF, 	5 , 	4 , 	7 , 	6 , 	46 , 	8 , 	23 , 	22 , 	23 , 	6 , 	9 , 	49 , 	3 , 	2 , 	2 , 	1 , 	2 , 	8 , 	60 , 	23 , 	31 , 	13 , 	10 , 	43 , 	5 , 	239 , 	122 , 	246 , 	294 , 	42 , 	21 , 	8 , 	5 , 	8 , 	2 , 	0 , 	1 , 	4 , 	17 , 	3 , 	3 , 	84 , 	9 , 	1 , 	22 , 	-   ," 	1,540 ",,,CM line," 	29,525 "," 	4,704 "," 	4,478 ",,,,,
OR, 	6 , 	6 , 	7 , 	5 , 	37 , 	6 , 	18 , 	19 , 	32 , 	6 , 	6 , 	58 , 	2 , 	4 , 	1 , 	2 , 	2 , 	5 , 	14 , 	11 , 	25 , 	11 , 	10 , 	37 , 	3 , 	195 , 	111 , 	220 , 	251 , 	40 , 	20 , 	10 , 	8 , 	10 , 	6 , 	1 , 	2 , 	1 , 	10 , 	1 , 	3 , 	74 , 	7 , 	2 , 	20 , 	-   ," 	1,322 ",,,RM line," 	18,393 "," 	3,876 "," 	3,747 "," 	3,285 ",,,,
RR, 	14 , 	14 , 	25 , 	13 , 	47 , 	7 , 	46 , 	78 , 	52 , 	21 , 	34 , 	64 , 	12 , 	9 , 	6 , 	2 , 	5 , 	14 , 	33 , 	46 , 	78 , 	39 , 	38 , 	21 , 	20 , 	432 , 	267 , 	574 , 	760 , 	228 , 	115 , 	36 , 	18 , 	16 , 	5 , 	3 , 	11 , 	8 , 	24 , 	5 , 	6 , 	158 , 	28 , 	5 , 	35 , 	-   ," 	3,465 ",,,WP line," 	18,600 "," 	1,883 "," 	2,523 "," 	1,417 "," 	2,394 ",,,
OW, 	10 , 	18 , 	7 , 	10 , 	50 , 	22 , 	43 , 	32 , 	50 , 	24 , 	67 , 	67 , 	20 , 	23 , 	11 , 	4 , 	5 , 	11 , 	7 , 	7 , 	11 , 	5 , 	3 , 	19 , 	14 , 	552 , 	312 , 	906 , 	828 , 	261 , 	149 , 	36 , 	38 , 	29 , 	11 , 	8 , 	15 , 	4 , 	20 , 	7 , 	10 , 	78 , 	15 , 	6 , 	14 , 	-   ," 	3,834 ",,,FT/ED line," 	23,453 "," 	4,432 "," 	3,668 "," 	4,031 "," 	2,106 "," 	8,112 ",,
EM, 	196 , 	393 , 	276 , 	361 , 	984 , 	355 , 	519 , 	410 , 	446 , 	403 , 	466 , 	426 , 	213 , 	230 , 	136 , 	99 , 	207 , 	457 , 	298 , 	403 , 	520 , 	321 , 	265 , 	570 , 	754 , 	119 , 	45 , 	338 , 	370 , 	449 , 	565 , 	358 , 	404 , 	461 , 	125 , 	170 , 	855 , 	169 , 	306 , 	114 , 	161 , 	446 , 	577 , 	225 , 	159 , 	-   ," 	16,118 ",,,SFIA," 	14,076 "," 	1,140 "," 	4,528 "," 	1,562 "," 	1,877 "," 	1,031 "," 	1,134 "," 	188,483 "
MT, 	114 , 	270 , 	192 , 	216 , 	517 , 	220 , 	333 , 	285 , 	271 , 	298 , 	309 , 	256 , 	142 , 	151 , 	68 , 	60 , 	133 , 	256 , 	150 , 	203 , 	229 , 	142 , 	127 , 	323 , 	442 , 	38 , 	63 , 	61 , 	143 , 	343 , 	439 , 	327 , 	658 , 	373 , 	99 , 	91 , 	306 , 	87 , 	150 , 	100 , 	104 , 	372 , 	312 , 	90 , 	90 , 	-   ," 	9,947 ",,,,,,,,,,,
PL, 	239 , 	547 , 	280 , 	305 , 	964 , 	358 , 	534 , 	425 , 	485 , 	504 , 	695 , 	510 , 	317 , 	315 , 	203 , 	129 , 	210 , 	484 , 	305 , 	303 , 	396 , 	233 , 	204 , 	482 , 	898 , 	275 , 	53 , 	165 , 	291 ," 	1,182 "," 	1,347 ", 	802 ," 	1,403 ", 	998 , 	332 , 	192 , 	564 , 	149 , 	359 , 	243 , 	288 ," 	1,470 ", 	794 , 	186 , 	131 , 	-   ," 	21,542 ",,,,,,,,,,,
CC, 	201 , 	464 , 	312 , 	362 , 	891 , 	430 , 	608 , 	468 , 	360 , 	357 , 	648 , 	367 , 	252 , 	304 , 	184 , 	118 , 	191 , 	500 , 	313 , 	319 , 	453 , 	244 , 	234 , 	652 , 	847 , 	294 , 	209 , 	423 , 	152 , 	774 ," 	1,034 ", 	598 , 	780 , 	908 , 	271 , 	169 , 	615 , 	176 , 	388 , 	271 , 	377 , 	568 ," 	1,263 ", 	172 , 	90 , 	-   ," 	19,607 ",,,,,,,,,,,
16, 	68 , 	74 , 	46 , 	112 , 	232 , 	147 , 	218 , 	221 , 	121 , 	155 , 	165 , 	107 , 	32 , 	37 , 	23 , 	15 , 	19 , 	55 , 	42 , 	42 , 	57 , 	29 , 	26 , 	159 , 	227 , 	367 , 	336 ," 	1,331 ", 	838 , 	55 , 	156 , 	198 , 	370 , 	205 , 	80 , 	19 , 	54 , 	13 , 	46 , 	58 , 	83 , 	272 , 	228 , 	17 , 	40 , 	-   ," 	7,190 ",,,,,,,,,,,
24, 	75 , 	71 , 	36 , 	65 , 	144 , 	87 , 	170 , 	156 , 	97 , 	99 , 	134 , 	99 , 	31 , 	35 , 	17 , 	19 , 	14 , 	31 , 	27 , 	29 , 	40 , 	21 , 	19 , 	96 , 	161 , 	425 , 	340 ," 	1,467 ", 	987 , 	171 , 	85 , 	190 , 	348 , 	200 , 	74 , 	18 , 	38 , 	14 , 	47 , 	58 , 	102 , 	273 , 	158 , 	12 , 	38 , 	-   ," 	6,812 ",,,,,,,,,,,
GP, 	23 , 	26 , 	19 , 	27 , 	74 , 	22 , 	40 , 	45 , 	41 , 	29 , 	43 , 	62 , 	15 , 	16 , 	8 , 	7 , 	7 , 	13 , 	17 , 	19 , 	19 , 	10 , 	11 , 	34 , 	40 , 	241 , 	234 , 	858 , 	518 , 	247 , 	177 , 	21 , 	44 , 	44 , 	23 , 	10 , 	27 , 	7 , 	27 , 	21 , 	55 , 	125 , 	74 , 	10 , 	22 , 	-   ," 	3,445 ",,,,,,,,,,,
BP, 	26 , 	41 , 	13 , 	21 , 	43 , 	18 , 	40 , 	32 , 	49 , 	41 , 	42 , 	46 , 	19 , 	23 , 	11 , 	5 , 	13 , 	22 , 	22 , 	11 , 	16 , 	6 , 	5 , 	15 , 	39 , 	362 , 	339 ," 	1,762 ", 	602 , 	376 , 	278 , 	45 , 	48 , 	53 , 	49 , 	11 , 	25 , 	4 , 	39 , 	29 , 	105 , 	116 , 	78 , 	6 , 	13 , 	-   ," 	4,951 ",,,,,,,,,,,
DC, 	17 , 	30 , 	10 , 	13 , 	57 , 	15 , 	27 , 	28 , 	35 , 	28 , 	32 , 	97 , 	19 , 	24 , 	14 , 	8 , 	10 , 	25 , 	22 , 	14 , 	20 , 	7 , 	11 , 	15 , 	35 , 	317 , 	286 ," 	1,220 ", 	863 , 	306 , 	207 , 	49 , 	66 , 	27 , 	26 , 	15 , 	33 , 	7 , 	27 , 	26 , 	91 , 	188 , 	109 , 	12 , 	23 , 	-   ," 	4,507 ",,,,,,,,,,,
CM, 	9 , 	17 , 	6 , 	5 , 	15 , 	4 , 	9 , 	9 , 	16 , 	6 , 	6 , 	9 , 	4 , 	9 , 	3 , 	3 , 	2 , 	6 , 	8 , 	8 , 	7 , 	3 , 	4 , 	2 , 	12 , 	96 , 	83 , 	376 , 	253 , 	84 , 	76 , 	26 , 	47 , 	22 , 	11 , 	2 , 	5 , 	3 , 	18 , 	7 , 	40 , 	101 , 	34 , 	1 , 	2 , 	-   ," 	1,465 ",,,,,,,,,,,
CV, 	2 , 	8 , 	6 , 	5 , 	17 , 	4 , 	9 , 	9 , 	14 , 	44 , 	24 , 	125 , 	20 , 	50 , 	16 , 	7 , 	7 , 	17 , 	3 , 	2 , 	1 , 	1 , 	0 , 	3 , 	5 , 	131 , 	82 , 	200 , 	183 , 	33 , 	19 , 	7 , 	12 , 	13 , 	3 , 	9 , 	59 , 	0 , 	1 , 	1 , 	2 , 	19 , 	2 , 	72 , 	13 , 	-   ," 	1,254 ",,,,,,,,,,,
ED, 	8 , 	15 , 	9 , 	9 , 	63 , 	15 , 	16 , 	15 , 	17 , 	47 , 	59 , 	418 , 	34 , 	111 , 	35 , 	12 , 	34 , 	72 , 	7 , 	7 , 	4 , 	1 , 	2 , 	7 , 	14 , 	702 , 	261 , 	631 , 	596 , 	81 , 	41 , 	26 , 	27 , 	38 , 	3 , 	62 , 	65 , 	1 , 	11 , 	4 , 	5 , 	113 , 	10 , 	33 , 	81 , 	-   ," 	3,817 ",,,,,,,,,,,
NC, 	1 , 	2 , 	2 , 	1 , 	10 , 	2 , 	8 , 	8 , 	8 , 	1 , 	4 , 	36 , 	1 , 	2 , 	1 , 	1 , 	2 , 	3 , 	18 , 	12 , 	18 , 	6 , 	2 , 	10 , 	2 , 	126 , 	60 , 	169 , 	170 , 	27 , 	12 , 	9 , 	5 , 	9 , 	2 , 	2 , 	2 , 	10 , 	24 , 	3 , 	3 , 	38 , 	3 , 	-   , 	13 , 	-   , 	841 ,,,,,,,,,,,
WP, 	24 , 	29 , 	8 , 	10 , 	36 , 	16 , 	85 , 	44 , 	47 , 	12 , 	41 , 	82 , 	19 , 	18 , 	15 , 	10 , 	11 , 	21 , 	172 , 	56 , 	106 , 	22 , 	14 , 	30 , 	19 , 	238 , 	138 , 	424 , 	351 , 	58 , 	54 , 	22 , 	43 , 	31 , 	21 , 	4 , 	8 , 	26 , 	18 , 	8 , 	17 , 	102 , 	18 , 	3 , 	23 , 	-   ," 	2,550 ",,,,,,,,,,,
SS, 	8 , 	10 , 	3 , 	4 , 	10 , 	6 , 	8 , 	4 , 	10 , 	6 , 	9 , 	20 , 	4 , 	3 , 	3 , 	1 , 	1 , 	3 , 	8 , 	2 , 	9 , 	2 , 	2 , 	4 , 	6 , 	84 , 	85 , 	271 , 	235 , 	78 , 	57 , 	28 , 	31 , 	25 , 	7 , 	1 , 	4 , 	4 , 	12 , 	7 , 	28 , 	46 , 	17 , 	3 , 	1 , 	-   ," 	1,163 ",,,,,,,,,,,
SB, 	10 , 	11 , 	7 , 	4 , 	14 , 	5 , 	15 , 	13 , 	14 , 	8 , 	10 , 	22 , 	4 , 	10 , 	6 , 	3 , 	4 , 	8 , 	11 , 	9 , 	11 , 	2 , 	3 , 	5 , 	12 , 	136 , 	70 , 	324 , 	329 , 	106 , 	96 , 	52 , 	114 , 	92 , 	30 , 	1 , 	9 , 	3 , 	16 , 	20 , 	16 , 	54 , 	31 , 	2 , 	6 , 	-   ," 	1,723 ",,,,,,,,,,,
SO, 	31 , 	53 , 	39 , 	71 , 	127 , 	44 , 	84 , 	55 , 	70 , 	19 , 	35 , 	27 , 	17 , 	9 , 	11 , 	5 , 	15 , 	26 , 	54 , 	96 , 	123 , 	74 , 	60 , 	112 , 	70 , 	366 , 	299 ," 	1,296 ", 	382 , 	171 , 	113 , 	52 , 	62 , 	111 , 	72 , 	10 , 	79 , 	26 , 	78 , 	23 , 	30 , 	30 , 	283 , 	25 , 	23 , 	-   ," 	4,850 ",,,,,,,,,,,
MB, 	23 , 	20 , 	15 , 	16 , 	100 , 	17 , 	25 , 	28 , 	35 , 	15 , 	17 , 	46 , 	3 , 	6 , 	4 , 	2 , 	2 , 	4 , 	10 , 	15 , 	20 , 	11 , 	5 , 	29 , 	20 , 	339 , 	268 , 	911 ," 	1,226 ", 	336 , 	164 , 	62 , 	100 , 	112 , 	33 , 	2 , 	8 , 	4 , 	22 , 	15 , 	28 , 	458 , 	51 , 	2 , 	12 , 	-   ," 	4,636 ",,,,,,,,,,,
WD, 	2 , 	3 , 	5 , 	4 , 	24 , 	8 , 	7 , 	10 , 	10 , 	29 , 	32 , 	175 , 	23 , 	79 , 	24 , 	12 , 	15 , 	26 , 	1 , 	4 , 	2 , 	1 , 	1 , 	4 , 	9 , 	197 , 	97 , 	230 , 	195 , 	40 , 	12 , 	13 , 	11 , 	13 , 	1 , 	76 , 	28 , 	1 , 	3 , 	2 , 	2 , 	48 , 	3 , 	12 , 	43 , 	-   ," 	1,531 ",,,,,,,,,,,
OA, 	5 , 	16 , 	14 , 	17 , 	52 , 	13 , 	15 , 	14 , 	29 , 	9 , 	3 , 	63 , 	4 , 	3 , 	5 , 	2 , 	5 , 	30 , 	8 , 	21 , 	18 , 	12 , 	5 , 	11 , 	4 , 	92 , 	56 , 	124 , 	50 , 	18 , 	13 , 	7 , 	5 , 	6 , 	1 , 	5 , 	41 , 	6 , 	13 , 	1 , 	1 , 	27 , 	2 , 	15 , 	14 , 	-   , 	871 ,,,,,,,,,,,
WS, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,,,
Entries," 	1,922 "," 	3,295 "," 	2,213 "," 	2,393 "," 	7,081 "," 	2,935 "," 	4,129 "," 	3,500 "," 	3,641 "," 	3,140 "," 	4,389 "," 	5,934 "," 	2,101 "," 	2,621 "," 	1,696 "," 	1,026 "," 	1,551 "," 	3,691 "," 	2,171 "," 	2,108 "," 	2,880 "," 	1,535 "," 	1,297 "," 	3,266 "," 	4,213 "," 	12,175 "," 	7,843 "," 	24,234 "," 	19,493 "," 	8,119 "," 	6,857 "," 	3,571 "," 	5,237 "," 	4,401 "," 	1,428 "," 	1,258 "," 	3,867 ", 	863 ," 	2,463 "," 	1,148 "," 	1,748 "," 	6,869 "," 	4,504 "," 	1,382 "," 	1,826 ", 	-   ," 	194,008 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
