Exit stations,Entry stations->,,TOTAL,,,Oct 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	387 ," 	2,013 "," 	1,686 "," 	1,059 "," 	6,732 "," 	1,247 "," 	1,996 "," 	1,501 "," 	1,597 ", 	592 ," 	1,423 ", 	981 , 	472 , 	257 , 	561 , 	256 , 	117 , 	203 , 	296 , 	247 , 	359 , 	190 , 	147 , 	336 , 	532 ," 	4,965 "," 	3,669 "," 	6,733 "," 	3,644 "," 	2,681 "," 	2,713 ", 	727 , 	747 ," 	1,311 ", 	301 , 	104 , 	160 , 	91 , 	188 , 	244 , 	296 ," 	1,030 ", 	324 , 	80 , 	298 , 	407 , 	162 , 	234 , 	182 , 	175 ," 	56,653 ",,,,,,,,,,,,,
CL, 	998 ," 	1,470 ", 	491 , 	590 ," 	2,031 ", 	800 ," 	2,259 "," 	1,847 "," 	2,270 "," 	2,151 "," 	3,470 ", 	728 ," 	2,313 "," 	2,279 "," 	2,477 "," 	1,170 "," 	1,040 "," 	1,073 ", 	423 , 	448 , 	341 , 	229 , 	150 , 	393 ," 	1,434 "," 	5,631 "," 	3,764 "," 	5,627 "," 	4,123 "," 	1,807 "," 	2,073 ", 	745 , 	933 ," 	1,392 ", 	136 , 	686 ," 	1,757 ", 	116 , 	413 , 	238 , 	301 , 	502 , 	320 , 	765 , 	880 ," 	1,166 ", 	773 ," 	1,204 ", 	225 , 	509 ," 	68,961 ",,,,,,,,,,,,,
SL, 	504 , 	662 , 	406 , 	484 ," 	2,068 ", 	683 ," 	1,716 "," 	1,955 "," 	2,693 "," 	4,160 "," 	4,286 "," 	2,211 ", 	473 ," 	2,045 "," 	2,924 "," 	1,353 "," 	1,096 "," 	1,292 ", 	315 , 	304 , 	260 , 	40 , 	85 , 	286 , 	743 ," 	8,103 "," 	6,639 "," 	7,723 "," 	5,424 "," 	2,010 "," 	1,609 ", 	485 , 	817 ," 	1,247 ", 	139 , 	716 ," 	1,531 ", 	77 , 	192 , 	153 , 	127 , 	597 , 	143 , 	741 , 	210 ," 	1,111 ", 	636 , 	745 , 	82 , 	297 ," 	74,598 ",,,,,,,,,,,,,
BF, 	256 , 	456 , 	227 , 	198 ," 	1,544 ", 	346 , 	957 ," 	1,585 "," 	2,399 "," 	2,945 "," 	3,570 "," 	2,254 "," 	2,286 ", 	393 ," 	2,010 "," 	1,155 "," 	1,229 "," 	1,320 ", 	344 , 	152 , 	153 , 	49 , 	72 , 	217 , 	648 ," 	6,497 "," 	5,542 "," 	7,538 "," 	4,910 "," 	1,572 "," 	1,025 ", 	464 , 	770 , 	835 , 	141 , 	745 ," 	1,690 ", 	14 , 	150 , 	158 , 	153 , 	350 , 	138 ," 	1,153 ", 	202 ," 	1,225 ", 	598 , 	699 , 	100 , 	112 ," 	63,546 ",,,,,,,,,,,,,
HY, 	565 , 	814 , 	315 , 	292 ," 	1,480 ", 	407 ," 	1,162 "," 	1,398 "," 	2,267 "," 	1,761 "," 	3,534 "," 	2,365 "," 	2,883 "," 	1,890 ", 	422 ," 	1,489 "," 	2,846 "," 	2,806 ", 	387 , 	219 , 	213 , 	125 , 	67 , 	182 , 	601 ," 	4,057 "," 	2,991 "," 	3,296 "," 	2,667 "," 	1,071 ", 	713 , 	234 , 	394 , 	578 , 	107 , 	242 , 	967 , 	96 , 	425 , 	108 , 	162 , 	223 , 	108 , 	605 , 	198 ," 	1,853 "," 	1,383 "," 	1,362 ", 	138 , 	485 ," 	54,953 ",,,,,,,,,,,,,
SH, 	250 , 	242 , 	107 , 	195 ," 	1,131 ", 	191 , 	599 , 	893 ," 	1,125 "," 	1,297 "," 	1,638 "," 	1,037 "," 	1,244 "," 	1,175 "," 	1,434 ", 	279 , 	977 ," 	1,449 ", 	171 , 	62 , 	126 , 	27 , 	22 , 	67 , 	325 ," 	3,193 "," 	2,263 "," 	2,349 "," 	2,272 ", 	731 , 	652 , 	154 , 	229 , 	546 , 	143 , 	198 , 	502 , 	38 , 	92 , 	75 , 	53 , 	173 , 	80 , 	316 , 	162 ," 	1,409 ", 	660 , 	907 , 	24 , 	89 ," 	33,373 ",,,,,,,,,,,,,
UC, 	151 , 	398 , 	180 , 	216 ," 	1,687 ", 	278 , 	679 , 	989 ," 	1,617 "," 	1,044 "," 	1,518 "," 	1,050 "," 	1,118 "," 	1,581 "," 	2,767 ", 	979 , 	419 ," 	1,572 ", 	183 , 	127 , 	196 , 	21 , 	30 , 	146 , 	306 ," 	5,065 "," 	3,145 "," 	3,065 "," 	2,232 ", 	816 , 	434 , 	209 , 	231 , 	513 , 	97 , 	224 , 	659 , 	13 , 	98 , 	35 , 	38 , 	280 , 	57 , 	349 , 	353 ," 	1,648 "," 	1,342 "," 	1,475 ", 	68 , 	123 ," 	41,821 ",,,,,,,,,,,,,
FM, 	222 , 	526 , 	220 , 	319 ," 	1,461 ", 	342 , 	749 ," 	1,150 "," 	1,392 ", 	952 ," 	1,570 ", 	983 ," 	1,341 "," 	1,253 "," 	2,926 "," 	1,606 "," 	1,671 ", 	521 , 	192 , 	150 , 	130 , 	20 , 	64 , 	126 , 	228 ," 	5,795 "," 	3,607 "," 	2,858 "," 	2,435 ", 	818 , 	415 , 	184 , 	247 , 	542 , 	99 , 	292 , 	652 , 	31 , 	112 , 	16 , 	56 , 	465 , 	41 , 	258 , 	381 ," 	1,879 "," 	1,876 "," 	2,102 ", 	31 , 	151 ," 	45,457 ",,,,,,,,,,,,,
CN, 	400 , 	364 , 	295 , 	164 , 	919 , 	166 ," 	1,357 "," 	1,556 "," 	1,799 ", 	232 , 	420 , 	466 , 	364 , 	348 , 	448 , 	195 , 	194 , 	192 , 	615 ," 	1,054 "," 	3,385 "," 	1,679 ", 	564 , 	968 , 	307 ," 	6,640 "," 	4,884 "," 	5,190 "," 	4,453 "," 	1,424 "," 	1,132 ", 	547 , 	577 , 	846 , 	144 , 	51 , 	140 , 	619 ," 	2,671 ", 	189 , 	216 ," 	1,718 ", 	210 , 	30 , 	494 , 	97 , 	173 , 	186 ," 	1,633 "," 	2,021 "," 	54,736 ",,,,,,,,,,,,,
PH, 	321 , 	295 , 	200 , 	238 ," 	1,205 ", 	224 ," 	1,378 "," 	1,828 "," 	2,081 ", 	200 , 	415 , 	417 , 	223 , 	187 , 	216 , 	73 , 	111 , 	136 ," 	1,082 ", 	438 ," 	1,482 ", 	778 , 	474 ," 	1,484 ", 	159 ," 	10,291 "," 	7,855 "," 	5,846 "," 	4,507 "," 	1,508 ", 	925 , 	718 , 	461 , 	753 , 	112 , 	28 , 	74 , 	339 , 	899 , 	187 , 	268 ," 	2,524 ", 	147 , 	17 , 	799 , 	126 , 	142 , 	237 , 	580 , 	889 ," 	55,877 ",,,,,,,,,,,,,
WC, 	375 , 	432 , 	336 , 	235 ," 	1,269 ", 	199 ," 	1,538 "," 	2,121 "," 	2,453 ", 	304 , 	493 , 	313 , 	243 , 	157 , 	181 , 	129 , 	181 , 	120 ," 	3,827 "," 	1,491 ", 	508 , 	968 , 	622 ," 	1,827 ", 	321 ," 	10,507 "," 	7,089 "," 	5,031 "," 	4,695 "," 	1,367 ", 	775 , 	507 , 	346 , 	575 , 	192 , 	69 , 	99 , 	634 ," 	1,630 ", 	222 , 	173 ," 	3,015 ", 	268 , 	28 , 	658 , 	70 , 	103 , 	163 , 	887 ," 	1,312 "," 	61,058 ",,,,,,,,,,,,,
