Exit stations,Entry stations->,,TOTAL,,,Oct 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	387 ," 	2,013 "," 	1,686 "," 	1,059 "," 	6,732 "," 	1,247 "," 	1,996 "," 	1,501 "," 	1,597 ", 	592 ," 	1,423 ", 	981 , 	472 , 	257 , 	561 , 	256 , 	117 , 	203 , 	296 , 	247 , 	359 , 	190 , 	147 , 	336 , 	532 ," 	4,965 "," 	3,669 "," 	6,733 "," 	3,644 "," 	2,681 "," 	2,713 ", 	727 , 	747 ," 	1,311 ", 	301 , 	104 , 	160 , 	91 , 	188 , 	244 , 	296 ," 	1,030 ", 	324 , 	80 , 	298 , 	407 , 	162 , 	234 , 	182 , 	175 ," 	56,653 ",,,,,,,,,,,,,
GP, 	733 , 	874 , 	420 , 	390 ," 	1,757 ", 	381 , 	934 ," 	1,403 "," 	1,383 ", 	658 , 	844 , 	626 , 	450 , 	417 , 	279 , 	138 , 	192 , 	131 , 	523 , 	533 , 	453 , 	201 , 	213 , 	598 , 	977 ," 	8,705 "," 	9,961 "," 	12,637 "," 	7,531 "," 	4,640 "," 	4,058 ", 	427 ," 	1,312 "," 	1,377 ", 	941 , 	234 , 	439 , 	95 , 	411 , 	744 , 	841 ," 	2,403 "," 	1,306 ", 	186 , 	265 , 	156 , 	140 , 	141 , 	106 , 	493 ," 	75,057 ",,,,,,,,,,,,,
BP, 	751 ," 	1,280 ", 	463 , 	371 ," 	1,261 ", 	475 , 	909 ," 	1,099 "," 	1,405 ", 	950 ," 	1,274 ", 	831 , 	755 , 	665 , 	398 , 	252 , 	227 , 	226 , 	521 , 	439 , 	348 , 	154 , 	109 , 	749 ," 	1,358 "," 	10,587 "," 	10,523 "," 	23,841 "," 	10,017 "," 	6,417 "," 	5,775 "," 	1,159 ", 	492 ," 	1,526 "," 	1,475 ", 	271 , 	508 , 	168 , 	589 ," 	1,013 "," 	1,370 "," 	2,283 "," 	1,893 ", 	226 , 	162 , 	130 , 	192 , 	134 , 	172 , 	550 ," 	98,743 ",,,,,,,,,,,,,
DC," 	1,381 "," 	1,918 ", 	651 , 	419 ," 	1,440 ", 	433 , 	882 ," 	1,260 "," 	1,656 "," 	1,055 "," 	2,130 "," 	1,449 "," 	1,320 ", 	792 , 	623 , 	576 , 	497 , 	573 , 	841 , 	783 , 	594 , 	216 , 	249 , 	481 , 	783 ," 	11,767 "," 	12,423 "," 	17,882 "," 	10,889 "," 	6,440 "," 	5,428 "," 	1,299 "," 	1,880 ", 	673 , 	636 , 	440 ," 	1,163 ", 	276 , 	850 ," 	1,407 "," 	1,973 "," 	4,687 "," 	3,365 ", 	393 , 	188 , 	233 , 	323 , 	392 , 	322 ," 	1,049 "," 	109,380 ",,,,,,,,,,,,,
CM, 	256 , 	284 , 	82 , 	119 , 	415 , 	85 , 	241 , 	351 , 	716 , 	93 , 	228 , 	124 , 	112 , 	149 , 	96 , 	133 , 	71 , 	74 , 	155 , 	112 , 	178 , 	66 , 	32 , 	114 , 	271 ," 	4,667 "," 	4,701 "," 	6,118 "," 	4,166 "," 	2,468 "," 	2,271 ", 	877 ," 	1,468 ", 	663 , 	236 , 	43 , 	97 , 	35 , 	252 , 	284 , 	651 ," 	2,580 "," 	1,249 ", 	26 , 	28 , 	14 , 	24 , 	27 , 	81 , 	252 ," 	37,835 ",,,,,,,,,,,,,
CV, 	96 , 	107 , 	88 , 	92 , 	498 , 	102 , 	197 , 	411 , 	402 ," 	1,342 ", 	945 , 	768 ," 	1,059 ", 	851 , 	294 , 	239 , 	277 , 	255 , 	56 , 	17 , 	54 , 	25 , 	64 , 	93 , 	227 ," 	4,775 "," 	3,769 "," 	3,041 "," 	2,618 ", 	798 , 	426 , 	232 , 	310 , 	445 , 	40 , 	205 ," 	1,646 ", 	17 , 	29 , 	57 , 	85 , 	278 , 	56 ," 	1,135 ", 	151 , 	136 , 	124 , 	137 , 	19 , 	47 ," 	29,135 ",,,,,,,,,,,,,
ED, 	174 , 	238 , 	125 , 	151 ," 	1,370 ", 	225 , 	640 , 	946 ," 	1,109 "," 	1,983 "," 	2,002 "," 	1,757 "," 	1,443 "," 	1,589 ", 	831 , 	550 , 	636 , 	569 , 	142 , 	92 , 	84 , 	29 , 	26 , 	50 , 	418 ," 	14,191 "," 	8,369 "," 	7,567 "," 	5,275 "," 	1,652 ", 	901 , 	480 , 	588 ," 	1,151 ", 	91 ," 	1,560 ", 	799 , 	11 , 	50 , 	166 , 	89 ," 	1,934 ", 	180 , 	551 ," 	1,162 ", 	381 , 	544 , 	513 , 	21 , 	53 ," 	65,458 ",,,,,,,,,,,,,
NC, 	66 , 	82 , 	40 , 	80 , 	212 , 	51 , 	273 , 	411 , 	495 , 	163 , 	91 , 	126 , 	84 , 	13 , 	82 , 	42 , 	13 , 	34 , 	599 , 	324 , 	467 , 	63 , 	91 , 	242 , 	45 ," 	1,948 "," 	1,449 "," 	1,539 "," 	1,337 ", 	412 , 	397 , 	88 , 	182 , 	280 , 	33 , 	13 , 	10 , 	139 , 	420 , 	89 , 	45 , 	628 , 	25 , 	4 , 	152 , 	43 , 	41 , 	29 , 	366 , 	452 ," 	14,310 ",,,,,,,,,,,,,
WP, 	161 , 	219 , 	94 , 	87 , 	587 , 	156 , 	972 ," 	1,120 "," 	1,300 ", 	214 , 	330 , 	400 , 	196 , 	174 , 	378 , 	90 , 	108 , 	123 ," 	2,801 ", 	977 ," 	1,654 ", 	421 , 	192 , 	592 , 	255 ," 	4,652 "," 	3,867 "," 	6,129 "," 	3,996 "," 	1,654 "," 	1,329 ", 	488 , 	587 , 	837 , 	215 , 	28 , 	49 , 	416 , 	485 , 	220 , 	303 ," 	1,656 ", 	164 , 	40 , 	325 , 	139 , 	68 , 	102 , 	339 , 	463 ," 	42,152 ",,,,,,,,,,,,,
SS, 	250 , 	349 , 	126 , 	69 , 	463 , 	85 , 	207 , 	441 , 	638 , 	162 , 	125 , 	199 , 	139 , 	188 , 	89 , 	47 , 	35 , 	14 , 	178 , 	182 , 	213 , 	39 , 	55 , 	135 , 	197 ," 	4,123 "," 	3,779 "," 	4,989 "," 	3,854 "," 	1,803 "," 	1,632 ", 	673 ," 	1,134 "," 	1,426 ", 	295 , 	70 , 	182 , 	93 , 	243 , 	249 , 	447 ," 	1,255 ", 	721 , 	25 , 	44 , 	41 , 	10 , 	21 , 	66 , 	324 ," 	32,124 ",,,,,,,,,,,,,
SB, 	317 , 	425 , 	139 , 	89 , 	494 , 	147 , 	260 , 	489 , 	563 , 	188 , 	231 , 	290 , 	160 , 	127 , 	185 , 	70 , 	34 , 	80 , 	205 , 	243 , 	179 , 	104 , 	62 , 	173 , 	359 ," 	3,606 "," 	3,642 "," 	4,668 "," 	4,107 "," 	2,254 "," 	2,320 ", 	825 ," 	1,681 "," 	2,080 ", 	646 , 	112 , 	82 , 	79 , 	335 , 	472 , 	289 ," 	1,853 ", 	468 , 	48 , 	72 , 	16 , 	12 , 	38 , 	136 , 	314 ," 	35,768 ",,,,,,,,,,,,,
SO," 	1,066 "," 	1,542 ", 	965 ," 	1,355 "," 	2,406 ", 	901 ," 	1,676 "," 	1,525 "," 	1,886 ", 	546 , 	709 , 	429 , 	472 , 	291 , 	163 , 	139 , 	197 , 	339 ," 	1,574 "," 	2,143 "," 	2,445 "," 	1,546 "," 	1,091 "," 	1,960 "," 	2,144 "," 	5,817 "," 	5,554 "," 	18,978 "," 	6,531 "," 	3,881 "," 	2,405 "," 	1,662 "," 	1,854 "," 	3,642 "," 	2,271 ", 	203 ," 	1,402 ", 	580 ," 	1,546 ", 	871 ," 	1,104 "," 	2,253 "," 	6,018 ", 	417 , 	333 , 	147 , 	134 , 	111 , 	190 ," 	1,649 "," 	99,063 ",,,,,,,,,,,,,
MB, 	319 , 	643 , 	198 , 	319 ," 	1,773 ", 	244 , 	502 , 	731 , 	882 , 	119 , 	196 , 	292 , 	111 , 	133 , 	97 , 	81 , 	57 , 	42 , 	206 , 	136 , 	205 , 	90 , 	82 , 	167 , 	417 ," 	5,353 "," 	4,882 "," 	5,630 "," 	4,710 "," 	2,522 "," 	2,240 "," 	1,209 "," 	2,073 "," 	3,245 "," 	1,052 ", 	35 , 	190 , 	38 , 	125 , 	580 , 	345 ," 	8,008 "," 	1,072 ", 	68 , 	83 , 	15 , 	13 , 	10 , 	65 , 	192 ," 	51,797 ",,,,,,,,,,,,,
WD, 	107 , 	207 , 	111 , 	49 , 	376 , 	77 , 	200 , 	531 , 	411 ," 	1,014 "," 	1,000 ", 	716 , 	864 ," 	1,266 ", 	597 , 	378 , 	369 , 	307 , 	49 , 	40 , 	19 , 	11 , 	11 , 	29 , 	153 ," 	5,886 "," 	3,175 "," 	2,470 "," 	2,134 ", 	729 , 	385 , 	209 , 	244 , 	418 , 	32 ," 	1,126 ", 	572 , 	6 , 	30 , 	26 , 	67 , 	571 , 	64 , 	262 , 	516 , 	167 , 	214 , 	283 , 	28 , 	23 ," 	28,529 ",,,,,,,,,,,,,
OA, 	221 , 	601 , 	429 , 	465 ," 	1,445 ", 	409 , 	454 , 	516 , 	518 , 	370 , 	263 , 	608 , 	139 , 	96 , 	167 , 	114 , 	251 , 	248 , 	418 , 	636 , 	497 , 	320 , 	136 , 	196 , 	157 ," 	1,857 "," 	1,191 "," 	1,504 ", 	911 , 	410 , 	332 , 	261 , 	155 , 	169 , 	25 , 	98 , 	873 , 	135 , 	315 , 	32 , 	37 , 	363 , 	74 , 	362 , 	271 , 	117 , 	213 , 	196 , 	52 , 	400 ," 	20,027 ",,,,,,,,,,,,,
WS, 	417 , 	523 , 	190 , 	150 , 	862 , 	273 , 	498 , 	626 , 	624 , 	836 ," 	1,153 "," 	1,022 ", 	994 ," 	1,005 "," 	1,412 "," 	1,212 "," 	1,616 "," 	1,665 ", 	95 , 	113 , 	75 , 	7 , 	20 , 	117 , 	238 ," 	2,275 "," 	1,455 "," 	1,213 "," 	1,095 ", 	420 , 	220 , 	185 , 	160 , 	195 , 	16 , 	156 , 	386 , 	49 , 	149 , 	39 , 	26 , 	220 , 	14 , 	123 , 	124 , 	345 ," 	1,715 "," 	1,968 ", 	60 , 	145 ," 	28,496 ",,,,,,,,,,,,,
ML, 	200 , 	393 , 	105 , 	206 ," 	1,612 ", 	280 , 	445 , 	678 , 	668 , 	499 , 	682 , 	664 , 	611 , 	595 ," 	1,356 ", 	633 ," 	1,312 "," 	2,016 ", 	165 , 	137 , 	91 , 	39 , 	82 , 	106 , 	129 ," 	3,077 "," 	2,113 "," 	2,325 "," 	1,402 ", 	431 , 	260 , 	144 , 	238 , 	313 , 	31 , 	130 , 	463 , 	39 , 	76 , 	9 , 	12 , 	236 , 	18 , 	164 , 	280 ," 	1,711 ", 	473 , 	672 , 	24 , 	134 ," 	28,479 ",,,,,,,,,,,,,
BE, 	268 , 	513 , 	251 , 	271 ," 	2,359 ", 	408 , 	718 ," 	1,032 "," 	1,008 ", 	715 , 	879 ," 	1,029 ", 	814 , 	779 ," 	1,403 ", 	974 ," 	1,612 "," 	2,075 ", 	178 , 	251 , 	142 , 	69 , 	54 , 	96 , 	182 ," 	3,434 "," 	2,082 "," 	2,164 "," 	1,534 ", 	665 , 	347 , 	144 , 	205 , 	408 , 	20 , 	124 , 	514 , 	33 , 	100 , 	12 , 	34 , 	171 , 	16 , 	306 , 	236 ," 	2,318 ", 	621 , 	511 , 	48 , 	132 ," 	34,259 ",,,,,,,,,,,,,
PC, 	191 , 	114 , 	61 , 	41 , 	331 , 	58 , 	529 , 	261 , 	542 , 	74 , 	169 , 	189 , 	65 , 	45 , 	135 , 	24 , 	60 , 	39 ," 	1,556 ", 	436 , 	771 , 	167 , 	113 , 	322 , 	188 , 	821 , 	807 ," 	1,319 "," 	1,024 ", 	427 , 	264 , 	139 , 	191 , 	322 , 	92 , 	19 , 	41 , 	294 , 	352 , 	98 , 	144 , 	217 , 	67 , 	28 , 	85 , 	58 , 	23 , 	58 , 	75 , 	742 ," 	14,188 ",,,,,,,,,,,,,
AN, 	202 , 	219 , 	80 , 	78 , 	572 , 	135 ," 	1,269 "," 	1,085 "," 	1,716 ", 	256 , 	382 , 	477 , 	297 , 	115 , 	457 , 	82 , 	130 , 	148 ," 	1,965 ", 	745 ," 	1,357 ", 	209 , 	190 , 	656 , 	291 ," 	5,254 "," 	4,067 "," 	4,937 "," 	3,807 "," 	1,338 "," 	1,051 ", 	623 , 	631 ," 	1,040 ", 	299 , 	62 , 	59 , 	434 , 	598 , 	277 , 	316 ," 	1,798 ", 	192 , 	23 , 	516 , 	200 , 	152 , 	129 , 	650 , 	510 ," 	42,076 ",,,,,,,,,,,,,
Entries," 	60,092 "," 	86,623 "," 	50,094 "," 	45,148 "," 	134,353 "," 	49,285 "," 	92,586 "," 	107,443 "," 	112,437 "," 	71,346 "," 	101,700 "," 	67,285 "," 	73,715 "," 	62,995 "," 	55,922 "," 	35,005 "," 	41,651 "," 	45,077 "," 	55,195 "," 	55,951 "," 	60,518 "," 	34,776 "," 	28,574 "," 	55,037 "," 	89,860 "," 	345,336 "," 	266,296 "," 	334,271 "," 	239,407 "," 	143,239 "," 	137,967 "," 	76,090 "," 	106,896 "," 	106,393 "," 	38,111 "," 	28,495 "," 	65,871 "," 	14,808 "," 	41,906 "," 	31,182 "," 	33,585 "," 	121,372 "," 	52,966 "," 	27,454 "," 	24,272 "," 	30,549 "," 	28,474 "," 	33,477 "," 	14,882 "," 	42,993 "," 	4,058,960 ",,,,,,,,,,,,,
