Exit stations,Entry stations->,,SUNDAY,,,Feb 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	14 , 	34 , 	48 , 	26 , 	122 , 	39 , 	46 , 	34 , 	32 , 	22 , 	42 , 	34 , 	13 , 	9 , 	10 , 	4 , 	9 , 	7 , 	7 , 	5 , 	6 , 	3 , 	2 , 	8 , 	9 , 	92 , 	70 , 	181 , 	81 , 	62 , 	62 , 	17 , 	18 , 	16 , 	4 , 	2 , 	5 , 	1 , 	6 , 	7 , 	9 , 	27 , 	7 , 	3 , 	8 , 	8 , 	-   , 	-   , 	2 , 	6 ," 	1,277 ",,,,,,,,,,,
EN, 	37 , 	13 , 	31 , 	28 , 	200 , 	56 , 	58 , 	65 , 	62 , 	28 , 	44 , 	46 , 	18 , 	19 , 	17 , 	11 , 	7 , 	10 , 	11 , 	9 , 	13 , 	2 , 	3 , 	8 , 	14 , 	141 , 	103 , 	304 , 	112 , 	60 , 	57 , 	22 , 	25 , 	26 , 	14 , 	3 , 	7 , 	2 , 	8 , 	8 , 	10 , 	80 , 	10 , 	3 , 	20 , 	19 , 	-   , 	-   , 	5 , 	5 ," 	1,850 ",,,,,,,,,,,
EP, 	48 , 	31 , 	15 , 	24 , 	244 , 	38 , 	35 , 	49 , 	52 , 	22 , 	20 , 	16 , 	8 , 	10 , 	6 , 	4 , 	4 , 	6 , 	6 , 	5 , 	11 , 	3 , 	4 , 	11 , 	5 , 	94 , 	68 , 	169 , 	87 , 	46 , 	32 , 	14 , 	8 , 	11 , 	3 , 	2 , 	6 , 	2 , 	2 , 	2 , 	4 , 	53 , 	6 , 	2 , 	15 , 	15 , 	-   , 	-   , 	1 , 	3 ," 	1,318 ",,,,,,,,,,,
NB, 	28 , 	25 , 	26 , 	16 , 	63 , 	23 , 	34 , 	57 , 	39 , 	24 , 	32 , 	18 , 	14 , 	6 , 	9 , 	4 , 	5 , 	7 , 	4 , 	8 , 	12 , 	3 , 	1 , 	8 , 	8 , 	127 , 	76 , 	137 , 	125 , 	65 , 	43 , 	18 , 	12 , 	10 , 	4 , 	2 , 	7 , 	1 , 	4 , 	2 , 	6 , 	61 , 	7 , 	2 , 	23 , 	14 , 	-   , 	-   , 	1 , 	1 ," 	1,219 ",,,,,,,,,,,
BK, 	142 , 	204 , 	228 , 	67 , 	65 , 	94 , 	120 , 	176 , 	141 , 	68 , 	107 , 	52 , 	47 , 	38 , 	42 , 	13 , 	41 , 	58 , 	22 , 	23 , 	36 , 	18 , 	13 , 	20 , 	33 , 	253 , 	195 , 	418 , 	256 , 	151 , 	107 , 	44 , 	36 , 	43 , 	22 , 	16 , 	41 , 	6 , 	13 , 	8 , 	17 , 	125 , 	46 , 	11 , 	52 , 	155 , 	-   , 	-   , 	4 , 	6 ," 	3,886 ",,,,,,,,,,,
AS, 	41 , 	42 , 	37 , 	28 , 	100 , 	19 , 	41 , 	85 , 	53 , 	32 , 	38 , 	19 , 	14 , 	10 , 	13 , 	3 , 	8 , 	10 , 	5 , 	6 , 	6 , 	5 , 	2 , 	8 , 	10 , 	92 , 	73 , 	128 , 	107 , 	75 , 	52 , 	17 , 	10 , 	11 , 	3 , 	4 , 	7 , 	2 , 	2 , 	6 , 	4 , 	41 , 	8 , 	4 , 	24 , 	22 , 	-   , 	-   , 	2 , 	2 ," 	1,325 ",,,,,,,,,,,
MA, 	50 , 	58 , 	37 , 	32 , 	121 , 	45 , 	28 , 	80 , 	64 , 	33 , 	70 , 	59 , 	37 , 	26 , 	21 , 	11 , 	13 , 	14 , 	26 , 	24 , 	27 , 	16 , 	8 , 	30 , 	24 , 	215 , 	150 , 	307 , 	244 , 	171 , 	123 , 	34 , 	27 , 	23 , 	9 , 	8 , 	21 , 	6 , 	18 , 	4 , 	7 , 	91 , 	13 , 	8 , 	26 , 	23 , 	-   , 	-   , 	7 , 	14 ," 	2,501 ",,,,,,,,,,,
19, 	24 , 	50 , 	52 , 	52 , 	143 , 	93 , 	72 , 	33 , 	17 , 	25 , 	80 , 	60 , 	51 , 	37 , 	42 , 	14 , 	17 , 	21 , 	25 , 	27 , 	29 , 	19 , 	13 , 	54 , 	36 , 	245 , 	183 , 	353 , 	272 , 	214 , 	155 , 	40 , 	38 , 	38 , 	5 , 	15 , 	20 , 	8 , 	17 , 	8 , 	14 , 	89 , 	18 , 	8 , 	20 , 	33 , 	-   , 	-   , 	8 , 	12 ," 	2,892 ",,,,,,,,,,,
12, 	30 , 	68 , 	46 , 	40 , 	129 , 	54 , 	59 , 	14 , 	29 , 	18 , 	47 , 	45 , 	57 , 	55 , 	34 , 	21 , 	31 , 	27 , 	27 , 	31 , 	24 , 	19 , 	19 , 	43 , 	42 , 	275 , 	208 , 	445 , 	262 , 	153 , 	125 , 	49 , 	48 , 	40 , 	15 , 	7 , 	18 , 	5 , 	21 , 	11 , 	13 , 	103 , 	20 , 	10 , 	22 , 	31 , 	-   , 	-   , 	6 , 	14 ," 	2,900 ",,,,,,,,,,,
LM, 	25 , 	26 , 	25 , 	25 , 	65 , 	33 , 	37 , 	25 , 	14 , 	23 , 	99 , 	77 , 	76 , 	83 , 	29 , 	21 , 	28 , 	34 , 	8 , 	9 , 	8 , 	4 , 	7 , 	11 , 	11 , 	114 , 	107 , 	181 , 	109 , 	76 , 	59 , 	20 , 	15 , 	15 , 	6 , 	28 , 	46 , 	3 , 	8 , 	5 , 	6 , 	21 , 	6 , 	28 , 	18 , 	41 , 	-   , 	-   , 	3 , 	5 ," 	1,714 ",,,,,,,,,,,
