Exit stations,Entry stations->,,SATURDAY,,,Feb 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
FV, 	57 , 	51 , 	34 , 	38 , 	154 , 	65 , 	84 , 	88 , 	75 , 	78 , 	24 , 	171 , 	113 , 	135 , 	91 , 	49 , 	37 , 	42 , 	18 , 	14 , 	15 , 	10 , 	10 , 	35 , 	61 , 	279 , 	251 , 	548 , 	296 , 	171 , 	150 , 	36 , 	48 , 	43 , 	6 , 	33 , 	63 , 	3 , 	16 , 	8 , 	7 , 	41 , 	12 , 	45 , 	8 , 	48 , 	-   , 	-   , 	6 , 	12 ," 	3,681 ",,,,,,,,,,
CL, 	44 , 	64 , 	38 , 	34 , 	92 , 	43 , 	78 , 	86 , 	95 , 	91 , 	161 , 	15 , 	132 , 	153 , 	122 , 	62 , 	64 , 	58 , 	41 , 	43 , 	30 , 	22 , 	18 , 	19 , 	55 , 	161 , 	118 , 	234 , 	143 , 	87 , 	70 , 	26 , 	41 , 	56 , 	9 , 	73 , 	276 , 	20 , 	44 , 	9 , 	13 , 	23 , 	10 , 	77 , 	19 , 	70 , 	-   , 	-   , 	13 , 	35 ," 	3,285 ",,,,,,,,,,
SL, 	19 , 	22 , 	15 , 	19 , 	81 , 	26 , 	40 , 	78 , 	83 , 	138 , 	119 , 	132 , 	15 , 	80 , 	60 , 	28 , 	31 , 	30 , 	9 , 	6 , 	10 , 	3 , 	3 , 	17 , 	24 , 	180 , 	179 , 	364 , 	159 , 	68 , 	53 , 	21 , 	37 , 	32 , 	4 , 	23 , 	34 , 	6 , 	5 , 	7 , 	9 , 	35 , 	5 , 	32 , 	6 , 	30 , 	-   , 	-   , 	3 , 	8 ," 	2,388 ",,,,,,,,,,
BF, 	12 , 	18 , 	14 , 	12 , 	72 , 	16 , 	35 , 	52 , 	75 , 	128 , 	135 , 	154 , 	76 , 	10 , 	70 , 	35 , 	37 , 	40 , 	13 , 	3 , 	6 , 	3 , 	2 , 	7 , 	22 , 	183 , 	167 , 	345 , 	130 , 	64 , 	39 , 	16 , 	28 , 	24 , 	6 , 	25 , 	58 , 	3 , 	8 , 	4 , 	4 , 	21 , 	4 , 	43 , 	4 , 	38 , 	-   , 	-   , 	3 , 	5 ," 	2,266 ",,,,,,,,,,
HY, 	16 , 	17 , 	12 , 	15 , 	66 , 	18 , 	36 , 	46 , 	56 , 	42 , 	90 , 	103 , 	51 , 	62 , 	13 , 	48 , 	57 , 	78 , 	12 , 	5 , 	5 , 	3 , 	3 , 	7 , 	14 , 	97 , 	80 , 	179 , 	72 , 	32 , 	28 , 	10 , 	14 , 	21 , 	4 , 	16 , 	28 , 	4 , 	9 , 	4 , 	9 , 	16 , 	4 , 	24 , 	5 , 	56 , 	-   , 	-   , 	1 , 	9 ," 	1,595 ",,,,,,,,,,
SH, 	8 , 	10 , 	5 , 	6 , 	34 , 	10 , 	11 , 	18 , 	27 , 	26 , 	47 , 	63 , 	28 , 	38 , 	41 , 	8 , 	25 , 	37 , 	5 , 	4 , 	2 , 	0 , 	2 , 	2 , 	7 , 	74 , 	59 , 	125 , 	44 , 	21 , 	22 , 	8 , 	6 , 	11 , 	6 , 	7 , 	15 , 	1 , 	4 , 	4 , 	4 , 	10 , 	3 , 	9 , 	5 , 	37 , 	-   , 	-   , 	1 , 	3 , 	942 ,,,,,,,,,,
UC, 	9 , 	10 , 	9 , 	8 , 	71 , 	11 , 	21 , 	29 , 	35 , 	34 , 	42 , 	65 , 	30 , 	38 , 	57 , 	26 , 	9 , 	40 , 	6 , 	3 , 	5 , 	2 , 	1 , 	7 , 	7 , 	123 , 	104 , 	160 , 	82 , 	35 , 	20 , 	8 , 	9 , 	17 , 	2 , 	4 , 	19 , 	1 , 	4 , 	2 , 	4 , 	13 , 	2 , 	13 , 	5 , 	46 , 	-   , 	-   , 	2 , 	3 ," 	1,250 ",,,,,,,,,,
FM, 	10 , 	13 , 	13 , 	10 , 	92 , 	12 , 	23 , 	39 , 	36 , 	39 , 	51 , 	55 , 	29 , 	42 , 	81 , 	38 , 	37 , 	15 , 	6 , 	6 , 	3 , 	1 , 	2 , 	9 , 	6 , 	143 , 	105 , 	188 , 	93 , 	37 , 	29 , 	10 , 	9 , 	17 , 	3 , 	10 , 	20 , 	1 , 	6 , 	2 , 	3 , 	15 , 	4 , 	11 , 	11 , 	39 , 	-   , 	-   , 	2 , 	5 ," 	1,436 ",,,,,,,,,,
CN, 	14 , 	18 , 	13 , 	9 , 	39 , 	9 , 	32 , 	40 , 	43 , 	16 , 	16 , 	42 , 	7 , 	12 , 	10 , 	6 , 	6 , 	5 , 	18 , 	50 , 	124 , 	38 , 	21 , 	33 , 	12 , 	150 , 	121 , 	245 , 	112 , 	47 , 	35 , 	21 , 	19 , 	29 , 	6 , 	2 , 	6 , 	18 , 	87 , 	8 , 	10 , 	72 , 	11 , 	4 , 	14 , 	11 , 	-   , 	-   , 	46 , 	52 ," 	1,761 ",,,,,,,,,,
PH, 	5 , 	10 , 	8 , 	11 , 	32 , 	10 , 	32 , 	50 , 	41 , 	11 , 	11 , 	44 , 	5 , 	4 , 	6 , 	3 , 	3 , 	7 , 	69 , 	14 , 	59 , 	19 , 	10 , 	44 , 	7 , 	221 , 	153 , 	262 , 	141 , 	56 , 	36 , 	12 , 	11 , 	19 , 	4 , 	0 , 	3 , 	9 , 	31 , 	7 , 	7 , 	85 , 	9 , 	1 , 	18 , 	9 , 	-   , 	-   , 	13 , 	20 ," 	1,643 ",,,,,,,,,,
