Exit stations,Entry stations->,,TOTAL,,,Feb 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	327 ," 	1,364 "," 	1,146 ", 	691 ," 	4,581 ", 	900 ," 	1,437 "," 	1,124 "," 	1,255 ", 	417 ," 	1,202 ", 	785 , 	419 , 	257 , 	435 , 	212 , 	187 , 	145 , 	268 , 	128 , 	265 , 	126 , 	93 , 	267 , 	389 ," 	3,219 "," 	2,475 "," 	4,777 "," 	2,625 "," 	2,435 "," 	2,238 ", 	487 , 	715 , 	716 , 	211 , 	65 , 	168 , 	50 , 	135 , 	138 , 	254 , 	509 , 	215 , 	57 , 	144 , 	241 , 	118 , 	171 , 	158 , 	180 ," 	40,921 ",,,,,,,,,,,,,
EN," 	1,534 ", 	420 ," 	1,012 ", 	846 ," 	7,442 "," 	1,158 "," 	2,051 "," 	2,296 "," 	2,930 ", 	706 ," 	1,479 "," 	1,019 ", 	507 , 	490 , 	701 , 	243 , 	353 , 	373 , 	314 , 	147 , 	355 , 	116 , 	132 , 	283 , 	495 ," 	6,773 "," 	5,254 "," 	8,118 "," 	5,376 "," 	2,448 "," 	2,301 ", 	678 , 	950 ," 	1,145 ", 	293 , 	86 , 	237 , 	91 , 	202 , 	250 , 	357 ," 	1,088 ", 	464 , 	40 , 	442 , 	293 , 	164 , 	327 , 	101 , 	148 ," 	65,028 ",,,,,,,,,,,,,
EP," 	1,113 ", 	920 , 	150 , 	638 ," 	6,228 ", 	748 ," 	1,099 "," 	1,391 "," 	1,574 ", 	559 , 	633 , 	349 , 	393 , 	163 , 	232 , 	137 , 	140 , 	160 , 	190 , 	96 , 	190 , 	116 , 	62 , 	351 , 	137 ," 	3,027 "," 	2,594 "," 	2,821 "," 	2,468 ", 	981 , 	790 , 	312 , 	220 , 	463 , 	40 , 	45 , 	71 , 	29 , 	109 , 	86 , 	82 , 	512 , 	154 , 	72 , 	215 , 	117 , 	103 , 	201 , 	59 , 	64 ," 	33,404 ",,,,,,,,,,,,,
NB, 	821 , 	739 , 	672 , 	177 ," 	1,728 ", 	535 , 	770 ," 	1,216 ", 	926 , 	398 , 	903 , 	359 , 	382 , 	153 , 	166 , 	62 , 	108 , 	184 , 	151 , 	167 , 	166 , 	40 , 	91 , 	130 , 	183 ," 	2,717 "," 	2,375 "," 	2,556 "," 	2,774 "," 	1,221 ", 	813 , 	275 , 	301 , 	287 , 	69 , 	62 , 	106 , 	31 , 	98 , 	62 , 	67 , 	639 , 	140 , 	21 , 	252 , 	99 , 	81 , 	133 , 	14 , 	77 ," 	26,497 ",,,,,,,,,,,,,
BK," 	4,944 "," 	7,807 "," 	6,353 "," 	1,830 ", 	795 ," 	2,886 "," 	3,316 "," 	4,018 "," 	4,171 "," 	1,791 "," 	2,769 "," 	1,757 "," 	1,633 "," 	1,064 "," 	1,115 ", 	773 ," 	1,176 "," 	1,161 ", 	752 , 	757 , 	830 , 	499 , 	338 , 	317 ," 	1,075 "," 	6,058 "," 	4,124 "," 	6,520 "," 	5,123 "," 	3,141 "," 	2,350 "," 	1,189 ", 	966 ," 	1,021 ", 	275 , 	321 , 	807 , 	194 , 	489 , 	275 , 	282 ," 	1,319 "," 	1,005 ", 	190 , 	804 , 	652 , 	860 ," 	1,390 ", 	220 , 	535 ," 	94,037 ",,,,,,,,,,,,,
AS, 	994 ," 	1,112 ", 	673 , 	450 ," 	2,484 ", 	209 , 	738 ," 	1,500 "," 	1,229 ", 	579 ," 	1,063 ", 	612 , 	428 , 	335 , 	276 , 	197 , 	211 , 	234 , 	181 , 	151 , 	188 , 	76 , 	35 , 	93 , 	339 ," 	2,945 "," 	2,230 "," 	2,748 "," 	2,764 "," 	1,408 ", 	867 , 	283 , 	347 , 	287 , 	70 , 	46 , 	126 , 	47 , 	68 , 	41 , 	130 , 	462 , 	186 , 	49 , 	208 , 	162 , 	163 , 	218 , 	31 , 	81 ," 	30,354 ",,,,,,,,,,,,,
MA," 	1,676 "," 	2,077 "," 	1,084 ", 	770 ," 	3,242 ", 	807 , 	392 ," 	1,375 "," 	1,637 ", 	698 ," 	2,009 "," 	1,380 "," 	1,137 ", 	699 , 	703 , 	390 , 	421 , 	557 , 	908 , 	850 , 	882 , 	367 , 	260 , 	597 , 	632 ," 	5,436 "," 	4,514 "," 	5,524 "," 	5,066 "," 	3,228 "," 	2,175 ", 	647 , 	721 , 	473 , 	211 , 	129 , 	370 , 	231 , 	918 , 	219 , 	107 ," 	1,034 ", 	300 , 	131 , 	291 , 	182 , 	220 , 	301 , 	428 ," 	1,065 "," 	59,471 ",,,,,,,,,,,,,
19," 	1,163 "," 	2,238 "," 	1,309 "," 	1,329 "," 	3,860 "," 	1,440 "," 	1,336 ", 	403 , 	319 , 	267 ," 	1,274 "," 	1,261 "," 	1,146 ", 	989 , 	953 , 	589 , 	533 , 	519 ," 	1,036 "," 	1,048 "," 	1,209 ", 	541 , 	416 ," 	1,084 ", 	672 ," 	6,473 "," 	4,999 "," 	6,137 "," 	5,364 "," 	3,713 "," 	2,270 ", 	770 , 	857 , 	810 , 	239 , 	213 , 	345 , 	214 , 	685 , 	190 , 	245 , 	868 , 	381 , 	144 , 	297 , 	425 , 	327 , 	397 , 	295 , 	669 ," 	64,261 ",,,,,,,,,,,,,
12," 	1,369 "," 	2,859 "," 	1,566 ", 	937 ," 	3,773 "," 	1,229 "," 	1,617 ", 	310 , 	440 , 	220 ," 	1,174 "," 	1,356 "," 	1,854 "," 	1,439 "," 	1,239 ", 	614 , 	936 , 	721 ," 	1,126 "," 	1,213 "," 	1,189 ", 	518 , 	491 , 	984 , 	787 ," 	6,122 "," 	4,606 "," 	7,268 "," 	5,004 "," 	2,728 "," 	1,968 ", 	743 ," 	1,004 "," 	1,244 ", 	393 , 	152 , 	467 , 	304 , 	976 , 	384 , 	391 ," 	1,059 ", 	584 , 	138 , 	302 , 	437 , 	309 , 	441 , 	264 ," 	1,070 "," 	68,319 ",,,,,,,,,,,,,
LM, 	429 , 	663 , 	520 , 	400 ," 	2,174 ", 	557 , 	703 , 	289 , 	246 , 	254 ," 	1,729 "," 	1,868 "," 	2,528 "," 	2,080 "," 	1,292 ", 	917 , 	880 , 	761 , 	245 , 	170 , 	193 , 	75 , 	33 , 	161 , 	408 ," 	5,200 "," 	4,216 "," 	5,315 "," 	4,360 "," 	2,330 "," 	1,637 ", 	682 , 	802 , 	650 , 	78 ," 	1,114 "," 	1,487 ", 	68 , 	169 , 	116 , 	102 , 	263 , 	90 , 	598 , 	307 , 	509 , 	334 , 	440 , 	94 , 	263 ," 	50,799 ",,,,,,,,,,,,,
FV," 	1,157 "," 	1,285 ", 	687 , 	857 ," 	2,885 "," 	1,023 "," 	1,969 "," 	1,336 "," 	1,319 "," 	1,689 ", 	456 ," 	2,934 "," 	2,880 "," 	2,975 "," 	2,564 "," 	1,316 "," 	1,152 "," 	1,196 ", 	356 , 	199 , 	361 , 	272 , 	322 , 	574 ," 	1,414 "," 	5,829 "," 	4,309 "," 	7,866 "," 	6,213 "," 	2,823 "," 	2,655 ", 	545 , 	909 ," 	1,179 ", 	172 , 	674 ," 	1,664 ", 	84 , 	266 , 	116 , 	290 , 	470 , 	144 , 	820 , 	159 , 	790 , 	378 , 	584 , 	159 , 	438 ," 	72,714 ",,,,,,,,,,,,,
