Exit stations,Entry stations->,,SUNDAY,,,Feb 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	12 , 	24 , 	19 , 	8 , 	67 , 	13 , 	20 , 	23 , 	20 , 	19 , 	28 , 	18 , 	11 , 	4 , 	7 , 	3 , 	3 , 	2 , 	5 , 	3 , 	4 , 	2 , 	2 , 	4 , 	4 , 	48 , 	23 , 	95 , 	33 , 	30 , 	33 , 	8 , 	9 , 	7 , 	3 , 	2 , 	2 , 	1 , 	1 , 	4 , 	6 , 	16 , 	3 , 	1 , 	5 , 	6 , 	5 , 	6 , 	2 , 	3 , 	672 ,,,,,,,,,,,
CL, 	16 , 	10 , 	6 , 	3 , 	16 , 	10 , 	16 , 	27 , 	16 , 	33 , 	39 , 	4 , 	23 , 	37 , 	25 , 	14 , 	10 , 	8 , 	5 , 	10 , 	1 , 	3 , 	1 , 	3 , 	21 , 	35 , 	25 , 	78 , 	29 , 	25 , 	26 , 	6 , 	6 , 	9 , 	1 , 	8 , 	17 , 	1 , 	5 , 	2 , 	3 , 	9 , 	1 , 	10 , 	22 , 	11 , 	2 , 	7 , 	1 , 	7 , 	697 ,,,,,,,,,,,
SL, 	9 , 	9 , 	3 , 	6 , 	21 , 	9 , 	21 , 	31 , 	27 , 	42 , 	41 , 	23 , 	9 , 	30 , 	27 , 	13 , 	14 , 	14 , 	4 , 	2 , 	5 , 	2 , 	1 , 	5 , 	13 , 	57 , 	38 , 	107 , 	50 , 	23 , 	20 , 	4 , 	6 , 	7 , 	1 , 	11 , 	20 , 	1 , 	3 , 	0 , 	3 , 	12 , 	1 , 	13 , 	5 , 	11 , 	8 , 	14 , 	1 , 	3 , 	795 ,,,,,,,,,,,
BF, 	9 , 	11 , 	3 , 	5 , 	13 , 	11 , 	13 , 	27 , 	24 , 	39 , 	70 , 	41 , 	32 , 	8 , 	30 , 	16 , 	13 , 	16 , 	7 , 	2 , 	3 , 	2 , 	2 , 	2 , 	7 , 	47 , 	43 , 	108 , 	35 , 	17 , 	13 , 	5 , 	6 , 	5 , 	3 , 	10 , 	23 , 	-   , 	4 , 	1 , 	1 , 	12 , 	3 , 	19 , 	2 , 	15 , 	10 , 	9 , 	2 , 	4 , 	798 ,,,,,,,,,,,
HY, 	8 , 	13 , 	4 , 	1 , 	16 , 	3 , 	14 , 	23 , 	16 , 	19 , 	42 , 	24 , 	28 , 	26 , 	8 , 	11 , 	17 , 	22 , 	5 , 	1 , 	2 , 	2 , 	1 , 	2 , 	5 , 	32 , 	11 , 	39 , 	21 , 	8 , 	10 , 	4 , 	3 , 	5 , 	1 , 	5 , 	11 , 	0 , 	2 , 	1 , 	3 , 	7 , 	1 , 	5 , 	3 , 	19 , 	17 , 	19 , 	1 , 	1 , 	537 ,,,,,,,,,,,
SH, 	2 , 	4 , 	2 , 	2 , 	9 , 	5 , 	5 , 	6 , 	8 , 	8 , 	26 , 	11 , 	16 , 	15 , 	11 , 	6 , 	8 , 	12 , 	2 , 	3 , 	1 , 	-   , 	1 , 	0 , 	3 , 	21 , 	16 , 	40 , 	11 , 	5 , 	5 , 	3 , 	3 , 	3 , 	1 , 	5 , 	2 , 	2 , 	2 , 	1 , 	1 , 	4 , 	1 , 	4 , 	3 , 	13 , 	7 , 	24 , 	0 , 	1 , 	340 ,,,,,,,,,,,
UC, 	1 , 	6 , 	3 , 	3 , 	10 , 	7 , 	5 , 	11 , 	6 , 	9 , 	16 , 	12 , 	15 , 	13 , 	20 , 	9 , 	10 , 	12 , 	1 , 	1 , 	1 , 	0 , 	1 , 	1 , 	2 , 	38 , 	16 , 	42 , 	15 , 	10 , 	5 , 	3 , 	2 , 	5 , 	1 , 	5 , 	7 , 	1 , 	1 , 	1 , 	1 , 	4 , 	-   , 	6 , 	7 , 	16 , 	15 , 	14 , 	-   , 	1 , 	382 ,,,,,,,,,,,
FM, 	4 , 	5 , 	2 , 	3 , 	25 , 	5 , 	7 , 	11 , 	12 , 	11 , 	17 , 	9 , 	15 , 	17 , 	27 , 	12 , 	11 , 	9 , 	2 , 	2 , 	1 , 	0 , 	-   , 	2 , 	4 , 	37 , 	16 , 	41 , 	25 , 	10 , 	5 , 	2 , 	3 , 	3 , 	2 , 	2 , 	6 , 	1 , 	5 , 	1 , 	1 , 	8 , 	1 , 	1 , 	6 , 	15 , 	23 , 	20 , 	2 , 	2 , 	445 ,,,,,,,,,,,
CN, 	8 , 	7 , 	5 , 	1 , 	7 , 	3 , 	16 , 	19 , 	10 , 	2 , 	9 , 	8 , 	3 , 	7 , 	4 , 	1 , 	1 , 	2 , 	14 , 	20 , 	57 , 	27 , 	5 , 	16 , 	2 , 	57 , 	23 , 	70 , 	27 , 	22 , 	11 , 	6 , 	6 , 	3 , 	4 , 	-   , 	2 , 	6 , 	33 , 	2 , 	2 , 	27 , 	4 , 	1 , 	11 , 	1 , 	3 , 	5 , 	23 , 	15 , 	611 ,,,,,,,,,,,
PH, 	2 , 	3 , 	2 , 	3 , 	10 , 	5 , 	14 , 	14 , 	11 , 	6 , 	4 , 	8 , 	2 , 	2 , 	1 , 	2 , 	1 , 	1 , 	20 , 	6 , 	23 , 	11 , 	5 , 	15 , 	2 , 	51 , 	30 , 	77 , 	37 , 	17 , 	6 , 	7 , 	3 , 	6 , 	2 , 	0 , 	2 , 	4 , 	12 , 	1 , 	4 , 	34 , 	3 , 	-   , 	10 , 	1 , 	2 , 	2 , 	5 , 	10 , 	494 ,,,,,,,,,,,
WC, 	5 , 	9 , 	3 , 	5 , 	19 , 	4 , 	17 , 	21 , 	15 , 	3 , 	7 , 	1 , 	7 , 	3 , 	2 , 	2 , 	1 , 	1 , 	64 , 	31 , 	5 , 	13 , 	9 , 	26 , 	8 , 	64 , 	36 , 	83 , 	49 , 	20 , 	12 , 	6 , 	5 , 	7 , 	3 , 	0 , 	1 , 	6 , 	25 , 	4 , 	3 , 	34 , 	2 , 	-   , 	9 , 	-   , 	1 , 	2 , 	9 , 	13 , 	670 ,,,,,,,,,,,
