Exit stations,Entry stations->,,SATURDAY,,,Feb 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	11 , 	33 , 	28 , 	16 , 	115 , 	20 , 	31 , 	23 , 	34 , 	9 , 	32 , 	19 , 	6 , 	8 , 	10 , 	4 , 	3 , 	4 , 	6 , 	4 , 	5 , 	5 , 	3 , 	9 , 	10 , 	68 , 	39 , 	147 , 	46 , 	58 , 	53 , 	10 , 	18 , 	13 , 	3 , 	2 , 	4 , 	2 , 	6 , 	4 , 	5 , 	15 , 	6 , 	1 , 	4 , 	7 , 	6 , 	5 , 	5 , 	3 , 	970 ,,,,,,,,,,
CL, 	18 , 	26 , 	13 , 	12 , 	52 , 	21 , 	35 , 	51 , 	43 , 	59 , 	73 , 	14 , 	46 , 	42 , 	37 , 	20 , 	17 , 	18 , 	8 , 	10 , 	10 , 	6 , 	5 , 	12 , 	25 , 	85 , 	59 , 	157 , 	84 , 	60 , 	51 , 	13 , 	18 , 	18 , 	2 , 	14 , 	38 , 	2 , 	8 , 	4 , 	6 , 	8 , 	2 , 	17 , 	9 , 	17 , 	6 , 	18 , 	4 , 	13 ," 	1,379 ",,,,,,,,,,
SL, 	7 , 	16 , 	8 , 	7 , 	40 , 	10 , 	27 , 	28 , 	34 , 	51 , 	65 , 	59 , 	14 , 	45 , 	42 , 	26 , 	24 , 	20 , 	5 , 	5 , 	6 , 	0 , 	3 , 	5 , 	17 , 	94 , 	71 , 	181 , 	67 , 	40 , 	23 , 	7 , 	15 , 	11 , 	2 , 	18 , 	27 , 	1 , 	4 , 	2 , 	3 , 	14 , 	1 , 	17 , 	4 , 	16 , 	7 , 	15 , 	1 , 	6 ," 	1,206 ",,,,,,,,,,
BF, 	7 , 	14 , 	4 , 	4 , 	30 , 	9 , 	19 , 	25 , 	41 , 	43 , 	89 , 	52 , 	52 , 	9 , 	43 , 	22 , 	23 , 	26 , 	5 , 	1 , 	6 , 	2 , 	2 , 	4 , 	13 , 	89 , 	76 , 	175 , 	52 , 	32 , 	25 , 	7 , 	12 , 	10 , 	5 , 	20 , 	34 , 	1 , 	4 , 	2 , 	2 , 	11 , 	2 , 	20 , 	2 , 	21 , 	12 , 	16 , 	3 , 	3 ," 	1,174 ",,,,,,,,,,
HY, 	8 , 	16 , 	3 , 	5 , 	33 , 	8 , 	20 , 	26 , 	20 , 	22 , 	48 , 	37 , 	42 , 	42 , 	12 , 	30 , 	32 , 	30 , 	6 , 	3 , 	3 , 	3 , 	1 , 	3 , 	8 , 	43 , 	34 , 	65 , 	32 , 	18 , 	17 , 	8 , 	6 , 	8 , 	4 , 	6 , 	14 , 	1 , 	3 , 	2 , 	3 , 	5 , 	2 , 	11 , 	4 , 	26 , 	19 , 	28 , 	2 , 	6 , 	820 ,,,,,,,,,,
SH, 	7 , 	6 , 	3 , 	1 , 	14 , 	6 , 	7 , 	7 , 	13 , 	9 , 	28 , 	20 , 	26 , 	26 , 	23 , 	4 , 	13 , 	26 , 	3 , 	1 , 	2 , 	1 , 	1 , 	0 , 	4 , 	38 , 	26 , 	53 , 	16 , 	14 , 	11 , 	2 , 	4 , 	4 , 	2 , 	6 , 	5 , 	1 , 	3 , 	1 , 	3 , 	6 , 	2 , 	3 , 	1 , 	19 , 	12 , 	11 , 	1 , 	2 , 	495 ,,,,,,,,,,
UC, 	6 , 	11 , 	4 , 	4 , 	28 , 	7 , 	7 , 	14 , 	13 , 	14 , 	26 , 	23 , 	23 , 	20 , 	33 , 	11 , 	7 , 	20 , 	2 , 	2 , 	3 , 	0 , 	1 , 	6 , 	4 , 	49 , 	28 , 	64 , 	31 , 	14 , 	10 , 	4 , 	4 , 	5 , 	1 , 	4 , 	7 , 	-   , 	2 , 	1 , 	1 , 	4 , 	2 , 	4 , 	5 , 	19 , 	21 , 	23 , 	1 , 	4 , 	591 ,,,,,,,,,,
FM, 	3 , 	10 , 	2 , 	8 , 	33 , 	5 , 	11 , 	11 , 	15 , 	16 , 	34 , 	18 , 	18 , 	23 , 	33 , 	20 , 	19 , 	15 , 	3 , 	2 , 	1 , 	1 , 	1 , 	3 , 	3 , 	52 , 	40 , 	71 , 	21 , 	22 , 	9 , 	3 , 	3 , 	7 , 	3 , 	6 , 	10 , 	1 , 	2 , 	1 , 	1 , 	8 , 	1 , 	4 , 	6 , 	23 , 	26 , 	28 , 	0 , 	2 , 	653 ,,,,,,,,,,
CN, 	7 , 	7 , 	7 , 	3 , 	16 , 	5 , 	18 , 	16 , 	16 , 	3 , 	7 , 	10 , 	6 , 	4 , 	8 , 	3 , 	2 , 	4 , 	13 , 	29 , 	83 , 	27 , 	4 , 	22 , 	4 , 	79 , 	55 , 	114 , 	49 , 	31 , 	19 , 	7 , 	9 , 	9 , 	2 , 	1 , 	2 , 	10 , 	50 , 	6 , 	6 , 	30 , 	5 , 	1 , 	7 , 	3 , 	2 , 	5 , 	28 , 	23 , 	873 ,,,,,,,,,,
PH, 	4 , 	5 , 	3 , 	3 , 	14 , 	5 , 	18 , 	17 , 	18 , 	2 , 	6 , 	12 , 	4 , 	2 , 	3 , 	1 , 	1 , 	2 , 	32 , 	12 , 	33 , 	14 , 	5 , 	23 , 	2 , 	97 , 	50 , 	114 , 	50 , 	23 , 	16 , 	9 , 	5 , 	5 , 	3 , 	0 , 	2 , 	8 , 	19 , 	4 , 	6 , 	30 , 	5 , 	1 , 	10 , 	1 , 	1 , 	2 , 	7 , 	11 , 	712 ,,,,,,,,,,
WC, 	5 , 	11 , 	8 , 	6 , 	27 , 	5 , 	24 , 	30 , 	24 , 	4 , 	7 , 	13 , 	6 , 	5 , 	4 , 	3 , 	3 , 	2 , 	100 , 	32 , 	11 , 	22 , 	10 , 	34 , 	8 , 	112 , 	71 , 	126 , 	56 , 	30 , 	22 , 	8 , 	8 , 	10 , 	6 , 	1 , 	0 , 	13 , 	38 , 	7 , 	4 , 	34 , 	2 , 	-   , 	9 , 	2 , 	4 , 	5 , 	15 , 	27 ," 	1,009 ",,,,,,,,,,
LF, 	3 , 	3 , 	2 , 	1 , 	13 , 	3 , 	12 , 	18 , 	14 , 	1 , 	6 , 	7 , 	2 , 	1 , 	3 , 	1 , 	1 , 	1 , 	41 , 	22 , 	22 , 	8 , 	9 , 	20 , 	2 , 	65 , 	43 , 	84 , 	34 , 	20 , 	10 , 	3 , 	2 , 	3 , 	1 , 	0 , 	-   , 	4 , 	11 , 	1 , 	3 , 	23 , 	3 , 	0 , 	5 , 	1 , 	0 , 	3 , 	5 , 	5 , 	540 ,,,,,,,,,,
OR, 	2 , 	3 , 	2 , 	1 , 	10 , 	2 , 	12 , 	18 , 	9 , 	1 , 	7 , 	5 , 	2 , 	1 , 	2 , 	1 , 	1 , 	0 , 	6 , 	5 , 	10 , 	8 , 	2 , 	17 , 	1 , 	54 , 	49 , 	61 , 	34 , 	15 , 	8 , 	4 , 	2 , 	3 , 	-   , 	1 , 	0 , 	1 , 	3 , 	1 , 	1 , 	16 , 	2 , 	0 , 	3 , 	0 , 	1 , 	1 , 	2 , 	3 , 	390 ,,,,,,,,,,
RR, 	10 , 	6 , 	9 , 	5 , 	11 , 	4 , 	18 , 	39 , 	32 , 	7 , 	21 , 	15 , 	8 , 	6 , 	3 , 	2 , 	6 , 	3 , 	31 , 	24 , 	41 , 	23 , 	21 , 	17 , 	15 , 	150 , 	99 , 	162 , 	102 , 	85 , 	47 , 	18 , 	8 , 	8 , 	3 , 	1 , 	2 , 	5 , 	9 , 	1 , 	2 , 	26 , 	4 , 	1 , 	5 , 	2 , 	1 , 	4 , 	3 , 	11 ," 	1,129 ",,,,,,,,,,
OW, 	8 , 	11 , 	2 , 	5 , 	21 , 	8 , 	23 , 	15 , 	22 , 	8 , 	42 , 	25 , 	16 , 	12 , 	11 , 	4 , 	2 , 	4 , 	3 , 	1 , 	6 , 	1 , 	1 , 	13 , 	16 , 	268 , 	194 , 	389 , 	172 , 	122 , 	86 , 	17 , 	13 , 	12 , 	7 , 	2 , 	9 , 	-   , 	5 , 	6 , 	5 , 	36 , 	6 , 	5 , 	4 , 	5 , 	2 , 	4 , 	1 , 	4 ," 	1,647 ",,,,,,,,,,
EM, 	79 , 	128 , 	86 , 	113 , 	363 , 	103 , 	168 , 	222 , 	186 , 	120 , 	131 , 	136 , 	123 , 	101 , 	56 , 	44 , 	55 , 	66 , 	100 , 	121 , 	130 , 	70 , 	68 , 	167 , 	322 , 	86 , 	15 , 	80 , 	48 , 	201 , 	231 , 	131 , 	167 , 	124 , 	43 , 	51 , 	175 , 	28 , 	61 , 	31 , 	39 , 	133 , 	70 , 	55 , 	35 , 	29 , 	57 , 	58 , 	14 , 	52 ," 	5,264 ",,,,,,,,,,
MT, 	61 , 	117 , 	79 , 	107 , 	273 , 	97 , 	152 , 	165 , 	164 , 	123 , 	126 , 	85 , 	102 , 	102 , 	45 , 	35 , 	38 , 	45 , 	76 , 	86 , 	84 , 	69 , 	57 , 	149 , 	252 , 	15 , 	52 , 	19 , 	35 , 	180 , 	233 , 	149 , 	246 , 	164 , 	51 , 	48 , 	105 , 	22 , 	49 , 	39 , 	40 , 	124 , 	77 , 	37 , 	18 , 	23 , 	29 , 	36 , 	6 , 	40 ," 	4,520 ",,,,,,,,,,
PL, 	119 , 	183 , 	89 , 	104 , 	329 , 	82 , 	162 , 	192 , 	211 , 	153 , 	213 , 	143 , 	138 , 	142 , 	60 , 	48 , 	54 , 	61 , 	94 , 	108 , 	121 , 	75 , 	59 , 	157 , 	357 , 	96 , 	25 , 	80 , 	55 , 	434 , 	509 , 	271 , 	438 , 	392 , 	130 , 	62 , 	155 , 	42 , 	97 , 	91 , 	88 , 	399 , 	137 , 	57 , 	34 , 	30 , 	44 , 	57 , 	21 , 	50 ," 	7,242 ",,,,,,,,,,
CC, 	46 , 	76 , 	47 , 	73 , 	197 , 	81 , 	129 , 	142 , 	135 , 	96 , 	135 , 	83 , 	58 , 	52 , 	28 , 	13 , 	28 , 	30 , 	41 , 	40 , 	61 , 	37 , 	26 , 	110 , 	198 , 	55 , 	42 , 	51 , 	45 , 	158 , 	213 , 	109 , 	145 , 	135 , 	59 , 	25 , 	63 , 	9 , 	25 , 	42 , 	49 , 	123 , 	84 , 	32 , 	12 , 	14 , 	21 , 	31 , 	12 , 	26 ," 	3,536 ",,,,,,,,,,
16, 	48 , 	51 , 	34 , 	50 , 	139 , 	75 , 	130 , 	143 , 	106 , 	78 , 	79 , 	80 , 	35 , 	22 , 	19 , 	13 , 	13 , 	22 , 	28 , 	22 , 	31 , 	18 , 	15 , 	85 , 	149 , 	185 , 	160 , 	486 , 	164 , 	39 , 	74 , 	102 , 	145 , 	121 , 	57 , 	17 , 	35 , 	10 , 	16 , 	40 , 	55 , 	95 , 	73 , 	10 , 	6 , 	6 , 	15 , 	16 , 	5 , 	12 ," 	3,423 ",,,,,,,,,,
24, 	60 , 	58 , 	20 , 	27 , 	91 , 	46 , 	75 , 	89 , 	57 , 	51 , 	69 , 	54 , 	26 , 	22 , 	18 , 	12 , 	13 , 	10 , 	20 , 	22 , 	19 , 	15 , 	6 , 	48 , 	94 , 	212 , 	189 , 	613 , 	240 , 	65 , 	33 , 	93 , 	116 , 	112 , 	64 , 	10 , 	19 , 	3 , 	22 , 	42 , 	56 , 	55 , 	57 , 	7 , 	3 , 	4 , 	6 , 	14 , 	6 , 	14 ," 	3,072 ",,,,,,,,,,
GP, 	9 , 	15 , 	7 , 	13 , 	39 , 	11 , 	18 , 	27 , 	16 , 	17 , 	15 , 	17 , 	9 , 	6 , 	7 , 	2 , 	2 , 	5 , 	6 , 	8 , 	8 , 	4 , 	5 , 	15 , 	18 , 	114 , 	110 , 	312 , 	93 , 	85 , 	93 , 	10 , 	20 , 	23 , 	19 , 	4 , 	8 , 	-   , 	10 , 	12 , 	22 , 	31 , 	29 , 	4 , 	7 , 	4 , 	2 , 	7 , 	2 , 	5 ," 	1,321 ",,,,,,,,,,
BP, 	18 , 	16 , 	3 , 	3 , 	26 , 	7 , 	13 , 	15 , 	23 , 	18 , 	17 , 	12 , 	14 , 	11 , 	9 , 	5 , 	3 , 	4 , 	8 , 	3 , 	5 , 	2 , 	2 , 	8 , 	18 , 	126 , 	127 , 	478 , 	122 , 	119 , 	112 , 	17 , 	16 , 	19 , 	29 , 	3 , 	10 , 	0 , 	10 , 	12 , 	37 , 	51 , 	27 , 	2 , 	1 , 	4 , 	4 , 	7 , 	3 , 	6 ," 	1,596 ",,,,,,,,,,
DC, 	12 , 	18 , 	6 , 	7 , 	35 , 	6 , 	11 , 	22 , 	18 , 	11 , 	23 , 	20 , 	13 , 	9 , 	6 , 	6 , 	5 , 	5 , 	12 , 	6 , 	9 , 	2 , 	4 , 	9 , 	17 , 	106 , 	137 , 	459 , 	130 , 	124 , 	124 , 	28 , 	20 , 	18 , 	14 , 	4 , 	11 , 	0 , 	11 , 	18 , 	40 , 	90 , 	37 , 	5 , 	4 , 	6 , 	3 , 	7 , 	4 , 	8 ," 	1,695 ",,,,,,,,,,
CM, 	3 , 	8 , 	2 , 	3 , 	8 , 	1 , 	5 , 	5 , 	8 , 	2 , 	6 , 	2 , 	2 , 	2 , 	2 , 	3 , 	1 , 	2 , 	4 , 	3 , 	3 , 	1 , 	0 , 	4 , 	5 , 	37 , 	38 , 	159 , 	68 , 	47 , 	52 , 	20 , 	25 , 	11 , 	5 , 	1 , 	1 , 	2 , 	7 , 	4 , 	21 , 	69 , 	14 , 	1 , 	0 , 	-   , 	1 , 	1 , 	3 , 	2 , 	668 ,,,,,,,,,,
CV, 	2 , 	2 , 	2 , 	1 , 	8 , 	1 , 	5 , 	4 , 	4 , 	23 , 	17 , 	15 , 	17 , 	20 , 	8 , 	7 , 	5 , 	7 , 	1 , 	1 , 	1 , 	0 , 	-   , 	1 , 	3 , 	45 , 	40 , 	77 , 	25 , 	12 , 	9 , 	5 , 	5 , 	6 , 	1 , 	6 , 	25 , 	-   , 	1 , 	1 , 	2 , 	4 , 	1 , 	20 , 	1 , 	2 , 	1 , 	3 , 	-   , 	0 , 	440 ,,,,,,,,,,
ED, 	5 , 	4 , 	1 , 	3 , 	31 , 	5 , 	6 , 	9 , 	7 , 	29 , 	37 , 	38 , 	28 , 	32 , 	11 , 	7 , 	11 , 	9 , 	4 , 	1 , 	1 , 	1 , 	1 , 	3 , 	11 , 	152 , 	86 , 	181 , 	65 , 	29 , 	21 , 	11 , 	10 , 	17 , 	1 , 	24 , 	17 , 	1 , 	2 , 	1 , 	2 , 	26 , 	1 , 	12 , 	16 , 	3 , 	9 , 	15 , 	1 , 	2 , 	994 ,,,,,,,,,,
NC, 	1 , 	0 , 	1 , 	1 , 	5 , 	1 , 	6 , 	3 , 	2 , 	1 , 	-   , 	3 , 	2 , 	1 , 	0 , 	1 , 	1 , 	1 , 	7 , 	5 , 	11 , 	3 , 	1 , 	5 , 	-   , 	24 , 	22 , 	43 , 	10 , 	6 , 	4 , 	2 , 	2 , 	2 , 	1 , 	-   , 	1 , 	4 , 	8 , 	1 , 	1 , 	14 , 	2 , 	-   , 	3 , 	0 , 	0 , 	1 , 	4 , 	6 , 	216 ,,,,,,,,,,
WP, 	3 , 	5 , 	2 , 	2 , 	10 , 	2 , 	14 , 	10 , 	11 , 	3 , 	7 , 	12 , 	3 , 	7 , 	2 , 	4 , 	2 , 	2 , 	48 , 	21 , 	31 , 	12 , 	3 , 	13 , 	6 , 	53 , 	38 , 	109 , 	32 , 	17 , 	24 , 	9 , 	14 , 	10 , 	7 , 	1 , 	2 , 	8 , 	9 , 	3 , 	7 , 	30 , 	2 , 	1 , 	2 , 	2 , 	1 , 	2 , 	4 , 	10 , 	626 ,,,,,,,,,,
SS, 	5 , 	4 , 	1 , 	1 , 	6 , 	1 , 	1 , 	2 , 	5 , 	2 , 	4 , 	4 , 	3 , 	2 , 	2 , 	0 , 	1 , 	1 , 	5 , 	3 , 	5 , 	1 , 	1 , 	1 , 	6 , 	30 , 	27 , 	100 , 	37 , 	34 , 	40 , 	11 , 	14 , 	18 , 	4 , 	1 , 	2 , 	1 , 	1 , 	5 , 	13 , 	30 , 	11 , 	-   , 	1 , 	-   , 	1 , 	2 , 	1 , 	5 , 	451 ,,,,,,,,,,
SB, 	6 , 	9 , 	5 , 	1 , 	12 , 	3 , 	7 , 	7 , 	10 , 	6 , 	7 , 	9 , 	5 , 	4 , 	4 , 	4 , 	2 , 	1 , 	8 , 	4 , 	4 , 	2 , 	3 , 	3 , 	7 , 	36 , 	34 , 	121 , 	65 , 	53 , 	58 , 	26 , 	46 , 	38 , 	18 , 	2 , 	3 , 	1 , 	5 , 	13 , 	8 , 	26 , 	9 , 	1 , 	1 , 	-   , 	1 , 	0 , 	2 , 	5 , 	701 ,,,,,,,,,,
SO, 	14 , 	26 , 	15 , 	18 , 	37 , 	12 , 	22 , 	25 , 	25 , 	10 , 	12 , 	11 , 	12 , 	11 , 	4 , 	6 , 	4 , 	7 , 	31 , 	24 , 	33 , 	17 , 	11 , 	29 , 	31 , 	73 , 	67 , 	253 , 	90 , 	78 , 	40 , 	30 , 	47 , 	69 , 	55 , 	3 , 	18 , 	8 , 	26 , 	21 , 	18 , 	23 , 	71 , 	5 , 	7 , 	1 , 	4 , 	2 , 	3 , 	23 ," 	1,474 ",,,,,,,,,,
