Exit stations,Entry stations->,,TOTAL,,,Oct 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
FV," 	2,564 "," 	2,680 "," 	1,551 "," 	1,884 "," 	7,754 "," 	2,983 "," 	4,402 "," 	5,107 "," 	6,094 "," 	4,596 ", 	851 ," 	6,080 "," 	6,228 "," 	5,389 "," 	5,589 "," 	2,163 "," 	2,235 "," 	2,600 "," 	1,180 ", 	498 , 	868 , 	326 , 	840 ," 	1,498 "," 	2,602 "," 	24,160 "," 	23,221 "," 	22,174 "," 	20,955 "," 	9,044 "," 	6,410 "," 	1,770 "," 	2,824 "," 	4,121 ", 	333 ," 	1,365 "," 	3,586 ", 	180 , 	565 , 	332 , 	579 ," 	1,932 ", 	599 ," 	1,977 ", 	491 ," 	2,298 ", 	-   , 	-   , 	356 , 	524 ," 	208,358 ",,,,,,,,,,,,,
CL," 	1,868 "," 	3,154 "," 	1,190 "," 	1,120 "," 	4,355 "," 	1,912 "," 	3,737 "," 	4,571 "," 	6,612 "," 	5,761 "," 	6,048 ", 	734 ," 	3,558 "," 	4,383 "," 	4,122 "," 	2,121 "," 	2,084 "," 	2,115 "," 	1,328 "," 	1,104 "," 	1,113 ", 	612 , 	648 ," 	1,063 "," 	2,187 "," 	13,915 "," 	12,576 "," 	11,198 "," 	9,933 "," 	4,475 "," 	3,407 "," 	1,440 "," 	1,891 "," 	3,305 ", 	305 ," 	1,334 "," 	4,101 ", 	407 ," 	1,035 ", 	460 , 	525 ," 	1,017 ", 	468 ," 	1,948 ", 	894 ," 	2,756 ", 	-   , 	-   , 	588 , 	997 ," 	146,475 ",,,,,,,,,,,,,
SL," 	1,113 "," 	1,576 ", 	814 , 	873 ," 	4,980 "," 	1,326 "," 	3,255 "," 	6,363 "," 	8,826 "," 	8,526 "," 	6,192 "," 	4,023 ", 	648 ," 	3,373 "," 	4,343 "," 	1,811 "," 	2,060 "," 	2,496 ", 	738 , 	621 , 	533 , 	220 , 	239 , 	643 ," 	1,047 "," 	19,393 "," 	19,969 "," 	15,738 "," 	14,202 "," 	4,575 "," 	2,741 "," 	1,191 "," 	2,124 "," 	3,303 ", 	202 ," 	1,015 "," 	2,668 ", 	228 , 	424 , 	379 , 	317 ," 	1,469 ", 	279 ," 	1,501 ", 	315 ," 	2,306 ", 	-   , 	-   , 	205 , 	412 ," 	161,595 ",,,,,,,,,,,,,
BF, 	673 ," 	1,072 ", 	449 , 	469 ," 	3,646 ", 	993 ," 	2,371 "," 	5,723 "," 	7,810 "," 	6,620 "," 	4,995 "," 	4,231 "," 	3,212 ", 	530 ," 	2,814 "," 	1,689 "," 	2,196 "," 	3,424 ", 	496 , 	218 , 	262 , 	80 , 	116 , 	452 , 	985 ," 	17,820 "," 	17,092 "," 	15,115 "," 	12,530 "," 	4,298 "," 	2,034 ", 	936 ," 	1,433 "," 	2,638 ", 	258 ," 	1,186 "," 	3,395 ", 	112 , 	187 , 	259 , 	388 , 	848 , 	306 ," 	1,842 ", 	211 ," 	2,374 ", 	-   , 	-   , 	120 , 	211 ," 	141,119 ",,,,,,,,,,,,,
HY," 	1,074 "," 	2,151 ", 	746 , 	798 ," 	3,545 "," 	1,024 "," 	2,578 "," 	5,567 "," 	6,885 "," 	4,232 "," 	5,569 "," 	4,226 "," 	4,438 "," 	2,780 ", 	602 ," 	2,852 "," 	5,271 "," 	6,177 ", 	931 , 	506 , 	539 , 	229 , 	148 , 	430 , 	864 ," 	13,076 "," 	12,661 "," 	9,394 "," 	7,958 "," 	3,033 "," 	1,549 ", 	887 ," 	1,153 "," 	1,915 ", 	185 , 	514 ," 	1,998 ", 	303 , 	638 , 	264 , 	347 , 	759 , 	207 , 	872 , 	319 ," 	4,149 ", 	-   , 	-   , 	346 , 	696 ," 	127,385 ",,,,,,,,,,,,,
SH, 	448 , 	721 , 	186 , 	249 ," 	2,206 ", 	563 ," 	1,110 "," 	3,424 "," 	4,258 "," 	2,099 "," 	2,127 "," 	2,119 "," 	1,704 "," 	1,672 "," 	2,544 ", 	381 ," 	1,717 "," 	2,439 ", 	287 , 	192 , 	213 , 	54 , 	139 , 	175 , 	415 ," 	10,924 "," 	9,437 "," 	6,614 "," 	6,996 "," 	2,112 "," 	1,285 ", 	484 , 	528 ," 	1,432 ", 	149 , 	403 , 	933 , 	69 , 	172 , 	192 , 	194 , 	625 , 	110 , 	489 , 	245 ," 	2,763 ", 	-   , 	-   , 	44 , 	107 ," 	77,749 ",,,,,,,,,,,,,
UC, 	504 , 	758 , 	462 , 	488 ," 	4,007 ", 	915 ," 	1,912 "," 	5,161 "," 	5,632 "," 	2,935 "," 	2,342 "," 	2,134 "," 	2,151 "," 	2,276 "," 	5,049 "," 	1,777 ", 	553 ," 	4,812 ", 	385 , 	382 , 	424 , 	99 , 	111 , 	290 , 	326 ," 	21,974 "," 	18,423 "," 	9,310 "," 	8,998 "," 	3,138 "," 	1,141 ", 	427 , 	652 ," 	1,865 ", 	136 , 	353 ," 	1,615 ", 	39 , 	229 , 	114 , 	99 , 	757 , 	130 , 	664 , 	476 ," 	3,228 ", 	-   , 	-   , 	106 , 	249 ," 	120,008 ",,,,,,,,,,,,,
FM, 	718 ," 	1,103 ", 	704 , 	728 ," 	4,028 ", 	792 ," 	1,954 "," 	6,510 "," 	6,668 "," 	2,813 "," 	2,750 "," 	2,243 "," 	2,548 "," 	3,446 "," 	6,471 "," 	2,999 "," 	4,521 ", 	989 , 	443 , 	436 , 	294 , 	121 , 	177 , 	337 , 	368 ," 	31,585 "," 	26,427 "," 	10,279 "," 	9,636 "," 	3,192 ", 	936 , 	448 , 	617 ," 	1,611 ", 	134 , 	654 ," 	1,369 ", 	85 , 	236 , 	93 , 	186 , 	987 , 	101 , 	658 , 	534 ," 	3,171 ", 	-   , 	-   , 	135 , 	227 ," 	147,462 ",,,,,,,,,,,,,
CN, 	732 , 	841 , 	543 , 	621 ," 	2,695 ", 	600 ," 	3,546 "," 	6,998 "," 	7,713 ", 	826 ," 	1,100 "," 	1,260 ", 	721 , 	514 ," 	1,050 ", 	282 , 	368 , 	449 , 	937 ," 	2,843 "," 	5,609 "," 	2,102 "," 	1,059 "," 	2,238 ", 	468 ," 	20,690 "," 	19,854 "," 	13,329 "," 	12,172 "," 	3,972 "," 	2,230 "," 	1,399 "," 	1,518 "," 	2,746 ", 	550 , 	99 , 	226 ," 	1,235 "," 	4,611 ", 	584 , 	762 ," 	3,850 ", 	674 , 	118 , 	938 , 	495 , 	-   , 	-   ," 	2,734 "," 	3,406 "," 	144,307 ",,,,,,,,,,,,,
PH, 	444 , 	552 , 	522 , 	611 ," 	3,454 ", 	648 ," 	4,203 "," 	8,904 "," 	10,591 ", 	624 , 	508 , 	998 , 	525 , 	233 , 	512 , 	214 , 	376 , 	490 ," 	2,617 ", 	925 ," 	2,870 "," 	1,090 ", 	828 ," 	3,086 ", 	367 ," 	40,002 "," 	39,003 "," 	16,447 "," 	16,066 "," 	4,870 "," 	2,037 "," 	2,177 "," 	1,432 "," 	2,337 ", 	291 , 	79 , 	110 , 	925 ," 	2,263 ", 	579 , 	671 ," 	5,075 ", 	659 , 	110 ," 	1,326 ", 	532 , 	-   , 	-   , 	971 ," 	1,772 "," 	185,926 ",,,,,,,,,,,,,
