Exit stations,Entry stations->,,SUNDAY,,,Oct 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	17 , 	36 , 	49 , 	32 , 	151 , 	41 , 	48 , 	34 , 	33 , 	25 , 	44 , 	21 , 	11 , 	9 , 	15 , 	6 , 	6 , 	13 , 	8 , 	4 , 	6 , 	1 , 	1 , 	10 , 	10 , 	117 , 	78 , 	202 , 	85 , 	49 , 	64 , 	17 , 	25 , 	17 , 	4 , 	2 , 	5 , 	2 , 	8 , 	8 , 	9 , 	45 , 	11 , 	4 , 	11 , 	12 , 	-   , 	-   , 	3 , 	7 ," 	1,412 ",,,,,,,,,,,
EN, 	42 , 	9 , 	35 , 	29 , 	230 , 	51 , 	62 , 	56 , 	61 , 	33 , 	54 , 	28 , 	23 , 	14 , 	15 , 	8 , 	9 , 	11 , 	11 , 	6 , 	8 , 	3 , 	4 , 	12 , 	15 , 	202 , 	137 , 	330 , 	134 , 	72 , 	51 , 	24 , 	21 , 	30 , 	16 , 	2 , 	11 , 	2 , 	8 , 	7 , 	11 , 	96 , 	12 , 	4 , 	32 , 	29 , 	-   , 	-   , 	2 , 	6 ," 	2,063 ",,,,,,,,,,,
EP, 	47 , 	36 , 	9 , 	30 , 	249 , 	43 , 	38 , 	47 , 	48 , 	26 , 	24 , 	12 , 	14 , 	10 , 	7 , 	4 , 	7 , 	12 , 	9 , 	6 , 	8 , 	2 , 	8 , 	13 , 	7 , 	128 , 	76 , 	161 , 	119 , 	56 , 	28 , 	17 , 	9 , 	16 , 	5 , 	2 , 	5 , 	-   , 	2 , 	3 , 	5 , 	67 , 	9 , 	2 , 	30 , 	17 , 	-   , 	-   , 	2 , 	2 ," 	1,469 ",,,,,,,,,,,
NB, 	32 , 	29 , 	30 , 	12 , 	68 , 	26 , 	40 , 	44 , 	37 , 	26 , 	29 , 	15 , 	15 , 	9 , 	9 , 	4 , 	6 , 	15 , 	4 , 	6 , 	10 , 	2 , 	4 , 	6 , 	9 , 	148 , 	91 , 	163 , 	157 , 	73 , 	51 , 	19 , 	13 , 	10 , 	6 , 	3 , 	6 , 	1 , 	3 , 	3 , 	7 , 	86 , 	8 , 	4 , 	31 , 	14 , 	-   , 	-   , 	2 , 	4 ," 	1,384 ",,,,,,,,,,,
BK, 	178 , 	222 , 	242 , 	70 , 	62 , 	110 , 	119 , 	136 , 	146 , 	72 , 	102 , 	49 , 	48 , 	44 , 	44 , 	24 , 	57 , 	86 , 	22 , 	21 , 	26 , 	17 , 	24 , 	17 , 	34 , 	357 , 	239 , 	506 , 	350 , 	183 , 	127 , 	62 , 	44 , 	54 , 	11 , 	13 , 	53 , 	4 , 	10 , 	12 , 	20 , 	178 , 	52 , 	14 , 	69 , 	216 , 	-   , 	-   , 	4 , 	8 ," 	4,550 ",,,,,,,,,,,
AS, 	44 , 	46 , 	39 , 	28 , 	93 , 	15 , 	43 , 	66 , 	48 , 	34 , 	40 , 	16 , 	20 , 	11 , 	13 , 	4 , 	8 , 	10 , 	6 , 	4 , 	7 , 	3 , 	3 , 	7 , 	18 , 	137 , 	89 , 	157 , 	163 , 	90 , 	59 , 	16 , 	13 , 	10 , 	2 , 	3 , 	8 , 	1 , 	3 , 	4 , 	5 , 	58 , 	7 , 	4 , 	24 , 	20 , 	-   , 	-   , 	4 , 	4 ," 	1,502 ",,,,,,,,,,,
MA, 	47 , 	67 , 	29 , 	38 , 	126 , 	52 , 	25 , 	53 , 	70 , 	39 , 	59 , 	36 , 	30 , 	30 , 	23 , 	15 , 	19 , 	17 , 	25 , 	21 , 	23 , 	14 , 	12 , 	35 , 	18 , 	268 , 	179 , 	327 , 	318 , 	169 , 	102 , 	36 , 	25 , 	29 , 	8 , 	9 , 	28 , 	4 , 	20 , 	4 , 	8 , 	133 , 	14 , 	6 , 	32 , 	30 , 	-   , 	-   , 	7 , 	15 ," 	2,687 ",,,,,,,,,,,
19, 	31 , 	53 , 	50 , 	43 , 	142 , 	73 , 	55 , 	18 , 	15 , 	22 , 	61 , 	36 , 	47 , 	27 , 	33 , 	18 , 	17 , 	24 , 	23 , 	25 , 	34 , 	16 , 	21 , 	41 , 	26 , 	247 , 	195 , 	357 , 	302 , 	178 , 	133 , 	40 , 	35 , 	36 , 	8 , 	12 , 	26 , 	6 , 	15 , 	11 , 	17 , 	125 , 	22 , 	13 , 	28 , 	44 , 	-   , 	-   , 	6 , 	8 ," 	2,811 ",,,,,,,,,,,
12, 	33 , 	64 , 	43 , 	40 , 	119 , 	39 , 	52 , 	10 , 	25 , 	19 , 	58 , 	46 , 	46 , 	50 , 	31 , 	22 , 	25 , 	26 , 	24 , 	25 , 	26 , 	6 , 	21 , 	35 , 	32 , 	327 , 	261 , 	508 , 	321 , 	173 , 	117 , 	53 , 	56 , 	48 , 	14 , 	13 , 	33 , 	3 , 	14 , 	12 , 	15 , 	146 , 	18 , 	11 , 	39 , 	33 , 	-   , 	-   , 	6 , 	16 ," 	3,150 ",,,,,,,,,,,
LM, 	24 , 	33 , 	25 , 	29 , 	65 , 	39 , 	35 , 	19 , 	10 , 	10 , 	101 , 	57 , 	87 , 	94 , 	37 , 	24 , 	33 , 	39 , 	10 , 	5 , 	7 , 	2 , 	8 , 	17 , 	13 , 	97 , 	80 , 	169 , 	100 , 	49 , 	41 , 	12 , 	15 , 	13 , 	5 , 	37 , 	46 , 	2 , 	5 , 	4 , 	4 , 	28 , 	5 , 	24 , 	30 , 	37 , 	-   , 	-   , 	2 , 	4 ," 	1,626 ",,,,,,,,,,,
FV, 	49 , 	48 , 	24 , 	27 , 	98 , 	53 , 	58 , 	62 , 	54 , 	96 , 	24 , 	80 , 	74 , 	101 , 	62 , 	33 , 	27 , 	31 , 	17 , 	7 , 	15 , 	5 , 	6 , 	18 , 	28 , 	185 , 	116 , 	284 , 	173 , 	80 , 	80 , 	23 , 	20 , 	19 , 	6 , 	19 , 	51 , 	2 , 	7 , 	4 , 	11 , 	38 , 	7 , 	33 , 	20 , 	31 , 	-   , 	-   , 	4 , 	5 ," 	2,308 ",,,,,,,,,,,
CL, 	24 , 	30 , 	15 , 	13 , 	50 , 	23 , 	36 , 	33 , 	47 , 	52 , 	67 , 	9 , 	38 , 	63 , 	43 , 	35 , 	21 , 	15 , 	12 , 	7 , 	7 , 	1 , 	2 , 	7 , 	23 , 	114 , 	58 , 	128 , 	72 , 	35 , 	32 , 	13 , 	16 , 	15 , 	2 , 	22 , 	35 , 	3 , 	11 , 	4 , 	5 , 	25 , 	5 , 	18 , 	33 , 	22 , 	-   , 	-   , 	3 , 	9 ," 	1,345 ",,,,,,,,,,,
