Exit stations,Entry stations->,,SATURDAY,,,Oct 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	26 , 	54 , 	69 , 	39 , 	234 , 	57 , 	72 , 	44 , 	53 , 	21 , 	64 , 	42 , 	24 , 	17 , 	16 , 	9 , 	8 , 	15 , 	10 , 	6 , 	8 , 	2 , 	5 , 	16 , 	18 , 	169 , 	108 , 	278 , 	136 , 	98 , 	111 , 	27 , 	34 , 	33 , 	15 , 	4 , 	6 , 	1 , 	10 , 	6 , 	8 , 	35 , 	13 , 	3 , 	11 , 	11 , 	-   , 	-   , 	6 , 	5 ," 	2,050 ",,,,,,,,,,
EN, 	58 , 	20 , 	50 , 	51 , 	422 , 	70 , 	92 , 	100 , 	105 , 	33 , 	71 , 	58 , 	35 , 	29 , 	28 , 	18 , 	13 , 	17 , 	15 , 	9 , 	12 , 	3 , 	7 , 	20 , 	26 , 	343 , 	204 , 	510 , 	206 , 	106 , 	116 , 	41 , 	38 , 	39 , 	18 , 	5 , 	12 , 	2 , 	8 , 	10 , 	14 , 	100 , 	20 , 	4 , 	28 , 	22 , 	-   , 	-   , 	3 , 	10 ," 	3,217 ",,,,,,,,,,
EP, 	68 , 	55 , 	11 , 	36 , 	431 , 	43 , 	59 , 	81 , 	82 , 	42 , 	39 , 	16 , 	16 , 	12 , 	10 , 	4 , 	11 , 	13 , 	12 , 	14 , 	12 , 	3 , 	9 , 	13 , 	8 , 	213 , 	147 , 	299 , 	165 , 	86 , 	54 , 	13 , 	20 , 	20 , 	7 , 	5 , 	10 , 	2 , 	4 , 	4 , 	4 , 	56 , 	12 , 	5 , 	26 , 	18 , 	-   , 	-   , 	-   , 	2 ," 	2,265 ",,,,,,,,,,
NB, 	40 , 	50 , 	38 , 	17 , 	139 , 	34 , 	47 , 	82 , 	67 , 	37 , 	35 , 	16 , 	17 , 	12 , 	15 , 	5 , 	9 , 	16 , 	10 , 	7 , 	11 , 	5 , 	6 , 	14 , 	11 , 	233 , 	149 , 	240 , 	222 , 	123 , 	94 , 	32 , 	18 , 	24 , 	5 , 	3 , 	9 , 	3 , 	4 , 	3 , 	6 , 	78 , 	20 , 	3 , 	28 , 	20 , 	-   , 	-   , 	4 , 	2 ," 	2,057 ",,,,,,,,,,
BK, 	238 , 	432 , 	417 , 	147 , 	76 , 	199 , 	214 , 	250 , 	233 , 	100 , 	189 , 	81 , 	83 , 	83 , 	70 , 	33 , 	66 , 	104 , 	34 , 	45 , 	62 , 	41 , 	76 , 	32 , 	47 , 	626 , 	390 , 	791 , 	506 , 	288 , 	206 , 	98 , 	69 , 	108 , 	10 , 	32 , 	83 , 	7 , 	19 , 	19 , 	20 , 	102 , 	88 , 	26 , 	56 , 	176 , 	-   , 	-   , 	7 , 	19 ," 	7,092 ",,,,,,,,,,
AS, 	62 , 	66 , 	44 , 	32 , 	173 , 	15 , 	56 , 	105 , 	73 , 	36 , 	60 , 	26 , 	20 , 	19 , 	20 , 	8 , 	12 , 	14 , 	7 , 	6 , 	10 , 	2 , 	6 , 	14 , 	25 , 	200 , 	142 , 	272 , 	194 , 	151 , 	97 , 	27 , 	20 , 	16 , 	4 , 	4 , 	13 , 	1 , 	7 , 	2 , 	5 , 	42 , 	12 , 	5 , 	20 , 	27 , 	-   , 	-   , 	3 , 	5 ," 	2,177 ",,,,,,,,,,
MA, 	81 , 	95 , 	59 , 	51 , 	237 , 	54 , 	29 , 	79 , 	88 , 	31 , 	84 , 	44 , 	37 , 	33 , 	31 , 	15 , 	17 , 	24 , 	30 , 	22 , 	21 , 	14 , 	23 , 	29 , 	30 , 	380 , 	263 , 	472 , 	350 , 	247 , 	160 , 	45 , 	38 , 	33 , 	9 , 	4 , 	15 , 	5 , 	25 , 	7 , 	13 , 	88 , 	23 , 	7 , 	20 , 	28 , 	-   , 	-   , 	14 , 	24 ," 	3,522 ",,,,,,,,,,
19, 	53 , 	92 , 	82 , 	89 , 	228 , 	105 , 	85 , 	49 , 	16 , 	16 , 	85 , 	56 , 	69 , 	52 , 	50 , 	31 , 	29 , 	39 , 	34 , 	42 , 	42 , 	28 , 	53 , 	86 , 	39 , 	389 , 	304 , 	533 , 	429 , 	257 , 	207 , 	70 , 	57 , 	65 , 	11 , 	12 , 	34 , 	7 , 	23 , 	12 , 	18 , 	65 , 	34 , 	14 , 	15 , 	55 , 	-   , 	-   , 	8 , 	14 ," 	4,177 ",,,,,,,,,,
12, 	52 , 	112 , 	80 , 	64 , 	220 , 	76 , 	73 , 	11 , 	34 , 	9 , 	74 , 	60 , 	61 , 	71 , 	46 , 	24 , 	36 , 	35 , 	39 , 	29 , 	35 , 	15 , 	46 , 	59 , 	45 , 	353 , 	272 , 	474 , 	308 , 	170 , 	132 , 	53 , 	51 , 	50 , 	17 , 	11 , 	18 , 	5 , 	21 , 	20 , 	16 , 	94 , 	45 , 	8 , 	21 , 	39 , 	-   , 	-   , 	7 , 	22 ," 	3,606 ",,,,,,,,,,
LM, 	14 , 	37 , 	39 , 	33 , 	99 , 	37 , 	36 , 	14 , 	10 , 	17 , 	95 , 	92 , 	139 , 	124 , 	57 , 	33 , 	50 , 	48 , 	13 , 	6 , 	8 , 	2 , 	9 , 	19 , 	20 , 	333 , 	235 , 	484 , 	291 , 	194 , 	132 , 	46 , 	40 , 	37 , 	7 , 	69 , 	85 , 	3 , 	5 , 	4 , 	8 , 	25 , 	6 , 	44 , 	19 , 	46 , 	-   , 	-   , 	3 , 	5 ," 	3,168 ",,,,,,,,,,
FV, 	61 , 	68 , 	41 , 	36 , 	178 , 	67 , 	82 , 	76 , 	79 , 	80 , 	27 , 	115 , 	123 , 	139 , 	91 , 	44 , 	40 , 	53 , 	18 , 	12 , 	9 , 	5 , 	14 , 	36 , 	57 , 	344 , 	246 , 	564 , 	320 , 	164 , 	176 , 	38 , 	46 , 	45 , 	8 , 	34 , 	74 , 	4 , 	15 , 	6 , 	14 , 	51 , 	11 , 	53 , 	11 , 	57 , 	-   , 	-   , 	6 , 	11 ," 	3,845 ",,,,,,,,,,
CL, 	42 , 	59 , 	17 , 	11 , 	81 , 	31 , 	55 , 	54 , 	70 , 	65 , 	122 , 	26 , 	66 , 	88 , 	70 , 	47 , 	34 , 	32 , 	15 , 	12 , 	12 , 	6 , 	11 , 	15 , 	39 , 	172 , 	105 , 	243 , 	128 , 	75 , 	69 , 	23 , 	32 , 	33 , 	6 , 	20 , 	52 , 	6 , 	15 , 	10 , 	13 , 	26 , 	5 , 	27 , 	24 , 	28 , 	-   , 	-   , 	6 , 	13 ," 	2,203 ",,,,,,,,,,
