Muni Fast Pass Adult/Clipper OD,,,,,,Oct 13,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,37,21,75,92,338,615,559,822,"2,558"
MT,23,32,43,78,433,821,783,"1,509","3,723"
PL,111,68,37,57,331,542,409,"1,127","2,680"
CC,72,68,57,22,178,365,308,742,"1,811"
16,303,334,409,202,11,91,125,322,"1,797"
24,488,604,658,353,101,16,95,330,"2,644"
GP,489,589,547,290,133,102,15,74,"2,237"
BP,712,936,"1,575",692,326,354,67,37,"4,700"
Entries,"2,234","2,651","3,400","1,786","1,851","2,905","2,360","4,963","22,151"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,12,3,30,22,106,130,88,199,591
MT,6,10,10,13,106,153,147,529,973
PL,30,11,36,29,262,361,284,778,"1,790"
CC,15,8,24,19,108,154,83,218,629
16,89,60,284,112,11,72,84,174,885
24,101,90,383,161,70,14,60,162,"1,040"
GP,71,86,336,82,68,57,10,30,740
BP,159,204,966,174,139,137,25,21,"1,825"
Entries,483,472,"2,069",612,868,"1,078",780,"2,110","8,471"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,12,3,10,12,59,73,58,139,364
MT,4,12,8,9,68,97,104,333,633
PL,17,7,34,13,181,259,182,491,"1,182"
CC,13,6,13,20,80,106,74,179,491
16,68,39,206,85,16,48,53,125,639
24,78,62,312,117,48,15,40,108,778
GP,53,60,253,68,57,46,11,25,571
BP,129,149,751,156,113,98,16,21,"1,432"
Entries,372,337,"1,586",479,621,740,536,"1,420","6,090"
