Exit stations,Entry stations->,,SUNDAY,,,Oct 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
CL, 	52 , 	223 , 	63 , 	51 , 	129 , 	69 , 	108 , 	75 , 	172 , 	122 , 	238 , 	12 , 	324 , 	320 , 	176 , 	120 , 	146 , 	341 , 	77 , 	88 , 	88 , 	48 , 	43 , 	44 , 	75 , 	229 , 	123 , 	386 , 	179 , 	63 , 	49 , 	35 , 	50 , 	65 , 	7 , 	136 , 	598 , 	52 , 	137 , 	17 , 	13 , 	59 , 	25 , 	165 ," 	5,588 ",,,CM line," 	8,804 "," 	1,503 "," 	3,208 "," 	1,242 ", 	985 ," 	1,425 "," 	1,791 "," 	18,957 "
SL, 	14 , 	20 , 	9 , 	11 , 	43 , 	19 , 	29 , 	38 , 	49 , 	65 , 	72 , 	404 , 	7 , 	69 , 	48 , 	23 , 	22 , 	32 , 	12 , 	5 , 	7 , 	3 , 	2 , 	13 , 	19 , 	103 , 	67 , 	238 , 	89 , 	32 , 	31 , 	11 , 	21 , 	13 , 	5 , 	16 , 	22 , 	1 , 	18 , 	4 , 	5 , 	29 , 	7 , 	19 ," 	1,760 ",,,RM line," 	4,273 "," 	1,471 "," 	1,315 "," 	2,349 ", 	550 ," 	1,933 ", 	655 ," 	12,546 "
BF, 	14 , 	15 , 	9 , 	8 , 	30 , 	14 , 	34 , 	37 , 	46 , 	59 , 	121 , 	285 , 	53 , 	9 , 	72 , 	36 , 	40 , 	57 , 	11 , 	2 , 	7 , 	2 , 	2 , 	5 , 	18 , 	87 , 	70 , 	194 , 	66 , 	29 , 	16 , 	8 , 	19 , 	16 , 	5 , 	29 , 	50 , 	2 , 	15 , 	1 , 	5 , 	12 , 	6 , 	42 ," 	1,655 ",,,WP line," 	4,138 ", 	732 , 	985 , 	596 ," 	1,829 "," 	1,200 ", 	791 ," 	10,271 "
HY, 	13 , 	17 , 	5 , 	9 , 	46 , 	16 , 	29 , 	26 , 	38 , 	43 , 	77 , 	208 , 	49 , 	93 , 	5 , 	35 , 	45 , 	84 , 	9 , 	5 , 	6 , 	2 , 	-   , 	8 , 	13 , 	60 , 	44 , 	124 , 	58 , 	18 , 	18 , 	9 , 	16 , 	14 , 	3 , 	11 , 	28 , 	3 , 	14 , 	1 , 	4 , 	11 , 	6 , 	19 ," 	1,338 ",,,FT/ED line," 	5,253 "," 	1,882 "," 	1,359 "," 	1,635 "," 	1,026 "," 	8,326 ", 	473 ," 	19,953 "
SH, 	9 , 	10 , 	6 , 	4 , 	19 , 	8 , 	8 , 	11 , 	15 , 	24 , 	30 , 	139 , 	23 , 	41 , 	35 , 	7 , 	22 , 	50 , 	6 , 	-   , 	3 , 	1 , 	0 , 	3 , 	4 , 	42 , 	21 , 	81 , 	26 , 	17 , 	13 , 	3 , 	15 , 	15 , 	2 , 	8 , 	11 , 	1 , 	10 , 	2 , 	2 , 	9 , 	2 , 	12 , 	766 ,,,SFIA," 	3,440 ", 	311 ," 	1,444 ", 	441 , 	542 , 	384 , 	747 ," 	7,308 "
UC, 	6 , 	13 , 	6 , 	4 , 	37 , 	7 , 	16 , 	19 , 	22 , 	30 , 	31 , 	173 , 	24 , 	49 , 	47 , 	24 , 	5 , 	51 , 	5 , 	3 , 	4 , 	2 , 	1 , 	5 , 	4 , 	67 , 	48 , 	147 , 	53 , 	16 , 	11 , 	8 , 	14 , 	14 , 	1 , 	10 , 	16 , 	3 , 	9 , 	3 , 	2 , 	20 , 	4 , 	10 ," 	1,039 ",,,Entries," 	32,046 "," 	11,571 "," 	18,439 "," 	11,840 "," 	9,569 "," 	20,748 "," 	8,418 "," 	112,631 "
FM, 	17 , 	35 , 	22 , 	17 , 	105 , 	22 , 	38 , 	33 , 	46 , 	46 , 	56 , 	447 , 	36 , 	73 , 	84 , 	51 , 	60 , 	11 , 	13 , 	10 , 	14 , 	4 , 	2 , 	14 , 	8 , 	131 , 	80 , 	258 , 	107 , 	33 , 	16 , 	9 , 	29 , 	22 , 	6 , 	8 , 	39 , 	3 , 	23 , 	3 , 	3 , 	39 , 	4 , 	19 ," 	2,089 ",,,,,,,,,,,
CN, 	10 , 	13 , 	11 , 	6 , 	25 , 	8 , 	26 , 	22 , 	33 , 	9 , 	20 , 	105 , 	9 , 	12 , 	9 , 	5 , 	5 , 	14 , 	9 , 	42 , 	107 , 	39 , 	16 , 	32 , 	5 , 	113 , 	64 , 	161 , 	92 , 	27 , 	21 , 	18 , 	33 , 	17 , 	7 , 	3 , 	4 , 	14 , 	110 , 	7 , 	8 , 	57 , 	13 , 	3 ," 	1,356 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	3 , 	8 , 	5 , 	6 , 	35 , 	10 , 	21 , 	19 , 	21 , 	12 , 	10 , 	120 , 	5 , 	5 , 	5 , 	2 , 	3 , 	11 , 	35 , 	7 , 	60 , 	17 , 	9 , 	42 , 	3 , 	125 , 	92 , 	209 , 	112 , 	36 , 	23 , 	14 , 	31 , 	18 , 	4 , 	2 , 	3 , 	5 , 	42 , 	3 , 	6 , 	106 , 	11 , 	2 ," 	1,313 ",,,Dtwn SF," 	1,149 ",,,,,,,
WC, 	11 , 	15 , 	11 , 	12 , 	51 , 	14 , 	33 , 	39 , 	31 , 	11 , 	19 , 	125 , 	5 , 	11 , 	4 , 	2 , 	6 , 	12 , 	115 , 	58 , 	8 , 	24 , 	15 , 	62 , 	8 , 	188 , 	117 , 	285 , 	179 , 	40 , 	27 , 	16 , 	36 , 	20 , 	6 , 	1 , 	4 , 	14 , 	66 , 	5 , 	3 , 	118 , 	9 , 	5 ," 	1,838 ",,,OAK," 	10,069 ", 	593 ,,,,,,
