Fast Pass Adjusted OD,,,,,,Jun 07,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,64,55,214,258,646,"1,038",805,"1,242","4,321"
MT,55,60,113,221,894,"1,440","1,207","2,301","6,291"
PL,294,163,86,169,815,"1,197",773,"1,848","5,345"
CC,196,196,186,60,572,723,545,"1,255","3,734"
16,556,681,"1,042",559,30,234,236,609,"3,947"
24,856,"1,076","1,447",722,258,42,161,446,"5,008"
GP,741,906,"1,015",483,239,175,30,111,"3,700"
BP,"1,145","1,323","2,782","1,114",593,496,125,51,"7,627"
Entries,"3,908","4,457","6,885","3,587","4,046","5,344","3,882","7,864","39,973"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,30,8,74,53,234,284,144,311,"1,138"
MT,11,19,26,39,319,387,342,"1,101","2,244"
PL,79,28,85,76,681,950,575,"1,368","3,842"
CC,42,25,80,50,373,409,215,492,"1,687"
16,198,168,811,405,27,171,150,354,"2,285"
24,234,211,"1,073",421,168,31,127,319,"2,585"
GP,134,152,749,184,135,108,19,67,"1,548"
BP,304,327,"2,106",432,332,324,71,37,"3,934"
Entries,"1,034",938,"5,004","1,659","2,269","2,665","1,644","4,049","19,262"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,37,7,46,42,162,179,86,205,763
MT,7,17,24,35,191,244,206,700,"1,424"
PL,58,16,73,69,497,710,402,981,"2,807"
CC,43,27,100,57,369,377,202,416,"1,590"
16,152,103,654,387,27,130,88,236,"1,777"
24,174,132,841,405,134,45,88,222,"2,040"
GP,84,87,570,197,90,93,25,35,"1,181"
BP,224,199,"1,606",360,244,237,43,49,"2,962"
Entries,779,587,"3,914","1,553","1,714","2,015","1,140","2,842","14,543"
