Exit stations,Entry stations->,,SUNDAY,,,Dec 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	9 , 	30 , 	29 , 	12 , 	73 , 	15 , 	23 , 	17 , 	21 , 	12 , 	15 , 	16 , 	6 , 	5 , 	5 , 	4 , 	2 , 	2 , 	5 , 	3 , 	4 , 	2 , 	2 , 	7 , 	7 , 	54 , 	30 , 	118 , 	43 , 	28 , 	33 , 	9 , 	7 , 	13 , 	6 , 	1 , 	4 , 	2 , 	2 , 	6 , 	6 , 	18 , 	7 , 	1 , 	6 , 	4 , 	3 , 	8 , 	4 , 	4 , 	738 ,,,,,,,,,,,
EN, 	28 , 	14 , 	16 , 	18 , 	84 , 	23 , 	25 , 	28 , 	38 , 	11 , 	26 , 	9 , 	7 , 	8 , 	8 , 	6 , 	5 , 	5 , 	6 , 	2 , 	7 , 	4 , 	2 , 	4 , 	8 , 	84 , 	52 , 	193 , 	70 , 	41 , 	28 , 	9 , 	13 , 	7 , 	8 , 	3 , 	4 , 	1 , 	3 , 	3 , 	7 , 	47 , 	7 , 	4 , 	9 , 	5 , 	12 , 	11 , 	1 , 	3 ," 	1,008 ",,,,,,,,,,,
EP, 	30 , 	19 , 	6 , 	15 , 	75 , 	19 , 	18 , 	26 , 	22 , 	10 , 	14 , 	4 , 	6 , 	3 , 	3 , 	3 , 	1 , 	3 , 	4 , 	3 , 	6 , 	2 , 	1 , 	3 , 	3 , 	45 , 	34 , 	92 , 	39 , 	19 , 	15 , 	5 , 	4 , 	3 , 	1 , 	2 , 	4 , 	0 , 	2 , 	2 , 	2 , 	25 , 	4 , 	1 , 	13 , 	1 , 	4 , 	5 , 	1 , 	1 , 	615 ,,,,,,,,,,,
NB, 	14 , 	16 , 	14 , 	7 , 	21 , 	13 , 	14 , 	27 , 	18 , 	4 , 	10 , 	3 , 	6 , 	3 , 	5 , 	4 , 	3 , 	4 , 	4 , 	3 , 	4 , 	3 , 	3 , 	1 , 	7 , 	65 , 	48 , 	95 , 	62 , 	32 , 	20 , 	11 , 	5 , 	5 , 	1 , 	2 , 	3 , 	0 , 	3 , 	1 , 	1 , 	39 , 	4 , 	0 , 	11 , 	2 , 	6 , 	5 , 	-   , 	1 , 	623 ,,,,,,,,,,,
BK, 	80 , 	82 , 	84 , 	26 , 	22 , 	41 , 	54 , 	64 , 	72 , 	22 , 	42 , 	16 , 	19 , 	21 , 	16 , 	8 , 	10 , 	16 , 	6 , 	6 , 	12 , 	8 , 	6 , 	4 , 	16 , 	147 , 	101 , 	232 , 	103 , 	51 , 	38 , 	23 , 	14 , 	18 , 	5 , 	6 , 	9 , 	1 , 	3 , 	4 , 	5 , 	60 , 	23 , 	5 , 	21 , 	8 , 	28 , 	37 , 	1 , 	1 ," 	1,691 ",,,,,,,,,,,
AS, 	13 , 	18 , 	21 , 	10 , 	28 , 	8 , 	16 , 	25 , 	21 , 	12 , 	20 , 	7 , 	6 , 	4 , 	7 , 	2 , 	5 , 	6 , 	2 , 	2 , 	1 , 	0 , 	1 , 	3 , 	6 , 	50 , 	36 , 	84 , 	63 , 	33 , 	24 , 	5 , 	7 , 	5 , 	2 , 	1 , 	3 , 	1 , 	1 , 	-   , 	3 , 	14 , 	3 , 	1 , 	8 , 	2 , 	7 , 	7 , 	1 , 	3 , 	601 ,,,,,,,,,,,
MA, 	29 , 	27 , 	19 , 	17 , 	56 , 	18 , 	14 , 	28 , 	25 , 	13 , 	30 , 	15 , 	16 , 	10 , 	13 , 	3 , 	6 , 	7 , 	14 , 	13 , 	16 , 	10 , 	5 , 	12 , 	17 , 	98 , 	64 , 	154 , 	89 , 	68 , 	45 , 	14 , 	13 , 	10 , 	3 , 	2 , 	7 , 	4 , 	9 , 	2 , 	3 , 	44 , 	7 , 	6 , 	12 , 	7 , 	9 , 	7 , 	6 , 	9 ," 	1,114 ",,,,,,,,,,,
19, 	16 , 	23 , 	29 , 	25 , 	64 , 	27 , 	21 , 	15 , 	5 , 	6 , 	23 , 	11 , 	16 , 	21 , 	16 , 	6 , 	12 , 	7 , 	11 , 	9 , 	15 , 	7 , 	12 , 	26 , 	12 , 	104 , 	74 , 	168 , 	106 , 	64 , 	44 , 	15 , 	12 , 	12 , 	3 , 	1 , 	5 , 	1 , 	6 , 	2 , 	5 , 	45 , 	5 , 	1 , 	15 , 	5 , 	11 , 	12 , 	1 , 	6 ," 	1,151 ",,,,,,,,,,,
12, 	22 , 	28 , 	18 , 	13 , 	58 , 	21 , 	25 , 	4 , 	16 , 	4 , 	13 , 	12 , 	19 , 	20 , 	11 , 	7 , 	8 , 	6 , 	9 , 	10 , 	14 , 	5 , 	5 , 	18 , 	13 , 	103 , 	70 , 	178 , 	102 , 	54 , 	40 , 	12 , 	16 , 	10 , 	7 , 	1 , 	4 , 	2 , 	9 , 	2 , 	4 , 	46 , 	13 , 	1 , 	11 , 	4 , 	9 , 	9 , 	3 , 	11 ," 	1,094 ",,,,,,,,,,,
LM, 	12 , 	8 , 	10 , 	6 , 	17 , 	13 , 	14 , 	5 , 	5 , 	10 , 	44 , 	26 , 	44 , 	44 , 	18 , 	7 , 	12 , 	13 , 	3 , 	3 , 	2 , 	1 , 	1 , 	4 , 	9 , 	81 , 	57 , 	160 , 	75 , 	48 , 	37 , 	14 , 	11 , 	10 , 	1 , 	14 , 	25 , 	1 , 	2 , 	1 , 	2 , 	11 , 	2 , 	14 , 	17 , 	11 , 	16 , 	18 , 	0 , 	3 , 	958 ,,,,,,,,,,,
FV, 	16 , 	22 , 	8 , 	8 , 	39 , 	20 , 	30 , 	22 , 	19 , 	36 , 	14 , 	34 , 	46 , 	64 , 	41 , 	21 , 	8 , 	12 , 	8 , 	5 , 	6 , 	4 , 	5 , 	7 , 	28 , 	87 , 	58 , 	186 , 	103 , 	55 , 	41 , 	10 , 	12 , 	14 , 	3 , 	12 , 	24 , 	2 , 	6 , 	2 , 	3 , 	17 , 	3 , 	14 , 	8 , 	14 , 	19 , 	17 , 	2 , 	5 ," 	1,235 ",,,,,,,,,,,
CL, 	14 , 	13 , 	5 , 	4 , 	19 , 	6 , 	17 , 	14 , 	16 , 	25 , 	31 , 	4 , 	18 , 	33 , 	18 , 	15 , 	7 , 	5 , 	2 , 	2 , 	4 , 	2 , 	1 , 	2 , 	17 , 	43 , 	28 , 	80 , 	45 , 	20 , 	20 , 	5 , 	7 , 	7 , 	1 , 	4 , 	12 , 	-   , 	4 , 	2 , 	2 , 	11 , 	2 , 	5 , 	27 , 	9 , 	7 , 	14 , 	2 , 	4 , 	649 ,,,,,,,,,,,
SL, 	7 , 	12 , 	6 , 	7 , 	17 , 	6 , 	13 , 	21 , 	23 , 	48 , 	45 , 	21 , 	9 , 	33 , 	31 , 	15 , 	11 , 	11 , 	6 , 	4 , 	4 , 	0 , 	1 , 	4 , 	10 , 	61 , 	46 , 	144 , 	57 , 	23 , 	20 , 	7 , 	9 , 	9 , 	1 , 	5 , 	19 , 	1 , 	1 , 	1 , 	3 , 	8 , 	2 , 	14 , 	4 , 	11 , 	13 , 	10 , 	1 , 	2 , 	831 ,,,,,,,,,,,
BF, 	7 , 	10 , 	3 , 	5 , 	19 , 	5 , 	16 , 	20 , 	26 , 	42 , 	70 , 	25 , 	35 , 	9 , 	32 , 	16 , 	12 , 	15 , 	8 , 	1 , 	3 , 	1 , 	1 , 	1 , 	7 , 	53 , 	50 , 	147 , 	45 , 	15 , 	13 , 	6 , 	9 , 	6 , 	2 , 	11 , 	25 , 	1 , 	3 , 	1 , 	2 , 	7 , 	2 , 	19 , 	4 , 	14 , 	13 , 	9 , 	-   , 	2 , 	842 ,,,,,,,,,,,
HY, 	6 , 	12 , 	3 , 	3 , 	12 , 	5 , 	16 , 	13 , 	19 , 	17 , 	41 , 	25 , 	32 , 	31 , 	11 , 	15 , 	28 , 	30 , 	3 , 	4 , 	1 , 	4 , 	-   , 	3 , 	5 , 	36 , 	23 , 	58 , 	23 , 	11 , 	7 , 	3 , 	2 , 	8 , 	2 , 	4 , 	11 , 	0 , 	1 , 	1 , 	1 , 	7 , 	3 , 	6 , 	4 , 	17 , 	24 , 	17 , 	1 , 	3 , 	606 ,,,,,,,,,,,
SH, 	3 , 	6 , 	2 , 	3 , 	6 , 	1 , 	4 , 	5 , 	10 , 	12 , 	17 , 	15 , 	18 , 	14 , 	16 , 	9 , 	10 , 	13 , 	1 , 	2 , 	2 , 	-   , 	1 , 	1 , 	3 , 	25 , 	15 , 	45 , 	18 , 	8 , 	8 , 	1 , 	3 , 	6 , 	1 , 	2 , 	4 , 	-   , 	2 , 	-   , 	1 , 	3 , 	2 , 	4 , 	4 , 	11 , 	16 , 	13 , 	1 , 	3 , 	367 ,,,,,,,,,,,
