Exit stations,Entry stations->,,TOTAL,,,Dec 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	422 ," 	1,685 "," 	1,430 ", 	832 ," 	4,922 "," 	1,100 "," 	1,562 "," 	1,127 "," 	1,529 ", 	444 ," 	1,045 ", 	851 , 	431 , 	207 , 	329 , 	212 , 	171 , 	198 , 	277 , 	306 , 	287 , 	144 , 	109 , 	323 , 	476 ," 	3,958 "," 	3,212 "," 	6,205 "," 	3,229 "," 	2,161 "," 	2,268 ", 	607 , 	576 , 	708 , 	260 , 	102 , 	145 , 	56 , 	161 , 	201 , 	285 , 	855 , 	272 , 	66 , 	177 , 	367 , 	132 , 	190 , 	175 , 	160 ," 	46,947 ",,,,,,,,,,,,,
EN," 	1,840 ", 	540 ," 	1,258 ", 	852 ," 	6,882 "," 	1,401 "," 	2,224 "," 	2,573 "," 	3,588 ", 	798 ," 	1,453 ", 	991 , 	555 , 	511 , 	535 , 	166 , 	368 , 	427 , 	366 , 	238 , 	415 , 	158 , 	137 , 	342 , 	510 ," 	8,185 "," 	6,881 "," 	11,000 "," 	6,563 "," 	2,728 "," 	2,198 ", 	716 , 	931 ," 	1,013 ", 	264 , 	102 , 	250 , 	110 , 	223 , 	266 , 	472 ," 	1,678 ", 	516 , 	173 , 	514 , 	505 , 	395 , 	393 , 	64 , 	149 ," 	75,417 ",,,,,,,,,,,,,
EP," 	1,542 "," 	1,228 ", 	343 , 	694 ," 	5,334 ", 	810 ," 	1,367 "," 	1,701 "," 	1,946 ", 	554 , 	537 , 	293 , 	398 , 	187 , 	164 , 	112 , 	196 , 	169 , 	231 , 	224 , 	288 , 	127 , 	79 , 	286 , 	143 ," 	4,589 "," 	3,771 "," 	4,633 "," 	3,140 "," 	1,119 ", 	812 , 	366 , 	312 , 	401 , 	78 , 	85 , 	106 , 	57 , 	89 , 	106 , 	140 , 	965 , 	205 , 	71 , 	398 , 	130 , 	130 , 	181 , 	49 , 	61 ," 	40,947 ",,,,,,,,,,,,,
NB," 	1,007 ", 	754 , 	740 , 	346 ," 	1,800 ", 	613 , 	958 ," 	1,470 "," 	1,295 ", 	348 , 	690 , 	355 , 	329 , 	189 , 	164 , 	149 , 	151 , 	250 , 	158 , 	158 , 	206 , 	79 , 	85 , 	146 , 	186 ," 	4,509 "," 	3,861 "," 	3,906 "," 	3,249 "," 	1,410 ", 	894 , 	303 , 	303 , 	268 , 	73 , 	54 , 	141 , 	43 , 	102 , 	64 , 	91 ," 	1,370 ", 	188 , 	47 , 	403 , 	174 , 	165 , 	203 , 	38 , 	73 ," 	34,558 ",,,,,,,,,,,,,
BK," 	5,637 "," 	7,296 "," 	5,496 "," 	1,987 ", 	972 ," 	3,109 "," 	3,222 "," 	3,851 "," 	4,354 "," 	1,410 "," 	2,525 "," 	1,319 "," 	1,375 "," 	1,086 "," 	1,106 ", 	798 , 	936 , 	831 , 	708 , 	675 , 	818 , 	422 , 	334 , 	278 , 	698 ," 	6,898 "," 	4,933 "," 	7,683 "," 	4,970 "," 	2,537 "," 	1,954 "," 	1,195 ", 	646 , 	866 , 	206 , 	378 , 	688 , 	114 , 	464 , 	196 , 	231 ," 	2,015 ", 	865 , 	250 , 	745 , 	467 , 	791 ," 	1,021 ", 	148 , 	395 ," 	91,899 ",,,,,,,,,,,,,
AS," 	1,174 "," 	1,286 ", 	887 , 	581 ," 	2,785 ", 	366 , 	926 ," 	1,587 "," 	1,494 ", 	626 ," 	1,237 ", 	470 , 	522 , 	342 , 	257 , 	157 , 	250 , 	245 , 	137 , 	151 , 	142 , 	59 , 	56 , 	109 , 	350 ," 	4,150 "," 	3,466 "," 	3,541 "," 	3,418 "," 	1,612 "," 	1,066 ", 	316 , 	358 , 	253 , 	91 , 	36 , 	147 , 	50 , 	119 , 	40 , 	158 , 	820 , 	178 , 	64 , 	293 , 	258 , 	210 , 	286 , 	27 , 	159 ," 	37,312 ",,,,,,,,,,,,,
MA," 	1,914 "," 	2,096 "," 	1,351 ", 	981 ," 	3,145 ", 	981 , 	640 ," 	1,574 "," 	1,810 ", 	626 ," 	2,025 "," 	1,338 "," 	1,214 ", 	741 , 	954 , 	424 , 	492 , 	565 ," 	1,245 ", 	916 ," 	1,311 ", 	502 , 	424 , 	754 , 	822 ," 	8,238 "," 	5,867 "," 	7,612 "," 	6,351 "," 	3,855 "," 	2,186 ", 	800 , 	774 , 	593 , 	202 , 	134 , 	502 , 	204 , 	783 , 	201 , 	209 ," 	1,614 ", 	389 , 	163 , 	390 , 	353 , 	376 , 	555 , 	451 ," 	1,032 "," 	72,679 ",,,,,,,,,,,,,
19," 	1,289 "," 	2,540 "," 	1,690 "," 	1,630 "," 	3,682 "," 	1,728 "," 	1,591 ", 	761 , 	389 , 	306 ," 	1,272 "," 	1,188 "," 	1,569 "," 	1,195 "," 	1,118 ", 	724 , 	756 , 	923 ," 	1,293 "," 	1,301 "," 	1,565 ", 	807 , 	644 ," 	1,227 ", 	652 ," 	9,133 "," 	7,262 "," 	8,210 "," 	6,471 "," 	3,622 "," 	2,591 ", 	982 , 	921 , 	876 , 	317 , 	232 , 	820 , 	283 , 	950 , 	373 , 	349 ," 	1,555 ", 	514 , 	358 , 	437 , 	537 , 	482 , 	825 , 	270 , 	915 ," 	81,125 ",,,,,,,,,,,,,
12," 	1,517 "," 	3,476 "," 	1,860 "," 	1,278 "," 	3,685 "," 	1,592 "," 	1,807 ", 	381 , 	657 , 	317 ," 	1,354 "," 	1,441 "," 	2,198 "," 	2,033 "," 	1,759 ", 	945 ," 	1,299 "," 	1,030 "," 	1,522 "," 	1,807 "," 	1,870 ", 	759 , 	649 ," 	1,318 ", 	902 ," 	8,672 "," 	6,362 "," 	9,005 "," 	6,557 "," 	2,998 "," 	2,346 "," 	1,155 "," 	1,171 "," 	1,307 ", 	637 , 	317 , 	912 , 	392 ," 	1,191 ", 	505 , 	458 ," 	1,721 ", 	652 , 	270 , 	421 , 	527 , 	500 , 	760 , 	496 ," 	1,401 "," 	88,189 ",,,,,,,,,,,,,
LM, 	449 , 	708 , 	502 , 	355 ," 	1,300 ", 	610 , 	573 , 	304 , 	374 , 	368 ," 	1,837 "," 	1,780 "," 	3,248 "," 	2,532 "," 	1,374 "," 	1,121 ", 	874 , 	855 , 	147 , 	194 , 	217 , 	59 , 	41 , 	182 , 	308 ," 	6,697 "," 	5,526 "," 	7,146 "," 	4,953 "," 	2,335 "," 	1,592 ", 	627 , 	778 , 	683 , 	123 ," 	1,140 "," 	1,656 ", 	65 , 	189 , 	100 , 	131 , 	311 , 	95 , 	822 , 	416 , 	775 , 	503 , 	635 , 	62 , 	275 ," 	57,947 ",,,,,,,,,,,,,
FV," 	1,092 "," 	1,339 ", 	532 , 	667 ," 	2,482 "," 	1,135 "," 	1,928 "," 	1,401 "," 	1,422 "," 	1,546 ", 	617 ," 	2,453 "," 	3,114 "," 	3,118 "," 	2,494 "," 	1,328 ", 	977 ," 	1,164 ", 	378 , 	250 , 	353 , 	242 , 	298 , 	460 ," 	1,477 "," 	7,201 "," 	5,890 "," 	10,161 "," 	7,774 "," 	2,979 "," 	2,541 ", 	711 , 	916 ," 	1,099 ", 	118 , 	680 ," 	1,759 ", 	94 , 	257 , 	137 , 	229 , 	715 , 	129 , 	803 , 	231 ," 	1,163 ", 	593 , 	615 , 	111 , 	270 ," 	79,443 ",,,,,,,,,,,,,
