Exit stations,Entry stations->,,SATURDAY,,,Dec 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	20 , 	35 , 	33 , 	13 , 	109 , 	20 , 	30 , 	16 , 	27 , 	7 , 	21 , 	18 , 	6 , 	6 , 	6 , 	3 , 	3 , 	3 , 	6 , 	9 , 	7 , 	2 , 	4 , 	7 , 	10 , 	53 , 	40 , 	141 , 	53 , 	44 , 	49 , 	8 , 	15 , 	11 , 	6 , 	2 , 	3 , 	0 , 	2 , 	5 , 	8 , 	22 , 	8 , 	1 , 	3 , 	6 , 	6 , 	5 , 	3 , 	3 , 	917 ,,,,,,,,,,
CL, 	14 , 	18 , 	5 , 	7 , 	20 , 	12 , 	20 , 	20 , 	18 , 	18 , 	35 , 	8 , 	27 , 	33 , 	27 , 	16 , 	8 , 	8 , 	6 , 	5 , 	3 , 	2 , 	1 , 	4 , 	15 , 	51 , 	37 , 	112 , 	55 , 	25 , 	31 , 	9 , 	8 , 	11 , 	1 , 	4 , 	21 , 	1 , 	4 , 	2 , 	3 , 	11 , 	3 , 	7 , 	19 , 	18 , 	9 , 	12 , 	3 , 	5 , 	812 ,,,,,,,,,,
SL, 	7 , 	12 , 	6 , 	9 , 	25 , 	7 , 	18 , 	29 , 	30 , 	38 , 	59 , 	32 , 	13 , 	43 , 	37 , 	23 , 	17 , 	17 , 	6 , 	3 , 	4 , 	1 , 	0 , 	6 , 	8 , 	89 , 	67 , 	213 , 	81 , 	34 , 	24 , 	4 , 	13 , 	14 , 	2 , 	9 , 	18 , 	1 , 	2 , 	3 , 	2 , 	11 , 	1 , 	15 , 	3 , 	15 , 	14 , 	13 , 	1 , 	3 ," 	1,101 ",,,,,,,,,,
BF, 	7 , 	7 , 	6 , 	4 , 	21 , 	5 , 	16 , 	29 , 	30 , 	47 , 	67 , 	38 , 	40 , 	15 , 	37 , 	18 , 	17 , 	17 , 	10 , 	4 , 	3 , 	1 , 	1 , 	3 , 	10 , 	72 , 	64 , 	206 , 	70 , 	21 , 	17 , 	6 , 	13 , 	8 , 	2 , 	11 , 	34 , 	1 , 	2 , 	1 , 	2 , 	7 , 	1 , 	23 , 	4 , 	26 , 	13 , 	12 , 	1 , 	1 ," 	1,070 ",,,,,,,,,,
HY, 	6 , 	10 , 	4 , 	5 , 	17 , 	7 , 	18 , 	20 , 	25 , 	18 , 	46 , 	29 , 	37 , 	37 , 	13 , 	20 , 	25 , 	30 , 	4 , 	2 , 	3 , 	3 , 	0 , 	2 , 	6 , 	47 , 	28 , 	85 , 	27 , 	12 , 	11 , 	4 , 	7 , 	6 , 	2 , 	6 , 	15 , 	1 , 	3 , 	0 , 	2 , 	5 , 	1 , 	7 , 	3 , 	26 , 	23 , 	18 , 	1 , 	4 , 	732 ,,,,,,,,,,
SH, 	4 , 	3 , 	3 , 	6 , 	14 , 	4 , 	5 , 	7 , 	13 , 	8 , 	24 , 	15 , 	19 , 	16 , 	20 , 	7 , 	12 , 	17 , 	2 , 	2 , 	2 , 	0 , 	0 , 	2 , 	4 , 	33 , 	19 , 	52 , 	25 , 	8 , 	9 , 	2 , 	5 , 	6 , 	1 , 	2 , 	4 , 	1 , 	2 , 	1 , 	1 , 	4 , 	1 , 	8 , 	2 , 	24 , 	14 , 	12 , 	0 , 	1 , 	448 ,,,,,,,,,,
UC, 	4 , 	6 , 	3 , 	4 , 	17 , 	6 , 	5 , 	12 , 	10 , 	10 , 	15 , 	8 , 	16 , 	17 , 	30 , 	13 , 	10 , 	16 , 	3 , 	2 , 	4 , 	-   , 	-   , 	1 , 	3 , 	58 , 	26 , 	93 , 	37 , 	12 , 	8 , 	3 , 	5 , 	6 , 	2 , 	2 , 	6 , 	0 , 	1 , 	0 , 	1 , 	5 , 	1 , 	4 , 	4 , 	22 , 	26 , 	20 , 	0 , 	1 , 	558 ,,,,,,,,,,
FM, 	5 , 	7 , 	5 , 	3 , 	17 , 	7 , 	7 , 	13 , 	11 , 	11 , 	25 , 	7 , 	17 , 	19 , 	33 , 	20 , 	17 , 	15 , 	4 , 	2 , 	1 , 	0 , 	0 , 	3 , 	4 , 	64 , 	38 , 	103 , 	39 , 	15 , 	8 , 	2 , 	4 , 	7 , 	2 , 	5 , 	11 , 	0 , 	1 , 	1 , 	0 , 	13 , 	0 , 	3 , 	5 , 	18 , 	40 , 	26 , 	0 , 	3 , 	664 ,,,,,,,,,,
CN, 	7 , 	8 , 	6 , 	4 , 	10 , 	3 , 	17 , 	14 , 	16 , 	4 , 	7 , 	4 , 	6 , 	8 , 	7 , 	4 , 	1 , 	2 , 	20 , 	21 , 	71 , 	40 , 	9 , 	15 , 	5 , 	67 , 	47 , 	138 , 	71 , 	19 , 	19 , 	12 , 	10 , 	12 , 	5 , 	1 , 	2 , 	10 , 	39 , 	6 , 	5 , 	39 , 	4 , 	1 , 	9 , 	2 , 	4 , 	3 , 	25 , 	22 , 	880 ,,,,,,,,,,
PH, 	8 , 	7 , 	3 , 	3 , 	10 , 	4 , 	14 , 	14 , 	17 , 	2 , 	4 , 	6 , 	4 , 	3 , 	2 , 	2 , 	2 , 	2 , 	23 , 	12 , 	29 , 	9 , 	6 , 	21 , 	3 , 	86 , 	64 , 	144 , 	58 , 	22 , 	11 , 	6 , 	7 , 	9 , 	3 , 	-   , 	2 , 	2 , 	14 , 	3 , 	2 , 	57 , 	2 , 	1 , 	13 , 	1 , 	4 , 	5 , 	7 , 	12 , 	745 ,,,,,,,,,,
WC, 	6 , 	9 , 	5 , 	6 , 	17 , 	3 , 	21 , 	29 , 	20 , 	4 , 	10 , 	3 , 	5 , 	3 , 	3 , 	3 , 	2 , 	1 , 	87 , 	33 , 	11 , 	14 , 	7 , 	31 , 	6 , 	113 , 	79 , 	164 , 	84 , 	29 , 	17 , 	8 , 	8 , 	7 , 	3 , 	2 , 	2 , 	8 , 	33 , 	3 , 	3 , 	70 , 	4 , 	1 , 	11 , 	1 , 	2 , 	3 , 	14 , 	20 ," 	1,028 ",,,,,,,,,,
