Fast Pass Adjusted OD,,,,,,Jul 04,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,50,37,120,132,458,853,695,"1,016","3,359"
MT,32,44,68,122,702,"1,203","1,011","1,974","5,157"
PL,156,93,67,105,615,915,600,"1,380","3,932"
CC,120,120,116,62,508,704,501,"1,206","3,336"
16,380,551,718,490,19,180,159,434,"2,931"
24,722,948,"1,047",662,194,28,128,351,"4,081"
GP,655,772,807,434,163,139,14,72,"3,057"
BP,890,"1,221","2,136","1,057",441,374,79,30,"6,229"
Entries,"3,004","3,786","5,080","3,065","3,099","4,396","3,187","6,464","32,082"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,8,34,28,199,247,119,221,879
MT,5,22,18,29,266,336,302,945,"1,922"
PL,36,18,72,41,497,729,414,921,"2,729"
CC,26,17,41,45,337,386,184,480,"1,516"
16,132,178,548,336,28,120,97,244,"1,683"
24,189,219,783,371,120,33,99,218,"2,031"
GP,108,143,577,161,87,92,16,46,"1,230"
BP,205,340,"1,573",396,254,220,52,25,"3,064"
Entries,725,946,"3,645","1,406","1,787","2,163","1,282","3,101","15,054"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,29,7,24,17,130,177,86,162,631
MT,5,24,19,20,166,199,187,626,"1,244"
PL,30,12,79,31,348,472,271,614,"1,856"
CC,21,13,32,53,246,269,122,329,"1,084"
16,104,122,370,252,31,83,59,144,"1,163"
24,147,144,532,278,73,43,66,161,"1,443"
GP,81,91,402,107,62,55,16,26,838
BP,156,203,"1,177",293,155,147,29,29,"2,187"
Entries,571,614,"2,634","1,048","1,209","1,443",836,"2,089","10,445"
