Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jul 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	81 , 	144 , 	76 , 	79 , 	155 , 	76 , 	123 , 	89 , 	149 , 	89 , 	158 , 	8 , 	129 , 	177 , 	139 , 	70 , 	105 , 	226 , 	79 , 	92 , 	78 , 	53 , 	40 , 	50 , 	55 , 	266 , 	180 , 	462 , 	261 , 	86 , 	100 , 	53 , 	43 , 	51 , 	12 , 	72 , 	439 , 	28 , 	89 , 	9 , 	12 , 	35 , 	19 ," 	4,738 ",,,CM line," 	13,963 "," 	1,237 "," 	4,601 "," 	1,406 ", 	936 ," 	1,539 "," 	1,103 "," 	23,683 "
SL, 	22 , 	33 , 	16 , 	14 , 	69 , 	29 , 	41 , 	33 , 	100 , 	88 , 	151 , 	132 , 	9 , 	96 , 	80 , 	38 , 	40 , 	62 , 	13 , 	6 , 	11 , 	4 , 	4 , 	9 , 	22 , 	165 , 	108 , 	299 , 	118 , 	33 , 	46 , 	15 , 	22 , 	23 , 	7 , 	18 , 	49 , 	2 , 	11 , 	2 , 	3 , 	20 , 	5 ," 	2,070 ",,,RM line," 	5,728 "," 	1,890 "," 	1,420 "," 	3,647 ", 	673 ," 	2,117 ", 	321 ," 	15,474 "
BF, 	25 , 	31 , 	11 , 	15 , 	56 , 	30 , 	58 , 	49 , 	107 , 	93 , 	227 , 	173 , 	116 , 	9 , 	117 , 	89 , 	87 , 	137 , 	20 , 	7 , 	9 , 	3 , 	2 , 	8 , 	30 , 	161 , 	105 , 	261 , 	96 , 	28 , 	40 , 	14 , 	19 , 	24 , 	6 , 	48 , 	141 , 	3 , 	19 , 	3 , 	4 , 	7 , 	6 ," 	2,495 ",,,WP line," 	6,438 ", 	881 ," 	1,015 ", 	693 ," 	3,032 "," 	1,181 ", 	487 ," 	13,241 "
HY, 	21 , 	28 , 	11 , 	8 , 	51 , 	34 , 	49 , 	40 , 	73 , 	42 , 	158 , 	138 , 	94 , 	129 , 	11 , 	101 , 	104 , 	169 , 	12 , 	8 , 	10 , 	2 , 	1 , 	11 , 	23 , 	99 , 	58 , 	186 , 	70 , 	22 , 	27 , 	10 , 	15 , 	18 , 	7 , 	16 , 	44 , 	3 , 	11 , 	4 , 	4 , 	8 , 	4 ," 	1,934 ",,,FT/ED line," 	8,911 "," 	2,471 "," 	1,601 "," 	2,209 "," 	1,149 "," 	8,900 ", 	414 ," 	25,242 "
SH, 	14 , 	17 , 	4 , 	7 , 	25 , 	14 , 	17 , 	15 , 	42 , 	16 , 	61 , 	73 , 	42 , 	90 , 	88 , 	6 , 	43 , 	90 , 	7 , 	5 , 	4 , 	3 , 	1 , 	4 , 	8 , 	60 , 	42 , 	129 , 	31 , 	19 , 	23 , 	9 , 	10 , 	13 , 	6 , 	8 , 	27 , 	1 , 	10 , 	2 , 	2 , 	4 , 	5 ," 	1,099 ",,,SFIA," 	2,720 ", 	201 ," 	1,103 ", 	340 , 	462 , 	368 , 	519 ," 	5,193 "
UC, 	8 , 	17 , 	9 , 	5 , 	51 , 	15 , 	19 , 	19 , 	69 , 	31 , 	58 , 	99 , 	44 , 	88 , 	98 , 	44 , 	10 , 	125 , 	10 , 	7 , 	5 , 	2 , 	1 , 	4 , 	9 , 	151 , 	83 , 	238 , 	78 , 	16 , 	19 , 	9 , 	16 , 	21 , 	9 , 	9 , 	36 , 	3 , 	14 , 	1 , 	2 , 	12 , 	5 ," 	1,573 ",,,Entries," 	45,029 "," 	12,996 "," 	25,468 "," 	16,029 "," 	13,871 "," 	25,823 "," 	6,084 "," 	139,216 "
FM, 	25 , 	49 , 	25 , 	23 , 	139 , 	36 , 	39 , 	44 , 	105 , 	52 , 	93 , 	218 , 	76 , 	155 , 	179 , 	91 , 	133 , 	38 , 	24 , 	17 , 	14 , 	5 , 	7 , 	12 , 	13 , 	377 , 	180 , 	486 , 	160 , 	29 , 	29 , 	17 , 	20 , 	31 , 	6 , 	17 , 	45 , 	6 , 	26 , 	7 , 	3 , 	34 , 	6 ," 	3,091 ",,,,,,,,,,,
CN, 	23 , 	29 , 	11 , 	10 , 	40 , 	12 , 	44 , 	34 , 	73 , 	5 , 	39 , 	75 , 	18 , 	20 , 	13 , 	6 , 	11 , 	25 , 	12 , 	70 , 	294 , 	72 , 	34 , 	39 , 	9 , 	260 , 	103 , 	249 , 	107 , 	37 , 	56 , 	17 , 	28 , 	27 , 	13 , 	8 , 	17 , 	33 , 	219 , 	8 , 	7 , 	40 , 	17 ," 	2,265 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	5 , 	7 , 	8 , 	6 , 	38 , 	11 , 	22 , 	18 , 	46 , 	4 , 	17 , 	89 , 	7 , 	5 , 	9 , 	6 , 	8 , 	16 , 	72 , 	9 , 	79 , 	28 , 	18 , 	41 , 	6 , 	341 , 	145 , 	371 , 	142 , 	23 , 	32 , 	14 , 	16 , 	23 , 	7 , 	2 , 	6 , 	18 , 	45 , 	3 , 	4 , 	52 , 	14 ," 	1,834 ",,,Dtwn SF," 	1,803 ",,,,,,,
WC, 	13 , 	22 , 	13 , 	12 , 	57 , 	15 , 	31 , 	24 , 	74 , 	7 , 	25 , 	79 , 	12 , 	9 , 	8 , 	5 , 	7 , 	11 , 	336 , 	84 , 	9 , 	39 , 	26 , 	71 , 	8 , 	412 , 	171 , 	429 , 	174 , 	31 , 	26 , 	20 , 	19 , 	16 , 	12 , 	3 , 	7 , 	33 , 	88 , 	7 , 	6 , 	60 , 	16 ," 	2,525 ",,,OAK," 	11,141 ", 	641 ,,,,,,
