Exit stations,Entry stations->,,TOTAL,,,Aug 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	421 ," 	1,730 "," 	1,593 ", 	915 ," 	6,090 "," 	1,219 "," 	2,073 "," 	1,428 "," 	1,634 ", 	658 ," 	1,308 "," 	1,265 ", 	524 , 	255 , 	527 , 	219 , 	154 , 	189 , 	257 , 	217 , 	314 , 	221 , 	113 , 	324 , 	479 ," 	5,133 "," 	3,489 "," 	6,470 "," 	3,596 "," 	2,710 "," 	2,931 ", 	690 , 	720 , 	949 , 	300 , 	60 , 	140 , 	68 , 	137 , 	178 , 	359 , 	977 , 	320 , 	90 , 	291 , 	387 , 	102 , 	194 , 	180 , 	195 ," 	54,793 ",,,,,,,,,,,,,
GP, 	652 , 	792 , 	411 , 	399 ," 	1,503 ", 	330 , 	844 ," 	1,150 "," 	1,385 ", 	629 , 	736 , 	781 , 	503 , 	377 , 	242 , 	184 , 	160 , 	166 , 	496 , 	475 , 	438 , 	187 , 	221 , 	602 , 	840 ," 	9,036 "," 	9,358 "," 	11,902 "," 	6,391 "," 	4,254 "," 	3,551 ", 	465 ," 	1,185 "," 	1,194 ", 	874 , 	211 , 	410 , 	111 , 	412 , 	697 , 	918 ," 	2,161 "," 	1,374 ", 	189 , 	231 , 	141 , 	132 , 	138 , 	105 , 	530 ," 	70,473 ",,,,,,,,,,,,,
BP, 	707 ," 	1,045 ", 	361 , 	382 ," 	1,081 ", 	402 , 	827 , 	964 ," 	1,418 ", 	794 ," 	1,152 "," 	1,014 ", 	755 , 	591 , 	387 , 	198 , 	245 , 	256 , 	571 , 	364 , 	440 , 	130 , 	112 , 	570 ," 	1,179 "," 	10,347 "," 	10,683 "," 	22,416 "," 	9,416 "," 	5,592 "," 	5,303 "," 	1,036 ", 	587 ," 	1,411 "," 	1,289 ", 	271 , 	439 , 	145 , 	514 , 	954 ," 	1,535 "," 	2,389 "," 	1,691 ", 	253 , 	160 , 	109 , 	144 , 	201 , 	161 , 	550 ," 	93,541 ",,,,,,,,,,,,,
DC," 	1,029 "," 	1,435 ", 	548 , 	402 ," 	1,055 ", 	364 , 	675 ," 	1,046 "," 	1,529 ", 	810 ," 	1,451 "," 	1,514 "," 	1,001 ", 	559 , 	512 , 	347 , 	394 , 	410 , 	670 , 	586 , 	540 , 	163 , 	176 , 	401 , 	742 ," 	11,010 "," 	12,052 "," 	16,829 "," 	9,429 "," 	5,820 "," 	4,910 "," 	1,257 "," 	1,615 ", 	747 , 	565 , 	318 , 	925 , 	189 , 	687 ," 	1,192 "," 	1,832 "," 	4,483 "," 	3,044 ", 	283 , 	233 , 	208 , 	263 , 	269 , 	226 , 	797 ," 	97,542 ",,,,,,,,,,,,,
CM, 	249 , 	264 , 	80 , 	93 , 	418 , 	88 , 	271 , 	335 , 	688 , 	86 , 	232 , 	115 , 	127 , 	91 , 	82 , 	77 , 	87 , 	76 , 	181 , 	87 , 	240 , 	50 , 	51 , 	86 , 	236 ," 	4,488 "," 	4,734 "," 	6,448 "," 	4,133 "," 	2,341 "," 	2,285 ", 	912 ," 	1,368 ", 	677 , 	306 , 	42 , 	88 , 	33 , 	297 , 	302 , 	654 ," 	3,013 "," 	1,177 ", 	31 , 	34 , 	10 , 	13 , 	16 , 	117 , 	268 ," 	38,177 ",,,,,,,,,,,,,
CV, 	64 , 	105 , 	107 , 	84 , 	465 , 	101 , 	132 , 	322 , 	356 ," 	1,452 ", 	879 ," 	1,261 ", 	829 , 	751 , 	307 , 	234 , 	217 , 	230 , 	54 , 	16 , 	49 , 	15 , 	42 , 	65 , 	242 ," 	4,372 "," 	3,835 "," 	2,942 "," 	2,438 ", 	791 , 	362 , 	217 , 	239 , 	341 , 	52 , 	183 ," 	1,579 ", 	11 , 	45 , 	73 , 	93 , 	266 , 	67 , 	967 , 	124 , 	176 , 	107 , 	98 , 	14 , 	35 ," 	27,806 ",,,,,,,,,,,,,
ED, 	163 , 	225 , 	102 , 	149 ," 	1,394 ", 	255 , 	577 , 	774 , 	968 ," 	2,177 "," 	1,822 "," 	5,127 "," 	1,591 "," 	1,429 ", 	775 , 	441 , 	707 , 	486 , 	142 , 	48 , 	60 , 	34 , 	31 , 	64 , 	449 ," 	14,103 "," 	8,533 "," 	6,877 "," 	4,699 "," 	1,680 ", 	941 , 	447 , 	502 , 	935 , 	87 ," 	1,540 ", 	833 , 	6 , 	74 , 	164 , 	119 ," 	1,874 ", 	141 , 	485 ," 	1,182 ", 	313 , 	438 , 	468 , 	18 , 	70 ," 	66,519 ",,,,,,,,,,,,,
NC, 	70 , 	115 , 	50 , 	84 , 	197 , 	49 , 	253 , 	439 , 	530 , 	141 , 	88 , 	328 , 	95 , 	14 , 	31 , 	25 , 	21 , 	12 , 	548 , 	378 , 	388 , 	95 , 	42 , 	190 , 	22 ," 	2,114 "," 	1,426 "," 	1,506 "," 	1,334 ", 	470 , 	438 , 	121 , 	191 , 	171 , 	33 , 	17 , 	14 , 	113 , 	364 , 	87 , 	50 , 	685 , 	38 , 	5 , 	147 , 	18 , 	32 , 	24 , 	271 , 	362 ," 	14,236 ",,,,,,,,,,,,,
WP, 	145 , 	181 , 	93 , 	120 , 	573 , 	144 ," 	1,126 "," 	1,031 "," 	1,339 ", 	181 , 	282 , 	599 , 	184 , 	165 , 	327 , 	96 , 	69 , 	108 ," 	2,575 "," 	1,112 "," 	1,679 ", 	457 , 	189 , 	523 , 	267 ," 	4,822 "," 	4,002 "," 	6,041 "," 	4,066 "," 	1,743 "," 	1,351 ", 	446 , 	569 , 	646 , 	285 , 	43 , 	49 , 	383 , 	525 , 	210 , 	365 ," 	1,720 ", 	139 , 	29 , 	372 , 	136 , 	68 , 	78 , 	341 , 	448 ," 	42,442 ",,,,,,,,,,,,,
SS, 	181 , 	384 , 	101 , 	57 , 	389 , 	80 , 	236 , 	429 , 	615 , 	169 , 	126 , 	173 , 	140 , 	163 , 	74 , 	67 , 	37 , 	34 , 	188 , 	190 , 	233 , 	56 , 	49 , 	139 , 	206 ," 	4,032 "," 	3,874 "," 	4,761 "," 	3,615 "," 	1,788 "," 	1,546 ", 	681 ," 	1,117 "," 	1,316 ", 	336 , 	68 , 	167 , 	95 , 	206 , 	261 , 	567 ," 	1,326 ", 	843 , 	32 , 	58 , 	25 , 	21 , 	22 , 	46 , 	315 ," 	31,634 ",,,,,,,,,,,,,
SB, 	370 , 	546 , 	130 , 	104 , 	421 , 	159 , 	211 , 	400 , 	551 , 	202 , 	285 , 	359 , 	150 , 	165 , 	221 , 	90 , 	19 , 	55 , 	233 , 	198 , 	211 , 	102 , 	70 , 	179 , 	397 ," 	3,391 "," 	3,643 "," 	4,701 "," 	3,717 "," 	2,261 "," 	2,167 ", 	890 ," 	1,675 "," 	2,097 ", 	605 , 	110 , 	113 , 	76 , 	366 , 	457 , 	380 ," 	1,723 ", 	538 , 	64 , 	72 , 	7 , 	22 , 	27 , 	132 , 	286 ," 	35,348 ",,,,,,,,,,,,,
SO, 	888 ," 	1,487 "," 	1,006 "," 	1,390 "," 	2,578 ", 	888 ," 	1,603 "," 	1,348 "," 	1,843 ", 	454 , 	768 , 	512 , 	531 , 	388 , 	245 , 	252 , 	192 , 	325 ," 	1,764 "," 	2,041 "," 	2,171 "," 	1,327 "," 	1,078 "," 	1,863 "," 	1,894 "," 	5,618 "," 	5,383 "," 	20,728 "," 	6,202 "," 	4,029 "," 	2,336 "," 	1,666 "," 	1,955 "," 	3,934 "," 	2,569 ", 	191 ," 	1,455 ", 	604 ," 	1,708 ", 	915 ," 	1,105 "," 	2,546 "," 	5,969 ", 	398 , 	417 , 	121 , 	140 , 	81 , 	278 ," 	1,662 "," 	100,846 ",,,,,,,,,,,,,
MB, 	314 , 	603 , 	199 , 	292 ," 	1,748 ", 	280 , 	511 , 	697 , 	807 , 	136 , 	217 , 	368 , 	129 , 	119 , 	132 , 	82 , 	46 , 	40 , 	251 , 	144 , 	185 , 	86 , 	65 , 	139 , 	415 ," 	4,948 "," 	4,678 "," 	5,105 "," 	3,971 "," 	2,366 "," 	1,973 "," 	1,178 "," 	1,908 "," 	3,044 ", 	984 , 	44 , 	157 , 	38 , 	116 , 	674 , 	394 ," 	7,351 ", 	969 , 	69 , 	78 , 	14 , 	11 , 	8 , 	71 , 	173 ," 	48,327 ",,,,,,,,,,,,,
WD, 	81 , 	169 , 	120 , 	35 , 	479 , 	68 , 	173 , 	299 , 	379 ," 	1,061 "," 	1,036 "," 	1,678 ", 	750 ," 	1,048 ", 	501 , 	280 , 	352 , 	242 , 	53 , 	41 , 	20 , 	6 , 	4 , 	48 , 	178 ," 	5,614 "," 	3,269 "," 	2,196 "," 	1,971 ", 	723 , 	412 , 	220 , 	273 , 	322 , 	44 ," 	1,010 ", 	630 , 	3 , 	15 , 	14 , 	77 , 	602 , 	67 , 	344 , 	427 , 	149 , 	187 , 	193 , 	8 , 	30 ," 	27,901 ",,,,,,,,,,,,,
OA, 	158 , 	529 , 	373 , 	426 ," 	1,136 ", 	294 , 	488 , 	413 , 	552 , 	358 , 	183 , 	618 , 	142 , 	116 , 	151 , 	87 , 	174 , 	268 , 	406 , 	494 , 	444 , 	245 , 	166 , 	213 , 	157 ," 	1,857 "," 	1,210 "," 	1,841 ", 	906 , 	435 , 	338 , 	214 , 	137 , 	205 , 	22 , 	76 , 	819 , 	114 , 	311 , 	27 , 	58 , 	471 , 	84 , 	287 , 	292 , 	118 , 	195 , 	192 , 	46 , 	386 ," 	19,232 ",,,,,,,,,,,,,
WS, 	379 , 	395 , 	157 , 	188 , 	917 , 	204 , 	409 , 	612 , 	712 , 	860 ," 	1,137 "," 	1,605 ", 	926 , 	954 ," 	1,386 "," 	1,216 "," 	1,461 "," 	1,606 ", 	82 , 	103 , 	72 , 	21 , 	15 , 	136 , 	204 ," 	2,070 "," 	1,417 "," 	1,105 "," 	1,032 ", 	349 , 	196 , 	133 , 	148 , 	192 , 	6 , 	199 , 	288 , 	23 , 	137 , 	34 , 	12 , 	210 , 	8 , 	109 , 	104 , 	401 ," 	1,670 "," 	1,804 ", 	55 , 	131 ," 	27,590 ",,,,,,,,,,,,,
ML, 	99 , 	380 , 	148 , 	214 ," 	1,552 ", 	277 , 	428 , 	705 , 	617 , 	501 , 	666 ," 	1,082 ", 	466 , 	564 ," 	1,216 ", 	571 ," 	1,181 "," 	1,860 ", 	147 , 	81 , 	55 , 	46 , 	77 , 	94 , 	85 ," 	2,391 "," 	1,904 "," 	1,650 "," 	1,097 ", 	390 , 	246 , 	131 , 	148 , 	238 , 	15 , 	94 , 	419 , 	26 , 	81 , 	23 , 	12 , 	172 , 	11 , 	163 , 	213 ," 	1,622 ", 	485 , 	495 , 	31 , 	91 ," 	25,260 ",,,,,,,,,,,,,
BE, 	250 , 	466 , 	247 , 	289 ," 	2,069 ", 	369 , 	693 , 	828 , 	876 , 	691 , 	862 ," 	1,862 ", 	701 , 	707 ," 	1,172 ", 	820 ," 	1,295 "," 	1,707 ", 	172 , 	189 , 	168 , 	41 , 	45 , 	113 , 	176 ," 	2,957 "," 	2,140 "," 	2,071 "," 	1,484 ", 	603 , 	321 , 	154 , 	242 , 	360 , 	22 , 	96 , 	486 , 	34 , 	92 , 	31 , 	31 , 	178 , 	17 , 	223 , 	263 ," 	2,202 ", 	512 , 	617 , 	47 , 	147 ," 	32,138 ",,,,,,,,,,,,,
PC, 	178 , 	68 , 	55 , 	18 , 	238 , 	30 , 	519 , 	280 , 	551 , 	63 , 	176 , 	250 , 	66 , 	43 , 	110 , 	17 , 	48 , 	22 ," 	1,467 ", 	376 , 	654 , 	181 , 	83 , 	232 , 	201 , 	899 , 	871 ," 	1,328 ", 	932 , 	493 , 	309 , 	133 , 	192 , 	243 , 	82 , 	12 , 	43 , 	277 , 	282 , 	85 , 	133 , 	293 , 	65 , 	7 , 	74 , 	58 , 	40 , 	59 , 	68 , 	568 ," 	13,472 ",,,,,,,,,,,,,
AN, 	199 , 	235 , 	79 , 	111 , 	564 , 	175 ," 	1,410 "," 	1,130 "," 	1,730 ", 	292 , 	413 , 	785 , 	284 , 	130 , 	430 , 	120 , 	108 , 	192 ," 	1,777 ", 	784 ," 	1,389 ", 	233 , 	195 , 	672 , 	275 ," 	5,494 "," 	4,506 "," 	4,906 "," 	3,967 "," 	1,383 "," 	1,061 ", 	659 , 	691 , 	782 , 	297 , 	32 , 	64 , 	391 , 	619 , 	308 , 	277 ," 	1,817 ", 	199 , 	25 , 	534 , 	148 , 	111 , 	150 , 	607 , 	512 ," 	43,252 ",,,,,,,,,,,,,
Entries," 	57,093 "," 	84,012 "," 	48,295 "," 	41,606 "," 	129,411 "," 	46,516 "," 	87,713 "," 	98,217 "," 	111,666 "," 	69,427 "," 	96,148 "," 	90,596 "," 	71,946 "," 	60,990 "," 	52,807 "," 	33,500 "," 	39,545 "," 	43,198 "," 	56,436 "," 	52,552 "," 	57,768 "," 	32,147 "," 	26,241 "," 	51,767 "," 	83,669 "," 	337,434 "," 	263,264 "," 	319,055 "," 	218,245 "," 	135,515 "," 	129,075 "," 	71,884 "," 	102,427 "," 	95,864 "," 	37,699 "," 	27,651 "," 	67,911 "," 	14,855 "," 	41,976 "," 	30,763 "," 	33,760 "," 	122,082 "," 	50,088 "," 	27,035 "," 	23,620 "," 	29,720 "," 	25,732 "," 	30,957 "," 	14,146 "," 	42,520 "," 	3,916,544 ",,,,,,,,,,,,,
