Exit stations,Entry stations->,,TOTAL,,,Aug 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	421 ," 	1,730 "," 	1,593 ", 	915 ," 	6,090 "," 	1,219 "," 	2,073 "," 	1,428 "," 	1,634 ", 	658 ," 	1,308 "," 	1,265 ", 	524 , 	255 , 	527 , 	219 , 	154 , 	189 , 	257 , 	217 , 	314 , 	221 , 	113 , 	324 , 	479 ," 	5,133 "," 	3,489 "," 	6,470 "," 	3,596 "," 	2,710 "," 	2,931 ", 	690 , 	720 , 	949 , 	300 , 	60 , 	140 , 	68 , 	137 , 	178 , 	359 , 	977 , 	320 , 	90 , 	291 , 	387 , 	102 , 	194 , 	180 , 	195 ," 	54,793 ",,,,,,,,,,,,,
CL," 	1,253 "," 	2,046 ", 	925 ," 	1,033 "," 	2,554 "," 	1,228 "," 	2,644 "," 	2,409 "," 	2,846 "," 	2,966 "," 	4,059 ", 	735 ," 	3,242 "," 	3,210 "," 	3,008 "," 	1,679 "," 	1,543 "," 	1,804 ", 	935 , 	919 , 	925 , 	592 , 	442 , 	767 ," 	1,744 "," 	6,297 "," 	4,306 "," 	6,554 "," 	4,631 "," 	1,971 "," 	2,073 ", 	886 ," 	1,057 "," 	1,452 ", 	166 ," 	1,276 "," 	5,349 ", 	332 , 	648 , 	227 , 	366 , 	587 , 	424 ," 	1,660 ", 	687 ," 	1,726 "," 	1,297 "," 	1,922 ", 	258 , 	821 ," 	92,481 ",,,,,,,,,,,,,
SL, 	544 , 	664 , 	437 , 	460 ," 	2,011 ", 	679 ," 	1,540 "," 	1,811 "," 	2,863 "," 	3,734 "," 	4,006 "," 	3,429 ", 	479 ," 	1,972 "," 	2,538 "," 	1,466 "," 	1,176 "," 	1,192 ", 	361 , 	237 , 	304 , 	44 , 	68 , 	256 , 	775 ," 	7,594 "," 	6,605 "," 	7,357 "," 	5,271 "," 	1,871 "," 	1,467 ", 	533 , 	834 , 	941 , 	150 , 	733 ," 	1,633 ", 	79 , 	209 , 	140 , 	145 , 	699 , 	129 , 	743 , 	263 , 	982 , 	458 , 	630 , 	80 , 	260 ," 	72,852 ",,,,,,,,,,,,,
BF, 	237 , 	456 , 	191 , 	251 ," 	1,482 ", 	332 ," 	1,019 "," 	1,509 "," 	2,373 "," 	2,826 "," 	3,329 "," 	3,222 "," 	2,126 ", 	434 ," 	1,673 "," 	1,153 "," 	1,059 "," 	1,334 ", 	350 , 	122 , 	188 , 	34 , 	84 , 	177 , 	599 ," 	6,351 "," 	5,674 "," 	7,151 "," 	4,658 "," 	1,485 ", 	852 , 	414 , 	615 , 	607 , 	134 , 	649 ," 	1,695 ", 	23 , 	154 , 	162 , 	167 , 	499 , 	127 ," 	1,020 ", 	215 ," 	1,088 ", 	605 , 	644 , 	89 , 	105 ," 	61,743 ",,,,,,,,,,,,,
HY, 	548 , 	816 , 	282 , 	256 ," 	1,464 ", 	481 ," 	1,136 "," 	1,297 "," 	2,011 "," 	1,554 "," 	3,136 "," 	2,868 "," 	2,642 "," 	1,696 ", 	468 ," 	1,285 "," 	2,539 "," 	2,640 ", 	307 , 	206 , 	210 , 	64 , 	47 , 	217 , 	624 ," 	4,218 "," 	2,908 "," 	3,386 "," 	2,670 "," 	1,070 ", 	651 , 	248 , 	411 , 	488 , 	78 , 	249 , 	935 , 	44 , 	317 , 	109 , 	218 , 	283 , 	125 , 	490 , 	201 ," 	1,852 "," 	1,284 "," 	1,090 ", 	123 , 	426 ," 	52,668 ",,,,,,,,,,,,,
SH, 	232 , 	253 , 	169 , 	175 ," 	1,014 ", 	239 , 	559 , 	808 ," 	1,123 "," 	1,184 "," 	1,385 "," 	1,378 "," 	1,356 "," 	1,090 "," 	1,141 ", 	242 , 	790 ," 	1,181 ", 	169 , 	65 , 	127 , 	9 , 	22 , 	56 , 	351 ," 	3,194 "," 	2,446 "," 	2,419 "," 	2,076 ", 	706 , 	656 , 	171 , 	205 , 	325 , 	96 , 	234 , 	421 , 	38 , 	99 , 	76 , 	43 , 	259 , 	96 , 	283 , 	156 ," 	1,478 ", 	604 , 	728 , 	17 , 	119 ," 	32,063 ",,,,,,,,,,,,,
UC, 	151 , 	422 , 	201 , 	164 ," 	1,675 ", 	296 , 	664 , 	888 ," 	1,632 "," 	1,022 "," 	1,371 "," 	1,542 "," 	1,177 "," 	1,107 "," 	2,547 ", 	731 , 	481 ," 	1,639 ", 	237 , 	74 , 	145 , 	29 , 	22 , 	131 , 	236 ," 	4,667 "," 	3,257 "," 	2,650 "," 	2,246 ", 	826 , 	483 , 	177 , 	246 , 	444 , 	101 , 	215 , 	695 , 	13 , 	77 , 	34 , 	33 , 	341 , 	48 , 	369 , 	257 ," 	1,625 "," 	1,114 "," 	1,232 ", 	75 , 	98 ," 	39,907 ",,,,,,,,,,,,,
FM, 	205 , 	414 , 	193 , 	258 ," 	1,456 ", 	280 , 	706 ," 	1,003 "," 	1,326 ", 	943 ," 	1,591 "," 	1,728 "," 	1,250 "," 	1,384 "," 	2,634 "," 	1,247 "," 	1,612 ", 	530 , 	220 , 	84 , 	105 , 	19 , 	43 , 	127 , 	177 ," 	5,367 "," 	3,443 "," 	2,602 "," 	2,222 ", 	908 , 	425 , 	192 , 	272 , 	397 , 	89 , 	277 , 	525 , 	20 , 	83 , 	36 , 	55 , 	432 , 	49 , 	195 , 	355 ," 	1,714 "," 	1,881 "," 	1,776 ", 	20 , 	187 ," 	43,057 ",,,,,,,,,,,,,
CN, 	326 , 	422 , 	294 , 	182 ," 	1,065 ", 	161 ," 	1,280 "," 	1,456 "," 	1,843 ", 	274 , 	456 , 	871 , 	406 , 	343 , 	323 , 	175 , 	217 , 	231 , 	641 ," 	1,101 "," 	3,529 "," 	1,464 ", 	527 ," 	1,052 ", 	290 ," 	6,766 "," 	5,318 "," 	5,379 "," 	4,261 "," 	1,497 "," 	1,163 ", 	613 , 	572 , 	731 , 	187 , 	46 , 	129 , 	669 ," 	2,426 ", 	199 , 	235 ," 	1,887 ", 	245 , 	46 , 	487 , 	90 , 	111 , 	187 ," 	1,592 "," 	1,793 "," 	55,558 ",,,,,,,,,,,,,
PH, 	247 , 	239 , 	174 , 	188 ," 	1,116 ", 	222 ," 	1,135 "," 	1,620 "," 	2,007 ", 	238 , 	361 , 	833 , 	182 , 	123 , 	204 , 	86 , 	76 , 	94 ," 	1,201 ", 	429 ," 	1,368 ", 	724 , 	325 ," 	1,245 ", 	163 ," 	9,612 "," 	7,778 "," 	5,101 "," 	4,116 "," 	1,310 ", 	745 , 	593 , 	411 , 	604 , 	97 , 	29 , 	62 , 	316 , 	981 , 	183 , 	243 ," 	2,273 ", 	162 , 	21 , 	611 , 	111 , 	101 , 	148 , 	521 , 	952 ," 	51,681 ",,,,,,,,,,,,,
WC, 	307 , 	386 , 	337 , 	224 ," 	1,206 ", 	210 ," 	1,424 "," 	2,002 "," 	2,451 ", 	278 , 	524 , 	821 , 	318 , 	208 , 	200 , 	147 , 	157 , 	100 ," 	3,988 "," 	1,451 ", 	408 , 	787 , 	502 ," 	1,645 ", 	305 ," 	10,281 "," 	6,965 "," 	4,377 "," 	4,001 "," 	1,304 ", 	719 , 	486 , 	443 , 	560 , 	227 , 	48 , 	66 , 	644 ," 	1,788 ", 	227 , 	210 ," 	2,509 ", 	212 , 	18 , 	559 , 	61 , 	92 , 	157 , 	817 ," 	1,179 "," 	58,336 ",,,,,,,,,,,,,
