Exit stations,Entry stations->,,SATURDAY,,,Aug 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	17 , 	39 , 	39 , 	23 , 	145 , 	33 , 	45 , 	26 , 	33 , 	11 , 	32 , 	40 , 	11 , 	4 , 	10 , 	5 , 	2 , 	4 , 	7 , 	5 , 	7 , 	7 , 	2 , 	6 , 	12 , 	86 , 	50 , 	164 , 	51 , 	54 , 	72 , 	10 , 	20 , 	14 , 	8 , 	1 , 	3 , 	1 , 	2 , 	5 , 	10 , 	28 , 	8 , 	1 , 	5 , 	11 , 	5 , 	7 , 	4 , 	4 ," 	1,183 ",,,,,,,,,,
EN, 	45 , 	22 , 	37 , 	24 , 	170 , 	42 , 	50 , 	45 , 	63 , 	16 , 	43 , 	76 , 	15 , 	15 , 	16 , 	9 , 	9 , 	7 , 	10 , 	3 , 	9 , 	5 , 	2 , 	6 , 	12 , 	126 , 	96 , 	264 , 	96 , 	59 , 	65 , 	18 , 	21 , 	25 , 	8 , 	3 , 	7 , 	2 , 	3 , 	4 , 	15 , 	41 , 	11 , 	1 , 	17 , 	11 , 	9 , 	11 , 	2 , 	3 ," 	1,663 ",,,,,,,,,,
EP, 	47 , 	33 , 	13 , 	23 , 	139 , 	26 , 	29 , 	36 , 	38 , 	12 , 	14 , 	42 , 	8 , 	4 , 	7 , 	7 , 	4 , 	4 , 	5 , 	4 , 	8 , 	4 , 	1 , 	9 , 	3 , 	101 , 	64 , 	125 , 	50 , 	32 , 	28 , 	11 , 	7 , 	8 , 	2 , 	2 , 	5 , 	1 , 	2 , 	2 , 	4 , 	27 , 	4 , 	4 , 	11 , 	2 , 	6 , 	8 , 	3 , 	2 ," 	1,023 ",,,,,,,,,,
NB, 	26 , 	24 , 	22 , 	17 , 	43 , 	16 , 	22 , 	34 , 	31 , 	12 , 	23 , 	51 , 	10 , 	6 , 	5 , 	7 , 	8 , 	10 , 	6 , 	4 , 	8 , 	2 , 	3 , 	4 , 	3 , 	123 , 	78 , 	115 , 	77 , 	50 , 	45 , 	14 , 	11 , 	11 , 	5 , 	4 , 	5 , 	2 , 	4 , 	2 , 	5 , 	42 , 	9 , 	1 , 	11 , 	6 , 	8 , 	12 , 	1 , 	3 ," 	1,037 ",,,,,,,,,,
BK, 	144 , 	175 , 	143 , 	50 , 	75 , 	80 , 	82 , 	169 , 	120 , 	49 , 	65 , 	73 , 	39 , 	24 , 	29 , 	27 , 	20 , 	33 , 	19 , 	18 , 	29 , 	16 , 	17 , 	10 , 	22 , 	424 , 	322 , 	405 , 	216 , 	127 , 	87 , 	40 , 	29 , 	35 , 	9 , 	12 , 	29 , 	3 , 	9 , 	7 , 	9 , 	88 , 	45 , 	14 , 	39 , 	17 , 	60 , 	60 , 	3 , 	10 ," 	3,621 ",,,,,,,,,,
AS, 	30 , 	38 , 	25 , 	21 , 	62 , 	15 , 	25 , 	44 , 	35 , 	15 , 	32 , 	45 , 	12 , 	10 , 	7 , 	4 , 	6 , 	6 , 	3 , 	7 , 	7 , 	1 , 	1 , 	3 , 	12 , 	92 , 	56 , 	107 , 	80 , 	62 , 	37 , 	11 , 	9 , 	8 , 	3 , 	2 , 	4 , 	-   , 	1 , 	2 , 	4 , 	24 , 	7 , 	2 , 	10 , 	5 , 	6 , 	10 , 	1 , 	3 ," 	1,005 ",,,,,,,,,,
MA, 	44 , 	48 , 	27 , 	26 , 	89 , 	31 , 	32 , 	40 , 	52 , 	16 , 	53 , 	86 , 	24 , 	17 , 	17 , 	7 , 	6 , 	12 , 	24 , 	19 , 	26 , 	11 , 	13 , 	22 , 	20 , 	208 , 	121 , 	250 , 	166 , 	142 , 	81 , 	23 , 	19 , 	15 , 	4 , 	3 , 	4 , 	5 , 	15 , 	2 , 	5 , 	51 , 	13 , 	2 , 	15 , 	7 , 	9 , 	19 , 	5 , 	20 ," 	1,957 ",,,,,,,,,,
19, 	25 , 	49 , 	36 , 	34 , 	182 , 	43 , 	38 , 	35 , 	5 , 	7 , 	36 , 	79 , 	27 , 	22 , 	26 , 	17 , 	7 , 	12 , 	22 , 	24 , 	31 , 	11 , 	14 , 	36 , 	25 , 	213 , 	140 , 	252 , 	176 , 	151 , 	90 , 	23 , 	17 , 	20 , 	6 , 	2 , 	10 , 	6 , 	9 , 	4 , 	8 , 	50 , 	16 , 	4 , 	10 , 	8 , 	18 , 	17 , 	3 , 	12 ," 	2,103 ",,,,,,,,,,
12, 	37 , 	59 , 	38 , 	37 , 	114 , 	35 , 	45 , 	12 , 	57 , 	6 , 	31 , 	73 , 	36 , 	26 , 	23 , 	16 , 	10 , 	13 , 	31 , 	24 , 	35 , 	15 , 	17 , 	36 , 	30 , 	244 , 	140 , 	320 , 	189 , 	144 , 	85 , 	33 , 	38 , 	26 , 	11 , 	5 , 	7 , 	4 , 	11 , 	6 , 	11 , 	69 , 	22 , 	2 , 	11 , 	8 , 	11 , 	21 , 	2 , 	14 ," 	2,283 ",,,,,,,,,,
LM, 	19 , 	17 , 	15 , 	9 , 	63 , 	18 , 	15 , 	9 , 	5 , 	21 , 	51 , 	132 , 	75 , 	72 , 	35 , 	18 , 	15 , 	15 , 	4 , 	5 , 	2 , 	1 , 	2 , 	5 , 	11 , 	135 , 	96 , 	206 , 	123 , 	94 , 	60 , 	21 , 	16 , 	15 , 	1 , 	32 , 	51 , 	1 , 	2 , 	2 , 	5 , 	12 , 	2 , 	28 , 	19 , 	15 , 	17 , 	27 , 	2 , 	2 ," 	1,612 ",,,,,,,,,,
FV, 	35 , 	35 , 	14 , 	22 , 	69 , 	28 , 	44 , 	35 , 	29 , 	41 , 	30 , 	138 , 	77 , 	102 , 	58 , 	26 , 	16 , 	26 , 	13 , 	5 , 	9 , 	5 , 	4 , 	20 , 	41 , 	144 , 	110 , 	254 , 	143 , 	88 , 	78 , 	19 , 	20 , 	21 , 	5 , 	20 , 	38 , 	1 , 	9 , 	3 , 	6 , 	24 , 	7 , 	23 , 	11 , 	25 , 	16 , 	23 , 	2 , 	8 ," 	2,017 ",,,,,,,,,,
