Exit stations,Entry stations->,,WEEKDAY,,,Apr 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	22 , 	107 , 	86 , 	66 , 	412 , 	90 , 	129 , 	164 , 	173 , 	46 , 	90 , 	72 , 	36 , 	23 , 	29 , 	15 , 	17 , 	25 , 	18 , 	14 , 	24 , 	7 , 	8 , 	23 , 	24 , 	397 , 	420 , 	476 , 	343 , 	186 , 	201 , 	46 , 	78 , 	104 , 	17 , 	5 , 	15 , 	4 , 	19 , 	12 , 	18 , 	53 , 	25 , 	7 , 	13 , 	18 , 	-   , 	-   , 	9 , 	9 ," 	4,193 ",,,,,,,,,,,,,
EN, 	112 , 	28 , 	75 , 	83 , 	788 , 	132 , 	248 , 	443 , 	547 , 	105 , 	93 , 	139 , 	59 , 	37 , 	69 , 	18 , 	32 , 	38 , 	30 , 	18 , 	28 , 	8 , 	12 , 	28 , 	32 , 	890 , 	947 , 	867 , 	761 , 	296 , 	201 , 	87 , 	121 , 	166 , 	29 , 	7 , 	22 , 	5 , 	10 , 	27 , 	36 , 	129 , 	69 , 	14 , 	37 , 	43 , 	-   , 	-   , 	9 , 	10 ," 	7,982 ",,,,,,,,,,,,,
EP, 	81 , 	74 , 	18 , 	54 , 	701 , 	75 , 	122 , 	283 , 	341 , 	63 , 	43 , 	62 , 	30 , 	14 , 	24 , 	8 , 	16 , 	24 , 	22 , 	15 , 	23 , 	10 , 	5 , 	25 , 	14 , 	592 , 	651 , 	421 , 	440 , 	136 , 	71 , 	28 , 	44 , 	65 , 	5 , 	5 , 	12 , 	4 , 	8 , 	6 , 	12 , 	70 , 	28 , 	7 , 	28 , 	23 , 	-   , 	-   , 	2 , 	4 ," 	4,810 ",,,,,,,,,,,,,
NB, 	68 , 	78 , 	50 , 	16 , 	185 , 	54 , 	82 , 	256 , 	248 , 	51 , 	63 , 	64 , 	22 , 	20 , 	28 , 	8 , 	20 , 	21 , 	20 , 	20 , 	21 , 	7 , 	8 , 	13 , 	13 , 	649 , 	690 , 	393 , 	502 , 	162 , 	93 , 	31 , 	44 , 	49 , 	6 , 	6 , 	12 , 	5 , 	8 , 	7 , 	10 , 	89 , 	36 , 	6 , 	37 , 	24 , 	-   , 	-   , 	3 , 	5 ," 	4,300 ",,,,,,,,,,,,,
BK, 	436 , 	822 , 	708 , 	208 , 	48 , 	344 , 	353 , 	548 , 	528 , 	247 , 	281 , 	195 , 	189 , 	127 , 	132 , 	78 , 	145 , 	152 , 	108 , 	151 , 	121 , 	62 , 	45 , 	39 , 	71 , 	999 , 	970 , 	728 , 	760 , 	338 , 	252 , 	141 , 	120 , 	129 , 	43 , 	49 , 	111 , 	30 , 	70 , 	40 , 	41 , 	149 , 	138 , 	41 , 	80 , 	155 , 	-   , 	-   , 	28 , 	46 ," 	11,596 ",,,,,,,,,,,,,
AS, 	93 , 	121 , 	79 , 	64 , 	305 , 	16 , 	81 , 	248 , 	247 , 	71 , 	98 , 	88 , 	42 , 	33 , 	33 , 	21 , 	32 , 	25 , 	23 , 	23 , 	21 , 	6 , 	7 , 	10 , 	23 , 	730 , 	772 , 	455 , 	516 , 	242 , 	109 , 	33 , 	45 , 	46 , 	9 , 	8 , 	16 , 	6 , 	11 , 	10 , 	14 , 	58 , 	31 , 	13 , 	27 , 	34 , 	-   , 	-   , 	4 , 	8 ," 	5,004 ",,,,,,,,,,,,,
MA, 	143 , 	242 , 	107 , 	78 , 	337 , 	87 , 	40 , 	216 , 	217 , 	62 , 	157 , 	166 , 	114 , 	91 , 	95 , 	54 , 	65 , 	80 , 	142 , 	170 , 	137 , 	55 , 	41 , 	56 , 	45 ," 	1,148 "," 	1,275 ", 	820 , 	879 , 	400 , 	211 , 	85 , 	90 , 	91 , 	26 , 	23 , 	70 , 	45 , 	139 , 	26 , 	29 , 	109 , 	59 , 	20 , 	28 , 	60 , 	-   , 	-   , 	48 , 	115 ," 	8,793 ",,,,,,,,,,,,,
19, 	172 , 	453 , 	291 , 	257 , 	501 , 	242 , 	204 , 	36 , 	48 , 	40 , 	173 , 	200 , 	227 , 	206 , 	204 , 	140 , 	199 , 	253 , 	277 , 	375 , 	302 , 	168 , 	113 , 	161 , 	64 ," 	1,476 "," 	1,580 ", 	933 ," 	1,067 ", 	470 , 	331 , 	168 , 	142 , 	150 , 	74 , 	74 , 	225 , 	129 , 	178 , 	70 , 	70 , 	97 , 	132 , 	107 , 	35 , 	194 , 	-   , 	-   , 	60 , 	132 ," 	13,199 ",,,,,,,,,,,,,
12, 	200 , 	558 , 	331 , 	255 , 	453 , 	242 , 	212 , 	44 , 	37 , 	35 , 	216 , 	269 , 	343 , 	310 , 	289 , 	174 , 	235 , 	269 , 	318 , 	459 , 	296 , 	150 , 	120 , 	169 , 	87 ," 	1,341 "," 	1,334 ", 	950 , 	985 , 	357 , 	309 , 	198 , 	190 , 	231 , 	125 , 	128 , 	268 , 	138 , 	221 , 	91 , 	87 , 	128 , 	154 , 	130 , 	51 , 	184 , 	-   , 	-   , 	59 , 	180 ," 	13,906 ",,,,,,,,,,,,,
LM, 	41 , 	91 , 	62 , 	51 , 	251 , 	70 , 	63 , 	43 , 	38 , 	16 , 	155 , 	290 , 	288 , 	248 , 	155 , 	85 , 	117 , 	105 , 	35 , 	23 , 	27 , 	6 , 	9 , 	32 , 	32 , 	955 ," 	1,072 ", 	712 , 	670 , 	267 , 	154 , 	59 , 	90 , 	115 , 	7 , 	114 , 	186 , 	8 , 	27 , 	12 , 	17 , 	36 , 	15 , 	84 , 	23 , 	104 , 	-   , 	-   , 	9 , 	24 ," 	7,093 ",,,,,,,,,,,,,
