Exit stations,Entry stations->,,SUNDAY,,,Apr 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	6 , 	27 , 	38 , 	30 , 	134 , 	33 , 	45 , 	23 , 	29 , 	19 , 	30 , 	36 , 	13 , 	10 , 	8 , 	4 , 	6 , 	10 , 	5 , 	4 , 	9 , 	3 , 	3 , 	15 , 	6 , 	103 , 	71 , 	200 , 	69 , 	57 , 	56 , 	19 , 	16 , 	24 , 	5 , 	2 , 	5 , 	2 , 	8 , 	4 , 	6 , 	36 , 	8 , 	1 , 	8 , 	7 , 	-   , 	-   , 	4 , 	5 ," 	1,256 ",,,,,,,,,,,
EN, 	34 , 	13 , 	28 , 	31 , 	221 , 	43 , 	66 , 	48 , 	62 , 	26 , 	47 , 	85 , 	23 , 	21 , 	16 , 	7 , 	9 , 	12 , 	13 , 	6 , 	9 , 	2 , 	5 , 	9 , 	22 , 	195 , 	127 , 	301 , 	115 , 	57 , 	56 , 	20 , 	22 , 	26 , 	14 , 	3 , 	10 , 	1 , 	7 , 	9 , 	12 , 	81 , 	11 , 	3 , 	34 , 	20 , 	-   , 	-   , 	3 , 	5 ," 	1,984 ",,,,,,,,,,,
EP, 	45 , 	31 , 	9 , 	32 , 	244 , 	39 , 	40 , 	44 , 	40 , 	27 , 	27 , 	46 , 	12 , 	7 , 	6 , 	2 , 	9 , 	10 , 	7 , 	5 , 	11 , 	4 , 	3 , 	13 , 	6 , 	113 , 	86 , 	189 , 	106 , 	49 , 	31 , 	18 , 	10 , 	15 , 	6 , 	1 , 	5 , 	0 , 	3 , 	2 , 	3 , 	52 , 	9 , 	2 , 	30 , 	15 , 	-   , 	-   , 	1 , 	2 ," 	1,461 ",,,,,,,,,,,
NB, 	30 , 	36 , 	27 , 	11 , 	62 , 	26 , 	31 , 	40 , 	51 , 	22 , 	28 , 	47 , 	14 , 	8 , 	8 , 	5 , 	10 , 	9 , 	3 , 	9 , 	14 , 	4 , 	3 , 	7 , 	9 , 	155 , 	99 , 	185 , 	143 , 	72 , 	55 , 	28 , 	13 , 	19 , 	5 , 	4 , 	9 , 	-   , 	2 , 	2 , 	5 , 	83 , 	15 , 	4 , 	28 , 	17 , 	-   , 	-   , 	1 , 	2 ," 	1,454 ",,,,,,,,,,,
BK, 	147 , 	211 , 	226 , 	70 , 	40 , 	105 , 	112 , 	127 , 	140 , 	64 , 	106 , 	96 , 	43 , 	39 , 	40 , 	24 , 	52 , 	78 , 	20 , 	28 , 	42 , 	21 , 	14 , 	13 , 	36 , 	327 , 	225 , 	442 , 	300 , 	185 , 	119 , 	72 , 	40 , 	56 , 	8 , 	10 , 	47 , 	6 , 	9 , 	11 , 	15 , 	140 , 	53 , 	13 , 	65 , 	157 , 	-   , 	-   , 	3 , 	7 ," 	4,199 ",,,,,,,,,,,
AS, 	43 , 	49 , 	40 , 	27 , 	95 , 	13 , 	41 , 	58 , 	59 , 	26 , 	45 , 	51 , 	11 , 	18 , 	7 , 	7 , 	10 , 	14 , 	6 , 	5 , 	8 , 	5 , 	3 , 	5 , 	14 , 	144 , 	84 , 	163 , 	137 , 	105 , 	63 , 	18 , 	11 , 	12 , 	2 , 	1 , 	8 , 	1 , 	5 , 	3 , 	7 , 	67 , 	7 , 	4 , 	24 , 	26 , 	-   , 	-   , 	2 , 	2 ," 	1,549 ",,,,,,,,,,,
MA, 	38 , 	64 , 	33 , 	34 , 	112 , 	40 , 	18 , 	56 , 	56 , 	34 , 	62 , 	99 , 	27 , 	26 , 	18 , 	14 , 	13 , 	16 , 	18 , 	28 , 	32 , 	19 , 	11 , 	31 , 	23 , 	224 , 	157 , 	304 , 	236 , 	160 , 	101 , 	30 , 	22 , 	22 , 	6 , 	7 , 	23 , 	5 , 	20 , 	3 , 	6 , 	94 , 	14 , 	5 , 	32 , 	26 , 	-   , 	-   , 	7 , 	19 ," 	2,439 ",,,,,,,,,,,
19, 	27 , 	48 , 	44 , 	38 , 	130 , 	55 , 	50 , 	15 , 	9 , 	18 , 	49 , 	84 , 	33 , 	27 , 	21 , 	11 , 	12 , 	18 , 	20 , 	22 , 	27 , 	16 , 	13 , 	39 , 	33 , 	226 , 	168 , 	324 , 	231 , 	182 , 	131 , 	40 , 	30 , 	26 , 	5 , 	11 , 	17 , 	3 , 	11 , 	7 , 	8 , 	95 , 	16 , 	8 , 	28 , 	31 , 	-   , 	-   , 	7 , 	12 ," 	2,472 ",,,,,,,,,,,
12, 	30 , 	58 , 	39 , 	43 , 	116 , 	56 , 	42 , 	8 , 	19 , 	12 , 	54 , 	99 , 	56 , 	46 , 	30 , 	16 , 	31 , 	29 , 	24 , 	37 , 	33 , 	14 , 	10 , 	36 , 	42 , 	325 , 	256 , 	542 , 	271 , 	169 , 	119 , 	54 , 	59 , 	51 , 	20 , 	10 , 	26 , 	7 , 	21 , 	7 , 	16 , 	138 , 	26 , 	8 , 	40 , 	33 , 	-   , 	-   , 	4 , 	12 ," 	3,189 ",,,,,,,,,,,
LM, 	21 , 	24 , 	22 , 	22 , 	57 , 	37 , 	26 , 	17 , 	11 , 	13 , 	101 , 	129 , 	83 , 	91 , 	33 , 	24 , 	30 , 	32 , 	9 , 	8 , 	9 , 	3 , 	4 , 	9 , 	13 , 	86 , 	73 , 	167 , 	88 , 	59 , 	41 , 	15 , 	18 , 	17 , 	4 , 	42 , 	52 , 	1 , 	4 , 	2 , 	6 , 	18 , 	3 , 	26 , 	25 , 	40 , 	-   , 	-   , 	1 , 	4 ," 	1,614 ",,,,,,,,,,,
