Exit stations,Entry stations->,,SATURDAY,,,Apr 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	13 , 	46 , 	59 , 	35 , 	236 , 	50 , 	62 , 	39 , 	53 , 	12 , 	45 , 	45 , 	15 , 	13 , 	15 , 	11 , 	8 , 	12 , 	9 , 	11 , 	9 , 	2 , 	3 , 	13 , 	12 , 	153 , 	106 , 	276 , 	120 , 	79 , 	117 , 	20 , 	35 , 	27 , 	6 , 	3 , 	7 , 	2 , 	10 , 	5 , 	6 , 	36 , 	11 , 	2 , 	8 , 	11 , 	-   , 	-   , 	6 , 	5 ," 	1,875 ",,,,,,,,,,
EN, 	46 , 	16 , 	48 , 	38 , 	382 , 	74 , 	87 , 	81 , 	106 , 	29 , 	61 , 	110 , 	29 , 	24 , 	26 , 	11 , 	15 , 	19 , 	16 , 	7 , 	12 , 	5 , 	5 , 	15 , 	22 , 	326 , 	218 , 	527 , 	218 , 	106 , 	120 , 	31 , 	45 , 	41 , 	23 , 	4 , 	15 , 	2 , 	8 , 	9 , 	17 , 	80 , 	21 , 	5 , 	25 , 	24 , 	-   , 	-   , 	4 , 	8 ," 	3,159 ",,,,,,,,,,
EP, 	60 , 	45 , 	10 , 	37 , 	426 , 	47 , 	65 , 	74 , 	80 , 	31 , 	34 , 	47 , 	14 , 	9 , 	9 , 	5 , 	9 , 	17 , 	10 , 	8 , 	16 , 	5 , 	4 , 	19 , 	7 , 	170 , 	131 , 	294 , 	149 , 	78 , 	51 , 	20 , 	16 , 	18 , 	5 , 	5 , 	7 , 	0 , 	4 , 	2 , 	4 , 	60 , 	14 , 	3 , 	24 , 	18 , 	-   , 	-   , 	1 , 	2 ," 	2,160 ",,,,,,,,,,
NB, 	39 , 	41 , 	36 , 	16 , 	131 , 	39 , 	40 , 	76 , 	62 , 	32 , 	37 , 	53 , 	17 , 	15 , 	12 , 	6 , 	9 , 	14 , 	6 , 	9 , 	16 , 	7 , 	5 , 	7 , 	15 , 	224 , 	147 , 	258 , 	207 , 	116 , 	73 , 	26 , 	12 , 	23 , 	5 , 	2 , 	8 , 	2 , 	5 , 	2 , 	3 , 	62 , 	12 , 	3 , 	32 , 	12 , 	-   , 	-   , 	1 , 	1 ," 	1,973 ",,,,,,,,,,
BK, 	240 , 	413 , 	404 , 	137 , 	56 , 	201 , 	182 , 	213 , 	212 , 	90 , 	188 , 	125 , 	95 , 	85 , 	69 , 	47 , 	87 , 	113 , 	36 , 	64 , 	71 , 	44 , 	36 , 	34 , 	50 , 	507 , 	361 , 	798 , 	521 , 	308 , 	208 , 	108 , 	87 , 	103 , 	18 , 	28 , 	83 , 	12 , 	18 , 	22 , 	21 , 	105 , 	87 , 	19 , 	60 , 	155 , 	-   , 	-   , 	6 , 	19 ," 	6,937 ",,,,,,,,,,
AS, 	53 , 	72 , 	43 , 	31 , 	181 , 	13 , 	51 , 	89 , 	86 , 	26 , 	53 , 	54 , 	20 , 	20 , 	18 , 	7 , 	13 , 	14 , 	11 , 	9 , 	10 , 	8 , 	4 , 	7 , 	21 , 	187 , 	142 , 	248 , 	199 , 	148 , 	88 , 	24 , 	18 , 	16 , 	4 , 	5 , 	8 , 	2 , 	6 , 	2 , 	3 , 	42 , 	11 , 	4 , 	18 , 	19 , 	-   , 	-   , 	2 , 	4 ," 	2,108 ",,,,,,,,,,
MA, 	64 , 	89 , 	55 , 	46 , 	184 , 	59 , 	28 , 	74 , 	79 , 	34 , 	76 , 	92 , 	38 , 	30 , 	27 , 	18 , 	16 , 	24 , 	31 , 	34 , 	45 , 	19 , 	14 , 	33 , 	20 , 	320 , 	239 , 	460 , 	354 , 	221 , 	173 , 	39 , 	27 , 	34 , 	9 , 	5 , 	12 , 	6 , 	28 , 	7 , 	10 , 	81 , 	23 , 	6 , 	18 , 	26 , 	-   , 	-   , 	11 , 	26 ," 	3,358 ",,,,,,,,,,
19, 	48 , 	84 , 	74 , 	76 , 	219 , 	97 , 	79 , 	36 , 	15 , 	18 , 	69 , 	102 , 	44 , 	46 , 	41 , 	20 , 	27 , 	32 , 	25 , 	51 , 	53 , 	34 , 	22 , 	63 , 	32 , 	313 , 	258 , 	522 , 	372 , 	254 , 	194 , 	52 , 	47 , 	45 , 	14 , 	9 , 	18 , 	9 , 	17 , 	13 , 	11 , 	56 , 	26 , 	8 , 	14 , 	44 , 	-   , 	-   , 	7 , 	16 ," 	3,723 ",,,,,,,,,,
12, 	63 , 	98 , 	87 , 	69 , 	190 , 	73 , 	71 , 	17 , 	24 , 	10 , 	57 , 	102 , 	76 , 	65 , 	51 , 	22 , 	36 , 	34 , 	34 , 	55 , 	56 , 	20 , 	27 , 	56 , 	51 , 	346 , 	261 , 	569 , 	338 , 	167 , 	139 , 	53 , 	52 , 	51 , 	16 , 	10 , 	15 , 	5 , 	25 , 	13 , 	21 , 	82 , 	43 , 	8 , 	12 , 	40 , 	-   , 	-   , 	9 , 	23 ," 	3,738 ",,,,,,,,,,
LM, 	12 , 	34 , 	20 , 	31 , 	97 , 	33 , 	28 , 	15 , 	9 , 	12 , 	93 , 	196 , 	146 , 	135 , 	56 , 	27 , 	49 , 	48 , 	8 , 	9 , 	14 , 	6 , 	4 , 	14 , 	21 , 	303 , 	235 , 	492 , 	295 , 	171 , 	131 , 	35 , 	47 , 	45 , 	4 , 	65 , 	79 , 	3 , 	7 , 	5 , 	11 , 	21 , 	9 , 	36 , 	17 , 	43 , 	-   , 	-   , 	1 , 	10 ," 	3,177 ",,,,,,,,,,
FV, 	52 , 	68 , 	33 , 	37 , 	182 , 	54 , 	72 , 	74 , 	67 , 	63 , 	19 , 	175 , 	120 , 	148 , 	93 , 	38 , 	39 , 	49 , 	18 , 	15 , 	22 , 	12 , 	7 , 	34 , 	51 , 	346 , 	260 , 	582 , 	336 , 	199 , 	166 , 	38 , 	52 , 	49 , 	11 , 	35 , 	69 , 	5 , 	17 , 	6 , 	13 , 	48 , 	14 , 	44 , 	11 , 	47 , 	-   , 	-   , 	6 , 	13 ," 	3,899 ",,,,,,,,,,
CL, 	49 , 	104 , 	50 , 	58 , 	112 , 	51 , 	90 , 	89 , 	103 , 	135 , 	156 , 	20 , 	174 , 	150 , 	108 , 	65 , 	112 , 	136 , 	47 , 	56 , 	52 , 	41 , 	34 , 	51 , 	62 , 	298 , 	161 , 	401 , 	204 , 	105 , 	104 , 	44 , 	41 , 	80 , 	10 , 	81 , 	302 , 	16 , 	29 , 	10 , 	14 , 	34 , 	20 , 	141 , 	24 , 	228 , 	-   , 	-   , 	9 , 	35 ," 	4,490 ",,,,,,,,,,
SL, 	20 , 	28 , 	15 , 	16 , 	102 , 	20 , 	37 , 	55 , 	83 , 	144 , 	124 , 	183 , 	16 , 	86 , 	54 , 	29 , 	33 , 	34 , 	11 , 	10 , 	11 , 	2 , 	1 , 	12 , 	24 , 	215 , 	192 , 	407 , 	196 , 	77 , 	60 , 	17 , 	26 , 	33 , 	3 , 	26 , 	40 , 	3 , 	9 , 	8 , 	8 , 	38 , 	5 , 	30 , 	7 , 	29 , 	-   , 	-   , 	1 , 	8 ," 	2,579 ",,,,,,,,,,
