Exit stations,Entry stations->,,SATURDAY,,,Aug 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	18 , 	50 , 	72 , 	39 , 	219 , 	56 , 	62 , 	34 , 	54 , 	16 , 	63 , 	85 , 	24 , 	16 , 	14 , 	10 , 	11 , 	13 , 	15 , 	7 , 	5 , 	2 , 	4 , 	16 , 	14 , 	148 , 	111 , 	312 , 	135 , 	92 , 	114 , 	28 , 	42 , 	25 , 	7 , 	4 , 	10 , 	1 , 	9 , 	9 , 	10 , 	43 , 	12 , 	4 , 	8 , 	16 , 	-   , 	-   , 	3 , 	6 ," 	2,068 ",,,,,,,,,,
EN, 	52 , 	12 , 	56 , 	49 , 	382 , 	74 , 	86 , 	76 , 	114 , 	32 , 	73 , 	185 , 	28 , 	29 , 	23 , 	14 , 	14 , 	19 , 	16 , 	9 , 	6 , 	2 , 	7 , 	16 , 	21 , 	265 , 	197 , 	510 , 	194 , 	95 , 	99 , 	44 , 	48 , 	38 , 	20 , 	6 , 	12 , 	2 , 	11 , 	9 , 	15 , 	88 , 	20 , 	3 , 	30 , 	29 , 	-   , 	-   , 	4 , 	8 ," 	3,147 ",,,,,,,,,,
EP, 	68 , 	53 , 	8 , 	40 , 	395 , 	45 , 	66 , 	71 , 	89 , 	29 , 	41 , 	100 , 	21 , 	13 , 	11 , 	6 , 	13 , 	14 , 	11 , 	6 , 	9 , 	4 , 	8 , 	14 , 	11 , 	186 , 	142 , 	279 , 	129 , 	68 , 	54 , 	19 , 	18 , 	20 , 	4 , 	3 , 	6 , 	1 , 	4 , 	5 , 	5 , 	71 , 	16 , 	4 , 	23 , 	22 , 	-   , 	-   , 	1 , 	3 ," 	2,231 ",,,,,,,,,,
NB, 	38 , 	43 , 	38 , 	12 , 	121 , 	30 , 	42 , 	68 , 	70 , 	29 , 	37 , 	75 , 	24 , 	16 , 	11 , 	5 , 	10 , 	17 , 	7 , 	7 , 	9 , 	4 , 	10 , 	7 , 	8 , 	232 , 	159 , 	223 , 	182 , 	117 , 	79 , 	28 , 	14 , 	21 , 	8 , 	4 , 	7 , 	1 , 	4 , 	4 , 	4 , 	80 , 	13 , 	5 , 	29 , 	17 , 	-   , 	-   , 	1 , 	3 ," 	1,975 ",,,,,,,,,,
BK, 	235 , 	411 , 	384 , 	133 , 	58 , 	197 , 	184 , 	239 , 	218 , 	108 , 	158 , 	126 , 	89 , 	69 , 	60 , 	33 , 	68 , 	88 , 	34 , 	37 , 	33 , 	19 , 	84 , 	32 , 	52 , 	630 , 	434 , 	750 , 	402 , 	247 , 	172 , 	82 , 	58 , 	83 , 	15 , 	28 , 	97 , 	7 , 	15 , 	15 , 	20 , 	152 , 	79 , 	32 , 	52 , 	156 , 	-   , 	-   , 	8 , 	15 ," 	6,699 ",,,,,,,,,,
AS, 	55 , 	74 , 	50 , 	28 , 	173 , 	20 , 	49 , 	86 , 	74 , 	39 , 	69 , 	75 , 	25 , 	19 , 	24 , 	7 , 	14 , 	12 , 	6 , 	6 , 	7 , 	3 , 	9 , 	6 , 	21 , 	192 , 	138 , 	233 , 	172 , 	133 , 	88 , 	21 , 	16 , 	17 , 	3 , 	8 , 	15 , 	1 , 	7 , 	4 , 	4 , 	57 , 	12 , 	4 , 	21 , 	24 , 	-   , 	-   , 	4 , 	5 ," 	2,128 ",,,,,,,,,,
MA, 	76 , 	91 , 	61 , 	42 , 	200 , 	64 , 	32 , 	68 , 	82 , 	34 , 	85 , 	143 , 	47 , 	33 , 	30 , 	12 , 	20 , 	18 , 	32 , 	23 , 	23 , 	15 , 	22 , 	36 , 	29 , 	355 , 	268 , 	452 , 	342 , 	223 , 	145 , 	41 , 	29 , 	27 , 	10 , 	8 , 	13 , 	7 , 	30 , 	8 , 	12 , 	101 , 	26 , 	5 , 	19 , 	32 , 	-   , 	-   , 	14 , 	31 ," 	3,516 ",,,,,,,,,,
19, 	40 , 	80 , 	69 , 	72 , 	242 , 	99 , 	72 , 	39 , 	16 , 	17 , 	69 , 	139 , 	51 , 	39 , 	39 , 	23 , 	25 , 	31 , 	30 , 	28 , 	32 , 	18 , 	39 , 	77 , 	39 , 	299 , 	251 , 	438 , 	322 , 	234 , 	179 , 	56 , 	42 , 	37 , 	10 , 	10 , 	18 , 	5 , 	19 , 	9 , 	13 , 	71 , 	32 , 	9 , 	17 , 	33 , 	-   , 	-   , 	8 , 	9 ," 	3,546 ",,,,,,,,,,
12, 	60 , 	119 , 	94 , 	69 , 	203 , 	84 , 	86 , 	15 , 	34 , 	13 , 	75 , 	158 , 	78 , 	74 , 	53 , 	27 , 	40 , 	40 , 	42 , 	44 , 	39 , 	20 , 	46 , 	62 , 	52 , 	333 , 	267 , 	545 , 	280 , 	165 , 	124 , 	53 , 	58 , 	44 , 	23 , 	12 , 	20 , 	4 , 	24 , 	18 , 	23 , 	104 , 	43 , 	8 , 	19 , 	52 , 	-   , 	-   , 	8 , 	24 ," 	3,874 ",,,,,,,,,,
LM, 	19 , 	32 , 	32 , 	30 , 	98 , 	42 , 	34 , 	15 , 	16 , 	15 , 	99 , 	251 , 	156 , 	139 , 	55 , 	31 , 	44 , 	55 , 	10 , 	10 , 	9 , 	3 , 	12 , 	23 , 	24 , 	290 , 	250 , 	489 , 	314 , 	181 , 	125 , 	45 , 	46 , 	41 , 	4 , 	67 , 	94 , 	2 , 	3 , 	3 , 	8 , 	29 , 	8 , 	45 , 	16 , 	45 , 	-   , 	-   , 	2 , 	3 ," 	3,363 ",,,,,,,,,,
FV, 	59 , 	70 , 	46 , 	36 , 	148 , 	72 , 	82 , 	68 , 	82 , 	80 , 	17 , 	286 , 	130 , 	140 , 	89 , 	45 , 	43 , 	51 , 	20 , 	11 , 	12 , 	4 , 	15 , 	33 , 	47 , 	307 , 	234 , 	584 , 	286 , 	159 , 	153 , 	43 , 	59 , 	44 , 	7 , 	30 , 	74 , 	2 , 	14 , 	6 , 	13 , 	52 , 	11 , 	40 , 	10 , 	47 , 	-   , 	-   , 	5 , 	13 ," 	3,877 ",,,,,,,,,,
CL, 	82 , 	209 , 	108 , 	88 , 	120 , 	81 , 	150 , 	132 , 	166 , 	195 , 	275 , 	34 , 	330 , 	281 , 	178 , 	123 , 	175 , 	221 , 	85 , 	86 , 	75 , 	36 , 	106 , 	69 , 	84 , 	325 , 	194 , 	459 , 	206 , 	104 , 	114 , 	56 , 	49 , 	83 , 	17 , 	170 , 	782 , 	35 , 	55 , 	18 , 	20 , 	31 , 	26 , 	257 , 	40 , 	292 , 	-   , 	-   , 	12 , 	62 ," 	6,895 ",,,,,,,,,,
SL, 	28 , 	33 , 	19 , 	18 , 	87 , 	29 , 	48 , 	57 , 	85 , 	153 , 	125 , 	332 , 	11 , 	82 , 	54 , 	33 , 	35 , 	42 , 	7 , 	6 , 	8 , 	1 , 	4 , 	15 , 	22 , 	207 , 	181 , 	376 , 	164 , 	66 , 	55 , 	21 , 	33 , 	34 , 	4 , 	24 , 	45 , 	3 , 	11 , 	2 , 	7 , 	33 , 	5 , 	38 , 	6 , 	33 , 	-   , 	-   , 	3 , 	7 ," 	2,688 ",,,,,,,,,,
BF, 	18 , 	32 , 	10 , 	14 , 	71 , 	17 , 	37 , 	50 , 	83 , 	131 , 	141 , 	282 , 	91 , 	12 , 	67 , 	45 , 	41 , 	54 , 	10 , 	2 , 	4 , 	1 , 	6 , 	10 , 	26 , 	175 , 	153 , 	330 , 	135 , 	47 , 	41 , 	17 , 	30 , 	25 , 	8 , 	30 , 	62 , 	1 , 	6 , 	5 , 	6 , 	26 , 	5 , 	54 , 	4 , 	34 , 	-   , 	-   , 	3 , 	6 ," 	2,461 ",,,,,,,,,,
HY, 	18 , 	26 , 	9 , 	10 , 	60 , 	21 , 	32 , 	37 , 	54 , 	45 , 	90 , 	175 , 	65 , 	65 , 	8 , 	55 , 	62 , 	76 , 	9 , 	4 , 	4 , 	2 , 	4 , 	7 , 	15 , 	119 , 	74 , 	170 , 	76 , 	42 , 	28 , 	13 , 	12 , 	18 , 	6 , 	12 , 	29 , 	2 , 	4 , 	2 , 	4 , 	15 , 	3 , 	20 , 	7 , 	48 , 	-   , 	-   , 	4 , 	6 ," 	1,664 ",,,,,,,,,,
SH, 	11 , 	14 , 	7 , 	8 , 	27 , 	10 , 	14 , 	21 , 	27 , 	28 , 	39 , 	118 , 	35 , 	41 , 	47 , 	7 , 	25 , 	41 , 	7 , 	4 , 	3 , 	1 , 	4 , 	3 , 	7 , 	79 , 	55 , 	136 , 	49 , 	29 , 	21 , 	6 , 	9 , 	17 , 	3 , 	5 , 	14 , 	2 , 	4 , 	3 , 	5 , 	13 , 	2 , 	13 , 	9 , 	42 , 	-   , 	-   , 	1 , 	1 ," 	1,065 ",,,,,,,,,,
UC, 	13 , 	11 , 	12 , 	9 , 	77 , 	15 , 	21 , 	23 , 	45 , 	49 , 	43 , 	158 , 	31 , 	44 , 	64 , 	22 , 	15 , 	47 , 	6 , 	4 , 	6 , 	1 , 	4 , 	8 , 	8 , 	170 , 	97 , 	199 , 	83 , 	29 , 	26 , 	11 , 	12 , 	17 , 	5 , 	7 , 	20 , 	0 , 	4 , 	3 , 	4 , 	23 , 	3 , 	14 , 	10 , 	49 , 	-   , 	-   , 	3 , 	5 ," 	1,532 ",,,,,,,,,,
FM, 	12 , 	19 , 	11 , 	15 , 	99 , 	13 , 	25 , 	32 , 	44 , 	44 , 	58 , 	213 , 	40 , 	61 , 	82 , 	41 , 	52 , 	22 , 	7 , 	5 , 	5 , 	3 , 	5 , 	5 , 	9 , 	207 , 	122 , 	220 , 	123 , 	39 , 	30 , 	8 , 	13 , 	20 , 	3 , 	13 , 	27 , 	1 , 	4 , 	2 , 	4 , 	27 , 	3 , 	8 , 	12 , 	60 , 	-   , 	-   , 	1 , 	3 ," 	1,873 ",,,,,,,,,,
CN, 	15 , 	16 , 	9 , 	8 , 	39 , 	8 , 	31 , 	32 , 	40 , 	11 , 	17 , 	81 , 	12 , 	10 , 	9 , 	5 , 	7 , 	7 , 	29 , 	43 , 	130 , 	25 , 	13 , 	34 , 	11 , 	148 , 	97 , 	192 , 	102 , 	45 , 	33 , 	16 , 	18 , 	21 , 	8 , 	1 , 	6 , 	18 , 	91 , 	9 , 	9 , 	78 , 	11 , 	3 , 	15 , 	12 , 	-   , 	-   , 	50 , 	52 ," 	1,678 ",,,,,,,,,,
PH, 	8 , 	7 , 	7 , 	7 , 	31 , 	7 , 	26 , 	28 , 	33 , 	7 , 	8 , 	75 , 	6 , 	2 , 	4 , 	4 , 	5 , 	4 , 	42 , 	24 , 	55 , 	15 , 	9 , 	40 , 	8 , 	174 , 	108 , 	183 , 	113 , 	43 , 	27 , 	11 , 	8 , 	13 , 	4 , 	2 , 	4 , 	12 , 	34 , 	6 , 	4 , 	79 , 	6 , 	1 , 	19 , 	10 , 	-   , 	-   , 	12 , 	18 ," 	1,352 ",,,,,,,,,,
WC, 	7 , 	9 , 	9 , 	10 , 	40 , 	8 , 	29 , 	35 , 	37 , 	7 , 	10 , 	65 , 	9 , 	5 , 	5 , 	3 , 	5 , 	7 , 	142 , 	62 , 	21 , 	21 , 	14 , 	54 , 	8 , 	210 , 	114 , 	169 , 	151 , 	50 , 	23 , 	13 , 	16 , 	20 , 	2 , 	1 , 	4 , 	16 , 	57 , 	3 , 	6 , 	78 , 	11 , 	1 , 	15 , 	6 , 	-   , 	-   , 	22 , 	41 ," 	1,651 ",,,,,,,,,,
LF, 	2 , 	4 , 	4 , 	4 , 	16 , 	3 , 	13 , 	18 , 	19 , 	3 , 	4 , 	32 , 	1 , 	2 , 	1 , 	0 , 	1 , 	2 , 	39 , 	18 , 	16 , 	17 , 	6 , 	23 , 	3 , 	114 , 	65 , 	91 , 	84 , 	17 , 	14 , 	5 , 	4 , 	5 , 	3 , 	0 , 	1 , 	4 , 	15 , 	0 , 	3 , 	37 , 	7 , 	-   , 	6 , 	3 , 	-   , 	-   , 	4 , 	6 , 	741 ,,,,,,,,,,
OR, 	7 , 	8 , 	11 , 	8 , 	85 , 	9 , 	30 , 	39 , 	43 , 	10 , 	11 , 	104 , 	7 , 	3 , 	5 , 	3 , 	3 , 	5 , 	14 , 	8 , 	16 , 	3 , 	15 , 	59 , 	7 , 	387 , 	218 , 	369 , 	247 , 	75 , 	55 , 	24 , 	14 , 	19 , 	7 , 	4 , 	4 , 	1 , 	5 , 	6 , 	7 , 	144 , 	18 , 	1 , 	25 , 	8 , 	-   , 	-   , 	3 , 	4 ," 	2,159 ",,,,,,,,,,
RR, 	15 , 	24 , 	20 , 	9 , 	36 , 	7 , 	33 , 	66 , 	64 , 	21 , 	35 , 	69 , 	14 , 	9 , 	4 , 	3 , 	10 , 	6 , 	34 , 	37 , 	52 , 	24 , 	58 , 	29 , 	16 , 	341 , 	233 , 	359 , 	270 , 	143 , 	97 , 	43 , 	19 , 	17 , 	3 , 	4 , 	5 , 	7 , 	12 , 	5 , 	8 , 	122 , 	23 , 	3 , 	15 , 	10 , 	-   , 	-   , 	6 , 	14 ," 	2,457 ",,,,,,,,,,
OW, 	11 , 	25 , 	14 , 	13 , 	45 , 	21 , 	27 , 	30 , 	50 , 	14 , 	45 , 	83 , 	26 , 	25 , 	11 , 	6 , 	8 , 	11 , 	9 , 	7 , 	7 , 	4 , 	6 , 	18 , 	18 , 	614 , 	461 , 	822 , 	451 , 	276 , 	176 , 	49 , 	40 , 	31 , 	9 , 	7 , 	17 , 	3 , 	9 , 	7 , 	9 , 	103 , 	18 , 	6 , 	7 , 	9 , 	-   , 	-   , 	5 , 	5 ," 	3,668 ",,,,,,,,,,
EM, 	181 , 	332 , 	214 , 	293 , 	768 , 	259 , 	448 , 	421 , 	456 , 	320 , 	367 , 	361 , 	275 , 	209 , 	148 , 	93 , 	206 , 	246 , 	184 , 	238 , 	272 , 	145 , 	460 , 	437 , 	760 , 	125 , 	41 , 	255 , 	152 , 	418 , 	554 , 	335 , 	443 , 	383 , 	126 , 	161 , 	703 , 	55 , 	104 , 	96 , 	109 , 	395 , 	263 , 	233 , 	77 , 	227 , 	-   , 	-   , 	26 , 	95 ," 	13,466 ",,,,,,,,,,
