Exit stations,Entry stations->,,SUNDAY,,,Aug 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	15 , 	34 , 	50 , 	27 , 	148 , 	34 , 	43 , 	30 , 	38 , 	23 , 	42 , 	65 , 	17 , 	11 , 	10 , 	8 , 	6 , 	11 , 	9 , 	5 , 	5 , 	1 , 	4 , 	12 , 	12 , 	107 , 	69 , 	226 , 	86 , 	66 , 	70 , 	21 , 	19 , 	20 , 	3 , 	2 , 	7 , 	1 , 	10 , 	6 , 	8 , 	41 , 	7 , 	2 , 	10 , 	11 , 	-   , 	-   , 	4 , 	6 ," 	1,457 ",,,,,,,,,,,
EN, 	43 , 	10 , 	31 , 	31 , 	199 , 	57 , 	62 , 	51 , 	73 , 	30 , 	51 , 	135 , 	24 , 	21 , 	13 , 	6 , 	10 , 	15 , 	15 , 	8 , 	6 , 	1 , 	9 , 	11 , 	21 , 	184 , 	119 , 	350 , 	128 , 	59 , 	62 , 	20 , 	23 , 	32 , 	16 , 	3 , 	9 , 	2 , 	6 , 	8 , 	12 , 	102 , 	15 , 	4 , 	33 , 	21 , 	-   , 	-   , 	5 , 	7 ," 	2,146 ",,,,,,,,,,,
EP, 	53 , 	34 , 	9 , 	28 , 	241 , 	44 , 	41 , 	46 , 	56 , 	27 , 	33 , 	91 , 	14 , 	11 , 	7 , 	4 , 	8 , 	13 , 	8 , 	4 , 	13 , 	2 , 	6 , 	16 , 	11 , 	125 , 	86 , 	179 , 	82 , 	46 , 	27 , 	17 , 	13 , 	13 , 	5 , 	2 , 	7 , 	1 , 	4 , 	4 , 	4 , 	76 , 	10 , 	3 , 	29 , 	16 , 	-   , 	-   , 	1 , 	4 ," 	1,566 ",,,,,,,,,,,
NB, 	27 , 	34 , 	28 , 	16 , 	61 , 	23 , 	36 , 	50 , 	48 , 	21 , 	27 , 	103 , 	16 , 	12 , 	11 , 	6 , 	9 , 	11 , 	5 , 	9 , 	12 , 	3 , 	5 , 	6 , 	11 , 	183 , 	104 , 	170 , 	118 , 	71 , 	51 , 	22 , 	13 , 	14 , 	6 , 	4 , 	6 , 	1 , 	2 , 	2 , 	6 , 	100 , 	11 , 	3 , 	24 , 	17 , 	-   , 	-   , 	1 , 	2 ," 	1,516 ",,,,,,,,,,,
BK, 	154 , 	211 , 	225 , 	79 , 	46 , 	113 , 	126 , 	210 , 	148 , 	85 , 	98 , 	105 , 	48 , 	37 , 	39 , 	13 , 	41 , 	82 , 	22 , 	18 , 	31 , 	14 , 	15 , 	14 , 	40 , 	486 , 	284 , 	523 , 	263 , 	169 , 	97 , 	44 , 	37 , 	38 , 	8 , 	13 , 	49 , 	4 , 	8 , 	10 , 	16 , 	206 , 	60 , 	13 , 	58 , 	150 , 	-   , 	-   , 	5 , 	10 ," 	4,557 ",,,,,,,,,,,
AS, 	40 , 	42 , 	38 , 	24 , 	95 , 	19 , 	44 , 	63 , 	50 , 	31 , 	53 , 	71 , 	19 , 	11 , 	18 , 	7 , 	10 , 	12 , 	7 , 	3 , 	5 , 	2 , 	4 , 	9 , 	17 , 	140 , 	96 , 	159 , 	131 , 	87 , 	65 , 	25 , 	11 , 	13 , 	4 , 	4 , 	10 , 	-   , 	4 , 	4 , 	5 , 	70 , 	11 , 	3 , 	25 , 	27 , 	-   , 	-   , 	2 , 	4 ," 	1,589 ",,,,,,,,,,,
MA, 	42 , 	64 , 	36 , 	42 , 	119 , 	45 , 	24 , 	48 , 	61 , 	30 , 	73 , 	160 , 	34 , 	24 , 	23 , 	11 , 	18 , 	16 , 	22 , 	17 , 	23 , 	9 , 	16 , 	34 , 	24 , 	270 , 	192 , 	353 , 	256 , 	161 , 	118 , 	33 , 	23 , 	28 , 	6 , 	6 , 	22 , 	6 , 	22 , 	4 , 	10 , 	142 , 	17 , 	9 , 	35 , 	25 , 	-   , 	-   , 	7 , 	22 ," 	2,775 ",,,,,,,,,,,
19, 	28 , 	46 , 	47 , 	45 , 	183 , 	58 , 	53 , 	16 , 	15 , 	16 , 	49 , 	121 , 	40 , 	28 , 	23 , 	9 , 	16 , 	21 , 	25 , 	19 , 	23 , 	11 , 	15 , 	38 , 	30 , 	245 , 	191 , 	334 , 	267 , 	165 , 	124 , 	36 , 	30 , 	29 , 	5 , 	10 , 	19 , 	5 , 	16 , 	7 , 	6 , 	144 , 	15 , 	9 , 	21 , 	32 , 	-   , 	-   , 	4 , 	11 ," 	2,693 ",,,,,,,,,,,
12, 	34 , 	74 , 	52 , 	50 , 	135 , 	51 , 	53 , 	14 , 	23 , 	21 , 	71 , 	137 , 	54 , 	63 , 	36 , 	21 , 	31 , 	42 , 	35 , 	32 , 	29 , 	11 , 	18 , 	44 , 	46 , 	350 , 	278 , 	597 , 	344 , 	175 , 	135 , 	58 , 	68 , 	50 , 	17 , 	16 , 	33 , 	6 , 	17 , 	12 , 	14 , 	160 , 	25 , 	11 , 	36 , 	43 , 	-   , 	-   , 	3 , 	14 ," 	3,636 ",,,,,,,,,,,
LM, 	27 , 	30 , 	23 , 	24 , 	84 , 	39 , 	31 , 	16 , 	16 , 	15 , 	103 , 	196 , 	108 , 	114 , 	42 , 	26 , 	38 , 	33 , 	8 , 	5 , 	9 , 	3 , 	8 , 	9 , 	13 , 	80 , 	71 , 	171 , 	80 , 	57 , 	45 , 	15 , 	17 , 	16 , 	4 , 	46 , 	49 , 	2 , 	4 , 	1 , 	5 , 	18 , 	3 , 	28 , 	26 , 	45 , 	-   , 	-   , 	2 , 	6 ," 	1,808 ",,,,,,,,,,,
