Exit stations,Entry stations->,,TOTAL,,,Aug 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
FV," 	2,556 "," 	2,702 "," 	1,452 "," 	1,785 "," 	7,020 "," 	2,813 "," 	4,212 "," 	4,427 "," 	5,826 "," 	3,958 ", 	717 ," 	7,425 "," 	5,858 "," 	5,285 "," 	4,821 "," 	2,072 "," 	2,129 "," 	2,456 "," 	1,168 ", 	564 , 	877 , 	342 , 	531 ," 	1,408 "," 	2,343 "," 	22,790 "," 	22,700 "," 	22,348 "," 	19,277 "," 	8,637 "," 	6,023 "," 	1,670 "," 	2,493 "," 	2,289 ", 	299 ," 	1,370 "," 	3,344 ", 	157 , 	671 , 	368 , 	663 ," 	1,957 ", 	592 ," 	1,648 ", 	461 ," 	2,104 ", 	-   , 	-   , 	380 , 	491 ," 	197,479 ",,,,,,,,,,,,,
CL," 	2,226 "," 	4,406 "," 	2,084 "," 	1,982 "," 	4,345 "," 	2,397 "," 	4,556 "," 	5,310 "," 	7,231 "," 	6,240 "," 	6,961 ", 	911 ," 	5,457 "," 	5,345 "," 	4,621 "," 	2,531 "," 	2,981 "," 	3,594 "," 	1,945 "," 	1,727 "," 	1,793 ", 	922 ," 	1,386 "," 	1,608 "," 	2,413 "," 	15,008 "," 	13,269 "," 	14,004 "," 	10,635 "," 	4,416 "," 	3,764 "," 	1,760 "," 	1,741 "," 	2,358 ", 	407 ," 	2,633 "," 	10,412 ", 	670 ," 	1,220 ", 	512 , 	613 ," 	1,272 ", 	645 ," 	3,875 ", 	954 ," 	4,757 ", 	-   , 	-   , 	584 ," 	1,390 "," 	181,871 ",,,,,,,,,,,,,
SL," 	1,170 "," 	1,497 ", 	833 , 	808 ," 	4,731 "," 	1,303 "," 	3,134 "," 	5,584 "," 	8,817 "," 	7,669 "," 	5,834 "," 	5,524 ", 	460 ," 	3,158 "," 	3,645 "," 	1,754 "," 	2,167 "," 	2,483 ", 	685 , 	636 , 	530 , 	198 , 	264 , 	564 ," 	1,057 "," 	18,941 "," 	19,831 "," 	16,137 "," 	13,087 "," 	4,250 "," 	2,785 "," 	1,243 "," 	1,800 "," 	1,952 ", 	221 ," 	1,067 "," 	2,731 ", 	211 , 	438 , 	332 , 	346 ," 	1,418 ", 	342 ," 	1,681 ", 	266 ," 	2,139 ", 	-   , 	-   , 	238 , 	415 ," 	156,376 ",,,,,,,,,,,,,
BF, 	600 ," 	1,055 ", 	429 , 	498 ," 	2,980 ", 	885 ," 	2,250 "," 	5,173 "," 	7,568 "," 	6,003 "," 	5,187 "," 	5,085 "," 	3,061 ", 	527 ," 	2,713 "," 	1,692 "," 	2,034 "," 	2,889 ", 	472 , 	245 , 	257 , 	51 , 	80 , 	358 , 	932 ," 	16,412 "," 	16,619 "," 	14,841 "," 	11,304 "," 	3,790 "," 	2,088 ", 	912 ," 	1,318 "," 	1,389 ", 	271 ," 	1,136 "," 	3,681 ", 	136 , 	202 , 	257 , 	396 , 	974 , 	287 ," 	1,853 ", 	223 ," 	1,993 ", 	-   , 	-   , 	116 , 	197 ," 	133,419 ",,,,,,,,,,,,,
HY, 	890 ," 	1,703 ", 	612 , 	705 ," 	3,122 "," 	1,008 "," 	2,344 "," 	5,126 "," 	6,425 "," 	3,505 "," 	5,023 "," 	4,669 "," 	3,624 "," 	2,530 ", 	526 ," 	2,361 "," 	4,381 "," 	5,376 ", 	686 , 	440 , 	437 , 	165 , 	149 , 	365 , 	751 ," 	12,100 "," 	12,246 "," 	9,225 "," 	7,241 "," 	2,603 "," 	1,637 ", 	912 , 	901 ," 	1,075 ", 	174 , 	521 ," 	1,889 ", 	218 , 	556 , 	184 , 	316 , 	743 , 	177 , 	931 , 	339 ," 	3,316 ", 	-   , 	-   , 	254 , 	545 ," 	115,026 ",,,,,,,,,,,,,
SH, 	497 , 	683 , 	210 , 	294 ," 	1,670 ", 	515 ," 	1,021 "," 	3,018 "," 	3,909 "," 	1,984 "," 	1,942 "," 	2,559 "," 	1,695 "," 	1,587 "," 	2,072 ", 	324 ," 	1,691 "," 	2,381 ", 	240 , 	225 , 	282 , 	27 , 	73 , 	158 , 	332 ," 	10,076 "," 	9,214 "," 	6,622 "," 	5,964 "," 	2,139 "," 	1,241 ", 	425 , 	518 , 	875 , 	152 , 	337 , 	990 , 	57 , 	202 , 	173 , 	170 , 	552 , 	109 , 	520 , 	225 ," 	2,562 ", 	-   , 	-   , 	56 , 	113 ," 	72,681 ",,,,,,,,,,,,,
UC, 	478 , 	799 , 	464 , 	474 ," 	3,910 ", 	958 ," 	1,747 "," 	4,502 "," 	5,155 "," 	2,773 "," 	2,149 "," 	2,997 "," 	2,102 "," 	2,162 "," 	4,229 "," 	1,526 ", 	669 ," 	4,166 ", 	379 , 	355 , 	444 , 	115 , 	83 , 	259 , 	348 ," 	21,202 "," 	18,121 "," 	9,934 "," 	8,953 "," 	2,635 ", 	988 , 	394 , 	650 ," 	1,052 ", 	185 , 	340 ," 	1,649 ", 	39 , 	217 , 	146 , 	108 , 	849 , 	142 , 	829 , 	463 ," 	2,693 ", 	-   , 	-   , 	122 , 	293 ," 	115,247 ",,,,,,,,,,,,,
FM, 	651 ," 	1,038 ", 	648 , 	730 ," 	4,315 ", 	714 ," 	1,926 "," 	5,766 "," 	5,928 "," 	2,692 "," 	2,649 "," 	3,570 "," 	2,542 "," 	3,217 "," 	5,447 "," 	2,768 "," 	3,904 ", 	931 , 	448 , 	398 , 	260 , 	173 , 	184 , 	306 , 	362 ," 	30,485 "," 	25,220 "," 	10,762 "," 	8,832 "," 	3,064 "," 	1,012 ", 	513 , 	549 , 	920 , 	121 , 	641 ," 	1,403 ", 	110 , 	258 , 	94 , 	212 ," 	1,050 ", 	124 , 	676 , 	528 ," 	2,657 ", 	-   , 	-   , 	108 , 	210 ," 	141,116 ",,,,,,,,,,,,,
CN, 	676 , 	773 , 	510 , 	601 ," 	2,573 ", 	597 ," 	3,425 "," 	6,280 "," 	7,318 ", 	776 ," 	1,117 "," 	1,854 ", 	675 , 	498 , 	730 , 	226 , 	422 , 	432 , 	867 ," 	2,402 "," 	5,548 "," 	1,862 ", 	863 ," 	2,252 ", 	452 ," 	20,690 "," 	19,410 "," 	12,707 "," 	11,545 "," 	3,874 "," 	2,146 "," 	1,268 "," 	1,309 "," 	1,610 ", 	551 , 	123 , 	281 ," 	1,240 "," 	3,991 ", 	659 , 	624 ," 	4,051 ", 	736 , 	130 , 	924 , 	518 , 	-   , 	-   ," 	2,488 "," 	2,725 "," 	137,329 ",,,,,,,,,,,,,
PH, 	454 , 	515 , 	457 , 	556 ," 	3,189 ", 	548 ," 	3,867 "," 	8,371 "," 	9,778 ", 	538 , 	518 ," 	1,618 ", 	582 , 	213 , 	431 , 	230 , 	329 , 	389 ," 	2,290 ", 	832 ," 	2,684 "," 	1,124 ", 	785 ," 	2,897 ", 	330 ," 	38,778 "," 	37,526 "," 	15,815 "," 	14,986 "," 	4,698 "," 	1,922 "," 	2,293 "," 	1,210 "," 	1,451 ", 	276 , 	92 , 	130 , 	978 ," 	2,051 ", 	535 , 	706 ," 	5,245 ", 	564 , 	93 ," 	1,169 ", 	457 , 	-   , 	-   , 	838 ," 	1,520 "," 	176,858 ",,,,,,,,,,,,,
