Total Trip OD																																																			
																																																			
2025 / 03																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	444	"1,984"	"1,874"	"1,095"	"7,558"	"1,515"	"2,428"	"1,917"	"2,346"	617	"1,609"	"1,118"	636	299	539	311	287	259	454	203	429	296	187	366	539	"5,781"	"4,045"	"6,578"	"4,627"	"2,857"	"3,343"	777	"1,071"	"1,592"	371	58	235	83	303	222	468	"1,339"	296	106	194	232	167	330	138	378	"64,901"
EN	"2,188"	487	"1,794"	"1,292"	"11,378"	"2,081"	"3,095"	"3,344"	"5,157"	"1,306"	"2,067"	"1,515"	939	652	801	326	418	503	545	310	644	278	224	587	603	"11,308"	"8,788"	"11,258"	"8,371"	"3,419"	"2,936"	"1,027"	"1,103"	"2,226"	334	130	356	61	274	380	502	"1,888"	783	160	535	500	138	240	313	559	"100,123"
EP	"2,008"	"1,528"	343	891	"8,313"	"1,400"	"1,812"	"2,176"	"2,749"	834	807	670	475	305	310	96	178	279	293	225	402	160	142	404	194	"6,235"	"5,238"	"4,190"	"4,326"	"1,471"	"1,087"	390	440	688	93	86	179	30	125	107	152	"1,247"	371	117	370	175	35	95	164	285	"54,690"
NB	"1,091"	"1,073"	886	306	"2,639"	793	"1,097"	"2,127"	"2,026"	636	944	668	418	231	413	120	219	266	258	332	334	86	86	254	194	"7,820"	"5,627"	"3,791"	"4,710"	"1,929"	"1,284"	451	405	428	105	61	190	65	83	52	89	"1,815"	367	51	460	140	34	112	224	297	"48,087"
BK	"8,030"	"11,419"	"8,506"	"2,864"	"1,212"	"4,259"	"4,892"	"6,780"	"6,628"	"2,921"	"4,083"	"2,466"	"2,312"	"1,582"	"1,913"	"1,010"	"1,746"	"1,793"	"1,296"	"1,277"	"1,705"	801	512	472	"1,096"	"14,491"	"9,169"	"10,215"	"9,465"	"4,867"	"3,800"	"1,986"	"1,496"	"1,690"	514	606	"1,423"	245	891	463	496	"6,083"	"1,956"	404	"2,181"	878	218	624	"1,814"	"2,853"	"160,403"
AS	"1,544"	"1,971"	"1,516"	888	"4,130"	318	940	"2,250"	"2,267"	824	"1,622"	"1,042"	531	379	503	274	303	270	263	223	215	135	117	207	370	"7,249"	"5,319"	"4,208"	"4,950"	"2,458"	"1,472"	477	495	545	117	125	234	58	180	80	118	"1,298"	350	103	359	244	99	156	316	408	"54,520"
MA	"2,655"	"2,808"	"1,666"	"1,164"	"5,058"	"1,008"	502	"2,319"	"2,703"	950	"2,399"	"2,260"	"1,671"	"1,007"	"1,134"	674	562	788	"1,999"	"1,438"	"1,951"	727	616	"1,060"	806	"12,640"	"9,002"	"8,381"	"9,195"	"4,961"	"3,142"	"1,064"	"1,117"	891	252	197	602	402	"1,762"	297	352	"2,047"	508	311	411	462	451	"1,744"	582	635	"101,333"
19	"2,102"	"3,289"	"2,236"	"2,137"	"6,408"	"2,273"	"2,212"	489	588	461	"1,488"	"2,335"	"2,014"	"1,532"	"1,682"	929	"1,258"	"1,543"	"2,020"	"2,299"	"2,371"	"1,173"	897	"1,981"	"1,050"	"15,671"	"10,951"	"9,676"	"10,798"	"5,671"	"3,749"	"1,639"	"1,467"	"1,551"	423	429	"1,162"	601	"1,098"	472	639	"1,836"	916	578	454	782	351	"1,381"	932	"1,239"	"121,233"
12	"2,509"	"5,120"	"2,605"	"2,003"	"6,126"	"2,115"	"2,442"	520	771	307	"1,733"	"2,235"	"2,964"	"2,337"	"2,087"	"1,504"	"1,730"	"1,944"	"2,674"	"3,132"	"2,799"	"1,422"	"1,052"	"2,017"	"1,238"	"15,484"	"9,807"	"11,420"	"10,044"	"4,810"	"3,667"	"1,911"	"1,894"	"2,210"	860	574	"1,899"	878	"1,972"	822	874	"2,476"	"1,099"	734	502	703	584	"2,011"	824	"1,057"	"134,502"
LM	575	"1,126"	773	584	"2,996"	846	851	426	365	340	"2,649"	"3,569"	"4,637"	"3,627"	"2,235"	"1,607"	"1,341"	"1,388"	293	209	320	115	107	298	562	"8,641"	"6,252"	"6,949"	"6,381"	"2,873"	"2,324"	803	"1,105"	"1,071"	125	"1,487"	"2,453"	99	301	129	141	423	123	"1,123"	362	789	199	365	679	"1,095"	"78,131"
FV	"1,762"	"1,779"	787	932	"4,137"	"1,441"	"2,461"	"1,715"	"1,722"	"2,570"	583	"4,609"	"3,986"	"4,046"	"4,078"	"1,695"	"1,513"	"1,288"	609	317	540	231	316	722	"1,891"	"10,177"	"8,003"	"9,984"	"9,236"	"4,416"	"3,640"	"1,016"	"1,383"	"2,263"	158	"1,097"	"2,296"	148	384	191	451	802	229	881	217	"1,186"	251	463	831	"1,266"	"106,699"
CL	"1,280"	"1,432"	590	651	"2,196"	"1,171"	"2,461"	"2,348"	"2,294"	"3,345"	"4,491"	448	"2,467"	"2,670"	"2,775"	"1,411"	"1,137"	984	639	509	425	226	173	652	"1,633"	"4,613"	"3,527"	"5,137"	"4,342"	"2,005"	"1,959"	693	789	"1,631"	163	830	"1,845"	137	439	173	247	493	241	672	409	841	306	690	651	"1,036"	"72,277"
