Avg Weekday Trip OD																																																			
Weekday																																																			
2025 / 03																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	16	76	69	41	282	56	93	76	93	23	62	38	24	11	21	11	12	10	16	7	16	10	7	13	21	231	165	243	187	108	126	31	42	66	13	2	9	3	12	8	18	46	10	4	7	9	7	13	5	13	"2,484"
EN	83	18	69	49	449	79	120	137	218	52	77	50	37	23	31	12	16	19	21	12	25	10	9	22	23	461	368	421	346	133	111	41	43	96	12	5	13	2	10	14	21	67	31	6	20	20	6	8	11	18	"3,941"
EP	71	58	13	31	315	53	69	84	114	31	27	21	18	12	12	3	7	10	11	9	14	6	6	15	6	252	223	150	169	54	40	15	18	29	3	3	6	1	4	4	6	42	14	5	13	7	1	4	6	9	"2,094"
NB	40	40	30	11	101	27	37	81	83	23	35	17	16	8	14	4	8	9	10	13	11	3	3	9	6	311	234	131	176	65	43	17	16	17	4	2	7	2	3	2	4	62	13	1	16	5	1	4	6	9	"1,794"
BK	302	453	325	109	38	168	189	261	250	117	158	91	88	61	72	36	68	65	52	53	65	30	20	17	40	490	337	319	321	164	135	69	55	60	20	23	47	9	38	18	18	180	65	14	64	31	9	26	58	80	"5,777"
AS	57	74	59	32	166	11	34	84	86	30	59	28	21	13	18	11	12	10	10	9	6	5	5	7	13	291	223	149	183	85	48	16	19	21	4	4	8	2	8	3	5	43	12	4	12	10	5	7	12	12	"2,045"
MA	98	109	62	41	197	35	17	85	103	33	90	64	67	37	45	28	22	32	80	60	77	29	23	38	30	506	378	306	355	178	112	40	45	36	10	7	23	17	75	12	14	71	19	12	14	18	18	73	23	21	"3,886"
19	83	135	87	82	244	83	83	16	23	16	55	72	82	61	64	39	54	64	86	99	98	49	37	73	38	630	454	350	421	205	139	65	60	62	16	17	49	27	47	20	27	62	37	25	15	32	15	59	38	47	"4,739"
12	100	217	107	82	234	80	95	20	27	12	68	80	122	99	86	65	75	85	114	138	117	61	44	78	45	624	407	415	393	180	142	78	76	92	35	25	85	41	89	35	35	85	44	34	18	30	25	89	33	42	"5,403"
