Avg Saturday Trip OD																																																			
Saturday																																																			
2025 / 03																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RR	13	11	12	9	18	6	30	59	53	5	22	61	10	7	5	2	4	3	31	40	80	32	32	16	16	253	131	216	182	98	60	26	12	11	4	2	3	5	16	3	5	78	9	2	7	1	3	19	3	7	"1,733"
OW	12	16	5	5	30	12	18	27	31	12	50	67	19	17	15	6	6	8	9	4	7	3	4	17	12	440	259	494	315	204	122	23	33	26	7	6	14	2	7	4	11	49	13	7	2	3	4	6	4	9	"2,474"
EM	126	216	132	191	637	174	278	370	326	186	222	147	169	143	89	67	92	119	130	176	229	159	127	304	519	102	17	109	94	254	328	181	218	185	51	90	280	36	86	54	50	247	81	112	32	57	14	75	77	73	"8,233"
MT	88	158	84	122	371	100	157	241	191	116	167	88	143	109	65	46	62	68	77	94	143	87	66	185	329	20	51	23	61	198	266	157	304	233	71	68	143	19	63	56	45	194	67	45	11	30	10	47	47	57	"5,638"
PL	153	253	122	134	406	124	220	275	278	171	260	132	182	175	98	61	95	99	116	132	169	118	97	205	536	119	28	99	86	498	612	347	537	489	153	85	248	30	130	114	126	711	165	86	29	51	18	88	65	97	"9,623"
CC	81	118	91	117	323	131	197	229	200	125	167	99	94	61	43	26	51	53	65	83	121	110	86	168	336	81	42	80	53	201	302	185	205	248	100	47	135	16	47	76	95	223	169	47	11	26	10	35	33	53	"5,699"
16	65	72	45	72	185	81	146	180	136	81	120	74	49	35	27	17	20	23	27	35	51	30	27	106	231	252	187	540	225	24	99	142	187	225	78	15	45	11	23	60	68	137	85	16	5	9	5	18	10	26	"4,425"
24	77	71	30	52	119	56	104	114	91	62	102	60	38	28	20	18	15	13	23	19	31	11	14	76	141	298	208	668	336	106	22	129	152	188	68	16	32	2	27	51	62	88	79	7	5	9	8	18	9	17	"3,989"
GP	15	17	13	15	65	13	26	34	33	18	24	28	12	8	6	7	3	7	10	10	11	9	5	25	30	162	118	373	180	128	115	10	23	34	24	6	15	2	12	13	31	64	37	5	6	2	2	8	3	7	"1,821"
BP	20	21	8	8	35	10	20	28	32	20	27	21	22	18	8	4	7	7	13	7	12	5	2	11	29	181	149	597	205	147	131	22	13	28	43	3	9	3	12	25	36	61	31	7	1	6	3	13	6	6	"2,133"
DC	19	23	10	8	52	13	14	30	30	22	29	32	23	18	16	8	9	10	17	10	14	4	3	14	28	176	159	547	314	229	197	37	37	19	31	7	19	3	16	36	55	124	78	7	4	6	2	9	5	12	"2,585"
CM	12	11	4	3	10	3	6	12	13	4	5	3	2	3	3	2	2	2	3	3	4	1	1	5	8	49	45	169	99	70	63	28	46	19	6	1	2	3	10	5	17	49	27	0	1	0	2	4	1	2	844
CV	2	2	2	2	13	4	6	9	6	34	34	62	26	16	7	7	9	6	2	1	1	0	0	2	8	88	50	99	55	14	13	7	4	7	1	5	39	0	1	0	2	11	2	41	2	2	0	1	3	7	716
ED	5	9	6	7	58	8	13	20	16	45	62	87	40	49	34	21	20	20	6	2	1	1	0	5	14	281	121	247	132	49	33	15	14	24	3	38	22	1	2	3	4	54	5	15	15	9	1	4	15	31	"1,686"
NC	0	2	1	2	6	1	6	7	5	1	2	13	2	3	1	0	0	0	13	5	11	4	1	4	2	32	18	33	15	8	3	5	4	5	1	0	1	5	8	1	2	16	1	0	2	0	5	7	0	4	270
WP	6	7	3	1	13	4	25	14	15	4	11	12	4	7	4	3	2	2	69	33	50	12	6	16	8	71	60	139	57	26	25	10	14	19	5	0	1	10	9	5	6	41	2	1	5	3	5	6	1	5	862
SS	6	10	3	3	10	1	5	8	10	2	5	4	3	5	1	1	2	1	6	2	5	1	1	3	4	48	35	139	84	46	48	15	33	34	5	0	3	1	4	6	15	31	14	0	0	0	1	7	1	1	677
SB	14	12	2	2	17	3	7	10	17	4	7	10	6	7	5	1	2	1	6	4	4	1	1	6	13	48	35	139	102	66	61	28	42	54	16	2	5	2	6	17	7	56	11	0	1	0	1	5	1	1	873
SO	41	44	30	48	232	39	48	45	55	9	15	8	14	8	2	2	7	8	44	47	56	43	32	68	55	161	115	492	196	101	64	56	40	99	31	6	39	11	37	18	49	42	237	10	6	4	3	39	4	5	"2,864"
MB	10	16	7	10	80	9	13	18	22	5	5	8	2	3	2	1	2	2	7	5	5	4	1	9	12	72	55	163	159	67	65	30	40	74	29	1	6	1	3	10	10	315	25	3	1	1	1	5	1	1	"1,392"
WD	3	4	3	3	18	3	7	9	3	23	28	47	22	36	22	17	7	6	5	2	1	0	1	1	8	99	41	84	51	17	9	4	5	9	0	43	15	0	2	1	1	18	2	6	6	2	0	1	6	7	707
OA	2	8	7	8	90	9	8	9	6	7	2	12	3	3	3	1	3	3	6	6	6	3	3	3	1	25	10	24	9	5	4	5	2	3	1	2	11	1	4	0	0	9	1	3	1	2	0	4	2	2	341
WS	5	8	2	4	32	3	7	13	9	12	20	18	14	14	26	19	32	27	3	1	1	1	0	1	3	56	28	46	26	10	8	2	4	6	0	1	5	1	1	0	0	5	1	4	2	9	1	1	18	34	541
PC	2	3	1	1	3	0	10	7	8	2	2	6	2	2	2	1	1	1	33	12	16	3	3	4	5	15	9	19	11	5	8	2	4	3	1	0	2	5	6	1	1	5	1	0	1	1	3	13	0	1	248
AN	7	10	2	2	14	4	33	20	21	5	13	25	9	6	10	3	5	3	54	22	42	8	4	21	9	84	44	103	46	21	22	11	16	16	3	1	3	10	9	6	6	54	5	1	8	2	12	12	2	8	853
ML	5	8	4	10	79	7	10	18	18	14	19	21	14	13	44	20	43	49	6	2	4	1	3	4	5	65	34	60	35	15	7	4	6	10	3	4	13	0	2	1	0	4	1	7	3	24	0	2	10	22	753
BE	11	20	10	12	152	18	27	31	20	34	41	36	35	27	42	32	48	61	7	9	4	3	3	11	12	69	39	97	65	21	15	7	9	11	2	9	28	4	5	0	0	6	1	8	4	45	1	6	19	13	"1,191"
Grand Total	"1,530"	"2,000"	"1,289"	"1,338"	"4,892"	"1,450"	"2,362"	"2,837"	"2,568"	"1,694"	"2,607"	"3,001"	"1,812"	"1,525"	"1,352"	807	938	"1,077"	"1,331"	"1,101"	"1,600"	933	694	"1,846"	"2,793"	"7,229"	"4,243"	"10,041"	"5,970"	"4,154"	"3,853"	"1,878"	"2,388"	"2,485"	853	712	"1,637"	267	853	668	836	"3,661"	"1,380"	678	399	608	240	743	737	"1,109"	"103,000"
