Exit stations,Entry stations->,,SUNDAY,,,Aug 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	12 , 	39 , 	37 , 	25 , 	124 , 	38 , 	36 , 	30 , 	36 , 	20 , 	41 , 	36 , 	10 , 	8 , 	10 , 	5 , 	4 , 	9 , 	8 , 	4 , 	8 , 	2 , 	4 , 	8 , 	7 , 	88 , 	50 , 	163 , 	68 , 	44 , 	50 , 	15 , 	18 , 	16 , 	5 , 	4 , 	7 , 	2 , 	6 , 	5 , 	6 , 	32 , 	7 , 	1 , 	12 , 	7 , 	-   , 	-   , 	3 , 	7 ," 	1,172 ",,,,,,,,,,,
EN, 	30 , 	20 , 	40 , 	31 , 	205 , 	64 , 	65 , 	53 , 	69 , 	36 , 	53 , 	113 , 	17 , 	21 , 	19 , 	8 , 	9 , 	24 , 	14 , 	6 , 	13 , 	3 , 	3 , 	11 , 	13 , 	179 , 	111 , 	318 , 	126 , 	58 , 	56 , 	23 , 	28 , 	26 , 	11 , 	4 , 	9 , 	-   , 	9 , 	8 , 	12 , 	88 , 	14 , 	4 , 	35 , 	12 , 	-   , 	-   , 	4 , 	4 ," 	2,071 ",,,,,,,,,,,
EP, 	43 , 	31 , 	17 , 	27 , 	237 , 	41 , 	44 , 	45 , 	53 , 	21 , 	24 , 	61 , 	12 , 	9 , 	12 , 	4 , 	6 , 	21 , 	8 , 	7 , 	11 , 	4 , 	6 , 	10 , 	4 , 	118 , 	74 , 	162 , 	74 , 	35 , 	32 , 	14 , 	9 , 	8 , 	3 , 	1 , 	6 , 	1 , 	5 , 	2 , 	3 , 	65 , 	10 , 	2 , 	29 , 	11 , 	-   , 	-   , 	1 , 	2 ," 	1,418 ",,,,,,,,,,,
NB, 	31 , 	28 , 	27 , 	18 , 	64 , 	27 , 	31 , 	57 , 	43 , 	22 , 	29 , 	64 , 	10 , 	7 , 	8 , 	5 , 	6 , 	14 , 	4 , 	5 , 	14 , 	5 , 	4 , 	5 , 	4 , 	130 , 	86 , 	129 , 	103 , 	40 , 	41 , 	16 , 	8 , 	11 , 	4 , 	3 , 	9 , 	1 , 	3 , 	2 , 	4 , 	84 , 	13 , 	2 , 	42 , 	13 , 	-   , 	-   , 	2 , 	2 ," 	1,273 ",,,,,,,,,,,
BK, 	141 , 	215 , 	223 , 	63 , 	55 , 	114 , 	114 , 	283 , 	154 , 	105 , 	92 , 	81 , 	47 , 	35 , 	47 , 	19 , 	60 , 	110 , 	24 , 	28 , 	36 , 	17 , 	18 , 	21 , 	21 , 	345 , 	197 , 	449 , 	247 , 	123 , 	103 , 	45 , 	39 , 	36 , 	9 , 	16 , 	55 , 	5 , 	13 , 	5 , 	9 , 	173 , 	57 , 	15 , 	66 , 	115 , 	-   , 	-   , 	6 , 	8 ," 	4,253 ",,,,,,,,,,,
AS, 	40 , 	53 , 	35 , 	22 , 	103 , 	21 , 	41 , 	65 , 	57 , 	31 , 	52 , 	61 , 	13 , 	14 , 	15 , 	10 , 	11 , 	21 , 	7 , 	7 , 	9 , 	4 , 	3 , 	5 , 	11 , 	114 , 	63 , 	140 , 	102 , 	65 , 	57 , 	22 , 	11 , 	14 , 	2 , 	3 , 	14 , 	3 , 	4 , 	3 , 	3 , 	61 , 	11 , 	3 , 	32 , 	19 , 	-   , 	-   , 	1 , 	8 ," 	1,459 ",,,,,,,,,,,
MA, 	46 , 	69 , 	44 , 	37 , 	137 , 	50 , 	44 , 	41 , 	49 , 	29 , 	61 , 	96 , 	30 , 	33 , 	23 , 	14 , 	13 , 	24 , 	31 , 	26 , 	30 , 	15 , 	12 , 	30 , 	11 , 	204 , 	109 , 	238 , 	189 , 	101 , 	69 , 	16 , 	19 , 	13 , 	7 , 	6 , 	13 , 	8 , 	26 , 	4 , 	5 , 	75 , 	12 , 	3 , 	37 , 	17 , 	-   , 	-   , 	10 , 	19 ," 	2,191 ",,,,,,,,,,,
19, 	33 , 	53 , 	49 , 	54 , 	271 , 	72 , 	47 , 	26 , 	19 , 	24 , 	56 , 	103 , 	34 , 	37 , 	28 , 	12 , 	18 , 	31 , 	35 , 	40 , 	47 , 	27 , 	20 , 	48 , 	20 , 	149 , 	110 , 	211 , 	160 , 	101 , 	61 , 	32 , 	23 , 	20 , 	4 , 	8 , 	26 , 	7 , 	16 , 	6 , 	6 , 	62 , 	21 , 	15 , 	46 , 	21 , 	-   , 	-   , 	6 , 	15 ," 	2,321 ",,,,,,,,,,,
12, 	33 , 	58 , 	48 , 	38 , 	112 , 	53 , 	43 , 	6 , 	35 , 	17 , 	52 , 	93 , 	44 , 	58 , 	35 , 	21 , 	33 , 	42 , 	28 , 	23 , 	27 , 	15 , 	19 , 	30 , 	22 , 	153 , 	110 , 	235 , 	115 , 	56 , 	43 , 	19 , 	25 , 	25 , 	9 , 	11 , 	22 , 	7 , 	21 , 	8 , 	11 , 	59 , 	15 , 	5 , 	23 , 	20 , 	-   , 	-   , 	5 , 	13 ," 	1,992 ",,,,,,,,,,,
LM, 	23 , 	32 , 	24 , 	21 , 	106 , 	41 , 	31 , 	16 , 	12 , 	32 , 	114 , 	169 , 	101 , 	110 , 	44 , 	26 , 	36 , 	51 , 	10 , 	9 , 	14 , 	6 , 	8 , 	11 , 	18 , 	145 , 	117 , 	233 , 	129 , 	78 , 	53 , 	26 , 	25 , 	21 , 	3 , 	58 , 	70 , 	1 , 	4 , 	4 , 	4 , 	25 , 	6 , 	36 , 	34 , 	35 , 	-   , 	-   , 	2 , 	5 ," 	2,175 ",,,,,,,,,,,
