Muni Fast Pass Adult/Clipper OD,,,,,,Jan 16,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,39,22,66,82,323,626,557,869,"2,585"
MT,28,39,42,74,420,824,767,"1,519","3,713"
PL,109,64,36,54,300,533,390,"1,057","2,542"
CC,69,71,49,19,151,330,312,668,"1,669"
16,299,357,361,166,12,83,117,304,"1,701"
24,493,617,616,338,94,16,80,245,"2,497"
GP,475,590,480,296,125,82,13,56,"2,116"
BP,774,984,"1,381",572,295,253,61,42,"4,362"
Entries,"2,285","2,745","3,032","1,599","1,720","2,748","2,296","4,760","21,186"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,5,28,17,118,148,100,255,692
MT,5,9,11,9,102,154,149,544,984
PL,42,12,38,18,238,370,271,778,"1,768"
CC,19,7,23,13,94,133,74,207,570
16,117,65,270,89,14,65,70,169,861
24,119,104,418,144,70,13,57,158,"1,084"
GP,87,89,340,73,67,58,8,27,748
BP,221,242,"1,020",183,161,131,25,34,"2,018"
Entries,630,533,"2,148",547,864,"1,073",754,"2,173","8,724"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,4,16,10,64,89,60,155,415
MT,4,8,8,8,67,92,93,336,615
PL,20,6,33,15,184,259,195,582,"1,295"
CC,13,2,16,13,66,104,67,177,460
16,73,46,211,75,13,41,56,127,642
24,101,64,316,104,45,17,42,106,795
GP,59,56,263,53,54,44,9,16,555
BP,171,164,799,161,133,101,16,27,"1,572"
Entries,458,351,"1,661",439,626,747,538,"1,526","6,348"
