Fast Pass OD,,,,,,Aug 09,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,70,44,175,193,599,"1,018",802,"1,212","4,112"
MT,48,57,99,170,741,"1,307","1,065","2,188","5,675"
PL,239,135,83,133,732,"1,028",696,"1,841","4,887"
CC,164,161,144,53,491,676,482,"1,208","3,379"
16,549,620,930,536,27,218,237,640,"3,755"
24,809,995,"1,260",700,221,37,186,567,"4,775"
GP,711,782,909,441,239,183,22,126,"3,412"
BP,"1,062","1,191","2,652","1,103",621,585,131,38,"7,382"
Entries,"3,651","3,984","6,253","3,329","3,670","5,051","3,620","7,819","37,376"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,39,8,59,45,223,277,154,337,"1,141"
MT,9,16,28,28,250,311,312,"1,036","1,990"
PL,82,27,74,55,603,876,537,"1,369","3,624"
CC,40,20,58,42,301,382,179,434,"1,455"
16,205,155,757,345,27,166,145,359,"2,158"
24,227,200,996,435,166,40,137,356,"2,556"
GP,132,138,704,153,136,123,22,70,"1,479"
BP,294,308,"2,004",386,342,322,70,37,"3,763"
Entries,"1,026",873,"4,680","1,488","2,048","2,496","1,555","3,999","18,165"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,31,5,37,26,139,167,94,219,719
MT,4,16,17,19,161,195,185,690,"1,288"
PL,41,14,77,35,447,595,370,943,"2,523"
CC,25,15,48,51,267,283,140,372,"1,201"
16,148,96,556,296,35,103,104,261,"1,597"
24,165,138,762,313,101,47,100,222,"1,850"
GP,97,84,537,131,97,88,23,41,"1,098"
BP,218,204,"1,555",345,256,221,52,37,"2,889"
Entries,728,573,"3,590","1,218","1,502","1,700","1,068","2,785","13,164"
