Exit stations,Entry stations->,,SUNDAY,,,Aug 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	55 , 	118 , 	69 , 	61 , 	134 , 	72 , 	116 , 	64 , 	149 , 	76 , 	129 , 	8 , 	114 , 	150 , 	103 , 	74 , 	91 , 	187 , 	69 , 	70 , 	69 , 	40 , 	33 , 	55 , 	63 , 	243 , 	143 , 	443 , 	168 , 	72 , 	64 , 	29 , 	26 , 	26 , 	5 , 	88 , 	345 , 	31 , 	91 , 	10 , 	10 , 	47 , 	25 ," 	4,036 ",,,CM line," 	11,741 "," 	1,432 "," 	4,143 "," 	1,297 ", 	928 ," 	1,356 "," 	1,844 "," 	22,742 "
SL, 	17 , 	24 , 	11 , 	13 , 	52 , 	22 , 	38 , 	33 , 	114 , 	93 , 	96 , 	112 , 	6 , 	67 , 	55 , 	24 , 	19 , 	37 , 	7 , 	8 , 	8 , 	3 , 	3 , 	15 , 	15 , 	110 , 	82 , 	256 , 	85 , 	27 , 	32 , 	13 , 	18 , 	21 , 	7 , 	18 , 	35 , 	2 , 	18 , 	3 , 	5 , 	24 , 	8 ," 	1,659 ",,,RM line," 	4,847 "," 	1,826 "," 	1,360 "," 	2,465 ", 	582 ," 	2,005 ", 	686 ," 	13,770 "
BF, 	17 , 	32 , 	10 , 	9 , 	50 , 	25 , 	53 , 	41 , 	103 , 	82 , 	188 , 	167 , 	65 , 	4 , 	92 , 	54 , 	62 , 	109 , 	14 , 	6 , 	8 , 	2 , 	1 , 	11 , 	24 , 	112 , 	70 , 	238 , 	83 , 	27 , 	26 , 	14 , 	22 , 	22 , 	5 , 	38 , 	106 , 	2 , 	23 , 	5 , 	9 , 	14 , 	10 ," 	2,053 ",,,WP line," 	4,903 ", 	871 , 	913 , 	596 ," 	2,030 "," 	1,097 ", 	768 ," 	11,179 "
HY, 	16 , 	27 , 	6 , 	7 , 	32 , 	23 , 	36 , 	29 , 	70 , 	37 , 	98 , 	112 , 	62 , 	100 , 	5 , 	46 , 	61 , 	129 , 	8 , 	5 , 	5 , 	1 , 	3 , 	4 , 	10 , 	54 , 	32 , 	106 , 	43 , 	15 , 	18 , 	5 , 	10 , 	11 , 	5 , 	12 , 	27 , 	3 , 	21 , 	5 , 	4 , 	12 , 	5 ," 	1,315 ",,,FT/ED line," 	6,591 "," 	2,331 "," 	1,339 "," 	1,823 "," 	1,025 "," 	6,771 ", 	616 ," 	20,496 "
SH, 	4 , 	11 , 	5 , 	3 , 	15 , 	7 , 	13 , 	12 , 	34 , 	16 , 	38 , 	78 , 	23 , 	67 , 	49 , 	5 , 	27 , 	68 , 	5 , 	3 , 	5 , 	0 , 	1 , 	3 , 	7 , 	41 , 	24 , 	91 , 	32 , 	12 , 	17 , 	7 , 	8 , 	11 , 	3 , 	9 , 	17 , 	2 , 	10 , 	1 , 	1 , 	7 , 	3 , 	794 ,,,SFIA," 	4,210 ", 	302 ," 	1,476 ", 	480 , 	562 , 	425 , 	705 ," 	8,159 "
UC, 	6 , 	21 , 	9 , 	7 , 	38 , 	13 , 	17 , 	16 , 	47 , 	34 , 	32 , 	106 , 	25 , 	58 , 	56 , 	28 , 	5 , 	69 , 	7 , 	4 , 	5 , 	3 , 	3 , 	5 , 	11 , 	93 , 	47 , 	164 , 	52 , 	15 , 	11 , 	7 , 	12 , 	9 , 	6 , 	5 , 	27 , 	2 , 	14 , 	5 , 	4 , 	22 , 	6 ," 	1,122 ",,,Entries," 	38,566 "," 	12,374 "," 	21,757 "," 	12,991 "," 	10,590 "," 	20,292 "," 	9,228 "," 	125,798 "
FM, 	15 , 	42 , 	21 , 	23 , 	143 , 	35 , 	43 , 	31 , 	97 , 	58 , 	74 , 	203 , 	36 , 	114 , 	141 , 	68 , 	76 , 	13 , 	21 , 	15 , 	11 , 	6 , 	5 , 	12 , 	9 , 	184 , 	98 , 	339 , 	135 , 	27 , 	20 , 	15 , 	24 , 	30 , 	4 , 	14 , 	55 , 	5 , 	30 , 	5 , 	5 , 	54 , 	7 ," 	2,361 ",,,,,,,,,,,
CN, 	10 , 	15 , 	10 , 	5 , 	35 , 	9 , 	36 , 	16 , 	54 , 	11 , 	25 , 	82 , 	8 , 	12 , 	9 , 	5 , 	8 , 	19 , 	9 , 	37 , 	149 , 	49 , 	16 , 	37 , 	5 , 	148 , 	63 , 	179 , 	95 , 	26 , 	27 , 	15 , 	18 , 	21 , 	7 , 	3 , 	9 , 	13 , 	129 , 	6 , 	7 , 	68 , 	10 ," 	1,516 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	6 , 	8 , 	8 , 	7 , 	34 , 	11 , 	22 , 	15 , 	40 , 	7 , 	18 , 	87 , 	6 , 	6 , 	4 , 	3 , 	5 , 	15 , 	33 , 	5 , 	61 , 	18 , 	14 , 	47 , 	2 , 	226 , 	90 , 	207 , 	106 , 	23 , 	20 , 	12 , 	10 , 	21 , 	4 , 	5 , 	4 , 	7 , 	30 , 	3 , 	5 , 	106 , 	12 ," 	1,372 ",,,Dtwn SF," 	1,565 ",,,,,,,
WC, 	7 , 	12 , 	12 , 	15 , 	60 , 	16 , 	37 , 	28 , 	58 , 	12 , 	11 , 	82 , 	8 , 	10 , 	6 , 	4 , 	6 , 	14 , 	156 , 	65 , 	8 , 	34 , 	24 , 	76 , 	6 , 	323 , 	151 , 	317 , 	169 , 	34 , 	24 , 	17 , 	13 , 	25 , 	5 , 	3 , 	7 , 	20 , 	50 , 	6 , 	7 , 	127 , 	13 ," 	2,079 ",,,OAK," 	9,533 ", 	789 ,,,,,,
LF, 	2 , 	4 , 	7 , 	4 , 	28 , 	4 , 	14 , 	9 , 	25 , 	4 , 	11 , 	44 , 	4 , 	2 , 	1 , 	0 , 	2 , 	6 , 	59 , 	17 , 	37 , 	4 , 	7 , 	31 , 	4 , 	178 , 	89 , 	172 , 	77 , 	22 , 	13 , 	10 , 	3 , 	11 , 	1 , 	1 , 	2 , 	4 , 	12 , 	3 , 	2 , 	54 , 	6 , 	992 ,,,CM line," 	22,839 "," 	2,860 "," 	4,143 ",,,,,
OR, 	2 , 	5 , 	7 , 	6 , 	20 , 	5 , 	14 , 	11 , 	34 , 	4 , 	10 , 	32 , 	3 , 	2 , 	3 , 	0 , 	3 , 	4 , 	17 , 	18 , 	21 , 	8 , 	1 , 	39 , 	3 , 	157 , 	68 , 	154 , 	75 , 	17 , 	11 , 	12 , 	5 , 	8 , 	2 , 	1 , 	2 , 	3 , 	10 , 	2 , 	1 , 	48 , 	7 , 	859 ,,,RM line," 	9,471 "," 	3,532 "," 	2,656 "," 	2,465 ",,,,
RR, 	10 , 	13 , 	23 , 	10 , 	30 , 	12 , 	30 , 	38 , 	92 , 	14 , 	20 , 	77 , 	11 , 	8 , 	5 , 	4 , 	6 , 	14 , 	32 , 	41 , 	72 , 	37 , 	40 , 	7 , 	10 , 	273 , 	175 , 	411 , 	229 , 	107 , 	78 , 	28 , 	15 , 	18 , 	6 , 	3 , 	8 , 	6 , 	18 , 	3 , 	4 , 	117 , 	11 ," 	2,168 ",,,WP line," 	9,571 "," 	1,666 "," 	1,841 "," 	1,178 "," 	2,030 ",,,
OW, 	12 , 	11 , 	7 , 	8 , 	37 , 	26 , 	30 , 	20 , 	62 , 	33 , 	57 , 	66 , 	12 , 	28 , 	13 , 	5 , 	12 , 	9 , 	4 , 	2 , 	7 , 	3 , 	4 , 	10 , 	5 , 	239 , 	147 , 	435 , 	155 , 	95 , 	55 , 	14 , 	23 , 	14 , 	3 , 	4 , 	15 , 	0 , 	16 , 	2 , 	6 , 	27 , 	8 ," 	1,745 ",,,FT/ED line," 	12,945 "," 	4,614 "," 	2,695 "," 	3,828 "," 	2,122 "," 	6,771 ",,
EM, 	91 , 	215 , 	134 , 	195 , 	457 , 	148 , 	271 , 	175 , 	255 , 	176 , 	228 , 	285 , 	148 , 	141 , 	66 , 	57 , 	96 , 	206 , 	165 , 	231 , 	363 , 	200 , 	171 , 	289 , 	291 , 	53 , 	27 , 	210 , 	113 , 	288 , 	353 , 	198 , 	302 , 	138 , 	67 , 	136 , 	710 , 	78 , 	204 , 	47 , 	53 , 	411 , 	131 ," 	8,570 ",,,SFIA," 	8,437 ", 	684 ," 	3,320 "," 	1,165 "," 	1,330 "," 	1,042 ", 	705 ," 	125,798 "
MT, 	53 , 	104 , 	83 , 	142 , 	252 , 	98 , 	174 , 	118 , 	200 , 	168 , 	125 , 	137 , 	94 , 	88 , 	31 , 	23 , 	53 , 	114 , 	70 , 	98 , 	140 , 	84 , 	74 , 	176 , 	165 , 	23 , 	24 , 	46 , 	72 , 	306 , 	364 , 	302 , 	891 , 	152 , 	65 , 	61 , 	180 , 	26 , 	81 , 	37 , 	37 , 	356 , 	82 ," 	5,968 ",,,,,,,,,,,
PL, 	130 , 	286 , 	195 , 	227 , 	793 , 	206 , 	414 , 	257 , 	399 , 	355 , 	359 , 	359 , 	212 , 	215 , 	108 , 	86 , 	147 , 	292 , 	160 , 	191 , 	270 , 	144 , 	129 , 	350 , 	453 , 	206 , 	46 , 	126 , 	208 ," 	1,144 "," 	1,322 ", 	726 ," 	1,391 ", 	558 , 	276 , 	121 , 	500 , 	64 , 	189 , 	183 , 	176 ," 	1,404 ", 	399 ," 	15,774 ",,,,,,,,,,,
CC, 	60 , 	109 , 	76 , 	129 , 	284 , 	158 , 	254 , 	161 , 	203 , 	176 , 	192 , 	150 , 	75 , 	66 , 	38 , 	32 , 	47 , 	117 , 	75 , 	92 , 	137 , 	71 , 	61 , 	174 , 	159 , 	100 , 	57 , 	184 , 	71 , 	541 , 	569 , 	253 , 	573 , 	195 , 	126 , 	55 , 	205 , 	28 , 	82 , 	57 , 	106 , 	558 , 	193 ," 	7,047 ",,,,,,,,,,,
16, 	46 , 	52 , 	32 , 	74 , 	169 , 	113 , 	160 , 	104 , 	90 , 	106 , 	106 , 	71 , 	23 , 	23 , 	16 , 	10 , 	14 , 	29 , 	27 , 	24 , 	38 , 	21 , 	17 , 	96 , 	89 , 	301 , 	229 ," 	1,277 ", 	603 , 	46 , 	186 , 	195 , 	403 , 	123 , 	68 , 	12 , 	56 , 	8 , 	34 , 	36 , 	72 , 	221 , 	93 ," 	5,515 ",,,,,,,,,,,
24, 	60 , 	50 , 	37 , 	60 , 	108 , 	67 , 	114 , 	78 , 	81 , 	86 , 	97 , 	87 , 	29 , 	28 , 	25 , 	15 , 	15 , 	22 , 	26 , 	20 , 	27 , 	12 , 	12 , 	78 , 	69 , 	331 , 	285 ," 	1,571 ", 	649 , 	177 , 	61 , 	173 , 	371 , 	135 , 	86 , 	14 , 	36 , 	7 , 	46 , 	36 , 	96 , 	234 , 	83 ," 	5,694 ",,,,,,,,,,,
GP, 	13 , 	26 , 	11 , 	18 , 	45 , 	16 , 	35 , 	20 , 	51 , 	20 , 	29 , 	33 , 	13 , 	14 , 	5 , 	6 , 	7 , 	14 , 	20 , 	13 , 	16 , 	12 , 	10 , 	26 , 	21 , 	204 , 	169 , 	933 , 	248 , 	176 , 	159 , 	26 , 	56 , 	33 , 	32 , 	6 , 	28 , 	6 , 	28 , 	14 , 	45 , 	109 , 	46 ," 	2,812 ",,,,,,,,,,,
BP, 	23 , 	31 , 	12 , 	15 , 	32 , 	19 , 	28 , 	17 , 	45 , 	33 , 	47 , 	37 , 	17 , 	18 , 	13 , 	7 , 	11 , 	19 , 	17 , 	11 , 	13 , 	5 , 	7 , 	13 , 	27 , 	306 , 	279 ," 	2,113 ", 	540 , 	393 , 	348 , 	68 , 	43 , 	44 , 	70 , 	8 , 	26 , 	6 , 	38 , 	29 , 	110 , 	84 , 	68 ," 	5,089 ",,,,,,,,,,,
DC, 	16 , 	28 , 	12 , 	8 , 	55 , 	12 , 	19 , 	17 , 	42 , 	21 , 	26 , 	33 , 	18 , 	19 , 	9 , 	10 , 	12 , 	21 , 	22 , 	20 , 	24 , 	11 , 	7 , 	16 , 	18 , 	139 , 	104 , 	660 , 	202 , 	113 , 	140 , 	36 , 	51 , 	8 , 	39 , 	8 , 	49 , 	6 , 	39 , 	24 , 	79 , 	137 , 	110 ," 	2,440 ",,,,,,,,,,,
CM, 	7 , 	14 , 	2 , 	3 , 	8 , 	3 , 	9 , 	6 , 	17 , 	6 , 	11 , 	10 , 	6 , 	8 , 	6 , 	2 , 	4 , 	4 , 	8 , 	4 , 	9 , 	2 , 	1 , 	5 , 	5 , 	72 , 	54 , 	340 , 	133 , 	60 , 	80 , 	32 , 	74 , 	33 , 	2 , 	1 , 	10 , 	2 , 	19 , 	6 , 	29 , 	41 , 	44 ," 	1,191 ",,,,,,,,,,,
CV, 	3 , 	7 , 	2 , 	5 , 	13 , 	7 , 	11 , 	9 , 	18 , 	45 , 	24 , 	87 , 	19 , 	34 , 	12 , 	8 , 	5 , 	18 , 	2 , 	3 , 	4 , 	1 , 	2 , 	4 , 	5 , 	99 , 	61 , 	146 , 	66 , 	15 , 	16 , 	7 , 	11 , 	10 , 	1 , 	1 , 	135 , 	1 , 	6 , 	2 , 	3 , 	14 , 	4 , 	950 ,,,,,,,,,,,
ED, 	8 , 	15 , 	7 , 	8 , 	48 , 	17 , 	19 , 	19 , 	40 , 	62 , 	57 , 	366 , 	28 , 	121 , 	35 , 	25 , 	30 , 	54 , 	11 , 	4 , 	9 , 	2 , 	1 , 	10 , 	15 , 	658 , 	198 , 	618 , 	237 , 	52 , 	36 , 	31 , 	28 , 	39 , 	11 , 	65 , 	14 , 	1 , 	8 , 	10 , 	9 , 	158 , 	17 ," 	3,200 ",,,,,,,,,,,
NC, 	1 , 	4 , 	2 , 	2 , 	7 , 	2 , 	8 , 	4 , 	14 , 	3 , 	3 , 	29 , 	1 , 	2 , 	1 , 	2 , 	2 , 	4 , 	18 , 	6 , 	14 , 	6 , 	4 , 	5 , 	1 , 	71 , 	28 , 	71 , 	33 , 	9 , 	6 , 	5 , 	5 , 	5 , 	1 , 	1 , 	1 , 	2 , 	19 , 	2 , 	2 , 	20 , 	2 , 	427 ,,,,,,,,,,,
WP, 	26 , 	32 , 	5 , 	6 , 	20 , 	17 , 	69 , 	22 , 	68 , 	8 , 	45 , 	101 , 	19 , 	26 , 	18 , 	12 , 	11 , 	29 , 	128 , 	42 , 	63 , 	13 , 	15 , 	30 , 	18 , 	177 , 	79 , 	214 , 	97 , 	34 , 	45 , 	27 , 	34 , 	40 , 	13 , 	4 , 	12 , 	22 , 	10 , 	12 , 	11 , 	74 , 	17 ," 	1,767 ",,,,,,,,,,,
SS, 	7 , 	8 , 	1 , 	3 , 	7 , 	3 , 	4 , 	5 , 	11 , 	4 , 	7 , 	12 , 	4 , 	3 , 	3 , 	2 , 	4 , 	4 , 	10 , 	4 , 	6 , 	2 , 	2 , 	2 , 	3 , 	53 , 	29 , 	198 , 	73 , 	29 , 	37 , 	19 , 	28 , 	26 , 	8 , 	2 , 	9 , 	4 , 	12 , 	1 , 	24 , 	29 , 	16 , 	719 ,,,,,,,,,,,
