Exit stations,Entry stations->,,WEEKDAY,,,Jan 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
CL, 	70 , 	126 , 	41 , 	49 , 	141 , 	64 , 	166 , 	187 , 	312 , 	190 , 	221 , 	25 , 	123 , 	169 , 	150 , 	81 , 	93 , 	197 , 	45 , 	47 , 	46 , 	29 , 	20 , 	34 , 	95 , 	590 , 	577 , 	521 , 	446 , 	155 , 	123 , 	74 , 	70 , 	107 , 	15 , 	48 , 	138 , 	16 , 	93 , 	22 , 	25 , 	36 , 	28 , 	70 , 	30 , 	-   ," 	5,902 ",,,,,,,,,
SL, 	37 , 	65 , 	30 , 	38 , 	170 , 	50 , 	129 , 	241 , 	382 , 	276 , 	222 , 	135 , 	20 , 	121 , 	176 , 	68 , 	83 , 	152 , 	31 , 	27 , 	24 , 	9 , 	7 , 	24 , 	36 , 	722 , 	774 , 	584 , 	515 , 	152 , 	100 , 	42 , 	68 , 	80 , 	11 , 	38 , 	90 , 	9 , 	46 , 	18 , 	17 , 	43 , 	9 , 	44 , 	7 , 	-   ," 	5,921 ",,,,,,,,,
BF, 	30 , 	46 , 	15 , 	22 , 	132 , 	32 , 	100 , 	211 , 	320 , 	238 , 	221 , 	171 , 	117 , 	19 , 	137 , 	75 , 	104 , 	242 , 	23 , 	12 , 	12 , 	6 , 	3 , 	11 , 	33 , 	696 , 	711 , 	558 , 	468 , 	130 , 	84 , 	37 , 	45 , 	58 , 	10 , 	58 , 	148 , 	5 , 	17 , 	14 , 	17 , 	29 , 	11 , 	83 , 	6 , 	-   ," 	5,516 ",,,,,,,,,
HY, 	39 , 	97 , 	27 , 	30 , 	146 , 	37 , 	121 , 	227 , 	294 , 	151 , 	210 , 	167 , 	190 , 	149 , 	25 , 	115 , 	215 , 	351 , 	33 , 	22 , 	19 , 	6 , 	4 , 	17 , 	31 , 	522 , 	545 , 	369 , 	319 , 	89 , 	61 , 	29 , 	44 , 	47 , 	7 , 	19 , 	65 , 	14 , 	52 , 	7 , 	12 , 	24 , 	7 , 	34 , 	15 , 	-   ," 	5,003 ",,,,,,,,,
SH, 	22 , 	30 , 	9 , 	12 , 	78 , 	22 , 	54 , 	157 , 	161 , 	80 , 	84 , 	73 , 	63 , 	69 , 	90 , 	16 , 	66 , 	155 , 	10 , 	6 , 	12 , 	1 , 	3 , 	6 , 	15 , 	405 , 	375 , 	227 , 	222 , 	76 , 	43 , 	9 , 	20 , 	33 , 	5 , 	11 , 	34 , 	2 , 	14 , 	6 , 	9 , 	12 , 	5 , 	19 , 	6 , 	-   ," 	2,829 ",,,,,,,,,
UC, 	19 , 	40 , 	20 , 	17 , 	146 , 	41 , 	82 , 	229 , 	207 , 	108 , 	87 , 	98 , 	84 , 	105 , 	216 , 	72 , 	24 , 	168 , 	15 , 	15 , 	14 , 	2 , 	6 , 	10 , 	12 , 	998 , 	855 , 	362 , 	336 , 	76 , 	37 , 	11 , 	23 , 	45 , 	4 , 	17 , 	54 , 	4 , 	29 , 	6 , 	6 , 	26 , 	6 , 	21 , 	16 , 	-   ," 	4,770 ",,,,,,,,,
FM, 	37 , 	88 , 	46 , 	40 , 	265 , 	64 , 	136 , 	381 , 	346 , 	174 , 	177 , 	199 , 	153 , 	241 , 	344 , 	181 , 	184 , 	64 , 	32 , 	38 , 	26 , 	12 , 	16 , 	32 , 	21 ," 	1,962 "," 	1,620 ", 	606 , 	518 , 	130 , 	53 , 	34 , 	38 , 	58 , 	7 , 	38 , 	93 , 	12 , 	57 , 	8 , 	9 , 	58 , 	7 , 	39 , 	32 , 	-   ," 	8,673 ",,,,,,,,,
CN, 	27 , 	38 , 	19 , 	18 , 	136 , 	27 , 	166 , 	329 , 	347 , 	30 , 	37 , 	52 , 	30 , 	23 , 	35 , 	11 , 	15 , 	35 , 	33 , 	106 , 	266 , 	87 , 	38 , 	91 , 	17 , 	914 , 	977 , 	564 , 	530 , 	140 , 	86 , 	43 , 	48 , 	68 , 	26 , 	7 , 	9 , 	54 , 	297 , 	25 , 	26 , 	114 , 	33 , 	3 , 	31 , 	-   ," 	6,008 ",,,,,,,,,
PH, 	14 , 	19 , 	18 , 	21 , 	170 , 	24 , 	178 , 	379 , 	371 , 	22 , 	30 , 	43 , 	24 , 	11 , 	28 , 	9 , 	17 , 	36 , 	105 , 	49 , 	110 , 	41 , 	29 , 	114 , 	13 ," 	1,660 "," 	1,741 ", 	659 , 	591 , 	148 , 	79 , 	108 , 	46 , 	62 , 	14 , 	2 , 	5 , 	34 , 	140 , 	26 , 	30 , 	150 , 	24 , 	2 , 	47 , 	-   ," 	7,442 ",,,,,,,,,
WC, 	22 , 	34 , 	23 , 	29 , 	148 , 	27 , 	160 , 	321 , 	302 , 	25 , 	34 , 	44 , 	25 , 	15 , 	18 , 	13 , 	11 , 	30 , 	302 , 	122 , 	33 , 	57 , 	41 , 	144 , 	20 ," 	1,422 "," 	1,501 ", 	534 , 	505 , 	123 , 	73 , 	56 , 	47 , 	58 , 	19 , 	4 , 	6 , 	53 , 	231 , 	17 , 	28 , 	161 , 	31 , 	3 , 	46 , 	-   ," 	6,917 ",,,,,,,,,
LF, 	7 , 	9 , 	8 , 	6 , 	78 , 	10 , 	52 , 	163 , 	158 , 	12 , 	13 , 	28 , 	10 , 	5 , 	6 , 	1 , 	2 , 	12 , 	103 , 	55 , 	63 , 	19 , 	18 , 	69 , 	5 , 	919 , 	842 , 	291 , 	293 , 	72 , 	35 , 	23 , 	12 , 	15 , 	4 , 	2 , 	2 , 	10 , 	51 , 	6 , 	9 , 	81 , 	16 , 	1 , 	22 , 	-   ," 	3,616 ",,,,,,,,,
