Exit stations,Entry stations->,,SATURDAY,,,Jan 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
RM, 	7 , 	58 , 	56 , 	28 , 	209 , 	45 , 	62 , 	91 , 	115 , 	31 , 	56 , 	46 , 	20 , 	19 , 	16 , 	10 , 	9 , 	23 , 	13 , 	5 , 	8 , 	4 , 	5 , 	15 , 	14 , 	142 , 	108 , 	251 , 	111 , 	74 , 	97 , 	19 , 	29 , 	27 , 	6 , 	2 , 	7 , 	3 , 	23 , 	8 , 	13 , 	44 , 	9 , 	3 , 	10 , 	-   ," 	1,946 ",,,,,,,,,,
EN, 	60 , 	29 , 	68 , 	45 , 	414 , 	82 , 	114 , 	331 , 	388 , 	78 , 	81 , 	76 , 	29 , 	26 , 	29 , 	14 , 	21 , 	38 , 	22 , 	10 , 	15 , 	4 , 	6 , 	29 , 	27 , 	335 , 	253 , 	617 , 	266 , 	101 , 	115 , 	33 , 	44 , 	41 , 	12 , 	7 , 	14 , 	1 , 	22 , 	11 , 	16 , 	70 , 	19 , 	4 , 	20 , 	-   ," 	4,028 ",,,,,,,,,,
EP, 	62 , 	58 , 	28 , 	39 , 	391 , 	52 , 	75 , 	442 , 	465 , 	96 , 	34 , 	49 , 	15 , 	13 , 	14 , 	4 , 	11 , 	22 , 	13 , 	8 , 	12 , 	6 , 	7 , 	30 , 	9 , 	207 , 	145 , 	341 , 	198 , 	64 , 	52 , 	20 , 	12 , 	19 , 	5 , 	5 , 	7 , 	1 , 	6 , 	4 , 	8 , 	51 , 	15 , 	5 , 	20 , 	-   ," 	3,134 ",,,,,,,,,,
NB, 	28 , 	45 , 	42 , 	38 , 	142 , 	39 , 	58 , 	582 , 	539 , 	104 , 	47 , 	36 , 	19 , 	17 , 	12 , 	6 , 	9 , 	26 , 	8 , 	8 , 	21 , 	6 , 	5 , 	14 , 	13 , 	290 , 	234 , 	336 , 	274 , 	103 , 	86 , 	22 , 	17 , 	16 , 	5 , 	4 , 	7 , 	3 , 	12 , 	3 , 	7 , 	83 , 	14 , 	5 , 	23 , 	-   ," 	3,402 ",,,,,,,,,,
BK, 	217 , 	406 , 	368 , 	143 , 	95 , 	211 , 	204 , 	534 , 	509 , 	137 , 	165 , 	95 , 	82 , 	71 , 	72 , 	37 , 	55 , 	146 , 	39 , 	46 , 	65 , 	53 , 	36 , 	32 , 	58 , 	709 , 	428 , 	841 , 	556 , 	196 , 	168 , 	66 , 	48 , 	71 , 	13 , 	15 , 	52 , 	12 , 	41 , 	13 , 	20 , 	223 , 	82 , 	21 , 	108 , 	-   ," 	7,548 ",,,,,,,,,,
AS, 	50 , 	72 , 	46 , 	39 , 	210 , 	85 , 	85 , 	476 , 	424 , 	85 , 	63 , 	41 , 	24 , 	20 , 	19 , 	12 , 	11 , 	29 , 	13 , 	9 , 	12 , 	5 , 	7 , 	12 , 	26 , 	263 , 	179 , 	327 , 	241 , 	129 , 	98 , 	26 , 	22 , 	16 , 	5 , 	7 , 	10 , 	2 , 	13 , 	3 , 	4 , 	59 , 	15 , 	5 , 	17 , 	-   ," 	3,311 ",,,,,,,,,,
MA, 	81 , 	106 , 	61 , 	46 , 	202 , 	70 , 	73 , 	411 , 	382 , 	80 , 	97 , 	89 , 	39 , 	44 , 	35 , 	14 , 	17 , 	42 , 	46 , 	43 , 	57 , 	39 , 	23 , 	88 , 	31 , 	421 , 	315 , 	584 , 	404 , 	237 , 	171 , 	38 , 	35 , 	29 , 	5 , 	6 , 	14 , 	14 , 	80 , 	5 , 	11 , 	99 , 	24 , 	9 , 	18 , 	-   ," 	4,728 ",,,,,,,,,,
19, 	55 , 	205 , 	250 , 	275 , 	338 , 	305 , 	202 , 	72 , 	32 , 	32 , 	95 , 	93 , 	68 , 	50 , 	52 , 	29 , 	30 , 	77 , 	56 , 	73 , 	94 , 	96 , 	89 , 	411 , 	52 , 	395 , 	327 , 	558 , 	436 , 	255 , 	211 , 	69 , 	46 , 	52 , 	11 , 	18 , 	33 , 	24 , 	51 , 	19 , 	12 , 	65 , 	36 , 	16 , 	11 , 	-   ," 	5,773 ",,,,,,,,,,
12, 	149 , 	496 , 	618 , 	691 , 	570 , 	505 , 	488 , 	39 , 	40 , 	45 , 	168 , 	126 , 	114 , 	131 , 	86 , 	42 , 	71 , 	103 , 	96 , 	134 , 	147 , 	183 , 	188 , 	659 , 	109 , 	387 , 	297 , 	579 , 	405 , 	187 , 	183 , 	69 , 	77 , 	69 , 	27 , 	21 , 	36 , 	51 , 	70 , 	22 , 	22 , 	76 , 	52 , 	15 , 	20 , 	-   ," 	8,660 ",,,,,,,,,,
LM, 	64 , 	229 , 	281 , 	277 , 	197 , 	191 , 	164 , 	69 , 	55 , 	16 , 	854 , 	265 , 	475 , 	261 , 	179 , 	61 , 	166 , 	275 , 	31 , 	37 , 	55 , 	75 , 	88 , 	244 , 	141 , 	392 , 	304 , 	587 , 	433 , 	235 , 	264 , 	121 , 	64 , 	90 , 	12 , 	288 , 	327 , 	26 , 	25 , 	7 , 	11 , 	20 , 	66 , 	143 , 	18 , 	-   ," 	8,177 ",,,,,,,,,,
